Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T00:35:08.749Z,,,54,21.5,,,
2017-12-21T00:35:18.644Z,,,54,21.5,,,
2017-12-21T00:35:28.645Z,,,54,21.5,,,
2017-12-21T00:35:38.802Z,,,54,21.5,,,
2017-12-21T00:35:48.640Z,,,54,21.5,,,
2017-12-21T00:35:58.645Z,,,54,21.3,,,
2017-12-21T00:36:08.739Z,,,54,21.3,,,
2017-12-21T00:36:18.640Z,,,54,21.3,,,
2017-12-21T00:36:28.641Z,,,54,21.3,,,
2017-12-21T00:36:38.642Z,,,54,21.3,,,
2017-12-21T00:36:48.642Z,,,54,21.3,,,
2017-12-21T00:36:58.639Z,,,54,21.3,,,
2017-12-21T00:37:08.744Z,,,54,21.3,,,
2017-12-21T00:37:18.643Z,,,54,21.2,,26.4,
2017-12-21T00:37:28.642Z,,,54,21.2,,,
2017-12-21T00:37:38.643Z,,,54,21.2,,,
2017-12-21T00:37:48.643Z,,,54,21.2,,,
2017-12-21T00:37:58.645Z,,,54,21.2,,,
2017-12-21T00:38:08.747Z,,,54,21.2,,,
2017-12-21T00:38:18.641Z,,,54,21.2,,,
2017-12-21T00:38:28.648Z,,,54,21.2,,,
2017-12-21T00:38:38.648Z,,,54,21.2,,,
2017-12-21T00:38:48.641Z,,,54,21.2,,,
2017-12-21T00:38:58.642Z,,,54,21.1,,,
2017-12-21T00:39:08.737Z,,,54,21.1,,,
2017-12-21T00:39:18.646Z,,,54,21.1,,,
2017-12-21T00:39:28.644Z,,,54,21.1,,,
2017-12-21T00:39:38.647Z,,,54,21.1,,,
2017-12-21T00:39:48.644Z,,,54,21.1,,,
2017-12-21T00:39:58.648Z,,,54,21.1,,,
2017-12-21T00:40:08.745Z,,,54,21.1,,,
2017-12-21T00:40:18.642Z,,,54,20.9,,,
2017-12-21T00:40:28.650Z,,,54,20.9,,,
2017-12-21T00:40:38.646Z,,,54,20.9,,,
2017-12-21T00:40:48.644Z,,,54,20.9,,,
2017-12-21T00:40:58.645Z,,,54,20.9,,,
2017-12-21T00:41:08.737Z,,,54,20.9,,26.3,
2017-12-21T00:41:18.644Z,,,54,20.9,,26.4,
2017-12-21T00:41:28.645Z,,,54,20.9,,26.3,
2017-12-21T00:41:38.645Z,,,54,20.9,,26.4,
2017-12-21T00:41:48.648Z,,,54,20.9,,26.3,
2017-12-21T00:41:58.647Z,,,54,20.9,,,
2017-12-21T00:42:08.748Z,,,54,20.9,,,
2017-12-21T00:42:18.644Z,,,54,20.9,,,
2017-12-21T00:42:28.648Z,,,54,20.8,,,
2017-12-21T00:42:38.647Z,,,54,20.8,,,
2017-12-21T00:42:48.648Z,,,54,20.8,,,
2017-12-21T00:42:58.648Z,,,54,20.8,,,
2017-12-21T00:43:08.753Z,1,0,54,20.8,,28.3,43
2017-12-21T00:43:18.652Z,,,54,20.8,,32.1,35
2017-12-21T00:43:28.649Z,,,54,20.8,,31.9,29
2017-12-21T00:43:38.645Z,,,54,20.8,,31.1,
2017-12-21T00:43:48.654Z,,,54,20.8,,32.3,29
2017-12-21T00:43:58.644Z,,,54,20.8,,32.4,
2017-12-21T00:44:08.742Z,,,54,20.9,,33.1,30
2017-12-21T00:44:18.646Z,,,54,21.1,,,
2017-12-21T00:44:28.647Z,,,54,21.2,,33.4,29
2017-12-21T00:44:38.646Z,,,54,21.3,,33.5,
2017-12-21T00:44:48.648Z,,,54,21.6,,33.6,
2017-12-21T00:44:58.646Z,,,54,21.9,,33.8,
2017-12-21T00:45:08.750Z,,,54,22.1,,34,
2017-12-21T00:45:18.645Z,,,54,22.4,,34.1,
2017-12-21T00:45:28.645Z,,,54,22.6,,,
2017-12-21T00:45:38.647Z,,,54,22.7,,34.2,
2017-12-21T00:45:48.652Z,,,54,23,,34.3,
2017-12-21T00:45:58.646Z,,,54,23.1,,34.5,
2017-12-21T00:46:08.740Z,1,0,54,23.2,,32.8,0
2017-12-21T00:46:18.646Z,,,54,23.3,,31.8,
2017-12-21T00:46:28.646Z,,,54,23.4,,30.9,
2017-12-21T00:46:38.645Z,,,54,23.6,,29.9,
2017-12-21T00:46:48.649Z,,,54,23.7,,29.6,
2017-12-21T00:46:58.647Z,,,54,23.7,,28.9,
2017-12-21T00:47:08.736Z,,,54,23.7,,28.7,
2017-12-21T00:47:18.647Z,,,54,23.8,,28.2,
2017-12-21T00:47:28.647Z,,,54,23.8,,27.8,
2017-12-21T00:47:38.649Z,,,54,23.7,,27.6,
2017-12-21T00:47:48.648Z,,,54,23.7,,27.2,
2017-12-21T00:47:58.649Z,,,54,23.7,,26.9,
2017-12-21T00:48:08.746Z,1,0,54,23.7,,30,41
2017-12-21T00:48:18.652Z,1,0,54,23.7,,29.5,0
2017-12-21T00:48:28.649Z,,,54,23.6,,27.8,
2017-12-21T00:48:38.654Z,,,54,23.6,,27.1,
2017-12-21T00:48:48.648Z,,,54,23.4,,27.5,
2017-12-21T00:48:58.651Z,,,54,23.4,,26.9,
2017-12-21T00:49:08.751Z,,,54,23.4,,26.6,
2017-12-21T00:49:18.647Z,,,54,23.4,,26.5,
2017-12-21T00:49:28.648Z,,,54,23.4,,26.3,
2017-12-21T00:49:38.653Z,,,54,23.4,,26.1,
2017-12-21T00:49:48.650Z,,,54,23.4,,25.9,
2017-12-21T00:49:58.655Z,,,54,23.4,,,
