Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T00:35:53.740Z,,19.3,,54,,,
2017-12-15T00:36:03.882Z,,19.2,,54,,,
2017-12-15T00:36:13.746Z,,19,,54,,,
2017-12-15T00:36:23.746Z,,19,,54,,,
2017-12-15T00:36:33.743Z,,19,,54,,,
2017-12-15T00:36:43.744Z,,18.9,,54,,,
2017-12-15T00:36:53.744Z,,18.9,,54,,,
2017-12-15T00:37:03.905Z,,18.8,,54,,38.6,
2017-12-15T00:37:13.746Z,,18.8,,54,,,
2017-12-15T00:37:23.739Z,,18.8,,54,,,
2017-12-15T00:37:33.745Z,,18.8,,54,,,
2017-12-15T00:37:43.747Z,,18.6,,54,,,
2017-12-15T00:37:53.751Z,,18.6,0,54,42,40.2,2
2017-12-15T00:38:03.848Z,,18.6,,54,31,43.7,
2017-12-15T00:38:13.748Z,,18.9,,54,29,42,
2017-12-15T00:38:23.740Z,,19.6,,54,29,42.2,
2017-12-15T00:38:33.748Z,,20.1,,54,,43.1,
2017-12-15T00:38:43.745Z,,20.5,,54,,42.8,
2017-12-15T00:38:53.742Z,,21.1,,54,,43,
2017-12-15T00:39:03.857Z,,21.5,,54,,,
2017-12-15T00:39:13.745Z,,21.9,,54,,,
2017-12-15T00:39:23.741Z,,22.4,,54,,43.1,
2017-12-15T00:39:33.745Z,,22.6,,54,,43.2,
2017-12-15T00:39:43.744Z,,22.6,,54,30,43.3,
2017-12-15T00:39:53.747Z,,22.6,,54,29,43.4,
2017-12-15T00:40:03.854Z,,22.7,,54,,43.5,
2017-12-15T00:40:13.749Z,,22.8,,54,,43.6,
2017-12-15T00:40:23.749Z,,23,,54,,43.7,
2017-12-15T00:40:33.749Z,,23.1,,54,,,
2017-12-15T00:40:43.750Z,,23.2,,54,,43.8,
2017-12-15T00:40:53.751Z,,23.4,,54,,,
2017-12-15T00:41:03.860Z,,23.6,,54,30,,
2017-12-15T00:41:13.742Z,,23.7,,54,,,
2017-12-15T00:41:23.752Z,,23.8,,54,29,,
2017-12-15T00:41:33.751Z,,23.9,,54,,43.9,
2017-12-15T00:41:43.752Z,,24,,54,,,
2017-12-15T00:41:53.742Z,,24.2,,54,,44,
