Time,HwTOutlet,HwActive,PrimT,HwTSet,ChActive,PrimTSet,ActPow
2017-12-20T00:24:17.815Z,27.5,,,54,,,
2017-12-20T00:24:27.816Z,27.4,,31.8,54,,,
2017-12-20T00:24:37.819Z,27.4,,,54,,,
2017-12-20T00:24:47.815Z,27.3,,,54,,,
2017-12-20T00:24:57.815Z,27.3,,,54,,,
2017-12-20T00:25:07.906Z,27.2,,31.9,54,,,
2017-12-20T00:25:17.816Z,27.1,,,54,,,
2017-12-20T00:25:27.819Z,27.1,,,54,,,
2017-12-20T00:25:37.816Z,27.1,,,54,,,
2017-12-20T00:25:47.815Z,26.9,,,54,,,
2017-12-20T00:25:57.818Z,26.8,,31.9,54,,,
2017-12-20T00:26:07.907Z,26.8,,32,54,,,
2017-12-20T00:26:17.815Z,26.7,,,54,,,
2017-12-20T00:26:27.819Z,26.7,,,54,,,
2017-12-20T00:26:37.817Z,26.6,,,54,,,
2017-12-20T00:26:47.817Z,26.6,,,54,,,
2017-12-20T00:26:57.817Z,26.5,,,54,,,
2017-12-20T00:27:07.907Z,26.5,,,54,,,
2017-12-20T00:27:17.817Z,26.3,,,54,,,
2017-12-20T00:27:27.822Z,26.3,,,54,,,
2017-12-20T00:27:37.817Z,26.2,,,54,,,
2017-12-20T00:27:47.817Z,26.2,,,54,,,
2017-12-20T00:27:57.818Z,26.1,,,54,,,
2017-12-20T00:28:07.919Z,26.1,,,54,,,
2017-12-20T00:28:17.828Z,26,,,54,,,
2017-12-20T00:28:27.820Z,26,,,54,,,
2017-12-20T00:28:37.820Z,25.9,,,54,,,
2017-12-20T00:28:47.817Z,25.9,,,54,,,
2017-12-20T00:28:57.820Z,25.7,,,54,,,
2017-12-20T00:29:07.920Z,25.7,,,54,,,
2017-12-20T00:29:17.821Z,25.7,,,54,,,
2017-12-20T00:29:27.828Z,25.6,,31.9,54,,,
2017-12-20T00:29:37.820Z,25.6,,31.9,54,,,
2017-12-20T00:29:47.820Z,25.5,,,54,,,
2017-12-20T00:29:57.821Z,25.5,,,54,,,
2017-12-20T00:30:07.921Z,25.4,,,54,,,
2017-12-20T00:30:17.818Z,25.4,,,54,,,
2017-12-20T00:30:27.823Z,25.3,,,54,,,
2017-12-20T00:30:37.819Z,25.3,,,54,,,
2017-12-20T00:30:47.820Z,25.1,,,54,,,
2017-12-20T00:30:57.819Z,25.1,,,54,,,
2017-12-20T00:31:07.918Z,25.1,,,54,,,
2017-12-20T00:31:17.822Z,25,,31.8,54,,,
2017-12-20T00:31:27.823Z,25,,,54,,,
2017-12-20T00:31:37.822Z,25,,,54,,,
2017-12-20T00:31:47.823Z,24.9,,,54,,,
2017-12-20T00:31:57.824Z,24.9,,,54,,,
2017-12-20T00:32:07.923Z,24.9,,,54,,,
2017-12-20T00:32:17.830Z,24.9,,,54,,,
2017-12-20T00:32:27.824Z,24.8,,,54,,,
2017-12-20T00:32:37.822Z,24.8,,31.7,54,,,
2017-12-20T00:32:47.826Z,24.7,,,54,,,
2017-12-20T00:32:57.823Z,24.7,,,54,,,
2017-12-20T00:33:07.919Z,24.7,,,54,,,
2017-12-20T00:33:17.820Z,24.5,,,54,,,
2017-12-20T00:33:27.821Z,24.5,,,54,,,
2017-12-20T00:33:42.922Z,24.5,,,54,,,
2017-12-20T00:33:47.819Z,24.5,,,54,,,
2017-12-20T00:33:57.825Z,24.4,0,32.1,54,1,,45
2017-12-20T00:34:08.553Z,24.4,,37.1,54,,,35
2017-12-20T00:34:17.822Z,24.4,,36.7,54,,,29
2017-12-20T00:34:27.827Z,24.3,,36,54,,,
2017-12-20T00:34:37.825Z,24.3,,36.4,54,,,
2017-12-20T00:34:47.826Z,24.3,,36.6,54,,,
2017-12-20T00:34:57.826Z,24.4,,36.8,54,,,
2017-12-20T00:35:07.916Z,24.5,,36.9,54,,,
2017-12-20T00:35:17.827Z,24.7,,37.1,54,,,
2017-12-20T00:35:27.825Z,24.9,,37.2,54,,,
2017-12-20T00:35:37.824Z,25.1,,37.3,54,,,
2017-12-20T00:35:47.822Z,25.3,,,54,,,
2017-12-20T00:35:57.821Z,25.5,,,54,,,
2017-12-20T00:36:07.923Z,25.7,,37.4,54,,,
2017-12-20T00:36:17.822Z,25.9,,37.5,54,,,
2017-12-20T00:36:27.827Z,26,,,54,,,
