Time,HwTOutlet,PrimTSet,PrimT,ChActive,HwTSet,HwActive,ActPow
2018-01-05T00:27:17.983Z,28.9,,43.4,,54,,
2018-01-05T00:27:27.983Z,28.9,,,,54,,
2018-01-05T00:27:37.984Z,28.9,,43.5,,54,,
2018-01-05T00:27:47.985Z,28.9,,43.6,,54,,
2018-01-05T00:27:57.984Z,28.9,,,,54,,
2018-01-05T00:28:07.981Z,28.9,,43.7,,54,,
2018-01-05T00:28:17.984Z,28.9,,43.8,,54,,
2018-01-05T00:28:27.980Z,28.9,,44,,54,,29
2018-01-05T00:28:37.983Z,28.9,,,,54,,30
2018-01-05T00:28:47.980Z,28.9,,44.1,,54,,29
2018-01-05T00:28:57.982Z,28.9,,44.3,,54,,
2018-01-05T00:29:07.981Z,28.9,,,,54,,
2018-01-05T00:29:17.987Z,28.9,,44.5,,54,,30
2018-01-05T00:29:27.982Z,28.9,,44.6,,54,,
2018-01-05T00:29:37.982Z,28.9,,,,54,,29
2018-01-05T00:29:47.985Z,28.9,,44.7,,54,,
2018-01-05T00:29:57.980Z,28.9,,44.8,,54,,
2018-01-05T00:30:07.981Z,28.9,,45,,54,,
2018-01-05T00:30:17.980Z,29,,45.1,,54,,
2018-01-05T00:30:27.981Z,28.9,,45.2,,54,,
2018-01-05T00:30:37.983Z,29,,45.3,,54,,
2018-01-05T00:30:47.983Z,29,,45.4,,54,,
2018-01-05T00:30:57.982Z,29,,45.5,,54,,
2018-01-05T00:31:07.987Z,29,,45.6,,54,,
2018-01-05T00:31:17.982Z,29,,45.7,,54,,
2018-01-05T00:31:27.983Z,29,,44.8,1,54,0,0
2018-01-05T00:31:37.987Z,29,,42.9,,54,,
2018-01-05T00:31:47.980Z,29,,41.9,,54,,
2018-01-05T00:31:57.982Z,29,,41.6,,54,,
2018-01-05T00:32:07.981Z,29,,40.8,,54,,
2018-01-05T00:32:17.979Z,29,,40.3,,54,,
2018-01-05T00:32:27.980Z,29,,39.9,,54,,
2018-01-05T00:32:37.987Z,29.1,,39.5,,54,,
2018-01-05T00:32:48.075Z,29.1,,38.9,,54,,
2018-01-05T00:32:57.987Z,29.1,,38.7,,54,,
2018-01-05T00:33:07.983Z,29.1,61,38.4,1,54,0,0
2018-01-05T00:33:17.987Z,29.1,,38.2,,54,,
2018-01-05T00:33:27.984Z,29.1,,38,,54,,
2018-01-05T00:33:37.986Z,29.1,,37.9,,54,,
2018-01-05T00:33:47.985Z,29.1,,37.7,,54,,
2018-01-05T00:33:57.979Z,29.1,,37.5,,54,,
2018-01-05T00:34:07.989Z,29.1,,37.4,,54,,
2018-01-05T00:34:17.988Z,29.1,,37.3,,54,,
2018-01-05T00:34:28.011Z,29.1,,37.1,,54,,
2018-01-05T00:34:37.983Z,29.1,,,,54,,
2018-01-05T00:34:47.990Z,29.1,,,,54,,
2018-01-05T00:34:57.990Z,29.1,,,,54,,
2018-01-05T00:35:07.991Z,29.1,,,,54,,
2018-01-05T00:35:17.990Z,29.1,,,,54,,
2018-01-05T00:35:27.992Z,29.1,,,,54,,
2018-01-05T00:35:38.000Z,29.1,,,,54,,
2018-01-05T00:35:47.989Z,29.1,,37.1,,54,,
2018-01-05T00:35:57.992Z,29.2,,37.1,,54,,
2018-01-05T00:36:07.990Z,29.2,,37.1,,54,,
2018-01-05T00:36:18.013Z,29.1,,37.1,,54,,
2018-01-05T00:36:27.986Z,29.2,,,,54,,
2018-01-05T00:36:37.983Z,29.2,,,,54,,
2018-01-05T00:36:47.981Z,29.2,,,,54,,
2018-01-05T00:36:57.989Z,29.2,,,,54,,
2018-01-05T00:37:08.009Z,29.2,,,,54,,
2018-01-05T00:37:17.989Z,29.1,,37.2,,54,,
2018-01-05T00:37:27.983Z,29.2,,,,54,,
2018-01-05T00:37:37.985Z,29.2,,,,54,,
2018-01-05T00:37:47.983Z,29.2,,,,54,,
2018-01-05T00:37:57.984Z,29.2,,37.3,,54,,
2018-01-05T00:38:07.985Z,29.2,,,,54,,
2018-01-05T00:38:17.987Z,29.1,,,,54,,
2018-01-05T00:38:27.983Z,29.1,,,,54,,
2018-01-05T00:38:37.989Z,29.2,,37.4,,54,,
2018-01-05T00:38:48.037Z,29.1,,,,54,,
2018-01-05T00:38:57.996Z,29.1,,,,54,,
2018-01-05T00:39:07.983Z,29.1,,,,54,,
2018-01-05T00:39:17.986Z,29.1,,,,54,,
2018-01-05T00:39:27.986Z,29.1,,,,54,,
2018-01-05T00:39:37.992Z,29.1,,,,54,,
2018-01-05T00:39:47.983Z,29.1,,37.5,,54,,
2018-01-05T00:39:57.989Z,29.1,,,,54,,
2018-01-05T00:40:07.986Z,29.1,,,,54,,
2018-01-05T00:40:17.986Z,29.1,,,,54,,
2018-01-05T00:40:27.990Z,29.1,,,,54,,
2018-01-05T00:40:37.990Z,29.1,,,,54,,
2018-01-05T00:40:47.987Z,29.1,,,,54,,
2018-01-05T00:40:57.994Z,29.1,,,,54,,
2018-01-05T00:41:07.984Z,29.1,,,,54,,
2018-01-05T00:41:17.985Z,29.1,,,,54,,
2018-01-05T00:41:27.985Z,29.1,,,,54,,
2018-01-05T00:41:37.992Z,29.1,,,,54,,
2018-01-05T00:41:47.988Z,29.1,,,,54,,
2018-01-05T00:41:57.985Z,29.1,,,,54,,
2018-01-05T00:42:07.986Z,29.1,,,,54,,
2018-01-05T00:42:17.985Z,29.1,,37.4,,54,,
2018-01-05T00:42:27.985Z,29.1,,,,54,,
2018-01-05T00:42:37.992Z,29,,,,54,,
2018-01-05T00:42:47.985Z,29,,,,54,,
2018-01-05T00:42:57.989Z,29,,,,54,,
2018-01-05T00:43:07.989Z,29,,,,54,,
2018-01-05T00:43:17.987Z,29,,,,54,,
2018-01-05T00:43:27.988Z,29,,,,54,,
2018-01-05T00:43:37.988Z,29,,,,54,,
2018-01-05T00:43:47.990Z,29,,,,54,,
2018-01-05T00:43:57.990Z,29,,,,54,,
2018-01-05T00:44:07.986Z,29,,,,54,,
2018-01-05T00:44:18.143Z,29,,,,54,,
2018-01-05T00:44:27.989Z,29,,37.3,,54,,
2018-01-05T00:44:37.991Z,29,,,,54,,
2018-01-05T00:44:47.989Z,29,,,,54,,
2018-01-05T00:44:57.990Z,29,,,,54,,
2018-01-05T00:45:07.991Z,28.9,,,,54,,
2018-01-05T00:45:17.987Z,28.9,,,,54,,
2018-01-05T00:45:27.987Z,28.9,,,,54,,
2018-01-05T00:45:37.993Z,28.9,,,,54,,
2018-01-05T00:45:47.993Z,28.9,,,,54,,
2018-01-05T00:46:03.093Z,28.9,,37.2,,54,,
2018-01-05T00:46:07.993Z,28.9,,,,54,,
2018-01-05T00:46:17.992Z,28.9,,,,54,,
2018-01-05T00:46:27.995Z,28.9,,,,54,,
2018-01-05T00:46:38.008Z,28.9,,39.5,1,54,0,42
2018-01-05T00:46:47.994Z,28.9,,42.3,,54,,34
2018-01-05T00:46:57.989Z,28.7,,40.9,,54,,29
2018-01-05T00:47:07.989Z,28.9,,41,,54,,
2018-01-05T00:47:17.990Z,28.7,,41.7,,54,,
2018-01-05T00:47:27.990Z,28.7,,,,54,,
2018-01-05T00:47:37.992Z,28.7,,41.6,,54,,
2018-01-05T00:47:47.989Z,28.7,,,,54,,
2018-01-05T00:47:57.991Z,28.7,,41.5,,54,,
2018-01-05T00:48:07.993Z,28.7,,,,54,,
2018-01-05T00:48:17.989Z,28.7,,41.6,,54,,
2018-01-05T00:48:27.991Z,28.7,,,,54,,
2018-01-05T00:48:37.995Z,28.7,,41.7,,54,,
2018-01-05T00:48:47.995Z,28.7,,41.8,,54,,
2018-01-05T00:48:57.990Z,28.7,,,,54,,30
2018-01-05T00:49:08.026Z,28.7,,41.9,,54,,29
2018-01-05T00:49:17.999Z,28.7,,41.9,,54,,
2018-01-05T00:49:27.997Z,28.7,,42,,54,,
2018-01-05T00:49:37.999Z,28.7,,,,54,,
2018-01-05T00:49:47.990Z,28.7,,,,54,,
2018-01-05T00:49:57.991Z,28.7,,,,54,,
2018-01-05T00:50:07.991Z,28.7,,42.2,,54,,0
2018-01-05T00:50:17.996Z,28.7,,40.8,1,54,0,
2018-01-05T00:50:27.993Z,28.7,,38.8,,54,,
2018-01-05T00:50:37.992Z,28.7,,38.1,,54,,
2018-01-05T00:50:47.991Z,28.7,,37.7,,54,,
2018-01-05T00:50:57.995Z,28.7,,36.9,,54,,
2018-01-05T00:51:07.994Z,28.7,,36.4,,54,,
2018-01-05T00:51:17.995Z,28.7,,36,,54,,
2018-01-05T00:51:27.990Z,28.7,,35.6,,54,,
2018-01-05T00:51:38.003Z,28.7,,35.2,,54,,
2018-01-05T00:51:47.998Z,28.7,,34.9,,54,,
2018-01-05T00:51:57.994Z,28.7,,34.6,,54,,
2018-01-05T00:52:08.029Z,28.6,,34.4,,54,,
2018-01-05T00:52:17.990Z,28.7,,34.3,,54,,
2018-01-05T00:52:27.991Z,28.7,,34.1,,54,,
2018-01-05T00:52:37.992Z,28.7,,33.9,,54,,
2018-01-05T00:52:47.992Z,28.7,,,,54,,
2018-01-05T00:52:57.993Z,28.7,,33.7,,54,,
2018-01-05T00:53:07.993Z,28.7,,33.6,,54,,
2018-01-05T00:53:17.995Z,28.7,,,,54,,
2018-01-05T00:53:27.996Z,28.7,,,,54,,
2018-01-05T00:53:37.995Z,28.7,,,,54,,
2018-01-05T00:53:47.993Z,28.7,,,,54,,
2018-01-05T00:53:58.000Z,28.6,,,,54,,
2018-01-05T00:54:07.996Z,28.6,,,,54,,
2018-01-05T00:54:18.000Z,28.6,,,,54,,
2018-01-05T00:54:27.992Z,28.6,,33.5,,54,,
2018-01-05T00:54:37.993Z,28.6,,,,54,,
2018-01-05T00:54:47.992Z,28.6,,,,54,,
2018-01-05T00:54:57.992Z,28.6,,,,54,,
2018-01-05T00:55:07.993Z,28.6,,33.6,,54,,
2018-01-05T00:55:17.993Z,28.6,,,,54,,
2018-01-05T00:55:27.993Z,28.6,,,,54,,
2018-01-05T00:55:38.003Z,28.6,,,,54,,
2018-01-05T00:55:47.993Z,28.6,,,,54,,
2018-01-05T00:55:57.995Z,28.6,,,,54,,
2018-01-05T00:56:07.997Z,28.6,,,,54,,
2018-01-05T00:56:17.994Z,28.6,,,,54,,
2018-01-05T00:56:27.999Z,28.6,,,,54,,
2018-01-05T00:56:37.993Z,28.6,,,,54,,
2018-01-05T00:56:47.995Z,28.6,,,,54,,
2018-01-05T00:56:58.001Z,28.5,,33.9,1,54,0,
2018-01-05T00:57:08.003Z,28.5,,39.3,,54,,35
2018-01-05T00:57:17.998Z,28.5,,39.9,,54,,29
2018-01-05T00:57:28.002Z,28.5,,38.7,,54,,29
2018-01-05T00:57:38.003Z,28.5,,40,,54,,
2018-01-05T00:57:47.996Z,28.5,,40.4,,54,,30
2018-01-05T00:57:57.996Z,28.5,,40.5,,54,,29
2018-01-05T00:58:07.993Z,28.5,,41,,54,,30
2018-01-05T00:58:17.995Z,28.5,,,,54,,
2018-01-05T00:58:28.001Z,28.5,,41.3,,54,,29
2018-01-05T00:58:37.997Z,28.5,,41.5,,54,,
2018-01-05T00:58:47.997Z,28.5,,41.6,,54,,
2018-01-05T00:58:58.001Z,28.5,,41.8,,54,,
2018-01-05T00:59:07.997Z,28.5,,41.9,,54,,
2018-01-05T00:59:17.994Z,28.5,,42,,54,,
2018-01-05T00:59:28.001Z,28.5,,42.1,,54,,
2018-01-05T00:59:37.999Z,28.5,,,,54,,30
2018-01-05T00:59:53.098Z,28.5,,42.2,,54,,29
2018-01-05T00:59:57.998Z,28.4,,,,54,,
2018-01-05T01:00:07.996Z,28.4,,42.3,,54,,
2018-01-05T01:00:17.998Z,28.4,,42.4,,54,,
2018-01-05T01:00:28.005Z,28.4,,42.6,,54,,
2018-01-05T01:00:37.999Z,28.4,,42.7,,54,,
2018-01-05T01:00:48.001Z,28.4,,42.8,,54,,
2018-01-05T01:00:58.004Z,28.4,,42.9,,54,,
2018-01-05T01:01:07.996Z,28.5,,43,,54,,30
2018-01-05T01:01:17.996Z,28.5,,43.1,,54,,29
2018-01-05T01:01:27.998Z,28.4,,43.2,,54,,
2018-01-05T01:01:38.001Z,28.5,,43.3,,54,,
2018-01-05T01:01:48.015Z,28.5,,43.4,,54,,
2018-01-05T01:01:58.010Z,28.5,,43.6,,54,,
2018-01-05T01:02:08.001Z,28.5,,43.7,,54,,
2018-01-05T01:02:17.999Z,28.5,,43.8,,54,,
2018-01-05T01:02:27.997Z,28.5,,43.9,,54,,
2018-01-05T01:02:38.003Z,28.5,,44,,54,,
2018-01-05T01:02:48.001Z,28.5,,44.1,,54,,30
2018-01-05T01:02:58.001Z,28.5,,44.2,,54,,29
2018-01-05T01:03:07.998Z,28.5,,44.3,,54,,
2018-01-05T01:03:18.007Z,28.5,,44.4,,54,,
2018-01-05T01:03:28.002Z,28.5,,44.6,,54,,
2018-01-05T01:03:38.004Z,28.5,,,,54,,
2018-01-05T01:03:48.010Z,28.5,,44.8,,54,,
2018-01-05T01:03:58.003Z,28.5,,43.8,1,54,0,0
2018-01-05T01:04:07.999Z,28.5,,41.9,,54,,
2018-01-05T01:04:18.010Z,28.5,,41.2,,54,,
2018-01-05T01:04:28.000Z,28.5,,40.7,,54,,
2018-01-05T01:04:38.003Z,28.5,,39.8,,54,,
2018-01-05T01:04:48.001Z,28.5,,39.4,,54,,
2018-01-05T01:04:58.002Z,28.5,,38.8,,54,,
2018-01-05T01:05:08.007Z,28.6,,38.4,,54,,
2018-01-05T01:05:17.999Z,28.6,,37.9,,54,,
2018-01-05T01:05:28.004Z,28.6,,37.8,,54,,
2018-01-05T01:05:38.005Z,28.6,,37.5,,54,,
2018-01-05T01:05:48.002Z,28.6,,37.3,,54,,
2018-01-05T01:05:58.005Z,28.6,,36.9,,54,,
2018-01-05T01:06:08.005Z,28.6,,36.8,,54,,
2018-01-05T01:06:18.004Z,28.6,,36.7,,54,,
2018-01-05T01:06:28.004Z,28.6,,36.5,,54,,
2018-01-05T01:06:38.006Z,28.6,,36.4,,54,,
2018-01-05T01:06:48.001Z,28.6,,36.3,,54,,
2018-01-05T01:06:58.001Z,28.6,,36.1,,54,,
2018-01-05T01:07:08.002Z,28.6,,,,54,,
2018-01-05T01:07:17.999Z,28.6,,,,54,,
2018-01-05T01:07:28.002Z,28.6,,,,54,,
2018-01-05T01:07:38.004Z,28.6,,,,54,,
2018-01-05T01:07:48.004Z,28.6,,,,54,,
2018-01-05T01:07:58.004Z,28.6,,,,54,,
