Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T00:33:36.398Z,,31.8,54,42,,,
2017-12-28T00:33:46.403Z,,31.9,54,42.2,,,
2017-12-28T00:33:56.400Z,,32,54,42.7,0,0,1
2017-12-28T00:34:06.401Z,,32.1,54,39.8,,,
2017-12-28T00:34:16.397Z,,32.2,54,38.9,,,
2017-12-28T00:34:26.399Z,,32.3,54,38.3,,,
2017-12-28T00:34:36.404Z,,32.3,54,37.9,,,
2017-12-28T00:34:46.401Z,,32.4,54,36.9,,,
2017-12-28T00:34:56.400Z,,32.4,54,36.8,,,
2017-12-28T00:35:06.401Z,,32.4,54,36.4,,,
2017-12-28T00:35:16.401Z,,32.4,54,35.9,,,
2017-12-28T00:35:26.400Z,,32.4,54,35.7,,,
2017-12-28T00:35:36.400Z,,32.4,54,35.4,,,
2017-12-28T00:35:46.400Z,,32.3,54,34.9,,,
2017-12-28T00:35:56.400Z,,32.2,54,34.8,,,
2017-12-28T00:36:06.407Z,,32.2,54,34.6,,,
2017-12-28T00:36:16.399Z,,32.1,54,34.4,,,
2017-12-28T00:36:26.402Z,,32,54,34.3,,,
2017-12-28T00:36:36.409Z,,31.9,54,34.1,,,
2017-12-28T00:36:46.416Z,,31.9,54,33.9,,,
2017-12-28T00:36:56.402Z,,31.8,54,33.8,,,
2017-12-28T00:37:06.418Z,,31.6,54,,,,
2017-12-28T00:37:16.400Z,,31.6,54,33.7,,,
2017-12-28T00:37:26.401Z,,31.5,54,,,,
2017-12-28T00:37:36.410Z,,31.4,54,,,,
2017-12-28T00:37:46.399Z,,31.3,54,,,,
2017-12-28T00:37:56.410Z,,31.3,54,,,,
2017-12-28T00:38:06.408Z,,31.3,54,,,,
2017-12-28T00:38:16.401Z,,31.3,54,,,,
2017-12-28T00:38:26.403Z,,31.2,54,,,,
2017-12-28T00:38:36.441Z,,31.2,54,,,,
2017-12-28T00:38:46.401Z,,31,54,33.6,,,
2017-12-28T00:38:56.404Z,,31,54,,,,
2017-12-28T00:39:06.412Z,,30.9,54,,,,
2017-12-28T00:39:16.402Z,,30.9,54,,,,
2017-12-28T00:39:26.404Z,,30.8,54,,,,
2017-12-28T00:39:36.404Z,,30.8,54,,,,
2017-12-28T00:39:46.399Z,,30.7,54,,,,
2017-12-28T00:39:56.404Z,,30.7,54,,,,
2017-12-28T00:40:06.400Z,,30.6,54,,,,
2017-12-28T00:40:16.399Z,,30.4,54,33.7,,,
2017-12-28T00:40:26.408Z,,30.3,54,,,,
2017-12-28T00:40:36.406Z,,30.2,54,,,,
2017-12-28T00:40:46.400Z,,30.2,54,,,,
2017-12-28T00:40:56.403Z,,30.1,54,,,,
2017-12-28T00:41:06.410Z,,30,54,33.8,,,
2017-12-28T00:41:16.401Z,,29.8,54,,,,
2017-12-28T00:41:26.402Z,,29.8,54,,,,
2017-12-28T00:41:36.406Z,,29.7,54,,,,
2017-12-28T00:41:46.402Z,,29.6,54,,,,
2017-12-28T00:41:56.405Z,,29.5,54,,,,
2017-12-28T00:42:06.402Z,,29.5,54,33.9,,,
2017-12-28T00:42:16.403Z,,29.3,54,,,,
2017-12-28T00:42:26.400Z,,29.2,54,,,,
2017-12-28T00:42:36.404Z,,29.2,54,,,,
2017-12-28T00:42:46.404Z,,29.1,54,33.9,,,
