Time,HwTOutlet,HwActive,PrimT,ActPow,ChActive,PrimTSet,HwTSet
2017-12-10T00:32:05.634Z,37.7,,60.9,34,,,54
2017-12-10T00:32:15.634Z,37.7,,,33,,,54
2017-12-10T00:32:25.635Z,37.7,,61.1,,,,54
2017-12-10T00:32:35.635Z,37.8,,60.9,,,,54
2017-12-10T00:32:45.632Z,37.8,,61.1,,,,54
2017-12-10T00:32:55.637Z,37.8,,60.9,,,,54
2017-12-10T00:33:05.633Z,37.7,,,,,,54
2017-12-10T00:33:15.639Z,37.8,,60.9,33,,,54
2017-12-10T00:33:25.637Z,37.8,,60.9,32,,,54
2017-12-10T00:33:35.634Z,37.8,,,,,,54
2017-12-10T00:33:45.640Z,37.8,,,,,,54
2017-12-10T00:33:55.631Z,37.7,,61.1,,,,54
2017-12-10T00:34:05.650Z,37.6,,60.9,31,,,54
2017-12-10T00:34:15.633Z,37.7,,,,,,54
2017-12-10T00:34:25.634Z,37.5,,,,,,54
2017-12-10T00:34:35.640Z,37.5,,,32,,,54
2017-12-10T00:34:45.638Z,37.4,,60.9,31,,,54
2017-12-10T00:34:55.631Z,37.3,,60.9,,,,54
2017-12-10T00:35:05.638Z,37.3,,60.9,,,,54
2017-12-10T00:35:15.638Z,37.3,,60.9,,,,54
2017-12-10T00:35:25.638Z,37.1,,60.9,31,,,54
2017-12-10T00:35:35.636Z,36.9,,,30,,,54
2017-12-10T00:35:45.641Z,36.9,,,31,,,54
2017-12-10T00:35:55.639Z,36.8,,,,,,54
2017-12-10T00:36:05.638Z,36.7,,61.1,30,,,54
2017-12-10T00:36:15.642Z,36.7,,60.9,,,,54
2017-12-10T00:36:25.640Z,36.6,,,,,,54
2017-12-10T00:36:35.644Z,36.5,,,,,,54
2017-12-10T00:36:45.636Z,36.5,,,,,,54
2017-12-10T00:36:55.634Z,36.5,,,,,,54
2017-12-10T00:37:05.640Z,36.5,,60.9,,,,54
2017-12-10T00:37:15.635Z,36.5,,60.9,30,,,54
2017-12-10T00:37:25.636Z,36.5,,,,,,54
2017-12-10T00:37:35.634Z,36.3,,,,,,54
2017-12-10T00:37:45.638Z,36.3,,,,,,54
2017-12-10T00:37:55.637Z,36.2,,,29,,,54
2017-12-10T00:38:05.638Z,36.2,,,,,,54
2017-12-10T00:38:15.640Z,36.2,,60.9,29,,,54
2017-12-10T00:38:25.648Z,36.2,,60.9,30,,,54
2017-12-10T00:38:35.639Z,36.1,,60.9,29,,,54
2017-12-10T00:38:45.638Z,36,,61.1,,,,54
2017-12-10T00:38:55.637Z,36,,61.1,29,,,54
2017-12-10T00:39:05.646Z,36.1,,60.9,,,,54
2017-12-10T00:39:15.643Z,36.1,,61.1,29,,,54
2017-12-10T00:39:25.640Z,36.1,,,30,,,54
2017-12-10T00:39:35.635Z,36,,,,,,54
2017-12-10T00:39:45.635Z,35.9,,,29,,,54
2017-12-10T00:39:55.635Z,35.8,,,30,,,54
2017-12-10T00:40:05.639Z,35.8,,,29,,,54
2017-12-10T00:40:15.639Z,35.9,1,,,0,0,54
2017-12-10T00:40:25.637Z,28.5,0,63.6,0,0,,54
2017-12-10T00:40:35.638Z,28.6,,62.1,,,,54
2017-12-10T00:40:45.641Z,32.6,,61.9,,,,54
2017-12-10T00:40:55.644Z,42.4,,61.8,,,,54
2017-12-10T00:41:05.645Z,48.4,,61.6,,,,54
2017-12-10T00:41:15.636Z,52.1,,61.5,,,,54
2017-12-10T00:41:25.646Z,54,0,60.1,,2,61,54
2017-12-10T00:41:35.642Z,54.3,,55.6,,,,54
2017-12-10T00:41:45.638Z,53.7,,,,,,54
2017-12-10T00:41:55.636Z,52.9,,55.5,,,,54
2017-12-10T00:42:05.660Z,51.9,0,56,43,2,,54
2017-12-10T00:42:15.640Z,50.9,,57.9,34,,,54
2017-12-10T00:42:25.637Z,49.9,,57.2,29,,,54
2017-12-10T00:42:35.641Z,48.8,,57.8,30,,,54
2017-12-10T00:42:45.657Z,47.5,,58,29,,,54
2017-12-10T00:42:55.643Z,46.3,,58.1,,,,54
2017-12-10T00:43:05.641Z,45.5,,58.3,,,,54
2017-12-10T00:43:15.641Z,44.4,,58.4,,,,54
2017-12-10T00:43:25.645Z,43.4,,58.5,,,,54
2017-12-10T00:43:35.640Z,42.6,,58.7,,,,54
2017-12-10T00:43:45.639Z,41.8,,58.8,,,,54
2017-12-10T00:43:55.641Z,40.9,,58.9,30,,,54
2017-12-10T00:44:05.639Z,40.4,,59,,,,54
2017-12-10T00:44:15.643Z,39.7,,59.1,,,,54
2017-12-10T00:44:25.637Z,39.2,,59.3,31,,,54
2017-12-10T00:44:35.643Z,38.7,,59.5,,,,54
2017-12-10T00:44:45.641Z,38.3,,59.6,32,,,54
2017-12-10T00:44:55.636Z,37.9,,59.7,,,,54
2017-12-10T00:45:05.636Z,37.5,,59.8,31,,,54
2017-12-10T00:45:15.651Z,37.2,,59.9,32,,,54
2017-12-10T00:45:25.644Z,36.8,,60,31,,,54
2017-12-10T00:45:35.641Z,36.6,,60.1,32,,,54
2017-12-10T00:45:45.648Z,36.3,,,,,,54
2017-12-10T00:45:55.640Z,36.1,,60.2,,,,54
2017-12-10T00:46:05.642Z,35.8,,60.4,31,,,54
2017-12-10T00:46:15.647Z,35.5,,,,,,54
2017-12-10T00:46:25.642Z,35.5,,60.5,,,,54
2017-12-10T00:46:35.638Z,35.4,,,32,,,54
2017-12-10T00:46:45.639Z,35.2,,60.6,,,,54
2017-12-10T00:46:55.643Z,34.9,,,31,,,54
2017-12-10T00:47:05.645Z,34.6,,60.7,32,,,54
2017-12-10T00:47:15.645Z,34.4,,,,,,54
2017-12-10T00:47:25.641Z,34.2,,,31,,,54
2017-12-10T00:47:35.654Z,34.1,,,32,,,54
2017-12-10T00:47:45.638Z,33.9,,60.8,31,,,54
2017-12-10T00:47:55.640Z,33.8,,,32,,,54
2017-12-10T00:48:05.647Z,33.9,,,,,,54
2017-12-10T00:48:15.641Z,33.8,,60.9,31,,,54
2017-12-10T00:48:25.641Z,33.8,,,,,,54
2017-12-10T00:48:35.641Z,33.8,,,32,,,54
2017-12-10T00:48:45.643Z,33.6,,61.1,31,,,54
2017-12-10T00:48:55.639Z,33.6,,60.9,,,,54
2017-12-10T00:49:05.641Z,33.5,,,,,,54
2017-12-10T00:49:15.640Z,33.3,,,30,,,54
2017-12-10T00:49:25.646Z,33.4,0,60.9,30,2,61,54
2017-12-10T00:49:35.645Z,33.3,,,,,,54
2017-12-10T00:49:45.643Z,33.2,,61.1,,,,54
2017-12-10T00:49:55.645Z,33.1,,60.9,,,,54
2017-12-10T00:50:05.648Z,32.9,,60.9,,,,54
2017-12-10T00:50:15.647Z,32.9,,60.9,,,,54
2017-12-10T00:50:25.640Z,32.9,,60.9,29,,,54
2017-12-10T00:50:35.641Z,32.9,,61.1,30,,,54
