Time,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive,ActPow
2018-02-14T00:48:38.859Z,54,14.2,,,,,
2018-02-14T00:48:48.861Z,54,14.3,,54.1,,,
2018-02-14T00:48:58.938Z,54,14.3,,,,,
2018-02-14T00:49:08.946Z,54,14.3,,54.3,,,
2018-02-14T00:49:19.137Z,54,14.3,,54.4,,,
2018-02-14T00:49:29.100Z,54,14.3,,,,,
2018-02-14T00:49:43.986Z,54,14.3,,,,,30
2018-02-14T00:49:48.951Z,54,14.3,,54.5,,,
2018-02-14T00:49:58.896Z,54,14.5,,,,,29
2018-02-14T00:50:08.861Z,54,14.3,,54.6,,,
2018-02-14T00:50:18.988Z,54,14.3,,,,,
2018-02-14T00:50:28.856Z,54,14.3,,54.7,,,
2018-02-14T00:50:38.862Z,54,14.3,,54.6,1,0,0
2018-02-14T00:50:54.013Z,54,13.9,,51.9,,,
2018-02-14T00:50:58.911Z,54,13.4,,50.7,,,
2018-02-14T00:51:09.089Z,54,12.9,,50.2,,,
2018-02-14T00:51:18.958Z,54,12.9,,49.3,,,
2018-02-14T00:51:28.895Z,54,12.8,,48.6,,,
2018-02-14T00:51:38.942Z,54,12.6,,48.1,,,
2018-02-14T00:51:48.962Z,54,12.5,,47.7,,,
2018-02-14T00:51:58.878Z,54,12.6,,47.1,,,
2018-02-14T00:52:09.055Z,54,12.5,,46.7,,,
2018-02-14T00:52:19.179Z,54,12.5,,46.4,,,
2018-02-14T00:52:28.861Z,54,12.5,,46,,,
2018-02-14T00:52:38.920Z,54,12.3,,45.8,,,
2018-02-14T00:52:48.865Z,54,12.3,,45.5,,,
2018-02-14T00:53:04.441Z,54,12.2,,45.3,,,
2018-02-14T00:53:08.872Z,54,12.2,,45.1,,,
2018-02-14T00:53:18.963Z,54,12.2,,44.9,,,
2018-02-14T00:53:28.881Z,54,12.2,,44.7,,,
2018-02-14T00:53:38.903Z,54,12,,44.5,,,
2018-02-14T00:53:48.910Z,54,11.4,,,,,
2018-02-14T00:53:58.875Z,54,13.1,,44.4,,,
2018-02-14T00:54:08.865Z,54,12,,,,,
2018-02-14T00:54:19.116Z,54,10.9,,,,,
2018-02-14T00:54:28.887Z,54,10.5,,,,,
2018-02-14T00:54:38.903Z,54,10.3,,,,,
2018-02-14T00:54:49.137Z,54,10.1,,,,,
2018-02-14T00:54:58.870Z,54,10,,44.5,,,
2018-02-14T00:55:09.044Z,54,9.8,,,,,
2018-02-14T00:55:19.115Z,54,9.8,,44.6,,,
2018-02-14T00:55:28.905Z,54,9.8,,,,,
2018-02-14T00:55:38.871Z,54,9.6,,44.7,,,
2018-02-14T00:55:48.884Z,54,9.6,,44.8,,,
2018-02-14T00:55:59.064Z,54,9.6,,,,,
2018-02-14T00:56:08.875Z,54,9.4,,,,,
2018-02-14T00:56:18.968Z,54,9.4,,,,,
2018-02-14T00:56:29.016Z,54,9.4,,44.9,,,
2018-02-14T00:56:38.864Z,54,9.2,,,,,
2018-02-14T00:56:48.938Z,54,9.2,,,,,
2018-02-14T00:56:58.865Z,54,9.2,,,,,
2018-02-14T00:57:08.955Z,54,9.2,,,,,
2018-02-14T00:57:18.989Z,54,9.2,,,,,
2018-02-14T00:57:28.871Z,54,9.4,,48.2,1,0,39
2018-02-14T00:57:44.001Z,54,10.5,,49.8,,,29
2018-02-14T00:57:48.972Z,54,11.8,,48.3,,,
2018-02-14T00:57:58.951Z,54,12.3,,49.4,,,
2018-02-14T00:58:08.987Z,54,12.9,,49.8,,,
2018-02-14T00:58:19.000Z,54,13.2,,,,,
2018-02-14T00:58:28.893Z,54,13.4,,50,,,
2018-02-14T00:58:38.870Z,54,13.6,,,,,
2018-02-14T00:58:48.872Z,54,13.6,,50.1,,,
2018-02-14T00:58:58.877Z,54,13.6,,,,,
2018-02-14T00:59:08.877Z,54,13.6,,50.2,,,
2018-02-14T00:59:19.032Z,54,13.6,,50.4,,,
2018-02-14T00:59:28.893Z,54,13.6,,50.5,,,
2018-02-14T00:59:39.029Z,54,13.7,,50.6,,,
2018-02-14T00:59:48.872Z,54,13.7,,50.7,,,
2018-02-14T00:59:58.920Z,54,13.7,,50.9,,,
