Time,PrimTSet,ActPow,HwActive,PrimT,HwTSet,ChActive,HwTOutlet
2018-01-03T00:43:26.346Z,,,,48,54,,30.9
2018-01-03T00:43:36.333Z,,,,48.1,54,,31
2018-01-03T00:43:46.339Z,,,,,54,,31.2
2018-01-03T00:43:56.336Z,,,,,54,,31.3
2018-01-03T00:44:06.332Z,,,,48.2,54,,31.4
2018-01-03T00:44:16.340Z,,,,,54,,31.5
2018-01-03T00:44:26.337Z,,30,,,54,,31.6
2018-01-03T00:44:36.333Z,,29,,48.1,,,
2018-01-03T00:44:46.342Z,,,,48.2,54,,31.9
2018-01-03T00:44:56.337Z,,,,,54,,31.9
2018-01-03T00:45:06.333Z,,,,,54,,31.9
2018-01-03T00:45:16.339Z,,,,48.3,54,,31.9
2018-01-03T00:45:26.361Z,,30,,,54,,31.8
2018-01-03T00:45:36.335Z,,29,,48.4,54,,31.9
2018-01-03T00:45:56.343Z,,,,48.5,54,,32
2018-01-03T00:46:06.346Z,,,,48.6,54,,32
2018-01-03T00:46:26.352Z,,,,48.7,54,,32.1
2018-01-03T00:46:36.339Z,,,,,54,,32.1
2018-01-03T00:46:46.349Z,,,,48.8,54,,32.2
2018-01-03T00:46:56.335Z,,,,48.9,54,,32.3
2018-01-03T00:47:06.547Z,,,,,54,,32.3
2018-01-03T00:47:16.334Z,,,,,54,,32.4
2018-01-03T00:47:26.362Z,,,,49,54,,32.4
2018-01-03T00:47:36.341Z,,30,,49.1,54,,32.5
2018-01-03T00:47:46.359Z,,,,49.2,54,,32.6
2018-01-03T00:47:56.337Z,,29,,,,,
2018-01-03T00:48:06.344Z,,,,49.3,54,,32.7
2018-01-03T00:48:16.335Z,,,,,54,,32.7
2018-01-03T00:48:26.336Z,,,,49.4,54,,32.8
2018-01-03T00:48:36.335Z,,,,,54,,32.8
2018-01-03T00:48:46.338Z,,,,49.5,54,,32.9
2018-01-03T00:48:56.335Z,,,,49.6,54,,32.9
2018-01-03T00:49:06.336Z,,,,49.7,54,,33.1
2018-01-03T00:49:16.337Z,,,,,54,,33.1
2018-01-03T00:49:26.349Z,,0,0,48,54,2,33.2
2018-01-03T00:49:36.339Z,,,,46.4,,,
2018-01-03T00:49:46.338Z,,,,45.8,54,,33.2
2018-01-03T00:49:56.340Z,,,,45,54,,33.1
2018-01-03T00:50:06.352Z,,,,44.4,,,
2018-01-03T00:50:16.343Z,,,,,54,,32.8
2018-01-03T00:50:26.348Z,,,,43.5,54,,32.7
2018-01-03T00:50:36.340Z,,,,43.1,54,,32.6
2018-01-03T00:50:46.337Z,,,,42.8,54,,32.5
2018-01-03T00:50:56.337Z,,,,42.3,54,,32.4
2018-01-03T00:51:06.339Z,,,,42.1,54,,32.3
2018-01-03T00:51:16.337Z,,,,41.8,,,
2018-01-03T00:51:26.346Z,,,,41.6,54,,32.2
2018-01-03T00:51:36.338Z,,,,41.4,54,,32.1
2018-01-03T00:51:46.339Z,,,,,54,,32
2018-01-03T00:51:56.339Z,,,,41.1,54,,31.9
2018-01-03T00:52:06.337Z,,,,40.9,54,,31.8
2018-01-03T00:52:16.337Z,,,,,54,,31.6
2018-01-03T00:52:26.338Z,,,,40.7,54,,31.5
2018-01-03T00:52:36.337Z,,,,,54,,31.4
2018-01-03T00:52:56.341Z,,,,,54,,31.4
2018-01-03T00:53:06.339Z,,,,,54,,31.4
2018-01-03T00:53:16.341Z,,,,,54,,31.4
2018-01-03T00:53:26.341Z,,,,40.6,,,
2018-01-03T00:53:36.338Z,,,,,54,,31.2
2018-01-03T00:53:46.338Z,,,,,54,,30.7
2018-01-03T00:53:56.341Z,,,,,54,,30.3
2018-01-03T00:54:16.340Z,,,,,54,,29.6
2018-01-03T00:54:26.340Z,,,,,54,,29.2
2018-01-03T00:54:36.341Z,,,,,54,,29
