Time,HwActive,HwTOutlet,PrimTSet,ActPow,PrimT,ChActive,HwTSet
2017-11-03T00:30:37.984Z,,32.2,,,60.8,,54
2017-11-03T00:30:47.985Z,,32.1,,,59.6,,54
2017-11-03T00:30:57.988Z,,31.9,,,58.7,,54
2017-11-03T00:31:07.987Z,,31.8,,,57.9,,54
2017-11-03T00:31:17.986Z,,31.8,,,56.9,,54
2017-11-03T00:31:27.988Z,,31.9,,,56.5,,54
2017-11-03T00:31:37.988Z,,31.8,,,55.9,,54
2017-11-03T00:31:47.985Z,,32,,,55.3,,54
2017-11-03T00:31:57.985Z,,31.9,,,54.8,,54
2017-11-03T00:32:07.991Z,,31.9,,,54.4,,54
2017-11-03T00:32:17.993Z,,31.9,,,53.9,,54
2017-11-03T00:32:27.986Z,,31.8,,,53.4,,54
2017-11-03T00:32:37.988Z,0,31.5,,42,56.1,2,54
2017-11-03T00:32:47.985Z,,31.6,,34,57.6,,54
2017-11-03T00:32:57.989Z,,31.4,,29,58,,54
2017-11-03T00:33:07.982Z,,31.3,,,59,,54
2017-11-03T00:33:17.982Z,,31.4,,,59.7,,54
2017-11-03T00:33:27.982Z,,31.4,,30,60.4,,54
2017-11-03T00:33:37.990Z,,31.5,,29,61.2,,54
2017-11-03T00:33:47.983Z,,31.8,,30,62,,54
2017-11-03T00:33:57.994Z,,31.9,,29,62.4,,54
2017-11-03T00:34:07.987Z,,32,,,63.1,,54
2017-11-03T00:34:17.985Z,,32.1,,30,63.3,,54
2017-11-03T00:34:27.984Z,,32,,29,63.6,,54
2017-11-03T00:34:37.986Z,,32.1,,,64,,54
2017-11-03T00:34:47.984Z,,32.1,,30,64.4,,54
2017-11-03T00:34:57.990Z,,32.2,,,64.6,,54
2017-11-03T00:35:07.998Z,,32.2,,29,64.8,,54
2017-11-03T00:35:17.987Z,0,32.3,,0,62.7,2,54
2017-11-03T00:35:27.986Z,,32.3,,,61.8,,54
2017-11-03T00:35:37.998Z,,32.2,,,60.8,,54
2017-11-03T00:35:47.997Z,,31.9,,,59.7,,54
2017-11-03T00:35:58.002Z,,31.9,,,58.7,,54
2017-11-03T00:36:07.996Z,,32,,,57.9,,54
2017-11-03T00:36:17.986Z,,32,,,56.9,,54
2017-11-03T00:36:27.984Z,,31.8,,,56.5,,54
2017-11-03T00:36:38.001Z,,32,,,55.9,,54
2017-11-03T00:36:47.985Z,,31.9,,,55.3,,54
2017-11-03T00:36:57.987Z,,31.5,,,54.8,,54
2017-11-03T00:37:07.985Z,,31.6,,,54.4,,54
2017-11-03T00:37:17.987Z,,31.8,,,53.9,,54
2017-11-03T00:37:27.987Z,,31.6,,,53.4,,54
2017-11-03T00:37:38.009Z,0,31.5,,41,56.1,2,54
2017-11-03T00:37:47.987Z,,31.4,,33,57.6,,54
2017-11-03T00:37:57.992Z,,31.3,,30,58,,54
2017-11-03T00:38:07.989Z,,31.2,,29,59,,54
2017-11-03T00:38:17.989Z,,31.2,,,59.7,,54
2017-11-03T00:38:27.988Z,,31.3,,,60.4,,54
2017-11-03T00:38:37.994Z,,31.5,,,61.2,,54
2017-11-03T00:38:47.989Z,,31.6,,30,62,,54
2017-11-03T00:38:57.989Z,,31.9,,29,62.4,,54
2017-11-03T00:39:07.988Z,,32,,29,62.9,,54
2017-11-03T00:39:17.989Z,,32.1,,30,63.3,,54
2017-11-03T00:39:27.998Z,,32,,29,63.6,,54
