Time,HwTOutlet,HwActive,PrimTSet,ActPow,HwTSet,ChActive,PrimT
2018-01-07T00:41:39.639Z,25.3,,,,54,,45.6
2018-01-07T00:41:49.631Z,25.4,,,,54,,45.7
2018-01-07T00:41:59.633Z,25.5,,,,54,,45.8
2018-01-07T00:42:09.641Z,25.5,,,,54,,45.9
2018-01-07T00:42:19.632Z,,,,,,,46
2018-01-07T00:42:29.632Z,25.7,,,,54,,46.1
2018-01-07T00:42:39.635Z,25.9,,,,54,,46.3
2018-01-07T00:42:59.644Z,26,,,,54,,46.5
2018-01-07T00:43:09.643Z,26.1,,,,54,,
2018-01-07T00:43:19.639Z,26.2,,,,54,,46.7
2018-01-07T00:43:29.633Z,,,,,,,46.8
2018-01-07T00:43:39.633Z,26.3,,,,54,,46.9
2018-01-07T00:43:49.634Z,26.5,,,29,54,,47
2018-01-07T00:43:59.632Z,26.6,,,,54,,47.1
2018-01-07T00:44:09.634Z,26.7,,,,54,,
2018-01-07T00:44:19.636Z,26.8,,,,54,,47.3
2018-01-07T00:44:39.641Z,27.1,,,,54,,47.6
2018-01-07T00:44:49.632Z,27.1,,,,54,,
2018-01-07T00:44:59.639Z,27.2,,,,54,,47.7
2018-01-07T00:45:09.636Z,27.2,,,,54,,47.8
2018-01-07T00:45:19.644Z,27.3,,,,54,,47.9
2018-01-07T00:45:29.635Z,27.4,,,,54,,48
2018-01-07T00:45:39.634Z,,0,,0,,2,46.8
2018-01-07T00:45:49.636Z,27.4,,,,54,,44.7
2018-01-07T00:45:59.636Z,27.4,,,,54,,43.9
2018-01-07T00:46:09.636Z,,,,,,,43.1
2018-01-07T00:46:19.636Z,27.2,,,,54,,42.3
2018-01-07T00:46:29.636Z,27.1,,,,54,,41.8
2018-01-07T00:46:39.634Z,26.8,,,,54,,41.3
2018-01-07T00:46:49.637Z,26.7,,,,54,,
2018-01-07T00:46:59.640Z,,,,,,,40.5
2018-01-07T00:47:09.639Z,26.6,,,,54,,40.2
2018-01-07T00:47:19.640Z,26.5,,,,54,,39.9
2018-01-07T00:47:29.634Z,26.2,,,,54,,39.6
2018-01-07T00:47:39.635Z,26.1,,,,54,,39.4
2018-01-07T00:47:49.635Z,,,,,,,39.2
2018-01-07T00:47:59.641Z,25.9,,,,54,,38.9
2018-01-07T00:48:09.633Z,25.7,,,,54,,38.7
2018-01-07T00:48:19.637Z,25.6,,,,54,,
2018-01-07T00:48:29.634Z,25.6,,,,54,,38.3
2018-01-07T00:48:39.635Z,25.4,,,,54,,38.2
2018-01-07T00:48:49.639Z,25.4,,,,54,,
2018-01-07T00:48:59.644Z,25.3,,,,54,,38.2
2018-01-07T00:49:19.638Z,25.4,,,,54,,
2018-01-07T00:49:29.636Z,25.3,,,,54,,
2018-01-07T00:49:49.646Z,24.5,,,,54,,
2018-01-07T00:50:09.640Z,24.2,,,,54,,38.2
2018-01-07T00:50:19.655Z,23.9,,,,54,,
2018-01-07T00:50:29.637Z,23.7,,,,54,,
2018-01-07T00:50:39.648Z,23.3,,,,54,,
2018-01-07T00:50:49.636Z,22.8,,,,54,,
2018-01-07T00:50:59.640Z,22.6,,,,54,,
2018-01-07T00:51:09.639Z,,,,,,,38.3
2018-01-07T00:51:19.638Z,22.2,,,,54,,
2018-01-07T00:51:29.642Z,22.1,,,,54,,
2018-01-07T00:51:39.640Z,,,,,,,38.4
2018-01-07T00:51:49.642Z,21.7,,,,54,,
2018-01-07T00:51:59.640Z,21.6,,,,54,,
2018-01-07T00:52:09.643Z,,,,,,,38.6
2018-01-07T00:52:19.651Z,21.2,,,,54,,
2018-01-07T00:52:39.644Z,21.1,,,,54,,38.7
2018-01-07T00:52:49.643Z,20.9,,,,54,,
2018-01-07T00:52:59.645Z,20.9,,,,54,,
