Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T00:29:03.043Z,54,,,,,29,
2017-12-30T00:29:13.036Z,54,,,,,29,35.3
2017-12-30T00:29:23.036Z,54,,,,,28.9,
2017-12-30T00:29:33.038Z,54,,,,,28.7,
2017-12-30T00:29:43.038Z,54,,,,,28.7,
2017-12-30T00:29:53.040Z,54,,,,,28.6,
2017-12-30T00:30:03.037Z,54,,,,,28.6,
2017-12-30T00:30:13.040Z,54,,,,,28.5,
2017-12-30T00:30:23.038Z,54,,,,,28.5,35.2
2017-12-30T00:30:33.042Z,54,,,,,28.4,
2017-12-30T00:30:43.040Z,54,,,,,28.4,
2017-12-30T00:30:53.041Z,54,,,,,28.4,
2017-12-30T00:31:03.042Z,54,,,,,28.3,
2017-12-30T00:31:18.145Z,54,,,,,28.3,
2017-12-30T00:31:23.039Z,54,,,,,28.1,
2017-12-30T00:31:33.046Z,54,,,,,28.1,35.1
2017-12-30T00:31:43.038Z,54,,,,,28,
2017-12-30T00:31:53.040Z,54,,,,,28,
2017-12-30T00:32:03.038Z,54,,,,,27.9,
2017-12-30T00:32:13.036Z,54,,,,,27.9,
2017-12-30T00:32:23.041Z,54,,,,,27.9,
2017-12-30T00:32:33.036Z,54,,,,,27.8,35.1
2017-12-30T00:32:43.047Z,54,,0,2,44,27.8,36.2
2017-12-30T00:32:53.048Z,54,,,,34,27.7,40.1
2017-12-30T00:33:03.042Z,54,,,,29,27.7,38.9
2017-12-30T00:33:13.037Z,54,,,,,27.5,38.2
2017-12-30T00:33:23.044Z,54,,,,,27.5,39.1
2017-12-30T00:33:33.037Z,54,,,,,27.5,39.2
2017-12-30T00:33:43.038Z,54,,,,,27.5,39.1
2017-12-30T00:33:53.045Z,54,,,,,27.7,39.2
2017-12-30T00:34:03.046Z,54,,,,,27.7,39.1
2017-12-30T00:34:13.038Z,54,,,,,27.8,
2017-12-30T00:34:23.041Z,54,,,,30,28,39.2
2017-12-30T00:34:33.038Z,54,,,,29,28.3,
2017-12-30T00:34:43.043Z,54,,,,,28.4,
2017-12-30T00:34:53.040Z,54,,,,,28.6,39.3
2017-12-30T00:35:03.038Z,54,,,,,28.7,39.4
2017-12-30T00:35:13.040Z,54,,,,30,28.9,
2017-12-30T00:35:23.039Z,54,,,,29,29,39.2
2017-12-30T00:35:33.039Z,54,,,,,29.1,39.1
2017-12-30T00:35:43.039Z,54,,,,,29.2,
2017-12-30T00:35:53.039Z,54,,,,,29.3,39.2
2017-12-30T00:36:03.042Z,54,,,,,29.3,39.3
2017-12-30T00:36:13.046Z,54,,,,,29.3,
2017-12-30T00:36:23.044Z,54,,,,,29.5,39.4
2017-12-30T00:36:33.045Z,54,,,,,29.5,39.5
2017-12-30T00:36:43.043Z,54,,,,,29.5,39.6
2017-12-30T00:36:53.082Z,54,,,,,29.6,39.7
2017-12-30T00:37:03.046Z,54,,,,,29.6,39.8
2017-12-30T00:37:13.043Z,54,,,,,29.6,40
2017-12-30T00:37:23.052Z,54,,,,,29.7,40.1
2017-12-30T00:37:33.046Z,54,,,,,29.7,40.2
2017-12-30T00:37:43.177Z,54,,,,,29.8,40.3
2017-12-30T00:37:53.049Z,54,,,,,29.8,40.4
2017-12-30T00:38:03.047Z,54,,,,,30,40.5
2017-12-30T00:38:13.050Z,54,,,,,30,40.7
2017-12-30T00:38:23.045Z,54,,,,,30.1,40.8
2017-12-30T00:38:33.050Z,54,,,,29,30.1,41
2017-12-30T00:38:43.044Z,54,,,,,30.2,
2017-12-30T00:38:53.047Z,54,,,,,30.3,41.1
2017-12-30T00:39:03.053Z,54,,,,,30.3,41.2
2017-12-30T00:39:13.044Z,54,,,,,30.4,41.3
2017-12-30T00:39:23.046Z,54,,,,,30.6,41.4
2017-12-30T00:39:33.045Z,54,,,,,30.6,41.5
2017-12-30T00:39:43.044Z,54,,,,,30.7,41.6
2017-12-30T00:39:53.051Z,54,,,,,30.8,41.8
2017-12-30T00:40:03.046Z,54,,,,,30.9,42
2017-12-30T00:40:13.044Z,54,,,,30,30.9,
2017-12-30T00:40:23.046Z,54,,,,29,31,42.1
2017-12-30T00:40:33.046Z,54,,,,,31.2,42.2
2017-12-30T00:40:43.047Z,54,,,,,31.2,42.3
2017-12-30T00:40:53.052Z,54,,,,,31.3,42.4
2017-12-30T00:41:03.053Z,54,,,,,31.4,42.6
2017-12-30T00:41:13.054Z,54,,,,,31.5,42.7
2017-12-30T00:41:23.048Z,54,,,,30,31.6,42.8
2017-12-30T00:41:33.042Z,54,,0,2,0,31.6,41.9
2017-12-30T00:41:43.056Z,54,,,,,31.8,39.9
2017-12-30T00:41:53.050Z,54,,,,,31.9,39.7
2017-12-30T00:42:03.051Z,54,,,,,32,38.9
2017-12-30T00:42:13.056Z,54,,,,,32,37.9
2017-12-30T00:42:23.043Z,54,,,,,32.1,37.8
2017-12-30T00:42:33.159Z,54,,,,,32.2,36.9
2017-12-30T00:42:43.052Z,54,,,,,32.2,
2017-12-30T00:42:53.047Z,54,,,,,32.2,36.5
2017-12-30T00:43:03.046Z,54,,,,,32.2,36.2
2017-12-30T00:43:13.043Z,54,,,,,32.2,35.9
2017-12-30T00:43:23.043Z,54,,,,,32.2,35.7
2017-12-30T00:43:33.043Z,54,,,,,32.2,35.4
2017-12-30T00:43:43.044Z,54,,,,,32.2,35.2
2017-12-30T00:43:53.048Z,54,,,,,32.2,34.9
2017-12-30T00:44:03.045Z,54,,,,,32.2,34.8
2017-12-30T00:44:13.046Z,54,,,,,32.1,34.7
2017-12-30T00:44:23.043Z,54,,,,,32.1,34.5
2017-12-30T00:44:33.046Z,54,,,,,32.1,34.4
2017-12-30T00:44:43.044Z,54,,,,,32,
2017-12-30T00:44:53.048Z,54,,,,,32,
2017-12-30T00:45:03.043Z,54,,,,,32,34.3
2017-12-30T00:45:13.049Z,54,,,,,31.9,34.4
