Time,PrimT,PrimTSet,ActPow,HwTSet,ChActive,HwTOutlet,HwActive
2017-12-18T01:14:26.214Z,,,,54,,24.2,
2017-12-18T01:14:36.210Z,,,,54,,24,
2017-12-18T01:14:46.210Z,,,,54,,24,
2017-12-18T01:14:56.217Z,,,,54,,24,
2017-12-18T01:15:06.310Z,,,,54,,24,
2017-12-18T01:15:16.224Z,,,,54,,24,
2017-12-18T01:15:26.213Z,,,,54,,23.9,
2017-12-18T01:15:36.211Z,,,,54,,23.9,
2017-12-18T01:15:46.217Z,,,,54,,23.9,
2017-12-18T01:15:56.211Z,32.1,,,54,,23.9,
2017-12-18T01:16:06.312Z,,,,54,,23.9,
2017-12-18T01:16:16.225Z,,,,54,,23.8,
2017-12-18T01:16:26.215Z,,,,54,,23.8,
2017-12-18T01:16:36.212Z,,,,54,,23.8,
2017-12-18T01:16:46.220Z,,,,54,,23.8,
2017-12-18T01:16:56.213Z,,,,54,,23.7,
2017-12-18T01:17:06.313Z,,,,54,,23.7,
2017-12-18T01:17:16.216Z,,,,54,,23.7,
2017-12-18T01:17:26.212Z,,,,54,,23.7,
2017-12-18T01:17:36.222Z,,,,54,,23.7,
2017-12-18T01:17:46.214Z,,,,54,,23.7,
2017-12-18T01:17:56.214Z,33.2,,44,54,1,23.6,0
2017-12-18T01:18:06.307Z,37.2,,35,54,,23.6,
2017-12-18T01:18:16.223Z,35.8,,29,54,,23.6,
2017-12-18T01:18:26.214Z,35.4,,30,54,,23.6,
2017-12-18T01:18:36.217Z,36,,29,54,,23.6,
2017-12-18T01:18:46.215Z,36.2,,,54,,23.6,
2017-12-18T01:18:56.214Z,36.1,,,54,,23.7,
2017-12-18T01:19:06.315Z,36.2,,,54,,23.8,
2017-12-18T01:19:16.215Z,36.1,,30,54,,23.9,
2017-12-18T01:19:26.215Z,36.2,,29,54,,24.2,
2017-12-18T01:19:36.215Z,36.3,,,54,,24.4,
2017-12-18T01:19:46.218Z,36.4,,,54,,24.7,
2017-12-18T01:19:56.216Z,,,,54,,24.9,
2017-12-18T01:20:06.305Z,36.6,,,54,,25.1,
2017-12-18T01:20:16.218Z,,,,54,,25.3,
2017-12-18T01:20:26.214Z,36.7,,,54,,25.4,
2017-12-18T01:20:36.216Z,,,,54,,25.6,
2017-12-18T01:20:46.219Z,36.8,,,54,,25.6,
2017-12-18T01:20:56.213Z,,,,54,,25.7,
2017-12-18T01:21:06.313Z,37.1,,,54,,25.9,
2017-12-18T01:21:16.221Z,,,,54,,26,
2017-12-18T01:21:26.217Z,37.3,,,54,,26,
2017-12-18T01:21:36.217Z,37.4,,,54,,26.1,
2017-12-18T01:21:46.218Z,37.5,,,54,,26.1,
2017-12-18T01:21:56.221Z,37.7,,,54,,26.2,
2017-12-18T01:22:06.304Z,37.8,,,54,,26.2,
2017-12-18T01:22:16.224Z,38,,,54,,26.3,
2017-12-18T01:22:26.218Z,38.1,,,54,,26.3,
