Time,ActPow,PrimTSet,ChActive,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-07T00:31:23.106Z,,,,,54,51.9,60.5
2018-02-07T00:31:33.087Z,,,,,54,51.9,58.9
2018-02-07T00:31:43.083Z,,,,,54,51.9,58.3
2018-02-07T00:31:53.088Z,,,,,54,51.9,57.6
2018-02-07T00:32:03.078Z,,,,,54,51.9,56.9
2018-02-07T00:32:13.100Z,,,,,54,51.8,56.3
2018-02-07T00:32:23.114Z,,,,,54,51.8,55.7
2018-02-07T00:32:33.159Z,,,,,54,51.7,55.3
2018-02-07T00:32:43.113Z,,,,,54,51.6,54.8
2018-02-07T00:32:53.127Z,39,,1,0,54,51.5,58.2
2018-02-07T00:33:03.113Z,29,,,,54,51.4,58.9
2018-02-07T00:33:13.123Z,,,,,54,51.3,59.1
2018-02-07T00:33:23.094Z,,,,,54,51.2,60.2
2018-02-07T00:33:33.085Z,,,,,54,51.1,60.7
2018-02-07T00:33:43.082Z,,,,,54,51,61.3
2018-02-07T00:33:53.079Z,,,,,54,51,61.8
2018-02-07T00:34:03.082Z,,,,,54,50.9,62
2018-02-07T00:34:13.101Z,,,,,54,50.9,62.4
2018-02-07T00:34:23.086Z,,,,,54,50.9,62.6
2018-02-07T00:34:33.126Z,30,,,,54,50.9,62.8
2018-02-07T00:34:43.080Z,29,,,,54,50.9,62.9
2018-02-07T00:34:53.086Z,,,,,54,50.9,63.1
2018-02-07T00:35:03.126Z,30,,,,54,50.9,63.2
2018-02-07T00:35:13.082Z,29,,,,54,50.9,63.3
2018-02-07T00:35:23.087Z,,,,,54,51,63.4
2018-02-07T00:35:33.113Z,30,,,,54,51,63.5
2018-02-07T00:35:43.164Z,29,,,,54,51,
2018-02-07T00:35:53.249Z,,,,,54,51,63.6
2018-02-07T00:36:03.095Z,,,,,54,51,63.8
2018-02-07T00:36:13.087Z,,,,,54,51,
2018-02-07T00:36:23.097Z,,,,,54,51,63.9
2018-02-07T00:36:33.084Z,30,,,,54,51.1,
2018-02-07T00:36:43.107Z,,,,,54,51.1,64
2018-02-07T00:36:53.095Z,29,,,,54,51.1,64
2018-02-07T00:37:03.088Z,,,,,54,51.1,
2018-02-07T00:37:13.089Z,,,,,54,51.1,
2018-02-07T00:37:23.089Z,,,,,54,51.1,64.1
2018-02-07T00:37:33.097Z,,,,,54,51.1,
2018-02-07T00:37:43.082Z,,,,,54,51.2,
2018-02-07T00:37:53.127Z,30,,,,54,51.2,
2018-02-07T00:38:03.090Z,,,,,54,51.2,64.2
2018-02-07T00:38:13.085Z,29,,,,54,51.2,64.1
2018-02-07T00:38:23.130Z,,,,,54,51.2,64.2
2018-02-07T00:38:33.100Z,,,,,54,51.2,
2018-02-07T00:38:43.100Z,,,,,54,51.2,
2018-02-07T00:38:53.108Z,,,,,54,51.2,
2018-02-07T00:39:03.091Z,,,,,54,51.3,64.4
2018-02-07T00:39:13.085Z,,,,,54,51.3,
2018-02-07T00:39:23.162Z,,,,,54,51.3,
2018-02-07T00:39:33.108Z,,,,,54,51.3,
2018-02-07T00:39:43.091Z,30,,,,54,51.3,64.5
2018-02-07T00:39:53.117Z,29,,,,54,51.3,
2018-02-07T00:40:03.108Z,,,,,54,51.4,
2018-02-07T00:40:13.142Z,,,,,54,51.4,
2018-02-07T00:40:23.112Z,,,,,54,51.4,64.6
2018-02-07T00:40:33.082Z,,,,,54,51.4,
2018-02-07T00:40:43.083Z,,,,,54,51.4,
