Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T00:40:18.624Z,39.7,,,28.7,,,54
2018-01-29T00:40:28.619Z,,,,28.7,,,54
2018-01-29T00:40:38.761Z,40,,,28.9,,,54
2018-01-29T00:40:48.620Z,40.1,,,29,,,54
2018-01-29T00:40:58.628Z,40.3,,,29.1,,,54
2018-01-29T00:41:08.663Z,40.4,,,29.2,,,54
2018-01-29T00:41:18.639Z,40.6,,,29.2,,,54
2018-01-29T00:41:28.629Z,40.7,,,29.3,30,,54
2018-01-29T00:41:38.720Z,40.9,,,29.3,29,,54
2018-01-29T00:41:48.629Z,41.1,,,29.5,,,54
2018-01-29T00:41:58.639Z,41.2,,,29.5,,,54
2018-01-29T00:42:08.628Z,41.4,,,29.6,30,,54
2018-01-29T00:42:18.633Z,41.5,,,29.7,29,,54
2018-01-29T00:42:29.819Z,41.6,,,29.7,,,54
2018-01-29T00:42:38.733Z,41.8,,,29.8,,,54
2018-01-29T00:42:48.819Z,42,,,30,,,54
2018-01-29T00:42:58.621Z,42.1,,,30,,,54
2018-01-29T00:43:08.670Z,42.3,,,30.1,,,54
2018-01-29T00:43:18.630Z,42.4,,,30.2,,,54
2018-01-29T00:43:28.625Z,42.7,,,30.3,,,54
2018-01-29T00:43:38.721Z,42.8,,,30.3,,,54
2018-01-29T00:43:48.627Z,43,,,30.4,,,54
2018-01-29T00:43:58.652Z,43.1,,,30.6,,,54
2018-01-29T00:44:08.693Z,43.3,,,30.7,,,54
2018-01-29T00:44:18.626Z,43.4,,,30.8,,,54
2018-01-29T00:44:28.630Z,43.6,,,30.9,,,54
2018-01-29T00:44:38.737Z,43.7,,,31,,,54
2018-01-29T00:44:48.661Z,43.9,,,31.2,,,54
2018-01-29T00:44:58.629Z,44,,,31.3,,,54
2018-01-29T00:45:08.630Z,44.1,,,31.4,,,54
2018-01-29T00:45:18.622Z,44.3,,,31.5,,,54
2018-01-29T00:45:28.624Z,44.4,,,31.6,,,54
2018-01-29T00:45:38.734Z,44.6,,,31.8,0,,54
2018-01-29T00:45:48.628Z,42.9,,0,31.9,,2,54
2018-01-29T00:45:58.665Z,40.9,,,32,,,54
2018-01-29T00:46:08.626Z,40.2,,,32.2,,,54
2018-01-29T00:46:18.624Z,39.7,,,32.3,,,54
2018-01-29T00:46:28.635Z,38.9,,,32.4,,,54
2018-01-29T00:46:38.760Z,38.5,,,32.5,,,54
2018-01-29T00:46:48.657Z,37.9,,,32.5,,,54
2018-01-29T00:46:58.632Z,37.6,,,32.6,,,54
2018-01-29T00:47:08.624Z,37.3,,,32.6,,,54
2018-01-29T00:47:18.638Z,36.9,,,32.7,,,54
2018-01-29T00:47:28.639Z,36.6,,,32.7,,,54
2018-01-29T00:47:38.765Z,36.3,,,32.8,,,54
2018-01-29T00:47:48.629Z,36.1,,,32.8,,,54
2018-01-29T00:47:58.668Z,35.9,,,32.8,,,54
2018-01-29T00:48:08.633Z,35.8,,,32.8,,,54
2018-01-29T00:48:18.656Z,35.6,,,32.8,,,54
2018-01-29T00:48:28.654Z,35.5,,,32.8,,,54
2018-01-29T00:48:38.784Z,35.3,,,32.8,,,54
2018-01-29T00:48:48.623Z,,,,32.8,,,54
2018-01-29T00:48:58.640Z,,,,32.8,,,54
2018-01-29T00:49:08.627Z,,,,32.8,,,54
2018-01-29T00:49:18.636Z,35.3,61,0,32.8,0,2,54
2018-01-29T00:49:28.623Z,,,,32.8,,,54
2018-01-29T00:49:38.817Z,,,,32.8,,,54
2018-01-29T00:49:48.645Z,35.2,,,32.8,,,54
2018-01-29T00:49:58.697Z,,,,32.8,,,54
2018-01-29T00:50:08.650Z,,,,32.8,,,54
2018-01-29T00:50:18.632Z,,,,32.8,,,54
2018-01-29T00:50:28.644Z,,,,32.8,,,54
2018-01-29T00:50:38.746Z,,,,32.8,,,54
2018-01-29T00:50:48.631Z,,,,32.8,,,54
2018-01-29T00:50:58.631Z,,,,32.8,,,54
2018-01-29T00:51:08.633Z,,,,32.8,,,54
2018-01-29T00:51:18.630Z,,,,32.8,,,54
2018-01-29T00:51:28.625Z,35.3,,,32.8,,,54
2018-01-29T00:51:38.750Z,35.2,,,32.7,,,54
2018-01-29T00:51:48.634Z,35.3,,,32.7,,,54
2018-01-29T00:51:58.626Z,,,,32.7,,,54
2018-01-29T00:52:08.635Z,,,,32.7,,,54
2018-01-29T00:52:18.628Z,35.4,,,32.7,,,54
2018-01-29T00:52:28.657Z,,,,32.6,,,54
2018-01-29T00:52:38.830Z,,,,32.6,,,54
2018-01-29T00:52:48.624Z,35.5,,,32.6,,,54
2018-01-29T00:52:58.663Z,,,,32.5,,,54
2018-01-29T00:53:08.631Z,,,,32.5,,,54
2018-01-29T00:53:18.630Z,35.6,,,32.5,,,54
2018-01-29T00:53:28.627Z,,,,32.4,,,54
2018-01-29T00:53:38.752Z,,,,32.4,,,54
2018-01-29T00:53:48.633Z,,,,32.4,,,54
2018-01-29T00:53:58.631Z,35.7,,,32.3,,,54
2018-01-29T00:54:08.634Z,,,,32.3,,,54
2018-01-29T00:54:18.644Z,,,,32.2,,,54
2018-01-29T00:54:28.674Z,,,,32.2,,,54
2018-01-29T00:54:38.753Z,,,,32.1,,,54
2018-01-29T00:54:48.690Z,,,,32.1,,,54
2018-01-29T00:54:58.679Z,,,,32.1,,,54
2018-01-29T00:55:08.659Z,35.8,,,32,,,54
2018-01-29T00:55:18.649Z,,,,32,,,54
2018-01-29T00:55:28.684Z,,,,31.9,,,54
2018-01-29T00:55:38.763Z,,,,31.9,,,54
2018-01-29T00:55:48.649Z,,,,31.9,,,54
2018-01-29T00:55:58.635Z,,,,31.8,,,54
2018-01-29T00:56:08.643Z,,,,31.6,,,54
2018-01-29T00:56:18.645Z,,,,31.6,,,54
