Time,ActPow,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive
2017-11-30T00:48:35.378Z,,54,51.9,,,,
2017-11-30T00:48:45.383Z,,54,51.9,,,,
2017-11-30T00:48:55.379Z,,54,52,,,,
2017-11-30T00:49:05.377Z,,54,52,,63.6,,
2017-11-30T00:49:15.378Z,,54,52,,,,
2017-11-30T00:49:25.382Z,30,54,52.1,,,,
2017-11-30T00:49:35.380Z,29,54,52.1,,,,
2017-11-30T00:49:45.380Z,,54,52.2,,,,
2017-11-30T00:49:55.383Z,,54,52.2,,63.8,,
2017-11-30T00:50:05.386Z,30,54,52.2,,,,
2017-11-30T00:50:15.376Z,29,54,52.3,,,,
2017-11-30T00:50:25.382Z,,54,52.3,,,,
2017-11-30T00:50:35.377Z,,54,52.3,,63.9,,
2017-11-30T00:50:45.396Z,30,54,52.3,,,,
2017-11-30T00:50:55.381Z,29,54,52.3,,,,
2017-11-30T00:51:05.384Z,30,54,52.4,,,,
2017-11-30T00:51:15.378Z,29,54,52.3,,,,
2017-11-30T00:51:25.387Z,30,54,52.3,,64,,
2017-11-30T00:51:35.381Z,29,54,52.4,,,,
2017-11-30T00:51:45.381Z,,54,52.4,,,,
2017-11-30T00:51:55.382Z,30,54,52.4,,,,
2017-11-30T00:52:05.382Z,,54,52.4,,64.1,,
2017-11-30T00:52:15.384Z,29,54,52.4,,,,
2017-11-30T00:52:25.382Z,,54,52.4,,,,
2017-11-30T00:52:35.380Z,,54,52.4,,,,
2017-11-30T00:52:45.385Z,,54,52.4,,,,
2017-11-30T00:52:55.377Z,,54,52.5,,64.2,,
2017-11-30T00:53:05.377Z,,54,52.4,,,,
2017-11-30T00:53:15.383Z,,54,52.5,,,,
2017-11-30T00:53:25.382Z,,54,52.5,,,,
2017-11-30T00:53:35.382Z,,54,52.5,,,,
2017-11-30T00:53:45.391Z,,54,52.5,,64.4,,
2017-11-30T00:53:55.377Z,,54,52.5,,,,
2017-11-30T00:54:05.382Z,,54,52.6,,,,
2017-11-30T00:54:15.383Z,,54,52.6,,,,
2017-11-30T00:54:25.385Z,30,54,52.6,,,,
2017-11-30T00:54:35.381Z,29,54,52.7,,64.5,,
2017-11-30T00:54:45.393Z,,54,52.7,,,,
2017-11-30T00:54:55.378Z,,54,52.7,,,,
2017-11-30T00:55:05.381Z,,54,52.9,,,,
2017-11-30T00:55:15.387Z,,54,52.9,,,,
2017-11-30T00:55:25.378Z,30,54,52.9,,,,
2017-11-30T00:55:35.379Z,,54,52.9,,64.6,,
2017-11-30T00:55:45.389Z,,54,53,,,,
2017-11-30T00:55:55.382Z,29,54,53,,,,
2017-11-30T00:56:05.383Z,,54,53,,,,
2017-11-30T00:56:15.381Z,,54,53,,,,
2017-11-30T00:56:25.413Z,,54,53,,,,
2017-11-30T00:56:35.381Z,,54,53,,64.7,,
2017-11-30T00:56:45.379Z,,54,53,,,,
2017-11-30T00:56:55.383Z,,54,53,,,,
2017-11-30T00:57:05.384Z,0,54,53,,63.6,1,0
2017-11-30T00:57:15.388Z,,54,53,,61.8,,
2017-11-30T00:57:25.381Z,,54,52.9,,60.8,,
2017-11-30T00:57:35.392Z,,54,52.9,,59.9,,
2017-11-30T00:57:45.387Z,,54,53,,58.9,,
2017-11-30T00:57:55.381Z,,54,53,,57.9,,
2017-11-30T00:58:05.381Z,,54,53,,57.7,,
2017-11-30T00:58:15.394Z,,54,53,,56.9,,
2017-11-30T00:58:25.387Z,,54,52.9,,56.4,,
2017-11-30T00:58:35.385Z,,54,52.9,,55.9,,
2017-11-30T00:58:45.386Z,,54,52.9,,55.4,,
2017-11-30T00:58:55.389Z,,54,52.7,,54.9,,
2017-11-30T00:59:05.385Z,,54,52.7,,54.6,,
2017-11-30T00:59:15.382Z,,54,52.7,,53.9,,
2017-11-30T00:59:25.395Z,,54,52.6,,53.8,,
2017-11-30T00:59:35.386Z,,54,52.5,,53.4,,
2017-11-30T00:59:45.386Z,,54,52.4,,52.9,,
2017-11-30T00:59:55.381Z,,54,52.3,,52.8,,
2017-11-30T01:00:05.383Z,,54,52.1,,52.4,,
2017-11-30T01:00:15.385Z,,54,52,,,,
2017-11-30T01:00:25.383Z,,54,51.9,,,,
2017-11-30T01:00:35.382Z,,54,51.8,,,,
2017-11-30T01:00:45.404Z,,54,51.6,,52.3,,
2017-11-30T01:00:55.384Z,,54,51.5,,,,
2017-11-30T01:01:05.382Z,,54,51.4,,,,
2017-11-30T01:01:15.388Z,,54,51.3,,52.2,,
2017-11-30T01:01:25.419Z,,54,51.2,,,,
2017-11-30T01:01:35.384Z,,54,51.1,,,,
2017-11-30T01:01:45.384Z,,54,51.1,,,,
2017-11-30T01:01:55.392Z,,54,51,,,,
2017-11-30T01:02:05.390Z,,54,50.9,,,,
2017-11-30T01:02:15.385Z,,54,50.8,,,,
2017-11-30T01:02:25.384Z,,54,50.7,,,,
2017-11-30T01:02:35.385Z,,54,50.5,,,,
2017-11-30T01:02:45.424Z,45,54,50.4,,53,1,0
2017-11-30T01:02:55.398Z,34,54,50.3,,58,,
2017-11-30T01:03:05.395Z,30,54,50.1,,56.9,,
2017-11-30T01:03:15.386Z,,54,50,,56.3,,
2017-11-30T01:03:25.388Z,29,54,49.9,,58,,
2017-11-30T01:03:35.390Z,,54,49.8,,57.9,,
2017-11-30T01:03:45.440Z,,54,49.7,,58,,
2017-11-30T01:03:55.418Z,,54,49.6,,58.1,,
2017-11-30T01:04:05.383Z,,54,49.4,,58,,
2017-11-30T01:04:15.434Z,,54,49.4,,,,
2017-11-30T01:04:25.417Z,,54,49.3,,,,
2017-11-30T01:04:35.419Z,,54,49.3,,,,
2017-11-30T01:04:45.458Z,,54,49.3,,58.1,,
2017-11-30T01:04:55.413Z,,54,49.2,,58.2,,
2017-11-30T01:05:05.417Z,,54,49.2,,,,
2017-11-30T01:05:15.437Z,30,54,49.2,,58.3,,
2017-11-30T01:05:25.447Z,,54,49.1,,58.4,,
