Time,HwActive,PrimT,HwTSet,ChActive,PrimTSet,HwTOutlet,ActPow
2018-02-01T00:24:31.112Z,,,54,,,27.9,
2018-02-01T00:24:41.166Z,,,54,,,27.8,
2018-02-01T00:24:51.220Z,,,54,,,27.7,
2018-02-01T00:25:01.168Z,,,54,,,27.8,
2018-02-01T00:25:11.112Z,,,54,,,27.5,
2018-02-01T00:25:21.129Z,,,54,,,27.5,
2018-02-01T00:25:31.160Z,,,54,,,27.4,30
2018-02-01T00:25:41.111Z,,,54,,,27.7,29
2018-02-01T00:25:51.241Z,,,54,,,27.9,
2018-02-01T00:26:01.126Z,,64.7,54,,,27.8,
2018-02-01T00:26:11.111Z,,64.6,54,,,27.8,
2018-02-01T00:26:21.153Z,,64.7,54,,,27.8,
2018-02-01T00:26:31.145Z,,,54,,,27.7,
2018-02-01T00:26:41.113Z,,,54,,,27.7,
2018-02-01T00:26:51.230Z,,,54,,,27.9,
2018-02-01T00:27:01.171Z,,,54,,,27.9,
2018-02-01T00:27:11.137Z,,,54,,,27.8,
2018-02-01T00:27:21.113Z,,,54,,,27.8,
2018-02-01T00:27:31.143Z,,,54,,,27.5,
2018-02-01T00:27:41.119Z,,,54,,,27.5,
2018-02-01T00:27:51.244Z,,64.8,54,,,27.8,
2018-02-01T00:28:01.135Z,,,54,,,27.8,
2018-02-01T00:28:11.122Z,,,54,,,27.5,
2018-02-01T00:28:21.123Z,,,54,,,27.7,
2018-02-01T00:28:31.141Z,,,54,,,27.9,
2018-02-01T00:28:41.114Z,,,54,,,27.7,
2018-02-01T00:28:51.229Z,,,54,,,27.5,
2018-02-01T00:29:01.184Z,,,54,,,27.4,
2018-02-01T00:29:11.121Z,,,54,,,27.5,
2018-02-01T00:29:21.154Z,,64.9,54,,,27.7,30
2018-02-01T00:29:31.119Z,,,54,,,27.8,29
2018-02-01T00:29:41.122Z,,,54,,,27.7,
2018-02-01T00:29:51.222Z,,,54,,,27.8,
2018-02-01T00:30:01.192Z,,,54,,,27.8,
2018-02-01T00:30:11.119Z,,,54,,,27.7,
2018-02-01T00:30:21.131Z,,,54,,,27.7,30
2018-02-01T00:30:31.128Z,,,54,,,27.9,0
2018-02-01T00:30:41.118Z,0,62.2,54,2,,27.9,
2018-02-01T00:30:51.253Z,,61.1,54,,,27.7,
2018-02-01T00:31:01.118Z,,59.7,54,,,27.8,
2018-02-01T00:31:11.128Z,,58.9,54,,,27.7,
2018-02-01T00:31:21.172Z,0,58.3,54,0,5,27.4,
2018-02-01T00:31:31.198Z,,57.7,54,,,26.9,
2018-02-01T00:31:41.132Z,,57,54,,,26.6,
2018-02-01T00:31:51.217Z,,56.6,54,,,25.7,
2018-02-01T00:32:01.123Z,,56.2,54,,,25.5,
2018-02-01T00:32:11.132Z,,55.7,54,,,25.6,
2018-02-01T00:32:21.166Z,,55.3,54,,,25,
2018-02-01T00:32:31.136Z,,55,54,,,25.1,
2018-02-01T00:32:41.133Z,,54.7,54,,,24.8,
2018-02-01T00:32:51.230Z,,54.3,54,,,24.9,
2018-02-01T00:33:01.121Z,,53.9,54,,,24.7,
2018-02-01T00:33:11.121Z,,53.7,54,,,24.4,
2018-02-01T00:33:21.118Z,,53.4,54,,,24.4,
2018-02-01T00:33:31.139Z,,53.1,54,,,24,
2018-02-01T00:33:41.150Z,,52.9,54,,,24,
2018-02-01T00:33:51.227Z,,52.7,54,,,24,
2018-02-01T00:34:01.123Z,,52.3,54,,,24,
2018-02-01T00:34:11.147Z,,52.1,54,,,23.9,
2018-02-01T00:34:21.122Z,,52.1,54,,,23.8,
2018-02-01T00:34:31.118Z,,52,54,,,23.2,
2018-02-01T00:34:41.149Z,,,54,,,23.6,
2018-02-01T00:34:51.220Z,,,54,,,23.2,
2018-02-01T00:35:01.128Z,,52,54,,,22.8,
2018-02-01T00:35:11.122Z,,51.9,54,,,22.5,
2018-02-01T00:35:21.131Z,,52,54,,,22,
2018-02-01T00:35:31.123Z,,,54,,,21.6,
2018-02-01T00:35:41.174Z,,,54,,,21.3,
2018-02-01T00:35:51.218Z,,52.1,54,,,21.1,
2018-02-01T00:36:01.130Z,,,54,,,20.9,
2018-02-01T00:36:11.164Z,,,54,,,20.9,
2018-02-01T00:36:21.126Z,,52.2,54,,,20.8,
2018-02-01T00:36:31.126Z,,,54,,,20.6,
2018-02-01T00:36:41.186Z,,,54,,,20.5,
2018-02-01T00:36:51.226Z,,,54,,,20.4,
2018-02-01T00:37:01.128Z,,,54,,,20.2,
2018-02-01T00:37:11.133Z,,,54,,,20.1,
2018-02-01T00:37:21.120Z,,52.3,54,,,20.1,
2018-02-01T00:37:31.187Z,,,54,,,20,
2018-02-01T00:37:41.177Z,,,54,,,19.8,
2018-02-01T00:37:51.237Z,,,54,,,19.7,
2018-02-01T00:38:01.149Z,,,54,,,19.6,
2018-02-01T00:38:11.125Z,,,54,,,19.4,
2018-02-01T00:38:21.123Z,,52.2,54,,,19.2,
2018-02-01T00:38:31.128Z,,,54,,,19,
2018-02-01T00:38:41.130Z,,,54,,,18.8,
2018-02-01T00:38:51.276Z,,,54,,,18.5,
2018-02-01T00:39:01.126Z,,,54,,,18.4,
2018-02-01T00:39:11.131Z,,,54,,,18.2,
2018-02-01T00:39:21.123Z,,,54,,,17.9,
2018-02-01T00:39:31.133Z,,,54,,,17.8,
2018-02-01T00:39:41.160Z,,52.1,54,,,17.7,
2018-02-01T00:39:51.231Z,,,54,,,17.7,
2018-02-01T00:40:01.164Z,,,54,,,17.5,
2018-02-01T00:40:11.122Z,,,54,,,17.4,
2018-02-01T00:40:21.130Z,,,54,,,17.4,
2018-02-01T00:40:31.161Z,,,54,,,17.3,
2018-02-01T00:40:41.132Z,,52,54,,,17.3,
2018-02-01T00:40:51.237Z,,,54,,,17.3,
2018-02-01T00:41:01.132Z,,,54,,,17.1,
2018-02-01T00:41:11.169Z,,,54,,,17,
2018-02-01T00:41:21.122Z,,,54,,,17.1,
2018-02-01T00:41:31.130Z,,51.9,54,,,17,
2018-02-01T00:41:41.170Z,,,54,,,16.8,
2018-02-01T00:41:51.230Z,,,54,,,17,
2018-02-01T00:42:01.152Z,,,54,,,17,
2018-02-01T00:42:11.174Z,,,54,,,16.4,
2018-02-01T00:42:21.133Z,,51.8,54,,,16.4,
2018-02-01T00:42:31.149Z,,,54,,,16.7,
2018-02-01T00:42:41.124Z,,,54,,,16.7,
2018-02-01T00:42:51.230Z,,,54,,,16.7,
2018-02-01T00:43:01.181Z,,,54,,,16.7,
2018-02-01T00:43:11.162Z,,51.7,54,,,16.5,
2018-02-01T00:43:21.125Z,,,54,,,16.5,
2018-02-01T00:43:31.143Z,,,54,,,16.4,
2018-02-01T00:43:41.136Z,,,54,,,16.4,
2018-02-01T00:43:51.305Z,,,54,,,16.4,
2018-02-01T00:44:01.156Z,,51.6,54,,,16.4,
2018-02-01T00:44:11.123Z,,,54,,,16.2,
2018-02-01T00:44:21.126Z,,,54,,,16.2,
2018-02-01T00:44:31.146Z,,,54,,,16.2,
2018-02-01T00:44:41.133Z,,,54,,,16.1,
2018-02-01T00:44:51.227Z,,51.5,54,,,15.6,
2018-02-01T00:45:01.164Z,,,54,,,15.6,
2018-02-01T00:45:11.127Z,,,54,,,15.6,
2018-02-01T00:45:21.131Z,,,54,,,15.6,
2018-02-01T00:45:31.147Z,,,54,,,15.6,
