Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T00:23:52.748Z,,,,,54,,29.8
2017-12-26T00:24:02.749Z,,,,,54,,29.8
2017-12-26T00:24:12.753Z,,,,,54,,29.7
2017-12-26T00:24:22.748Z,,33.7,,,54,,29.6
2017-12-26T00:24:32.750Z,,,,,54,,29.6
2017-12-26T00:24:42.752Z,,,,,54,,29.5
2017-12-26T00:24:52.749Z,,,,,54,,29.5
2017-12-26T00:25:02.753Z,,33.8,,,54,,29.3
2017-12-26T00:25:12.750Z,,,,,54,,29.2
2017-12-26T00:25:22.753Z,,,,,54,,29.2
2017-12-26T00:25:32.756Z,,,,,54,,29.1
2017-12-26T00:25:42.747Z,,33.9,,,54,,29
2017-12-26T00:25:52.754Z,,,,,54,,29
2017-12-26T00:26:02.747Z,,,,,54,,28.9
2017-12-26T00:26:12.748Z,,,,,54,,28.9
2017-12-26T00:26:22.747Z,,,,,54,,28.7
2017-12-26T00:26:32.749Z,,,,,54,,28.6
2017-12-26T00:26:42.749Z,,,,,54,,28.6
2017-12-26T00:26:52.750Z,,,,,54,,28.5
2017-12-26T00:27:02.751Z,,,,,54,,28.5
2017-12-26T00:27:12.752Z,,,,,54,,28.4
2017-12-26T00:27:22.761Z,,,,,54,,28.3
2017-12-26T00:27:32.757Z,,,,,54,,28.3
2017-12-26T00:27:42.753Z,,,,,54,,28.1
2017-12-26T00:27:52.754Z,,,,,54,,28.1
2017-12-26T00:28:02.756Z,,,,,54,,28
2017-12-26T00:28:12.756Z,,,,,54,,28
2017-12-26T00:28:22.757Z,,,,,54,,27.9
2017-12-26T00:28:32.757Z,,,,,54,,27.8
2017-12-26T00:28:42.749Z,,,,,54,,27.8
2017-12-26T00:28:52.748Z,,,,,54,,27.8
2017-12-26T00:29:02.750Z,,,,,54,,27.7
2017-12-26T00:29:12.758Z,,33.8,,,54,,27.5
2017-12-26T00:29:22.747Z,,,,,54,,27.5
2017-12-26T00:29:32.757Z,,,,,54,,27.5
2017-12-26T00:29:42.762Z,,,,,54,,27.4
2017-12-26T00:29:52.748Z,,,,,54,,27.4
2017-12-26T00:30:02.749Z,,,,,54,,27.3
