Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T00:31:45.630Z,,,54,57.8,,,32
2017-11-11T00:31:55.643Z,,,54,56.9,,,32.2
2017-11-11T00:32:05.633Z,,,54,56.6,,,31.8
2017-11-11T00:32:15.720Z,,,54,55.9,,,32.1
2017-11-11T00:32:25.630Z,,,54,55.5,,,31.9
2017-11-11T00:32:35.631Z,,,54,55.1,,,31.9
2017-11-11T00:32:45.632Z,,,54,54.7,,,31.8
2017-11-11T00:32:55.644Z,,,54,54.4,,,31.8
2017-11-11T00:33:05.639Z,0,44,54,56,,2,31.6
2017-11-11T00:33:15.760Z,,35,54,58.3,,,31.4
2017-11-11T00:33:25.646Z,,29,54,58.4,,,31.2
2017-11-11T00:33:35.640Z,,,54,60,,,31.2
2017-11-11T00:33:45.634Z,,,54,60.5,,,31.4
2017-11-11T00:34:00.732Z,,,54,61.2,,,31.5
2017-11-11T00:34:05.633Z,,,54,62,,,31.8
2017-11-11T00:34:15.724Z,,,54,62.6,,,31.8
2017-11-11T00:34:25.633Z,,,54,63.2,,,31.9
2017-11-11T00:34:35.633Z,,30,54,63.6,,,31.9
2017-11-11T00:34:45.634Z,,29,54,64,,,32.1
2017-11-11T00:34:55.639Z,,,54,64.5,,,32
2017-11-11T00:35:05.634Z,,,54,64.8,,,32
2017-11-11T00:35:15.725Z,0,0,54,63.8,,2,32
2017-11-11T00:35:25.634Z,,,54,61.9,,,31.9
2017-11-11T00:35:35.635Z,,,54,60.9,,,32
2017-11-11T00:35:45.631Z,,,54,59.9,,,32
2017-11-11T00:35:55.634Z,,,54,58.9,,,31.9
2017-11-11T00:36:10.725Z,,,54,58.5,,,31.8
2017-11-11T00:36:15.725Z,,,54,57.8,,,31.6
2017-11-11T00:36:25.631Z,,,54,56.9,,,31.9
2017-11-11T00:36:35.636Z,,,54,56.6,,,31.8
2017-11-11T00:36:45.636Z,,,54,55.9,,,32
2017-11-11T00:36:55.634Z,,,54,55.6,,,32.1
2017-11-11T00:37:05.636Z,,,54,55.2,,,31.8
2017-11-11T00:37:15.727Z,,,54,54.8,,,31.9
2017-11-11T00:37:25.637Z,,,54,54.5,,,31.6
2017-11-11T00:37:35.634Z,,,54,54.1,,,31.6
2017-11-11T00:37:45.632Z,,,54,53.9,,,31.6
2017-11-11T00:37:55.637Z,,,54,53.6,,,31.5
2017-11-11T00:38:05.633Z,0,42,54,56,,2,31.4
2017-11-11T00:38:15.741Z,,32,54,58,,,31.5
2017-11-11T00:38:26.280Z,,29,54,58,,,31.2
2017-11-11T00:38:35.638Z,,,54,59.1,,,31
2017-11-11T00:38:45.636Z,,,54,60.1,,,31.2
2017-11-11T00:38:55.637Z,,,54,61.1,,,31.4
2017-11-11T00:39:05.639Z,,,54,61.6,,,31.5
2017-11-11T00:39:15.728Z,,30,54,62.2,,,31.6
2017-11-11T00:39:25.637Z,,29,54,63.1,,,31.5
2017-11-11T00:39:35.639Z,,,54,63.4,,,31.6
2017-11-11T00:39:45.638Z,,30,54,64,,,31.9
2017-11-11T00:39:55.648Z,,29,54,64.2,,,32
2017-11-11T00:40:05.640Z,,,54,64.6,,,32
2017-11-11T00:40:15.733Z,,29,54,65.1,,,31.9
2017-11-11T00:40:25.638Z,0,0,54,62.8,,2,31.9
2017-11-11T00:40:35.639Z,,,54,61.5,,,32
2017-11-11T00:40:45.636Z,,,54,60.2,,,31.9
2017-11-11T00:40:55.638Z,,,54,59.6,,,31.8
2017-11-11T00:41:05.635Z,,,54,58.8,,,31.8
2017-11-11T00:41:15.728Z,,,54,57.9,,,31.6
2017-11-11T00:41:25.635Z,,,54,57.3,,,31.8
2017-11-11T00:41:35.638Z,,,54,56.7,,,31.9
2017-11-11T00:41:45.638Z,,,54,56.2,,,32
2017-11-11T00:41:55.641Z,,,54,55.6,,,32
2017-11-11T00:42:05.640Z,,,54,55.2,,,32
2017-11-11T00:42:15.731Z,,,54,54.9,,,32
2017-11-11T00:42:25.642Z,,,54,54.5,,,31.5
2017-11-11T00:42:35.642Z,,,54,54.1,,,31.6
2017-11-11T00:42:45.637Z,,,54,53.8,,,31.5
2017-11-11T00:42:55.640Z,,,54,53.6,,,31.4
2017-11-11T00:43:05.638Z,0,44,54,55.2,,2,31.4
2017-11-11T00:43:15.735Z,,30,54,58,,,31.3
2017-11-11T00:43:25.645Z,,29,54,58,,,31.2
2017-11-11T00:43:35.638Z,,,54,59.3,,,30.9
2017-11-11T00:43:45.637Z,,30,54,60,,,31
2017-11-11T00:43:55.637Z,,29,54,61.1,,,31
2017-11-11T00:44:05.692Z,,,54,61.6,,,31
2017-11-11T00:44:15.690Z,,29,54,62.4,,,31.2
2017-11-11T00:44:25.639Z,,,54,63.1,,,31.3
