Time,ActPow,PrimT,HwTSet,HwTOutlet,PrimTSet,HwActive,ChActive
2017-11-07T00:17:01.306Z,,53.9,54,46.9,,,
2017-11-07T00:17:11.303Z,,53.8,54,46.8,,,
2017-11-07T00:17:21.308Z,45,54.3,54,46.7,,0,2
2017-11-07T00:17:31.306Z,37,57.1,54,46.7,,,
2017-11-07T00:17:41.310Z,30,57.7,54,46.6,,,
2017-11-07T00:17:51.302Z,29,59,54,46.5,,,
2017-11-07T00:18:01.301Z,,59.1,54,46.4,,,
2017-11-07T00:18:11.823Z,,60,54,46.4,,,
2017-11-07T00:18:21.312Z,,61.1,54,46.4,,,
2017-11-07T00:18:31.305Z,,61.4,54,46.4,,,
2017-11-07T00:18:41.303Z,,62,54,46.4,,,
2017-11-07T00:18:56.403Z,,62.5,54,46.5,,,
2017-11-07T00:19:01.305Z,,63.1,54,46.5,,,
2017-11-07T00:19:11.303Z,,63.4,54,46.6,,,
2017-11-07T00:19:21.303Z,29,64,54,46.6,,,
2017-11-07T00:19:31.307Z,,64.2,54,46.7,,,
2017-11-07T00:19:41.337Z,,64.6,54,46.8,,,
2017-11-07T00:19:51.310Z,0,64.8,54,46.9,,0,2
2017-11-07T00:20:01.302Z,,61.9,54,47,,,
2017-11-07T00:20:11.303Z,,61.8,54,47,,,
2017-11-07T00:20:21.320Z,,59.9,54,47.1,,,
2017-11-07T00:20:31.307Z,,58.9,54,47.2,,,
2017-11-07T00:20:41.306Z,,58.8,54,47.2,,,
2017-11-07T00:20:51.304Z,,57.9,54,47.2,,,
2017-11-07T00:21:01.306Z,,56.9,54,47.2,,,
2017-11-07T00:21:11.303Z,,56.5,54,47.2,,,
2017-11-07T00:21:21.310Z,,55.9,54,47.2,,,
2017-11-07T00:21:31.310Z,,54.9,54,47.1,,,
2017-11-07T00:21:41.309Z,,54.8,54,47,,,
2017-11-07T00:21:51.317Z,,54.4,54,47,,,
2017-11-07T00:22:01.308Z,,53.9,54,46.9,,,
2017-11-07T00:22:11.306Z,,53.6,54,46.8,,,
2017-11-07T00:22:21.316Z,45,54,54,46.8,,0,2
2017-11-07T00:22:31.307Z,38,57,54,46.7,,,
2017-11-07T00:22:41.310Z,30,57.7,54,46.6,,,
2017-11-07T00:22:51.315Z,29,59,54,46.5,,,
2017-11-07T00:23:01.313Z,,59.1,54,46.5,,,
2017-11-07T00:23:11.308Z,30,60,54,46.5,,,
2017-11-07T00:23:21.312Z,29,61.1,54,46.4,,,
2017-11-07T00:23:31.314Z,,61.4,54,46.5,,,
2017-11-07T00:23:41.308Z,,62.1,54,46.5,,,
2017-11-07T00:23:51.308Z,,63.1,54,46.5,,,
2017-11-07T00:24:01.305Z,,,54,46.5,,,
2017-11-07T00:24:11.306Z,,63.5,54,46.6,,,
2017-11-07T00:24:21.307Z,30,64,54,46.6,,,
2017-11-07T00:24:31.309Z,29,64.2,54,46.7,,,
2017-11-07T00:24:41.323Z,,64.6,54,46.8,,,
2017-11-07T00:24:51.309Z,0,64.9,54,46.9,,0,2
2017-11-07T00:25:01.309Z,,61.9,54,47,,,
2017-11-07T00:25:16.417Z,,61.8,54,47,,,
2017-11-07T00:25:21.313Z,,59.9,54,47.1,,,
2017-11-07T00:25:31.313Z,,58.9,54,47.1,,,
2017-11-07T00:25:41.312Z,,58.7,54,47.2,,,
2017-11-07T00:25:51.311Z,,57.9,54,47.2,,,
2017-11-07T00:26:01.306Z,,56.9,54,47.2,,,
2017-11-07T00:26:11.310Z,,56.5,54,47.1,,,
2017-11-07T00:26:21.311Z,,55.7,54,47.1,,,
2017-11-07T00:26:31.316Z,,54.9,54,47.1,,,
2017-11-07T00:26:41.307Z,,54.8,54,47,,,
2017-11-07T00:26:51.313Z,,53.9,54,46.9,,,
2017-11-07T00:27:01.308Z,,,54,46.9,,,
2017-11-07T00:27:11.314Z,,53.5,54,46.8,,,
2017-11-07T00:27:21.317Z,44,54,54,46.7,,0,2
2017-11-07T00:27:31.307Z,36,57.1,54,46.6,,,
2017-11-07T00:27:41.314Z,30,57.4,54,46.5,,,
2017-11-07T00:27:51.318Z,29,58,54,46.4,,,
2017-11-07T00:28:01.313Z,,59.1,54,46.3,,,
2017-11-07T00:28:11.310Z,,60,54,46.3,,,
2017-11-07T00:28:21.311Z,,61.1,54,46.3,,,
2017-11-07T00:28:31.312Z,30,61.3,54,46.3,,,
2017-11-07T00:28:41.312Z,29,62,54,46.3,,,
2017-11-07T00:28:51.824Z,,62.5,54,46.4,,,
2017-11-07T00:29:01.308Z,,63.1,54,46.4,,,
2017-11-07T00:29:11.311Z,,63.4,54,46.5,,,
2017-11-07T00:29:21.332Z,,64,54,46.5,,,
2017-11-07T00:29:31.310Z,30,64.2,54,46.6,,,
2017-11-07T00:29:41.315Z,,64.6,54,46.6,,,
2017-11-07T00:29:51.313Z,30,65.1,54,46.7,,,
2017-11-07T00:30:01.325Z,0,62.9,54,46.7,,0,2
2017-11-07T00:30:11.320Z,,61.9,54,46.8,,,
2017-11-07T00:30:21.312Z,,60.1,54,46.9,,,
2017-11-07T00:30:31.315Z,,58.9,54,46.9,,,
2017-11-07T00:30:41.310Z,,,54,47,,,
2017-11-07T00:30:51.309Z,,57.9,54,47,,,
2017-11-07T00:31:01.321Z,,56.9,54,47,,,
2017-11-07T00:31:11.317Z,,56.6,54,47,,,
2017-11-07T00:31:21.312Z,,55.9,54,47,,,
2017-11-07T00:31:31.317Z,,54.9,54,46.9,,,
2017-11-07T00:31:41.317Z,,54.8,54,46.9,,,
2017-11-07T00:31:51.313Z,,54.4,54,46.9,,,
2017-11-07T00:32:01.313Z,,53.9,54,46.8,,,
2017-11-07T00:32:11.320Z,,53.6,54,46.7,,,
2017-11-07T00:32:21.317Z,44,54.1,54,46.7,,0,2
2017-11-07T00:32:31.316Z,37,57.1,54,46.6,,,
2017-11-07T00:32:41.316Z,30,57.6,54,46.6,,,
2017-11-07T00:32:51.316Z,29,59,54,46.5,,,
2017-11-07T00:33:01.319Z,30,59.1,54,46.4,,,
2017-11-07T00:33:11.312Z,29,60,54,46.4,,,
2017-11-07T00:33:21.323Z,29,61.1,54,46.4,,,
2017-11-07T00:33:31.312Z,,61.4,54,46.4,,,
2017-11-07T00:33:41.313Z,,62.1,54,46.4,,,
2017-11-07T00:33:51.314Z,,63.1,54,46.4,,,
2017-11-07T00:34:01.319Z,,,54,46.4,,,
2017-11-07T00:34:11.315Z,,63.5,54,46.5,,,
2017-11-07T00:34:21.311Z,,64,54,46.6,,,
2017-11-07T00:34:31.322Z,,64.2,54,46.6,,,
2017-11-07T00:34:41.318Z,,64.6,54,46.7,,,
2017-11-07T00:34:51.320Z,0,64.9,54,46.8,,0,2
2017-11-07T00:35:01.316Z,,61.9,54,46.9,,,
2017-11-07T00:35:11.312Z,,61.8,54,46.9,,,
2017-11-07T00:35:21.319Z,,59.9,54,47,,,
2017-11-07T00:35:31.319Z,,58.9,54,47,,,
2017-11-07T00:35:41.329Z,,58.7,54,47,,,
2017-11-07T00:35:51.321Z,,57.9,54,47,,,
2017-11-07T00:36:01.326Z,,56.9,54,47,,,
2017-11-07T00:36:11.319Z,,55.9,54,47,,,
2017-11-07T00:36:21.323Z,,,54,47,,,
2017-11-07T00:36:31.314Z,,54.9,54,46.9,,,
2017-11-07T00:36:41.315Z,,54.8,54,46.9,,,
2017-11-07T00:36:51.317Z,,53.9,54,46.8,,,
2017-11-07T00:37:01.313Z,,,54,46.8,,,
2017-11-07T00:37:11.323Z,,53.5,54,46.7,,,
2017-11-07T00:37:21.324Z,44,54,54,46.6,,0,2
2017-11-07T00:37:31.325Z,37,57.1,54,46.5,,,
2017-11-07T00:37:41.321Z,30,57.6,54,46.4,,,
2017-11-07T00:37:51.320Z,29,58,54,46.4,,,
2017-11-07T00:38:01.314Z,30,59.1,54,46.3,,,
2017-11-07T00:38:11.320Z,29,60,54,46.3,,,
2017-11-07T00:38:21.321Z,30,61.1,54,46.3,,,
2017-11-07T00:38:31.316Z,29,61.3,54,46.3,,,
2017-11-07T00:38:41.315Z,,62,54,46.4,,,
2017-11-07T00:38:51.315Z,,62.6,54,46.4,,,
2017-11-07T00:39:01.317Z,,63.1,54,46.5,,,
2017-11-07T00:39:11.318Z,,63.5,54,46.5,,,
2017-11-07T00:39:21.316Z,,64,54,46.6,,,
2017-11-07T00:39:31.323Z,,64.2,54,46.7,,,
2017-11-07T00:39:41.322Z,,64.6,54,46.7,,,
2017-11-07T00:39:51.323Z,0,64.8,54,46.7,,0,2
2017-11-07T00:40:01.324Z,,62.9,54,46.8,,,
2017-11-07T00:40:11.317Z,,61.8,54,46.8,,,
2017-11-07T00:40:21.317Z,,59.9,54,46.8,,,
2017-11-07T00:40:31.327Z,,58.9,54,46.9,,,
2017-11-07T00:40:41.319Z,,58.8,54,46.9,,,
2017-11-07T00:40:51.317Z,,57.9,54,46.9,,,
2017-11-07T00:41:01.319Z,,56.9,54,46.9,,,
2017-11-07T00:41:11.322Z,,56.5,54,46.9,,,
2017-11-07T00:41:21.319Z,,55.7,54,46.9,,,
2017-11-07T00:41:31.317Z,,54.9,54,46.8,,,
2017-11-07T00:41:41.317Z,,54.8,54,46.7,,,
2017-11-07T00:41:51.318Z,,53.9,54,46.7,,,
2017-11-07T00:42:01.318Z,,,54,46.6,,,
2017-11-07T00:42:11.319Z,,53.5,54,46.6,,,
2017-11-07T00:42:21.322Z,44,54,54,46.5,,0,2
2017-11-07T00:42:31.324Z,36,57.1,54,46.5,,,
2017-11-07T00:42:41.326Z,29,57.4,54,46.4,,,
2017-11-07T00:42:51.321Z,,58,54,46.3,,,
2017-11-07T00:43:01.325Z,30,59.1,54,46.3,,,
2017-11-07T00:43:11.320Z,29,60,54,46.3,,,
2017-11-07T00:43:21.325Z,,61.1,54,46.3,,,
2017-11-07T00:43:31.319Z,,61.2,54,46.3,,,
2017-11-07T00:43:41.325Z,,62,54,46.3,,,
2017-11-07T00:43:51.327Z,,62.4,54,46.4,,,
2017-11-07T00:44:01.318Z,,63.1,54,46.4,,,
2017-11-07T00:44:11.318Z,,63.2,54,46.5,,,
2017-11-07T00:44:21.321Z,,63.6,54,46.5,,,
2017-11-07T00:44:31.329Z,,63.9,54,46.6,,,
2017-11-07T00:44:41.320Z,30,64.2,54,46.6,,,
2017-11-07T00:44:51.321Z,29,64.5,54,46.7,,,
2017-11-07T00:45:01.321Z,,64.7,54,46.7,,,
2017-11-07T00:45:11.322Z,0,65.1,54,46.8,,,
2017-11-07T00:45:21.323Z,,62.9,54,46.9,,0,2
2017-11-07T00:45:31.319Z,,61.8,54,46.9,,,
2017-11-07T00:45:41.327Z,,59.9,54,46.9,,,
2017-11-07T00:45:51.326Z,,58.9,54,47,,,
2017-11-07T00:46:01.320Z,,57.9,54,47,,,
2017-11-07T00:46:11.327Z,,57.7,54,47,,,
2017-11-07T00:46:21.327Z,,56.8,54,47,,,
2017-11-07T00:46:31.320Z,,55.9,54,47,,,
2017-11-07T00:46:41.327Z,,54.9,54,47,,,
2017-11-07T00:46:51.326Z,,54.8,54,46.9,,,
2017-11-07T00:47:01.321Z,,53.9,54,46.9,,,
2017-11-07T00:47:11.326Z,,53.7,54,46.9,,,
2017-11-07T00:47:21.324Z,44,53.1,54,46.8,,0,2
2017-11-07T00:47:31.320Z,34,57.1,54,46.7,,,
2017-11-07T00:47:41.325Z,29,57.3,54,46.6,,,
2017-11-07T00:47:51.327Z,,58,54,46.5,,,
2017-11-07T00:48:01.321Z,,59,54,46.5,,,
2017-11-07T00:48:11.327Z,,59.3,54,46.4,,,
2017-11-07T00:48:21.327Z,,60.1,54,46.4,,,
2017-11-07T00:48:31.327Z,,61.1,54,46.4,,,
2017-11-07T00:48:41.326Z,,61.2,54,46.5,,,
2017-11-07T00:48:51.326Z,29,62,54,46.5,,,
2017-11-07T00:49:01.331Z,,62.1,54,46.6,,,
2017-11-07T00:49:11.329Z,,62.5,54,46.6,,,
2017-11-07T00:49:26.419Z,,63.1,54,46.7,,,
2017-11-07T00:49:31.328Z,,63.2,54,46.7,,,
2017-11-07T00:49:41.326Z,,63.5,54,46.8,,,
2017-11-07T00:49:51.324Z,,63.8,54,46.9,,,
2017-11-07T00:50:01.329Z,,64,54,46.9,,,
2017-11-07T00:50:11.760Z,,64.1,54,46.9,,,
2017-11-07T00:50:21.327Z,,64.2,54,47,,,
2017-11-07T00:50:31.325Z,,64.5,54,47,,,
2017-11-07T00:50:41.329Z,,64.7,54,47,,,
2017-11-07T00:50:51.324Z,,64.8,54,47,,,
2017-11-07T00:51:01.325Z,0,64.9,54,47.1,,0,2
2017-11-07T00:51:11.326Z,,61.9,54,47.2,,,
2017-11-07T00:51:21.322Z,,60.9,54,47.2,,,
2017-11-07T00:51:31.324Z,,59.9,54,47.3,,,
2017-11-07T00:51:41.327Z,,58.9,54,47.3,,,
2017-11-07T00:51:51.331Z,,57.9,54,47.3,,,
2017-11-07T00:52:01.328Z,,56.9,54,47.3,,,
2017-11-07T00:52:11.326Z,,56.7,54,47.3,,,
2017-11-07T00:52:21.334Z,,55.9,54,47.2,,,
2017-11-07T00:52:31.331Z,,55.4,54,47.2,,,
2017-11-07T00:52:41.344Z,44,56,54,47.1,,0,2
2017-11-07T00:52:51.326Z,39,58,54,47.1,,,
2017-11-07T00:53:01.323Z,29,58.8,54,47,,,
2017-11-07T00:53:11.328Z,,60,54,46.9,,,
2017-11-07T00:53:21.324Z,,60.4,54,46.9,,,
2017-11-07T00:53:31.322Z,,61.1,54,46.9,,,
2017-11-07T00:53:41.331Z,30,62,54,46.9,,,
2017-11-07T00:53:51.325Z,,62.2,54,46.9,,,
2017-11-07T00:54:01.327Z,29,63.1,54,47,,,
2017-11-07T00:54:11.322Z,,63.4,54,47,,,
2017-11-07T00:54:21.326Z,30,64,54,47.1,,,
2017-11-07T00:54:31.332Z,29,64.2,54,47.2,,,
2017-11-07T00:54:41.327Z,,64.6,54,47.2,,,
2017-11-07T00:54:51.336Z,0,64.8,54,47.3,,0,2
2017-11-07T00:55:01.331Z,,62.8,54,47.3,,,
2017-11-07T00:55:11.324Z,,61.8,54,47.3,,,
2017-11-07T00:55:21.323Z,,59.9,54,47.4,,,
2017-11-07T00:55:31.326Z,,58.9,54,47.4,,,
2017-11-07T00:55:41.333Z,,58.8,54,47.4,,,
2017-11-07T00:55:51.324Z,,57.9,54,47.4,,,
2017-11-07T00:56:01.323Z,,56.9,54,47.4,,,
2017-11-07T00:56:11.324Z,,56.6,54,47.4,,,
2017-11-07T00:56:21.336Z,,55.9,54,47.4,,,
2017-11-07T00:56:31.327Z,0,55.5,54,47.3,61,0,2
2017-11-07T00:56:41.325Z,,54.9,54,47.3,,,
2017-11-07T00:56:51.324Z,,54.6,54,47.2,,,
2017-11-07T00:57:01.326Z,,53.9,54,47.1,,,
2017-11-07T00:57:11.327Z,,53.8,54,47.1,,,
2017-11-07T00:57:21.326Z,,53.5,54,47,,,
2017-11-07T00:57:31.328Z,,53.2,54,46.9,,,
2017-11-07T00:57:41.351Z,44,54.1,54,46.8,,0,2
2017-11-07T00:57:51.331Z,36,57.1,54,46.7,,,
2017-11-07T00:58:01.327Z,29,57.4,54,46.7,,,
2017-11-07T00:58:11.331Z,,58,54,46.6,,,
2017-11-07T00:58:21.328Z,,59.1,54,46.5,,,
2017-11-07T00:58:31.325Z,,60,54,46.5,,,
2017-11-07T00:58:41.332Z,,61.1,54,46.5,,,
2017-11-07T00:58:51.329Z,,61.3,54,46.5,,,
2017-11-07T00:59:01.326Z,,62,54,46.6,,,
2017-11-07T00:59:11.329Z,,62.5,54,46.6,,,
2017-11-07T00:59:21.328Z,,63.1,54,46.7,,,
2017-11-07T00:59:31.327Z,,63.3,54,46.8,,,
2017-11-07T00:59:41.332Z,30,64,54,46.8,,,
2017-11-07T00:59:51.330Z,29,64.1,54,46.9,,,
2017-11-07T01:00:01.330Z,,64.4,54,46.9,,,
2017-11-07T01:00:11.328Z,,64.6,54,46.9,,,
2017-11-07T01:00:21.330Z,0,64.9,54,47,,0,2
2017-11-07T01:00:31.332Z,,62.8,54,47,,,
2017-11-07T01:00:41.327Z,,61.8,54,47.1,,,
2017-11-07T01:00:51.331Z,,59.9,54,47.1,,,
2017-11-07T01:01:01.327Z,,58.9,54,47.1,,,
2017-11-07T01:01:11.337Z,,58.7,54,47.2,,,
2017-11-07T01:01:21.333Z,,57.8,54,47.2,,,
2017-11-07T01:01:31.328Z,,56.9,54,47.2,,,
2017-11-07T01:01:41.334Z,,55.9,54,47.1,,,
2017-11-07T01:01:51.338Z,,55.7,54,47.1,,,
2017-11-07T01:02:01.336Z,,54.9,54,47,,,
2017-11-07T01:02:11.328Z,,54.7,54,46.9,,,
2017-11-07T01:02:21.332Z,,53.9,54,46.9,,,
2017-11-07T01:02:31.333Z,,53.8,54,46.8,,,
2017-11-07T01:02:41.354Z,43,55.2,54,46.7,,0,2
2017-11-07T01:02:51.343Z,39,57,54,46.6,,,
2017-11-07T01:03:01.329Z,29,57.8,54,46.6,,,
2017-11-07T01:03:11.328Z,,59,54,46.5,,,
2017-11-07T01:03:21.333Z,,59.3,54,46.5,,,
2017-11-07T01:03:31.333Z,,60,54,46.4,,,
2017-11-07T01:03:41.340Z,30,61.1,54,46.4,,,
2017-11-07T01:03:51.333Z,29,61.4,54,46.4,,,
2017-11-07T01:04:01.328Z,,62,54,46.4,,,
2017-11-07T01:04:11.339Z,,62.5,54,46.5,,,
2017-11-07T01:04:21.330Z,,63.1,54,46.5,,,
2017-11-07T01:04:31.330Z,,63.5,54,46.6,,,
2017-11-07T01:04:41.340Z,,64,54,46.7,,,
2017-11-07T01:04:51.334Z,,64.2,54,46.8,,,
2017-11-07T01:05:01.333Z,,64.6,54,46.9,,,
2017-11-07T01:05:11.329Z,30,65.1,54,47,,,
2017-11-07T01:05:21.334Z,0,62.9,54,47.1,,0,2
2017-11-07T01:05:31.334Z,,61.9,54,47.1,,,
2017-11-07T01:05:41.335Z,,60.9,54,47.2,,,
2017-11-07T01:05:51.333Z,,59.9,54,47.2,,,
2017-11-07T01:06:01.336Z,,58.9,54,47.2,,,
2017-11-07T01:06:11.339Z,,57.9,54,47.2,,,
2017-11-07T01:06:21.337Z,,56.9,54,47.2,,,
2017-11-07T01:06:31.337Z,,56.7,54,47.2,,,
2017-11-07T01:06:41.337Z,,55.9,54,47.2,,,
2017-11-07T01:06:51.336Z,,55.4,54,47.1,,,
2017-11-07T01:07:01.337Z,,54.9,54,47.1,,,
2017-11-07T01:07:11.334Z,,54.5,54,47,,,
2017-11-07T01:07:21.330Z,,53.9,54,46.9,,,
2017-11-07T01:07:31.333Z,,53.7,54,46.8,,,
2017-11-07T01:07:41.344Z,43,55.1,54,46.7,,0,2
2017-11-07T01:07:51.333Z,37,57.1,54,46.7,,,
2017-11-07T01:08:01.330Z,29,57.7,54,46.6,,,
2017-11-07T01:08:11.340Z,,59,54,46.5,,,
2017-11-07T01:08:21.336Z,30,59.4,54,46.5,,,
2017-11-07T01:08:31.337Z,29,60,54,46.5,,,
2017-11-07T01:08:41.334Z,,61.1,54,46.4,,,
2017-11-07T01:08:51.338Z,,61.3,54,46.5,,,
2017-11-07T01:09:01.342Z,,62,54,46.5,,,
2017-11-07T01:09:11.340Z,,62.5,54,46.5,,,
2017-11-07T01:09:21.335Z,,63.1,54,46.6,,,
2017-11-07T01:09:31.340Z,,63.3,54,46.6,,,
2017-11-07T01:09:41.342Z,29,64,54,46.6,,,
2017-11-07T01:09:51.332Z,,64.1,54,46.7,,,
2017-11-07T01:10:01.332Z,30,64.4,54,46.8,,,
2017-11-07T01:10:11.333Z,29,64.7,54,46.8,,,
2017-11-07T01:10:21.344Z,0,63.9,54,46.9,,0,2
2017-11-07T01:10:31.333Z,,61.9,54,46.9,,,
2017-11-07T01:10:41.334Z,,60.9,54,47,,,
2017-11-07T01:10:51.341Z,,59.9,54,47.1,,,
2017-11-07T01:11:01.339Z,,58.9,54,47.1,,,
2017-11-07T01:11:11.336Z,,57.9,54,47.1,,,
2017-11-07T01:11:21.343Z,,56.9,54,47.2,,,
2017-11-07T01:11:31.336Z,,56.8,54,47.2,,,
2017-11-07T01:11:41.340Z,,55.9,54,47.1,,,
2017-11-07T01:11:51.338Z,,55.5,54,47.1,,,
2017-11-07T01:12:01.335Z,,54.9,54,47,,,
2017-11-07T01:12:11.333Z,,54.6,54,47,,,
2017-11-07T01:12:21.340Z,,53.9,54,46.9,,,
2017-11-07T01:12:31.347Z,,53.7,54,46.8,,,
2017-11-07T01:12:41.346Z,44,55.1,54,46.8,,0,2
2017-11-07T01:12:51.337Z,37,57.1,54,46.7,,,
2017-11-07T01:13:01.344Z,29,57.7,54,46.6,,,
2017-11-07T01:13:11.337Z,29,59,54,46.6,,,
2017-11-07T01:13:21.345Z,,59.3,54,46.5,,,
2017-11-07T01:13:31.338Z,,60,54,46.5,,,
2017-11-07T01:13:41.335Z,,61.1,54,46.5,,,
2017-11-07T01:13:51.339Z,,61.4,54,46.5,,,
2017-11-07T01:14:01.341Z,,62,54,46.6,,,
2017-11-07T01:14:11.338Z,30,62.5,54,46.6,,,
2017-11-07T01:14:21.344Z,29,63.1,54,46.6,,,
2017-11-07T01:14:31.339Z,,63.4,54,46.7,,,
2017-11-07T01:14:41.347Z,,64,54,46.7,,,
2017-11-07T01:14:51.339Z,,64.1,54,46.8,,,
2017-11-07T01:15:01.343Z,,64.5,54,46.8,,,
2017-11-07T01:15:11.339Z,,64.7,54,46.8,,,
