Time,HwTOutlet,ChActive,HwTSet,PrimT,PrimTSet,HwActive,ActPow
2017-11-15T00:37:03.963Z,29.2,,54,60.9,,,
2017-11-15T00:37:13.955Z,29.2,,54,59.7,,,
2017-11-15T00:37:23.956Z,29.3,,54,58.7,,,
2017-11-15T00:37:33.955Z,29.3,,54,57.8,,,
2017-11-15T00:37:43.957Z,29.1,,54,56.9,,,
2017-11-15T00:37:53.962Z,28.9,,54,56.4,,,
2017-11-15T00:38:03.959Z,28.6,,54,55.6,,,
2017-11-15T00:38:13.966Z,28.5,,54,54.9,,,
2017-11-15T00:38:23.953Z,29,,54,54.6,,,
2017-11-15T00:38:33.955Z,28.7,1,54,54.3,,0,44
2017-11-15T00:38:43.956Z,28.6,,54,58,,,36
2017-11-15T00:38:53.976Z,28.4,,54,58.1,,,29
2017-11-15T00:39:03.956Z,28.7,,54,59,,,
2017-11-15T00:39:13.960Z,28.6,,54,59.8,,,
2017-11-15T00:39:23.965Z,28.5,,54,60.4,,,29
2017-11-15T00:39:33.956Z,28.6,,54,61.1,,,
2017-11-15T00:39:43.959Z,28.6,,54,61.5,,,
2017-11-15T00:39:53.956Z,28.6,,54,62,,,
2017-11-15T00:40:03.954Z,28.7,,54,62.5,,,
2017-11-15T00:40:13.955Z,28.9,,54,62.8,,,
2017-11-15T00:40:23.955Z,28.9,,54,63.1,,,
2017-11-15T00:40:33.956Z,29,,54,63.4,,,
2017-11-15T00:40:43.954Z,29.1,,54,63.6,,,
2017-11-15T00:40:53.961Z,29.1,,54,63.8,,,
2017-11-15T00:41:03.960Z,29.3,,54,64,,,
2017-11-15T00:41:13.958Z,29.2,,54,64.1,,,
2017-11-15T00:41:23.955Z,29.3,,54,64.4,,,
2017-11-15T00:41:33.956Z,29.3,,54,64.5,,,30
2017-11-15T00:41:43.955Z,29.5,,54,64.6,,,29
2017-11-15T00:41:53.967Z,29.6,,54,64.8,,,
2017-11-15T00:42:03.959Z,29.6,,54,64.9,,,
2017-11-15T00:42:13.956Z,29.6,1,54,63.5,,0,0
2017-11-15T00:42:23.964Z,29.5,,54,61.8,,,
2017-11-15T00:42:33.963Z,29.3,,54,60.8,,,
2017-11-15T00:42:43.958Z,29.3,,54,59.5,,,
2017-11-15T00:42:53.967Z,29.2,,54,58.5,,,
2017-11-15T00:43:03.957Z,29.5,,54,57.7,,,
2017-11-15T00:43:13.965Z,29.5,,54,56.9,,,
2017-11-15T00:43:23.961Z,28.9,,54,56.2,,,
2017-11-15T00:43:33.969Z,28.5,,54,55.5,,,
2017-11-15T00:43:43.957Z,28.9,,54,54.9,,,
2017-11-15T00:43:53.983Z,28.7,1,54,58.1,,0,40
2017-11-15T00:44:03.959Z,29,,54,58.9,,,29
2017-11-15T00:44:13.968Z,29.1,,54,59,,,30
2017-11-15T00:44:23.959Z,28.9,,54,60.1,,,29
2017-11-15T00:44:33.975Z,28.9,,54,60.7,,,
2017-11-15T00:44:43.961Z,29.2,,54,61.3,,,
2017-11-15T00:44:53.969Z,29.3,,54,62,,,
2017-11-15T00:45:03.959Z,29.1,,54,62.5,,,
2017-11-15T00:45:13.966Z,29.1,,54,63.1,,,29
2017-11-15T00:45:23.957Z,29.1,,54,63.3,,,
2017-11-15T00:45:33.959Z,29.2,,54,63.6,,,
2017-11-15T00:45:43.961Z,29,,54,64,,,
2017-11-15T00:45:53.962Z,29,,54,64.2,,,
2017-11-15T00:46:03.962Z,29,,54,64.5,,,
2017-11-15T00:46:13.960Z,29,,54,64.7,,,
2017-11-15T00:46:23.958Z,29,,54,64.9,,,
2017-11-15T00:46:33.959Z,29.1,1,54,63.9,,0,0
2017-11-15T00:46:43.961Z,29.3,,54,61.8,,,
2017-11-15T00:46:53.965Z,29.1,,54,60.7,,,
2017-11-15T00:47:03.966Z,29,,54,59.6,,,
2017-11-15T00:47:13.968Z,29.3,,54,58.7,,,
2017-11-15T00:47:23.967Z,29.2,,54,57.8,,,
2017-11-15T00:47:33.968Z,28.7,,54,56.9,,,
2017-11-15T00:47:44.097Z,29.3,,54,56.5,,,
2017-11-15T00:47:53.960Z,29.6,,54,55.7,,,
2017-11-15T00:48:03.960Z,29.5,,54,55.3,,,
2017-11-15T00:48:13.961Z,29,,54,54.9,,,
2017-11-15T00:48:24.002Z,29.1,,54,54.4,,,
2017-11-15T00:48:33.969Z,29.1,,54,53.9,,,
2017-11-15T00:48:43.963Z,28.5,,54,53.6,,,
2017-11-15T00:48:53.988Z,28.4,1,54,57.1,,0,38
2017-11-15T00:49:03.961Z,28.3,,54,57.9,,,29
2017-11-15T00:49:13.962Z,28.1,,54,58.1,,,
2017-11-15T00:49:23.962Z,28.1,,54,59.5,,,
2017-11-15T00:49:33.962Z,28.4,,54,60,,,
2017-11-15T00:49:43.962Z,28.6,,54,61.1,,,29
2017-11-15T00:49:53.965Z,28.7,,54,61.4,,,
2017-11-15T00:50:03.963Z,28.7,,54,62,,,
2017-11-15T00:50:13.961Z,28.9,,54,62.5,,,
2017-11-15T00:50:23.963Z,29,,54,63.1,,,
2017-11-15T00:50:33.963Z,29,,54,63.3,,,
2017-11-15T00:50:43.962Z,29.1,,54,63.6,,,
2017-11-15T00:50:53.967Z,29.2,,54,64,,,
2017-11-15T00:51:03.966Z,29.1,,54,64.2,,,
2017-11-15T00:51:13.962Z,29.3,,54,64.5,,,
2017-11-15T00:51:23.964Z,29.3,,54,64.7,,,
2017-11-15T00:51:33.987Z,28.9,,54,64.8,,,
2017-11-15T00:51:43.965Z,28.7,1,54,63.8,,0,0
2017-11-15T00:51:53.962Z,29,,54,61.6,,,
2017-11-15T00:52:03.966Z,28.6,,54,60.9,,,
2017-11-15T00:52:13.966Z,28.7,,54,59.8,,,
2017-11-15T00:52:23.979Z,29.3,,54,58.7,,,
2017-11-15T00:52:33.965Z,29.5,,54,57.9,,,
2017-11-15T00:52:43.965Z,29.8,,54,56.9,,,
2017-11-15T00:52:53.966Z,29.6,,54,56.5,,,
2017-11-15T00:53:03.974Z,29.6,,54,55.7,,,
2017-11-15T00:53:13.966Z,29,,54,55.3,,,
2017-11-15T00:53:23.979Z,28.7,,54,54.8,,,
2017-11-15T00:53:33.973Z,28.7,,54,54.4,,,
2017-11-15T00:53:43.966Z,28.7,,54,53.9,,,
2017-11-15T00:53:53.986Z,28.3,1,54,57.2,,0,39
2017-11-15T00:54:03.966Z,27.9,,54,58.2,,,30
2017-11-15T00:54:13.966Z,28,,54,58.3,,,29
2017-11-15T00:54:23.966Z,28.5,,54,59.6,,,
2017-11-15T00:54:33.967Z,28.5,,54,60.1,,,
2017-11-15T00:54:43.967Z,28.9,,54,61.1,,,
2017-11-15T00:54:53.968Z,28.7,,54,61.5,,,
2017-11-15T00:55:03.973Z,28.7,,54,62.1,,,
2017-11-15T00:55:13.976Z,28.6,,54,62.7,,,
2017-11-15T00:55:23.972Z,28.5,,54,63.1,,,
2017-11-15T00:55:33.979Z,28.5,,54,63.5,,,
2017-11-15T00:55:49.063Z,28.6,,54,63.9,,,30
2017-11-15T00:55:53.978Z,28.6,,54,64.1,,,29
2017-11-15T00:56:03.974Z,28.9,,54,64.4,,,
2017-11-15T00:56:13.983Z,28.7,,54,64.7,,,30
2017-11-15T00:56:23.970Z,28.7,,54,64.9,,,
2017-11-15T00:56:33.972Z,28.6,1,54,63.8,,0,0
2017-11-15T00:56:43.975Z,28.7,,54,61.8,,,
2017-11-15T00:56:53.996Z,29,,54,60.7,,,
2017-11-15T00:57:04.040Z,29.1,,54,59.6,,,
2017-11-15T00:57:13.969Z,29.1,,54,58.7,,,
2017-11-15T00:57:23.968Z,29.1,,54,57.8,,,
2017-11-15T00:57:33.967Z,28.9,,54,56.9,,,
2017-11-15T00:57:43.972Z,29,,54,56.4,,,
2017-11-15T00:57:53.965Z,28.9,,54,55.9,,,
2017-11-15T00:58:03.972Z,28.6,,54,55.3,,,
2017-11-15T00:58:13.972Z,28.7,,54,54.8,,,
2017-11-15T00:58:23.967Z,28.4,,54,54.4,,,
2017-11-15T00:58:33.972Z,28.5,,54,53.9,,,
2017-11-15T00:58:43.971Z,28.7,,54,53.6,,,
