Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T00:32:32.905Z,,17.4,,,54,42,
2018-01-11T00:32:42.748Z,,17.9,,,54,42.1,
2018-01-11T00:32:52.757Z,,18.6,,,54,42.2,
2018-01-11T00:33:02.797Z,,18.9,30,,54,42.4,
2018-01-11T00:33:12.738Z,,19.3,29,,54,42.6,
2018-01-11T00:33:22.839Z,,19.7,,,54,42.7,
2018-01-11T00:33:32.897Z,,19.8,,,54,42.8,
2018-01-11T00:33:42.794Z,,20,29,,54,43,
2018-01-11T00:33:52.740Z,,20.1,30,,54,43.1,
2018-01-11T00:34:02.759Z,,20.4,29,,54,43.2,
2018-01-11T00:34:12.820Z,,20.5,,,54,43.3,
2018-01-11T00:34:22.759Z,,20.5,,,54,,
2018-01-11T00:34:33.019Z,,20.8,,,54,43.4,
2018-01-11T00:34:43.605Z,,20.9,,,54,43.5,
2018-01-11T00:34:52.777Z,,21.1,,,54,,
2018-01-11T00:35:02.769Z,,21.2,30,,54,43.6,
2018-01-11T00:35:13.602Z,,21.2,29,,54,43.7,
2018-01-11T00:35:22.770Z,,21.3,,,54,43.8,
2018-01-11T00:35:32.879Z,,21.5,,,54,43.9,
2018-01-11T00:35:42.819Z,,21.6,,,54,44,
2018-01-11T00:35:52.784Z,,21.6,,,54,44.1,
2018-01-11T00:36:02.820Z,,21.7,,,54,44.2,
2018-01-11T00:36:12.760Z,,21.7,30,,54,44.3,
2018-01-11T00:36:22.870Z,,21.9,29,,54,44.5,
2018-01-11T00:36:37.945Z,,22,,,54,44.6,
2018-01-11T00:36:42.812Z,,22.1,,,54,,
2018-01-11T00:36:52.751Z,,22.1,,,54,44.8,
2018-01-11T00:37:04.713Z,,22.1,,,54,44.9,
2018-01-11T00:37:12.855Z,,22.1,30,,54,45,
2018-01-11T00:37:22.880Z,,22.2,29,,54,45.1,
2018-01-11T00:37:32.982Z,,22.4,30,,54,45.2,
2018-01-11T00:37:43.620Z,,22.4,29,,54,45.3,
2018-01-11T00:37:52.743Z,,22.5,,,54,45.4,
2018-01-11T00:38:02.894Z,,22.5,,,54,45.5,
2018-01-11T00:38:12.850Z,,22.6,,,54,45.6,
2018-01-11T00:38:22.740Z,,22.6,,,54,45.7,
2018-01-11T00:38:33.609Z,,22.7,29,,54,46,
2018-01-11T00:38:42.852Z,,22.8,,,54,,
2018-01-11T00:38:52.790Z,,22.8,,,54,46.1,
2018-01-11T00:39:08.044Z,,22.8,,,54,46.2,
2018-01-11T00:39:12.744Z,,23,,,54,46.4,
2018-01-11T00:39:22.897Z,,23.1,,,54,,
2018-01-11T00:39:32.784Z,,23.2,,,54,46.6,
2018-01-11T00:39:42.775Z,,23.3,,,54,46.7,
2018-01-11T00:39:52.788Z,,23.4,,,54,46.8,
2018-01-11T00:40:03.667Z,,23.4,,,54,47,
2018-01-11T00:40:12.884Z,,23.4,30,,54,,
2018-01-11T00:40:22.747Z,,23.6,29,,54,47.1,
2018-01-11T00:40:33.621Z,,23.6,,,54,47.2,
2018-01-11T00:40:42.982Z,,23.7,,,54,47.3,
2018-01-11T00:40:52.776Z,,23.7,,,54,47.4,
2018-01-11T00:41:02.823Z,,23.7,,,54,47.6,
2018-01-11T00:41:12.753Z,,23.7,,,54,47.7,
2018-01-11T00:41:22.787Z,,23.8,,,54,47.8,
2018-01-11T00:41:33.646Z,,23.8,,,54,47.9,
2018-01-11T00:41:42.775Z,,23.9,30,,54,48,
2018-01-11T00:41:53.009Z,,23.9,29,,54,48.1,
2018-01-11T00:42:02.826Z,,23.9,,,54,48.2,
2018-01-11T00:42:12.796Z,,23.9,,,54,,
2018-01-11T00:42:23.746Z,,23.9,,,54,48.3,
2018-01-11T00:42:32.741Z,,23.9,,,54,48.4,
2018-01-11T00:42:42.789Z,,23.9,,,54,48.5,
2018-01-11T00:42:52.935Z,,23.9,,,54,48.6,
2018-01-11T00:43:02.838Z,,23.9,,,54,48.7,
2018-01-11T00:43:12.790Z,,23.9,,,54,48.8,
2018-01-11T00:43:22.849Z,,23.9,,,54,,
2018-01-11T00:43:33.682Z,,24,30,,54,49,
2018-01-11T00:43:42.917Z,,24,29,,54,,
2018-01-11T00:43:52.936Z,,24,,,54,49.1,
2018-01-11T00:44:02.820Z,,24.2,,,54,49.2,
2018-01-11T00:44:12.788Z,,24.2,,,54,,
2018-01-11T00:44:22.870Z,,24.2,,,54,49.3,
2018-01-11T00:44:32.776Z,,24.2,,,54,49.4,
2018-01-11T00:44:42.866Z,,24.3,,,54,49.5,
2018-01-11T00:44:52.868Z,,24.3,30,,54,,
2018-01-11T00:45:02.794Z,,24.3,,,54,49.6,
2018-01-11T00:45:12.808Z,,24.3,29,,54,49.7,
2018-01-11T00:45:22.812Z,,24.3,,,54,49.8,
2018-01-11T00:45:32.840Z,,24.3,,,54,,
2018-01-11T00:45:43.002Z,,24.3,,,54,50,
2018-01-11T00:45:52.978Z,,24.3,30,,54,,
2018-01-11T00:46:02.774Z,,24.3,29,,54,50.1,
2018-01-11T00:46:12.752Z,1,24.3,0,,54,47.9,0
2018-01-11T00:46:24.043Z,,24.3,,,54,46.9,
2018-01-11T00:46:32.783Z,,23.9,,,54,45.8,
2018-01-11T00:46:42.908Z,,23.6,,,54,44.9,
2018-01-11T00:46:52.746Z,,23.3,,,54,44.7,
2018-01-11T00:47:07.857Z,,23.2,,,54,43.9,
2018-01-11T00:47:12.757Z,,23.1,,,54,43.7,
2018-01-11T00:47:22.763Z,,22.8,,,54,42.9,
2018-01-11T00:47:32.855Z,,22.8,,,54,42.8,
2018-01-11T00:47:43.623Z,,22.8,,,54,42.4,
2018-01-11T00:47:52.755Z,,22.7,,,54,41.9,
2018-01-11T00:48:03.120Z,,22.6,,,54,41.8,
2018-01-11T00:48:12.829Z,,22.6,,,54,41.6,
2018-01-11T00:48:23.666Z,,22.5,,,54,41.4,
2018-01-11T00:48:32.744Z,,22.5,,,54,41.2,
2018-01-11T00:48:44.734Z,,22.2,,,54,40.9,
2018-01-11T00:48:52.745Z,,22,,,54,40.8,
2018-01-11T00:49:02.896Z,,22,,,54,40.6,
2018-01-11T00:49:12.766Z,,22,,,54,40.5,
2018-01-11T00:49:22.766Z,,21.9,,,54,,
2018-01-11T00:49:32.807Z,,21.7,,,54,,
2018-01-11T00:49:43.040Z,,21.7,,,54,,
2018-01-11T00:49:52.768Z,,21.7,,,54,,
2018-01-11T00:50:02.908Z,,21.3,,,54,40.4,
