Time,HwActive,HwTSet,HwTOutlet,ChActive,PrimTSet,ActPow,PrimT
2017-11-09T00:05:53.967Z,,54,48.8,,,29,63.1
2017-11-09T00:06:03.961Z,,54,48.8,,,,63.4
2017-11-09T00:06:13.953Z,,54,48.8,,,,63.6
2017-11-09T00:06:23.954Z,,54,48.9,,,,64
2017-11-09T00:06:33.953Z,,54,48.9,,,,64.2
2017-11-09T00:06:43.964Z,,54,49,,,,64.5
2017-11-09T00:06:54.491Z,,54,49,,,,64.7
2017-11-09T00:07:03.955Z,,54,49.1,,,,64.9
2017-11-09T00:07:13.957Z,0,54,49.1,2,,0,62.8
2017-11-09T00:07:23.957Z,,54,49.1,,,,61.5
2017-11-09T00:07:33.956Z,,54,49.2,,,,60.6
2017-11-09T00:07:49.055Z,,54,49.2,,,,59.3
2017-11-09T00:07:53.960Z,,54,49.3,,,,58.4
2017-11-09T00:08:03.955Z,,54,49.3,,,,57.6
2017-11-09T00:08:13.957Z,,54,49.3,,,,56.8
2017-11-09T00:08:23.961Z,,54,49.2,,,,56.2
2017-11-09T00:08:33.955Z,,54,49.2,,,,55.5
2017-11-09T00:08:43.964Z,,54,49.2,,,,54.9
2017-11-09T00:08:53.960Z,,54,49.1,,,,54.6
2017-11-09T00:09:03.956Z,,54,49,,,,53.9
2017-11-09T00:09:13.958Z,,54,49,,,,53.6
2017-11-09T00:09:23.954Z,0,54,48.9,2,,42,56
2017-11-09T00:09:33.962Z,,54,48.8,,,30,57.9
2017-11-09T00:09:43.960Z,,54,48.7,,,30,58.1
2017-11-09T00:09:53.962Z,,54,48.6,,,29,59.3
2017-11-09T00:10:03.955Z,,54,48.6,,,,60
2017-11-09T00:10:13.956Z,,54,48.5,,,30,60.6
2017-11-09T00:10:23.959Z,,54,48.5,,,29,61.3
2017-11-09T00:10:33.958Z,,54,48.5,,,30,62
2017-11-09T00:10:43.962Z,,54,48.5,,,29,62.5
2017-11-09T00:10:53.959Z,,54,48.6,,,30,62.8
2017-11-09T00:11:03.964Z,,54,48.6,,,29,63.3
2017-11-09T00:11:13.960Z,,54,48.6,,,,63.5
2017-11-09T00:11:23.963Z,,54,48.7,,,,63.9
2017-11-09T00:11:33.958Z,,54,48.7,,,,64.1
2017-11-09T00:11:43.965Z,,54,48.7,,,,64.4
2017-11-09T00:11:53.964Z,,54,48.8,,,,64.6
2017-11-09T00:12:03.965Z,,54,48.9,,,,64.8
2017-11-09T00:12:13.960Z,,54,48.9,,,0,65.1
2017-11-09T00:12:23.960Z,0,54,48.9,2,,,62.6
2017-11-09T00:12:33.957Z,,54,49,,,,61.3
2017-11-09T00:12:43.962Z,,54,49,,,,59.9
2017-11-09T00:12:53.964Z,,54,49.1,,,,58.8
2017-11-09T00:13:03.958Z,,54,49.1,,,,57.9
2017-11-09T00:13:13.964Z,,54,49.1,,,,57.3
2017-11-09T00:13:23.959Z,,54,49.1,,,,56.6
2017-11-09T00:13:33.965Z,,54,49,,,,55.9
2017-11-09T00:13:43.964Z,,54,49,,,,55.3
2017-11-09T00:13:53.964Z,,54,48.9,,,,54.8
2017-11-09T00:14:03.959Z,,54,48.9,,,,54.4
2017-11-09T00:14:13.957Z,,54,48.8,,,,53.8
2017-11-09T00:14:23.966Z,0,54,48.7,2,,42,56.2
2017-11-09T00:14:33.966Z,,54,48.6,,,30,58.1
2017-11-09T00:14:43.958Z,,54,48.5,,,29,58.1
2017-11-09T00:14:53.966Z,,54,48.5,,,30,59.4
2017-11-09T00:15:03.965Z,,54,48.4,,,29,60
2017-11-09T00:15:13.965Z,,54,48.4,,,,60.7
2017-11-09T00:15:23.967Z,,54,48.4,,,29,61.4
2017-11-09T00:15:33.971Z,,54,48.4,,,,62
2017-11-09T00:15:43.959Z,,54,48.4,,,,62.5
2017-11-09T00:15:53.967Z,,54,48.4,,,30,63.1
2017-11-09T00:16:03.963Z,,54,48.4,,,29,63.3
2017-11-09T00:16:13.966Z,,54,48.5,,,,63.6
2017-11-09T00:16:23.962Z,,54,48.5,,,,64
2017-11-09T00:16:33.960Z,,54,48.5,,,,64.2
2017-11-09T00:16:43.960Z,,54,48.6,,,,64.5
2017-11-09T00:16:53.965Z,,54,48.6,,,,64.7
2017-11-09T00:17:03.964Z,,54,48.6,,,,64.8
2017-11-09T00:17:13.963Z,0,54,48.7,2,,0,63.5
2017-11-09T00:17:23.962Z,,54,48.7,,,,61.8
2017-11-09T00:17:39.061Z,,54,48.8,,,,60.9
2017-11-09T00:17:43.964Z,,54,48.8,,,,59.6
2017-11-09T00:17:53.970Z,,54,48.8,,,,58.6
2017-11-09T00:18:03.962Z,,54,48.8,,,,57.8
2017-11-09T00:18:13.963Z,,54,48.8,,,,56.9
2017-11-09T00:18:23.960Z,,54,48.8,,,,56.3
2017-11-09T00:18:33.965Z,,54,48.8,,,,55.6
2017-11-09T00:18:43.965Z,,54,48.7,,,,55.1
2017-11-09T00:18:53.961Z,,54,48.6,,,,54.7
2017-11-09T00:19:03.981Z,,54,48.6,,,,54.1
2017-11-09T00:19:13.965Z,,54,48.5,,,,53.7
2017-11-09T00:19:23.961Z,0,54,48.4,2,,42,56.1
2017-11-09T00:19:33.974Z,,54,48.4,,,29,57.9
2017-11-09T00:19:43.965Z,,54,48.3,,,30,58.1
2017-11-09T00:19:53.967Z,,54,48.2,,,29,59.3
2017-11-09T00:20:03.961Z,,54,48.1,,,,60
2017-11-09T00:20:13.968Z,,54,48.1,,,,60.7
2017-11-09T00:20:23.968Z,,54,48.1,,,30,61.4
2017-11-09T00:20:33.970Z,,54,48.1,,,29,62
2017-11-09T00:20:43.963Z,,54,48.1,,,,62.5
2017-11-09T00:20:53.979Z,,54,48.2,,,,62.9
2017-11-09T00:21:03.965Z,,54,48.2,,,29,63.3
2017-11-09T00:21:13.968Z,,54,48.3,,,30,63.6
2017-11-09T00:21:23.963Z,,54,48.3,,,30,64
2017-11-09T00:21:33.969Z,,54,48.4,,,29,64.2
2017-11-09T00:21:43.963Z,,54,48.4,,,,64.5
2017-11-09T00:21:53.970Z,,54,48.5,,,,64.7
2017-11-09T00:22:03.966Z,,54,48.5,,,,64.8
2017-11-09T00:22:13.978Z,0,54,48.6,2,,0,64.9
2017-11-09T00:22:23.963Z,,54,48.6,,,,61.9
2017-11-09T00:22:33.970Z,,54,48.7,,,,60.9
2017-11-09T00:22:43.972Z,,54,48.7,,,,59.7
2017-11-09T00:22:53.968Z,,54,48.7,,,,58.8
2017-11-09T00:23:03.971Z,,54,48.7,,,,57.9
2017-11-09T00:23:13.964Z,,54,48.7,,,,57.1
2017-11-09T00:23:23.965Z,,54,48.7,,,,56.5
2017-11-09T00:23:33.973Z,,54,48.6,,,,55.9
2017-11-09T00:23:43.963Z,,54,48.6,,,,55.2
2017-11-09T00:23:53.964Z,,54,48.5,,,,54.7
2017-11-09T00:24:03.965Z,,54,48.5,,,,54.3
2017-11-09T00:24:13.967Z,,54,48.4,,,,53.7
2017-11-09T00:24:23.964Z,0,54,48.3,2,,42,56.2
2017-11-09T00:24:33.966Z,,54,48.2,,,30,58
2017-11-09T00:24:43.964Z,,54,48.1,,,29,58.1
2017-11-09T00:24:53.972Z,,54,48.1,,,29,59.4
2017-11-09T00:25:03.971Z,,54,48,,,29,60
2017-11-09T00:25:13.964Z,,54,48,,,,60.7
2017-11-09T00:25:23.964Z,,54,48,,,,61.4
2017-11-09T00:25:33.974Z,,54,48,,,,62
2017-11-09T00:25:43.966Z,,54,48,,,30,62.5
2017-11-09T00:25:53.973Z,,54,48,,,,62.8
2017-11-09T00:26:03.966Z,,54,48,,,29,63.3
2017-11-09T00:26:13.966Z,,54,48.1,,,,63.5
2017-11-09T00:26:23.973Z,,54,48.1,,,,63.9
2017-11-09T00:26:33.968Z,,54,48.2,,,,64.1
2017-11-09T00:26:43.968Z,,54,48.3,,,,64.2
2017-11-09T00:26:53.966Z,,54,48.4,,,,64.5
2017-11-09T00:27:03.966Z,,54,48.4,,,,64.7
2017-11-09T00:27:19.026Z,,54,48.5,,,,64.8
2017-11-09T00:27:23.975Z,,54,48.5,,,,65.1
2017-11-09T00:27:33.974Z,0,54,48.6,2,,0,62.5
2017-11-09T00:27:43.969Z,,54,48.6,,,,61.2
2017-11-09T00:27:53.973Z,,54,48.7,,,,59.9
2017-11-09T00:28:03.968Z,,54,48.7,,,,58.8
2017-11-09T00:28:13.974Z,,54,48.7,,,,57.9
2017-11-09T00:28:23.967Z,,54,48.7,,,,57.2
2017-11-09T00:28:33.970Z,,54,48.7,,,,56.4
2017-11-09T00:28:43.967Z,,54,48.7,,,,55.7
2017-11-09T00:28:53.971Z,,54,48.6,,,,55.1
2017-11-09T00:29:03.968Z,,54,48.6,,,,54.6
2017-11-09T00:29:13.968Z,,54,48.5,,,,53.9
2017-11-09T00:29:23.979Z,0,54,48.4,2,,42,56.3
2017-11-09T00:29:33.975Z,,54,48.3,,,30,58
2017-11-09T00:29:43.975Z,,54,48.3,,,29,58.1
2017-11-09T00:29:53.981Z,,54,48.2,,,,59.1
2017-11-09T00:30:03.975Z,,54,48.1,,,,59.7
2017-11-09T00:30:13.970Z,,54,48.1,,,,60.4
2017-11-09T00:30:23.968Z,,54,48.1,,,30,61.1
2017-11-09T00:30:33.970Z,,54,48.1,,,29,61.4
2017-11-09T00:30:43.978Z,,54,48.1,,,29,62
2017-11-09T00:30:53.971Z,,54,48.2,,,,62.2
2017-11-09T00:31:03.975Z,,54,48.2,,,,62.6
2017-11-09T00:31:13.967Z,,54,48.2,,,,62.8
2017-11-09T00:31:23.972Z,,54,48.3,,,,63.1
2017-11-09T00:31:33.968Z,,54,48.3,,,,63.3
2017-11-09T00:31:43.970Z,,54,48.3,,,,63.4
2017-11-09T00:31:53.975Z,,54,48.4,,,,63.6
2017-11-09T00:32:03.975Z,,54,48.4,,,,
2017-11-09T00:32:13.968Z,,54,48.5,,,,63.9
2017-11-09T00:32:23.971Z,,54,48.5,,,30,64
2017-11-09T00:32:33.969Z,,54,48.6,,,29,64.1
2017-11-09T00:32:43.971Z,,54,48.6,,,,64.2
2017-11-09T00:32:53.976Z,,54,48.7,,,,64.4
2017-11-09T00:33:03.974Z,,54,48.7,,,,64.5
2017-11-09T00:33:13.976Z,,54,48.8,,,,64.6
2017-11-09T00:33:23.985Z,,54,48.8,,,30,
2017-11-09T00:33:34.523Z,,54,48.9,,,29,64.7
2017-11-09T00:33:43.971Z,,54,48.9,,,30,64.8
2017-11-09T00:33:53.977Z,,54,48.9,,,29,64.9
2017-11-09T00:34:03.972Z,,54,49,,,,64.9
2017-11-09T00:34:13.975Z,0,54,49,2,,0,61.9
2017-11-09T00:34:23.971Z,,54,49,,,,60.9
2017-11-09T00:34:33.971Z,,54,49,,,,59.7
2017-11-09T00:34:43.976Z,,54,49,,,,58.7
2017-11-09T00:34:53.977Z,,54,49,,,,57.7
2017-11-09T00:35:03.972Z,,54,49,,,,56.9
2017-11-09T00:35:13.971Z,,54,49,,,,56.3
2017-11-09T00:35:23.974Z,,54,49,,,,55.6
2017-11-09T00:35:33.973Z,,54,48.9,,,,54.9
2017-11-09T00:35:43.978Z,0,54,48.8,2,,42,57.4
2017-11-09T00:35:53.972Z,,54,48.8,,,31,58.8
2017-11-09T00:36:03.974Z,,54,48.7,,,30,59
2017-11-09T00:36:13.976Z,,54,48.6,,,29,60
2017-11-09T00:36:23.971Z,,54,48.6,,,,60.6
2017-11-09T00:36:33.979Z,,54,48.6,,,,61.3
2017-11-09T00:36:43.979Z,,54,48.5,,,,62
2017-11-09T00:36:53.979Z,,54,48.6,,,,62.5
2017-11-09T00:37:03.973Z,,54,48.6,,,,62.9
2017-11-09T00:37:19.037Z,,54,48.6,,,,63.3
2017-11-09T00:37:23.973Z,,54,48.6,,,,63.6
2017-11-09T00:37:33.970Z,,54,48.6,,,,64
2017-11-09T00:37:43.983Z,,54,48.7,,,,64.2
2017-11-09T00:37:53.977Z,,54,48.7,,,30,64.5
2017-11-09T00:38:03.973Z,,54,48.8,,,29,64.7
2017-11-09T00:38:13.979Z,,54,48.9,,,,64.9
2017-11-09T00:38:23.980Z,0,54,48.9,2,,0,63.5
2017-11-09T00:38:33.979Z,,54,49,,,,61.5
2017-11-09T00:38:43.979Z,,54,49,,,,60.7
2017-11-09T00:38:53.979Z,,54,49.1,,,,59.5
2017-11-09T00:39:03.975Z,,54,49.1,,,,58.5
2017-11-09T00:39:13.980Z,,54,49.1,,,,57.8
2017-11-09T00:39:23.980Z,,54,49.1,,,,56.9
2017-11-09T00:39:33.974Z,,54,49.1,,,,56.3
2017-11-09T00:39:43.974Z,,54,49,,,,55.6
2017-11-09T00:39:54.558Z,,54,49,,,,55.2
2017-11-09T00:40:03.982Z,,54,48.9,,,,54.7
2017-11-09T00:40:13.975Z,,54,48.9,,,,54.3
2017-11-09T00:40:23.975Z,,54,48.8,,,,53.8
2017-11-09T00:40:33.975Z,,54,48.7,,,,53.5
2017-11-09T00:40:43.983Z,0,54,48.6,2,,41,56.2
2017-11-09T00:40:53.975Z,,54,48.5,,,31,57.8
2017-11-09T00:41:03.982Z,,54,48.4,,,29,58.1
2017-11-09T00:41:13.984Z,,54,48.3,,,,59.1
2017-11-09T00:41:23.982Z,,54,48.2,,,,59.8
2017-11-09T00:41:33.979Z,,54,48.2,,,,60.6
2017-11-09T00:41:43.976Z,,54,48.1,,,,61.2
2017-11-09T00:41:53.974Z,,54,48.1,,,,61.8
2017-11-09T00:42:03.982Z,,54,48.1,,,,62.2
2017-11-09T00:42:13.976Z,,54,48.1,,,,62.7
2017-11-09T00:42:23.973Z,,54,48.1,,,29,63.2
2017-11-09T00:42:33.985Z,,54,48.2,,,,63.5
2017-11-09T00:42:43.978Z,,54,48.2,,,,63.8
2017-11-09T00:42:53.983Z,,54,48.3,,,,64
2017-11-09T00:43:03.974Z,,54,48.3,,,,64.2
2017-11-09T00:43:13.974Z,,54,48.4,,,,64.5
2017-11-09T00:43:23.981Z,,54,48.4,,,,64.7
2017-11-09T00:43:33.983Z,,54,48.5,,,,64.9
2017-11-09T00:43:43.985Z,0,54,48.5,2,,0,63.4
2017-11-09T00:43:53.991Z,,54,48.5,,,,61.5
2017-11-09T00:44:03.977Z,,54,48.6,,,,60.7
2017-11-09T00:44:13.979Z,,54,48.6,,,,59.4
2017-11-09T00:44:23.985Z,,54,48.6,,,,58.5
2017-11-09T00:44:33.981Z,,54,48.6,,,,57.7
2017-11-09T00:44:43.986Z,,54,48.6,,,,56.8
2017-11-09T00:44:53.985Z,,54,48.6,,,,56.2
2017-11-09T00:45:03.979Z,,54,48.6,,,,55.5
2017-11-09T00:45:13.977Z,,54,48.6,,,,55
2017-11-09T00:45:23.976Z,,54,48.5,,,,54.6
2017-11-09T00:45:33.983Z,,54,48.4,,,,54
2017-11-09T00:45:43.978Z,0,54,48.3,2,,42,56.3
2017-11-09T00:45:53.987Z,,54,48.3,,,30,58.2
2017-11-09T00:46:03.976Z,,54,48.2,,,29,
2017-11-09T00:46:13.988Z,,54,48.1,,,,59.5
2017-11-09T00:46:29.090Z,,54,48,,,29,60.1
2017-11-09T00:46:33.979Z,,54,48,,,29,61.1
2017-11-09T00:46:43.979Z,,54,48,,,,61.5
2017-11-09T00:46:53.984Z,,54,48,,,,62.1
2017-11-09T00:47:03.986Z,,54,48,,,30,62.6
2017-11-09T00:47:13.978Z,,54,48,,,29,63.1
2017-11-09T00:47:23.979Z,,54,48.1,,,30,63.4
2017-11-09T00:47:33.987Z,,54,48.1,,,,63.8
2017-11-09T00:47:43.977Z,,54,48.2,,,29,64.1
2017-11-09T00:47:53.992Z,,54,48.2,,,,64.4
2017-11-09T00:48:03.978Z,,54,48.3,,,,64.6
2017-11-09T00:48:13.981Z,,54,48.3,,,,64.8
2017-11-09T00:48:23.978Z,0,54,48.4,2,,0,64.9
2017-11-09T00:48:33.982Z,,54,48.4,,,,62.2
2017-11-09T00:48:43.979Z,,54,48.5,,,,61.2
2017-11-09T00:48:53.981Z,,54,48.5,,,,59.8
2017-11-09T00:49:03.981Z,,54,48.5,,,,58.8
2017-11-09T00:49:13.980Z,,54,48.6,,,,58.1
2017-11-09T00:49:23.985Z,,54,48.6,,,,57.2
2017-11-09T00:49:33.979Z,,54,48.6,,,,56.6
2017-11-09T00:49:43.980Z,,54,48.5,,,,55.9
2017-11-09T00:49:53.979Z,,54,48.5,,,,55.3
2017-11-09T00:50:03.981Z,,54,48.4,,,,54.8
2017-11-09T00:50:13.981Z,,54,48.4,,,,54.4
2017-11-09T00:50:23.981Z,,54,48.3,,,,53.9
2017-11-09T00:50:33.979Z,,54,48.3,,,,53.5
2017-11-09T00:50:43.987Z,0,54,48.2,2,,42,55.6
2017-11-09T00:50:53.982Z,,54,48.1,,,31,57.8
2017-11-09T00:51:04.442Z,,54,48,,,29,58
2017-11-09T00:51:13.987Z,,54,48,,,,59.1
2017-11-09T00:51:23.984Z,,54,47.9,,,,59.8
2017-11-09T00:51:33.988Z,,54,47.9,,,,60.6
2017-11-09T00:51:43.987Z,,54,47.9,,,,61.3
2017-11-09T00:51:53.979Z,,54,47.9,,,,61.9
2017-11-09T00:52:03.983Z,,54,47.9,,,,62.4
2017-11-09T00:52:13.984Z,,54,47.9,,,,62.8
2017-11-09T00:52:23.988Z,,54,47.9,,,30,63.2
2017-11-09T00:52:33.983Z,,54,48,,,29,63.5
2017-11-09T00:52:43.989Z,,54,48,,,,63.9
2017-11-09T00:52:53.987Z,,54,48.1,,,,64.1
2017-11-09T00:53:03.981Z,,54,48.1,,,30,64.4
2017-11-09T00:53:13.988Z,,54,48.2,,,29,64.6
2017-11-09T00:53:23.983Z,,54,48.3,,,,64.7
2017-11-09T00:53:33.981Z,,54,48.3,,,,64.9
2017-11-09T00:53:43.989Z,0,54,48.4,2,,0,62.9
2017-11-09T00:53:53.987Z,,54,48.5,,,,61.4
2017-11-09T00:54:03.981Z,,54,48.5,,,,60.5
2017-11-09T00:54:13.989Z,,54,48.6,,,,59.3
2017-11-09T00:54:23.990Z,,54,48.6,,,,58.4
2017-11-09T00:54:33.983Z,,54,48.6,,,,57.4
2017-11-09T00:54:43.996Z,,54,48.6,,,,56.7
2017-11-09T00:54:53.985Z,,54,48.6,,,,56.1
2017-11-09T00:55:03.986Z,,54,48.5,,,,55.4
2017-11-09T00:55:13.987Z,,54,48.5,,,,54.9
2017-11-09T00:55:23.986Z,,54,48.4,,,,54.5
2017-11-09T00:55:33.990Z,,54,48.3,,,,53.9
2017-11-09T00:55:44.000Z,0,54,48.3,2,,42,56.1
2017-11-09T00:55:53.997Z,,54,48.2,,,31,58.1
2017-11-09T00:56:03.997Z,,54,48.1,,,29,58.1
2017-11-09T00:56:13.991Z,,54,48,,,,59.4
2017-11-09T00:56:23.991Z,,54,47.9,,,,60.1
2017-11-09T00:56:33.991Z,,54,47.9,,,,60.8
2017-11-09T00:56:43.984Z,,54,47.9,,,,61.4
2017-11-09T00:56:53.985Z,,54,47.9,,,,62
2017-11-09T00:57:03.983Z,,54,47.9,,,,62.6
2017-11-09T00:57:13.992Z,,54,47.9,,,,63.1
2017-11-09T00:57:23.990Z,,54,47.9,,,,63.4
2017-11-09T00:57:33.983Z,,54,47.9,,,,63.6
2017-11-09T00:57:43.984Z,,54,48,,,29,64
2017-11-09T00:57:53.990Z,,54,48,,,,64.2
2017-11-09T00:58:03.983Z,,54,48.1,,,,64.5
2017-11-09T00:58:13.991Z,,54,48.2,,,,64.7
2017-11-09T00:58:23.986Z,,54,48.3,,,30,64.9
2017-11-09T00:58:33.988Z,0,54,48.3,2,,0,63.4
2017-11-09T00:58:43.983Z,,54,48.4,,,,61.5
2017-11-09T00:58:53.990Z,,54,48.4,,,,60.6
2017-11-09T00:59:03.991Z,,54,48.5,,,,59.3
2017-11-09T00:59:13.985Z,,54,48.5,,,,58.4
2017-11-09T00:59:23.992Z,,54,48.5,,,,57.6
2017-11-09T00:59:33.993Z,,54,48.5,,,,56.8
2017-11-09T00:59:43.987Z,0,54,48.5,2,61,0,56.2
2017-11-09T00:59:53.984Z,,54,48.5,,,,55.5
2017-11-09T01:00:03.987Z,,54,48.4,,,,55
2017-11-09T01:00:13.989Z,,54,48.3,,,,54.5
2017-11-09T01:00:23.990Z,,54,48.2,,,,54
2017-11-09T01:00:33.986Z,,54,48.2,,,,53.7
2017-11-09T01:00:43.994Z,0,54,48.1,2,,42,55.7
2017-11-09T01:00:53.990Z,,54,48,,,31,57.9
2017-11-09T01:01:03.986Z,,54,47.9,,,29,58
2017-11-09T01:01:13.988Z,,54,47.9,,,,59.1
2017-11-09T01:01:23.995Z,,54,47.8,,,,59.8
2017-11-09T01:01:33.986Z,,54,47.8,,,,60.6
2017-11-09T01:01:43.986Z,,54,47.8,,,,61.3
2017-11-09T01:01:53.994Z,,54,47.8,,,,61.9
2017-11-09T01:02:03.987Z,,54,47.8,,,,62.4
2017-11-09T01:02:13.986Z,,54,47.8,,,30,62.8
2017-11-09T01:02:23.987Z,,54,47.8,,,29,63.2
2017-11-09T01:02:33.992Z,,54,47.9,,,,63.5
2017-11-09T01:02:43.989Z,,54,47.9,,,,63.9
2017-11-09T01:02:53.991Z,,54,48,,,,64.1
2017-11-09T01:03:03.988Z,,54,48,,,,64.4
2017-11-09T01:03:13.988Z,,54,48.1,,,,64.6
2017-11-09T01:03:23.986Z,,54,48.2,,,,64.8
2017-11-09T01:03:33.986Z,,54,48.2,,,,64.9
2017-11-09T01:03:43.995Z,0,54,48.3,2,,0,62.5
2017-11-09T01:03:53.993Z,,54,48.3,,,,61.3
2017-11-09T01:04:03.989Z,,54,48.4,,,,60.2
2017-11-09T01:04:13.989Z,,54,48.4,,,,58.9
2017-11-09T01:04:23.987Z,,54,48.5,,,,58.2
2017-11-09T01:04:33.996Z,,54,48.5,,,,57.3
2017-11-09T01:04:43.988Z,,54,48.5,,,,56.6
2017-11-09T01:04:53.990Z,,54,48.5,,,,56
2017-11-09T01:05:03.988Z,,54,48.4,,,,55.4
2017-11-09T01:05:13.994Z,,54,48.4,,,,54.9
2017-11-09T01:05:23.995Z,,54,48.3,,,,54.4
2017-11-09T01:05:33.989Z,,54,48.3,,,,53.9
2017-11-09T01:05:44.000Z,0,54,48.2,2,,42,56.1
2017-11-09T01:05:54.006Z,,54,48.1,,,31,58.1
2017-11-09T01:06:03.990Z,,54,48,,,29,58.1
2017-11-09T01:06:13.991Z,,54,47.9,,,,59.4
2017-11-09T01:06:23.987Z,,54,47.9,,,,60.1
2017-11-09T01:06:33.990Z,,54,47.9,,,,60.8
2017-11-09T01:06:43.994Z,,54,47.9,,,,61.4
2017-11-09T01:06:53.998Z,,54,47.9,,,,62
2017-11-09T01:07:03.995Z,,54,47.9,,,,62.6
2017-11-09T01:07:13.989Z,,54,48,,,,63.1
2017-11-09T01:07:24.000Z,,54,48,,,,63.4
2017-11-09T01:07:33.990Z,,54,48.1,,,,63.6
2017-11-09T01:07:43.997Z,,54,48.1,,,,64
2017-11-09T01:07:53.989Z,,54,48.2,,,,64.2
2017-11-09T01:08:04.003Z,,54,48.3,,,,64.5
2017-11-09T01:08:13.991Z,,54,48.3,,,,64.7
2017-11-09T01:08:23.989Z,,54,48.4,,,,64.9
2017-11-09T01:08:33.995Z,0,54,48.5,2,,0,63.3
2017-11-09T01:08:43.993Z,,54,48.5,,,,61.5
2017-11-09T01:08:54.004Z,,54,48.5,,,,60.6
2017-11-09T01:09:04.004Z,,54,48.6,,,,59.4
2017-11-09T01:09:13.997Z,,54,48.6,,,,58.5
2017-11-09T01:09:23.998Z,,54,48.6,,,,57.7
2017-11-09T01:09:33.993Z,,54,48.6,,,,56.8
2017-11-09T01:09:43.995Z,,54,48.5,,,,56.2
2017-11-09T01:09:53.993Z,,54,48.5,,,,55.5
2017-11-09T01:10:03.998Z,,54,48.4,,,,55
2017-11-09T01:10:13.992Z,,54,48.4,,,,54.6
2017-11-09T01:10:23.992Z,,54,48.3,,,,54
2017-11-09T01:10:33.993Z,,54,48.2,,,,53.7
2017-11-09T01:10:43.994Z,0,54,48.2,2,,42,55.9
2017-11-09T01:10:53.995Z,,54,48.1,,,31,57.9
2017-11-09T01:11:04.000Z,,54,48,,,30,58.1
2017-11-09T01:11:13.998Z,,54,47.9,,,29,59.3
2017-11-09T01:11:23.993Z,,54,47.9,,,,59.9
2017-11-09T01:11:34.007Z,,54,47.8,,,,60.6
2017-11-09T01:11:43.995Z,,54,47.8,,,,61.3
2017-11-09T01:11:53.997Z,,54,47.8,,,,61.9
2017-11-09T01:12:03.997Z,,54,47.9,,,29,62.4
2017-11-09T01:12:13.999Z,,54,47.9,,,,62.8
2017-11-09T01:12:24.463Z,,54,48,,,30,63.2
2017-11-09T01:12:33.991Z,,54,48,,,29,63.5
2017-11-09T01:12:43.999Z,,54,48.1,,,,63.9
2017-11-09T01:12:53.993Z,,54,48.2,,,,64.1
2017-11-09T01:13:03.995Z,,54,48.2,,,,64.4
2017-11-09T01:13:13.991Z,,54,48.3,,,,64.6
2017-11-09T01:13:23.994Z,,54,48.3,,,,64.8
2017-11-09T01:13:33.992Z,,54,48.4,,,,64.9
2017-11-09T01:13:43.997Z,0,54,48.4,2,,0,62.6
2017-11-09T01:13:54.001Z,,54,48.5,,,,61.3
2017-11-09T01:14:04.001Z,,54,48.5,,,,60.1
2017-11-09T01:14:14.002Z,,54,48.5,,,,58.9
2017-11-09T01:14:24.000Z,,54,48.6,,,,58.2
2017-11-09T01:14:33.992Z,,54,48.6,,,,57.3
2017-11-09T01:14:44.002Z,,54,48.6,,,,56.6
