Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2017-11-05T00:24:19.663Z,,46.6,54,,,,56.9
2017-11-05T00:24:29.740Z,,46.6,54,,,,56.4
2017-11-05T00:24:39.651Z,,46.6,54,,,,55.9
2017-11-05T00:24:49.654Z,,46.6,54,,,,54.9
2017-11-05T00:24:59.651Z,,46.6,54,,,,54.8
2017-11-05T00:25:09.655Z,,46.6,54,,,,53.9
2017-11-05T00:25:19.654Z,,46.6,54,,,,53.8
2017-11-05T00:25:29.754Z,,46.6,54,,,,53.4
2017-11-05T00:25:39.655Z,,46.6,54,,,,52.9
2017-11-05T00:25:49.652Z,1,46.6,54,0,,,52.4
2017-11-05T00:25:59.654Z,,46.6,54,,,39,56
2017-11-05T00:26:09.651Z,,46.6,54,,,29,56.9
2017-11-05T00:26:20.078Z,,46.6,54,,,30,58
2017-11-05T00:26:29.750Z,,46.6,54,,,29,59
2017-11-05T00:26:39.653Z,,46.6,54,,,,59.3
2017-11-05T00:26:49.650Z,,46.6,54,,,,60.1
2017-11-05T00:26:59.654Z,,46.6,54,,,,61.2
2017-11-05T00:27:09.650Z,,46.6,54,,,,62
2017-11-05T00:27:19.666Z,,46.6,54,,,,63.1
2017-11-05T00:27:29.740Z,,46.6,54,,,,63.3
2017-11-05T00:27:39.651Z,,46.6,54,,,,64
2017-11-05T00:27:49.651Z,,46.6,54,,,,64.5
2017-11-05T00:27:59.660Z,1,46.6,54,0,,0,63.8
2017-11-05T00:28:09.660Z,,46.6,54,,,,62.7
2017-11-05T00:28:19.669Z,,46.6,54,,,,61.9
2017-11-05T00:28:29.743Z,,46.6,54,,,,60.8
2017-11-05T00:28:39.652Z,,46.6,54,,,,59.9
2017-11-05T00:28:49.654Z,,46.6,54,,,,58.9
2017-11-05T00:28:59.650Z,,46.6,54,,,,57.9
2017-11-05T00:29:09.651Z,,46.6,54,,,,57.7
2017-11-05T00:29:19.657Z,,46.6,54,,,,56.9
2017-11-05T00:29:29.748Z,,46.6,54,,,,56.4
2017-11-05T00:29:39.670Z,,46.6,54,,,,55.7
2017-11-05T00:29:49.655Z,,46.6,54,,,,54.9
2017-11-05T00:29:59.653Z,,46.6,54,,,,54.8
2017-11-05T00:30:09.657Z,,46.6,54,,,,53.9
2017-11-05T00:30:19.656Z,,46.6,54,,,,53.8
2017-11-05T00:30:29.744Z,,46.6,54,,,,53.4
2017-11-05T00:30:39.660Z,,46.6,54,,,,52.9
2017-11-05T00:30:49.654Z,1,46.6,54,0,,,52.4
2017-11-05T00:30:59.650Z,,46.6,54,,,40,56
2017-11-05T00:31:09.657Z,,46.6,54,,,29,56.9
2017-11-05T00:31:19.666Z,,46.6,54,,,30,58
2017-11-05T00:31:29.755Z,,46.6,54,,,29,59
2017-11-05T00:31:39.655Z,,46.6,54,,,,59.3
2017-11-05T00:31:49.655Z,,46.6,54,,,,60.1
2017-11-05T00:31:59.655Z,,46.6,54,,,,61.2
2017-11-05T00:32:09.655Z,,46.6,54,,,,62
2017-11-05T00:32:19.663Z,,46.6,54,,,,63.1
2017-11-05T00:32:29.762Z,,46.6,54,,,,63.3
2017-11-05T00:32:39.657Z,,46.6,54,,,,64
2017-11-05T00:32:54.680Z,,46.6,54,,,,64.5
2017-11-05T00:32:59.668Z,1,46.6,54,0,,0,63.8
2017-11-05T00:33:09.659Z,,46.6,54,,,,61.9
2017-11-05T00:33:19.662Z,,46.6,54,,,,61.8
2017-11-05T00:33:29.761Z,,46.6,54,,,,60.7
2017-11-05T00:33:39.657Z,,46.5,54,,,,59.8
