Time,PrimTSet,ActPow,HwActive,PrimT,ChActive,HwTSet,HwTOutlet
2018-01-30T00:51:09.470Z,61,29,0,64.2,2,54,29.1
2018-01-30T00:51:19.672Z,,30,,,,54,29
2018-01-30T00:51:29.475Z,,29,,64.4,,54,29
2018-01-30T00:51:39.569Z,,,,,,54,29.2
2018-01-30T00:51:49.516Z,,30,,,,54,29.3
2018-01-30T00:51:59.468Z,,,,,,54,29.1
2018-01-30T00:52:09.478Z,,29,,64.5,,54,29.3
2018-01-30T00:52:19.458Z,,,,,,54,29.3
2018-01-30T00:52:29.460Z,,,,,,54,29.1
2018-01-30T00:52:39.560Z,,,,,,54,29.1
2018-01-30T00:52:49.531Z,,30,,,,54,29.1
2018-01-30T00:52:59.459Z,,29,,64.6,,54,29.1
2018-01-30T00:53:09.461Z,,30,,,,54,29.1
2018-01-30T00:53:19.460Z,,29,,,,54,29.1
2018-01-30T00:53:29.473Z,,,,,,54,29.1
2018-01-30T00:53:39.572Z,,,,,,54,29.2
2018-01-30T00:53:49.460Z,,,,64.7,,54,29.2
2018-01-30T00:53:59.474Z,,30,,,,54,29.2
2018-01-30T00:54:09.463Z,,29,,,,54,29.3
2018-01-30T00:54:19.459Z,,,,,,54,29.2
2018-01-30T00:54:29.460Z,,,,,,54,29.2
2018-01-30T00:54:39.654Z,,,,,,54,29.2
2018-01-30T00:54:49.501Z,,,,64.8,,54,29.2
2018-01-30T00:54:59.477Z,,,,,,54,29.2
2018-01-30T00:55:09.542Z,,,,,,54,29.1
2018-01-30T00:55:19.475Z,,,,,,54,29.1
2018-01-30T00:55:29.478Z,,30,,,,54,29.2
2018-01-30T00:55:39.612Z,,29,,,,54,29.2
2018-01-30T00:55:49.475Z,,,,64.9,,54,29.5
2018-01-30T00:55:59.478Z,,,,,,54,29.2
2018-01-30T00:56:09.464Z,,,,,,54,29.3
2018-01-30T00:56:19.479Z,,,,,,54,29.2
2018-01-30T00:56:29.513Z,,,,,,54,29.5
2018-01-30T00:56:39.568Z,,,,,,54,29.3
2018-01-30T00:56:49.482Z,,0,0,64.9,2,54,29.5
2018-01-30T00:56:59.560Z,,,,61.9,,54,29.3
2018-01-30T00:57:09.465Z,,,,60.8,,54,29.2
2018-01-30T00:57:19.510Z,,,,59.7,,54,29.1
2018-01-30T00:57:29.466Z,,,,58.7,,54,29.5
2018-01-30T00:57:39.577Z,,,,57.9,,54,29.5
2018-01-30T00:57:49.503Z,,,,56.9,,54,29.8
2018-01-30T00:57:59.491Z,,,,56.6,,54,30.1
2018-01-30T00:58:09.506Z,,,,55.9,,54,30.1
2018-01-30T00:58:19.473Z,,,,55.5,,54,30.2
2018-01-30T00:58:29.467Z,,,,54.9,,54,29.2
2018-01-30T00:58:39.562Z,,42,0,57.2,2,54,29.3
2018-01-30T00:58:49.502Z,,29,,58.9,,54,29.2
2018-01-30T00:58:59.467Z,,29,,59,,54,28.7
2018-01-30T00:59:09.464Z,,,,60,,54,28.4
2018-01-30T00:59:19.498Z,,,,60.5,,54,28.4
2018-01-30T00:59:29.493Z,,,,61.1,,54,28.6
2018-01-30T00:59:39.668Z,,,,61.4,,54,28.4
2018-01-30T00:59:49.476Z,,,,62,,54,28.4
2018-01-30T00:59:59.496Z,,,,62.1,,54,28.5
2018-01-30T01:00:09.470Z,,,,62.4,,54,28.5
2018-01-30T01:00:19.508Z,,,,62.6,,54,28.5
2018-01-30T01:00:29.461Z,,,,62.7,,54,28.4
2018-01-30T01:00:39.644Z,,,,62.8,,54,28.4
2018-01-30T01:00:49.507Z,,,,62.9,,54,28.4
2018-01-30T01:00:59.508Z,,,,63.1,,54,28.5
2018-01-30T01:01:09.484Z,,,,,,54,28.5
2018-01-30T01:01:19.477Z,,,,63.2,,54,28.6
2018-01-30T01:01:29.467Z,,,,,,54,28.6
2018-01-30T01:01:39.634Z,,,,63.3,,54,28.6
2018-01-30T01:01:49.477Z,,,,,,54,28.6
2018-01-30T01:01:59.563Z,,,,,,54,28.6
2018-01-30T01:02:09.481Z,,,,,,54,28.6
2018-01-30T01:02:19.470Z,,,,,,54,28.6
2018-01-30T01:02:29.558Z,,30,,,,54,28.7
2018-01-30T01:02:39.611Z,,29,,,,54,28.9
2018-01-30T01:02:49.482Z,,,,,,54,28.7
