Time,PrimTSet,ChActive,HwTOutlet,ActPow,PrimT,HwTSet,HwActive
2017-11-10T00:58:44.811Z,,,26.1,,56.2,54,
2017-11-10T00:58:55.433Z,,,26,,55.6,54,
2017-11-10T00:59:04.828Z,,,25.9,,55.2,54,
2017-11-10T00:59:14.820Z,,,25.5,,54.8,54,
2017-11-10T00:59:24.816Z,,,25.4,,54.4,54,
2017-11-10T00:59:34.821Z,,,25.1,,53.9,54,
2017-11-10T00:59:44.819Z,,,25.1,,53.7,54,
2017-11-10T00:59:54.816Z,,,25.3,,53.4,54,
2017-11-10T01:00:04.820Z,,1,25.1,43,55,54,0
2017-11-10T01:00:14.813Z,,,25,33,57.7,54,
2017-11-10T01:00:24.812Z,,,25.1,29,57.8,54,
2017-11-10T01:00:34.819Z,,,25.4,,59.3,54,
2017-11-10T01:00:44.821Z,,,25.1,,60,54,
2017-11-10T01:00:54.816Z,,,25.5,30,60.7,54,
2017-11-10T01:01:04.813Z,,,25.5,29,61.5,54,
2017-11-10T01:01:14.819Z,61,1,25.7,29,62.1,54,0
2017-11-10T01:01:24.822Z,,,25.6,,62.7,54,
2017-11-10T01:01:34.819Z,,,25.9,,63.3,54,
2017-11-10T01:01:44.814Z,,,26,,63.8,54,
2017-11-10T01:01:54.814Z,,,26.1,29,64.1,54,
2017-11-10T01:02:04.814Z,,,26.1,,64.5,54,
2017-11-10T01:02:14.815Z,,,26.3,30,64.8,54,
2017-11-10T01:02:24.823Z,,1,26.5,0,63.9,54,0
2017-11-10T01:02:34.819Z,,,26.3,,61.8,54,
2017-11-10T01:02:44.823Z,,,26.3,,60.9,54,
2017-11-10T01:02:54.818Z,,,26.5,,59.8,54,
2017-11-10T01:03:04.817Z,,,26.2,,58.8,54,
2017-11-10T01:03:14.821Z,,,26.5,,58.1,54,
2017-11-10T01:03:24.815Z,,,26.5,,57.3,54,
2017-11-10T01:03:34.813Z,,,26.1,,56.7,54,
2017-11-10T01:03:44.815Z,,,26.1,,56.2,54,
2017-11-10T01:03:54.815Z,,,25.6,,55.6,54,
2017-11-10T01:04:04.819Z,,,25.5,,55.1,54,
2017-11-10T01:04:14.816Z,,,25.5,,54.7,54,
2017-11-10T01:04:24.817Z,,,25.4,,54.3,54,
2017-11-10T01:04:34.822Z,,,25.1,,53.9,54,
2017-11-10T01:04:44.819Z,,,24.9,,53.6,54,
2017-11-10T01:04:54.817Z,,,24.7,,53.3,54,
2017-11-10T01:05:04.821Z,,1,25,45,54.1,54,0
2017-11-10T01:05:14.820Z,,,24.7,34,57.6,54,
2017-11-10T01:05:24.817Z,,,24.8,29,57.7,54,
2017-11-10T01:05:34.825Z,,,25.4,30,59.1,54,
2017-11-10T01:05:44.817Z,,,25.5,29,59.8,54,
2017-11-10T01:05:54.821Z,,,25.6,,60.6,54,
2017-11-10T01:06:04.817Z,,,25.6,,61.4,54,
2017-11-10T01:06:14.830Z,,,26,,62,54,
2017-11-10T01:06:24.819Z,,,25.9,,62.6,54,
2017-11-10T01:06:34.816Z,,,26,,63.2,54,
2017-11-10T01:06:44.819Z,,,26.2,,63.6,54,
2017-11-10T01:06:54.824Z,,,26.3,,64,54,
2017-11-10T01:07:04.820Z,,,26.5,,64.4,54,
2017-11-10T01:07:14.818Z,,,26.5,,64.7,54,
2017-11-10T01:07:24.820Z,,,26.5,,65.1,54,
2017-11-10T01:07:34.817Z,,1,26.6,0,62.7,54,0
2017-11-10T01:07:44.820Z,,,26.6,,61.4,54,
2017-11-10T01:07:54.820Z,,,26.6,,60.1,54,
2017-11-10T01:08:04.817Z,,,26.6,,59.3,54,
2017-11-10T01:08:14.819Z,,,26.5,,58.5,54,
2017-11-10T01:08:24.818Z,,,26.5,,57.7,54,
2017-11-10T01:08:34.819Z,,,26.3,,56.9,54,
2017-11-10T01:08:44.819Z,,,26.2,,56.3,54,
2017-11-10T01:08:54.819Z,,,26,,55.7,54,
2017-11-10T01:09:04.825Z,,,25.5,,55.2,54,
2017-11-10T01:09:14.821Z,,,25.7,,54.7,54,
2017-11-10T01:09:24.817Z,,,25.6,,54.3,54,
2017-11-10T01:09:34.823Z,,,25.4,,53.9,54,
2017-11-10T01:09:44.827Z,,,25.1,,53.5,54,
2017-11-10T01:09:54.825Z,,,25,,53.2,54,
2017-11-10T01:10:04.837Z,,1,25.4,45,54.1,54,0
2017-11-10T01:10:14.822Z,,,25.1,34,57.4,54,
2017-11-10T01:10:24.823Z,,,25.1,29,,54,
2017-11-10T01:10:34.823Z,,,25.7,,59,54,
2017-11-10T01:10:44.830Z,,,26.1,,59.6,54,
2017-11-10T01:10:54.824Z,,,26.3,,60.4,54,
2017-11-10T01:11:04.819Z,,,26.3,,61.1,54,
2017-11-10T01:11:14.819Z,,,26.3,,61.6,54,
2017-11-10T01:11:24.820Z,,,25.6,,62.2,54,
2017-11-10T01:11:34.825Z,,,25.6,30,62.7,54,
2017-11-10T01:11:44.823Z,,,25.9,29,63.2,54,
2017-11-10T01:11:54.822Z,,,26,,63.5,54,
2017-11-10T01:12:04.822Z,,,26.1,,63.9,54,
2017-11-10T01:12:14.823Z,,,25.9,,64.1,54,
2017-11-10T01:12:24.824Z,,,26,,64.4,54,
2017-11-10T01:12:34.827Z,,,26.1,,64.6,54,
2017-11-10T01:12:44.825Z,,,26.2,,64.8,54,
2017-11-10T01:12:54.834Z,,1,26.1,0,64.9,54,0
2017-11-10T01:13:04.826Z,,,26.2,,61.9,54,
2017-11-10T01:13:14.828Z,,,26.3,,60.9,54,
2017-11-10T01:13:24.822Z,,,26.3,,59.7,54,
2017-11-10T01:13:34.827Z,,,26.1,,58.8,54,
2017-11-10T01:13:44.821Z,,,26,,57.9,54,
2017-11-10T01:13:55.424Z,,,25.9,,56.9,54,
2017-11-10T01:14:04.826Z,,,26,,56.4,54,
2017-11-10T01:14:14.827Z,,,25.6,,55.7,54,
2017-11-10T01:14:24.821Z,,,25.7,,55.1,54,
