Time,PrimT,HwTOutlet,HwTSet,ActPow,HwActive,ChActive,PrimTSet
2017-11-19T00:36:37.277Z,62.6,48.9,54,,,,
2017-11-19T00:36:47.273Z,63.1,48.9,54,30,,,
2017-11-19T00:36:57.277Z,64,48.9,54,29,,,
2017-11-19T00:37:07.272Z,64.1,48.9,54,,,,
2017-11-19T00:37:17.275Z,64.5,48.9,54,,,,
2017-11-19T00:37:27.275Z,63.8,48.9,54,0,0,2,
2017-11-19T00:37:37.276Z,61.9,48.9,54,,,,
2017-11-19T00:37:47.272Z,61.6,48.9,54,,,,
2017-11-19T00:37:57.269Z,59.9,48.9,54,,,,
2017-11-19T00:38:07.278Z,58.9,48.9,54,,,,
2017-11-19T00:38:17.276Z,58.8,48.9,54,,,,
2017-11-19T00:38:27.278Z,57.9,48.9,54,,,,
2017-11-19T00:38:37.270Z,56.9,48.9,54,,,,
2017-11-19T00:38:47.270Z,56.6,48.9,54,,,,
2017-11-19T00:38:57.270Z,55.9,48.9,54,,,,
2017-11-19T00:39:07.277Z,54.9,48.9,54,,,,
2017-11-19T00:39:17.276Z,54.8,48.9,54,,,,
2017-11-19T00:39:27.277Z,53.9,48.9,54,,,,
2017-11-19T00:39:37.277Z,53.8,48.9,54,,,,
2017-11-19T00:39:47.274Z,53.4,48.9,54,,,,
2017-11-19T00:39:57.275Z,52.9,48.9,54,,,,
2017-11-19T00:40:07.272Z,54.6,48.9,54,44,0,2,
2017-11-19T00:40:17.277Z,57,48.9,54,32,,,
2017-11-19T00:40:32.371Z,57,48.9,54,30,,,
2017-11-19T00:40:37.272Z,58,48.9,54,29,,,
2017-11-19T00:40:47.272Z,59,48.9,54,,,,
2017-11-19T00:40:57.272Z,60,48.9,54,,,,
2017-11-19T00:41:07.280Z,61.1,48.9,54,,,,
2017-11-19T00:41:17.273Z,61.2,48.9,54,30,,,
2017-11-19T00:41:27.272Z,62,48.9,54,29,,,
2017-11-19T00:41:37.282Z,62.5,48.9,54,,,,
2017-11-19T00:41:47.273Z,63.1,48.8,54,,,,
2017-11-19T00:41:57.278Z,64,48.8,54,,,,
2017-11-19T00:42:07.273Z,,48.8,54,,,,
2017-11-19T00:42:17.281Z,64.5,48.8,54,,,,
2017-11-19T00:42:27.278Z,64.9,48.8,54,0,0,2,
2017-11-19T00:42:37.283Z,62.8,48.8,54,,,,
2017-11-19T00:42:47.282Z,61.8,48.8,54,,,,
2017-11-19T00:42:57.275Z,60.4,48.8,54,,,,
2017-11-19T00:43:07.272Z,59.7,48.8,54,,,,
2017-11-19T00:43:17.276Z,58.8,48.8,54,,,,
2017-11-19T00:43:27.277Z,57.9,48.8,54,,,,
2017-11-19T00:43:37.275Z,56.9,48.8,54,,,,
2017-11-19T00:43:47.280Z,56.6,48.8,54,,,,
2017-11-19T00:43:57.279Z,55.9,48.8,54,,,,
2017-11-19T00:44:07.281Z,54.9,48.8,54,,,,
2017-11-19T00:44:17.277Z,54.8,48.8,54,,,,
2017-11-19T00:44:27.281Z,53.9,48.8,54,,,,
2017-11-19T00:44:37.276Z,53.8,48.8,54,,,,
2017-11-19T00:44:47.275Z,53.3,48.8,54,,,,
2017-11-19T00:44:57.277Z,52.9,48.8,54,,,,
2017-11-19T00:45:07.280Z,54.5,48.8,54,43,0,2,
2017-11-19T00:45:17.276Z,57,48.9,54,32,,,
2017-11-19T00:45:27.274Z,57,48.9,54,29,,,
2017-11-19T00:45:37.277Z,58,48.9,54,,,,
2017-11-19T00:45:47.280Z,59,48.9,54,,,,
2017-11-19T00:45:57.282Z,60,48.9,54,,,,
2017-11-19T00:46:07.277Z,60.4,48.9,54,,,,
2017-11-19T00:46:22.378Z,61.1,48.9,54,,,,
2017-11-19T00:46:27.283Z,62,48.9,54,,,,
2017-11-19T00:46:37.279Z,62.4,48.8,54,,,,
2017-11-19T00:46:47.277Z,63.1,48.8,54,,,,
2017-11-19T00:46:57.283Z,63.4,48.8,54,,,,
2017-11-19T00:47:07.282Z,64,48.8,54,,,,
2017-11-19T00:47:17.276Z,64.2,48.8,54,,,,
2017-11-19T00:47:27.275Z,64.6,48.8,54,,,,
2017-11-19T00:47:37.287Z,63.8,48.8,54,0,0,2,
2017-11-19T00:47:47.277Z,61.9,48.8,54,,,,
2017-11-19T00:47:57.278Z,60.9,48.8,54,,,,
2017-11-19T00:48:07.284Z,59.8,48.7,54,,,,
2017-11-19T00:48:17.278Z,58.9,48.7,54,,,,
2017-11-19T00:48:27.280Z,57.9,48.7,54,,,,
2017-11-19T00:48:37.282Z,56.9,48.7,54,,,,
2017-11-19T00:48:47.279Z,56.8,48.7,54,,,,
2017-11-19T00:48:57.284Z,55.9,48.7,54,,,,
2017-11-19T00:49:07.285Z,54.9,48.7,54,,,,
2017-11-19T00:49:17.282Z,54.8,48.8,54,,,,
2017-11-19T00:49:27.277Z,53.9,48.8,54,,,,
2017-11-19T00:49:37.285Z,53.6,48.8,54,,,,
2017-11-19T00:49:47.285Z,52.9,48.8,54,,,,
2017-11-19T00:49:57.284Z,52.7,48.8,54,,,,
2017-11-19T00:50:12.337Z,54.3,48.8,54,42,0,2,
2017-11-19T00:50:17.288Z,56.1,48.8,54,36,,,
2017-11-19T00:50:27.278Z,56.5,48.8,54,29,,,
2017-11-19T00:50:37.282Z,58,48.8,54,,,,
2017-11-19T00:50:47.280Z,58.2,48.9,54,,,,
2017-11-19T00:50:57.282Z,59,48.8,54,,,,
2017-11-19T00:51:07.279Z,60,48.9,54,,,,
2017-11-19T00:51:17.282Z,60.1,48.8,54,,,,
