Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T00:41:06.982Z,,,,37.5,15.6,,54
2018-01-10T00:41:16.931Z,,,,,15.6,,54
2018-01-10T00:41:26.954Z,,,,,15.4,,54
2018-01-10T00:41:36.917Z,,,,,15.4,,54
2018-01-10T00:41:46.923Z,,,,,15.3,,54
2018-01-10T00:41:56.959Z,,,,,15.1,,54
2018-01-10T00:42:16.927Z,,,,,15,,54
2018-01-10T00:42:26.965Z,,,,,14.8,,54
2018-01-10T00:42:46.934Z,,,,,14.8,,54
2018-01-10T00:42:56.965Z,,,,,14.8,,54
2018-01-10T00:43:06.976Z,,,,,14.8,,54
2018-01-10T00:43:16.941Z,,,,37.4,14.8,,54
2018-01-10T00:43:26.920Z,,,,,14.8,,54
2018-01-10T00:43:36.916Z,,,,,14.7,,54
2018-01-10T00:43:46.948Z,,,,,14.5,,54
2018-01-10T00:43:56.973Z,,,,,14.5,,54
2018-01-10T00:44:07.010Z,,,,,14.5,,54
2018-01-10T00:44:16.942Z,,,,,14.3,,54
2018-01-10T00:44:26.936Z,,,,,14.5,,54
2018-01-10T00:44:36.956Z,,,,,14.5,,54
2018-01-10T00:44:46.922Z,,,,37.3,14.5,,54
2018-01-10T00:44:56.977Z,,,,,14.5,,54
2018-01-10T00:45:06.921Z,,,,,14.3,,54
2018-01-10T00:45:16.922Z,,,,,14.2,,54
2018-01-10T00:45:26.927Z,,,,,14.2,,54
2018-01-10T00:45:37.019Z,,,,,14.2,,54
2018-01-10T00:45:46.960Z,,,,37.2,14.2,,54
2018-01-10T00:45:56.987Z,,,,,14.2,,54
2018-01-10T00:46:06.919Z,,,,,14.2,,54
2018-01-10T00:46:16.929Z,,,,,14.2,,54
2018-01-10T00:46:26.944Z,,,,,14.2,,54
2018-01-10T00:46:36.924Z,,,,37.1,14,,54
2018-01-10T00:46:46.959Z,1,42,0,39.3,14,,54
2018-01-10T00:46:56.930Z,,32,,42.1,14,,54
2018-01-10T00:47:06.933Z,,29,,40.7,14.2,,54
2018-01-10T00:47:17.014Z,,,,41.1,14.8,,54
2018-01-10T00:47:27.005Z,,,,41.3,16.2,,54
2018-01-10T00:47:36.990Z,,,,41.6,16.8,,54
2018-01-10T00:47:46.972Z,,,,,17.5,,54
2018-01-10T00:47:57.004Z,,,,41.7,17.9,,54
2018-01-10T00:48:06.938Z,,,,,18.4,,54
2018-01-10T00:48:16.968Z,,,,41.8,18.8,,54
2018-01-10T00:48:27.011Z,,,,,18.9,,54
2018-01-10T00:48:36.925Z,,29,,42,19.2,,54
