Time,HwTOutlet,HwTSet,PrimT,HwActive,PrimTSet,ChActive,ActPow
2018-02-06T00:17:05.242Z,22.8,54,,,,,29
2018-02-06T00:17:15.351Z,22.8,54,62.8,,,,
2018-02-06T00:17:25.277Z,22.7,54,,,,,
2018-02-06T00:17:35.312Z,22.8,54,,,,,
2018-02-06T00:17:45.241Z,23,54,,,,,
2018-02-06T00:17:55.263Z,22.7,54,,,,,
2018-02-06T00:18:05.251Z,22.8,54,62.9,,,,
2018-02-06T00:18:15.363Z,22.7,54,,,,,
2018-02-06T00:18:25.244Z,22.7,54,,,,,
2018-02-06T00:18:35.302Z,22.8,54,,,,,
2018-02-06T00:18:45.264Z,22.7,54,,,,,
2018-02-06T00:18:55.269Z,22.7,54,63.1,,,,
2018-02-06T00:19:05.254Z,22.7,54,,,,,
2018-02-06T00:19:15.367Z,22.7,54,,,,,
2018-02-06T00:19:25.262Z,22.7,54,,,,,
2018-02-06T00:19:35.245Z,22.7,54,63.2,,,,
2018-02-06T00:19:45.265Z,22.8,54,,,,,
2018-02-06T00:19:55.435Z,22.8,54,,,,,30
2018-02-06T00:20:05.256Z,22.8,54,,,,,29
2018-02-06T00:20:15.345Z,22.8,54,,,,,
2018-02-06T00:20:25.245Z,23,54,,,,,
2018-02-06T00:20:35.255Z,23,54,63.3,,,,
2018-02-06T00:20:45.256Z,22.8,54,,,,,
2018-02-06T00:20:55.269Z,22.8,54,,,,,
2018-02-06T00:21:05.256Z,22.7,54,,,,,30
2018-02-06T00:21:15.357Z,22.8,54,,,,,29
2018-02-06T00:21:25.251Z,22.8,54,63.4,,,,
2018-02-06T00:21:35.257Z,23.1,54,,,,,
2018-02-06T00:21:45.247Z,22.8,54,,,,,
2018-02-06T00:21:55.272Z,22.8,54,,,,,
2018-02-06T00:22:05.250Z,23,54,,,,,
2018-02-06T00:22:15.576Z,23,54,,,,,30
2018-02-06T00:22:25.257Z,22.8,54,63.5,,,,29
2018-02-06T00:22:35.252Z,23,54,,,,,
2018-02-06T00:22:45.283Z,23,54,,,,,30
2018-02-06T00:22:55.266Z,23,54,,,,,29
2018-02-06T00:23:05.257Z,22.8,54,,,,,
2018-02-06T00:23:15.474Z,23,54,,,,,30
2018-02-06T00:23:25.309Z,22.8,54,63.6,,,,29
2018-02-06T00:23:35.259Z,23.1,54,,,,,
2018-02-06T00:23:45.320Z,23,54,,,,,30
2018-02-06T00:23:55.252Z,23.1,54,,,,,29
2018-02-06T00:24:05.249Z,23.1,54,,,,,30
2018-02-06T00:24:15.373Z,23.1,54,,,,,29
2018-02-06T00:24:25.343Z,22.8,54,,,,,
2018-02-06T00:24:35.250Z,22.8,54,,,,,
2018-02-06T00:24:45.340Z,22.8,54,63.8,,,,
2018-02-06T00:24:55.266Z,23,54,,,,,
2018-02-06T00:25:05.291Z,23.1,54,,,,,
2018-02-06T00:25:15.397Z,23.1,54,,,,,
2018-02-06T00:25:25.252Z,23,54,,,,,
2018-02-06T00:25:35.247Z,23.1,54,,,,,
2018-02-06T00:25:45.313Z,23,54,,,,,
2018-02-06T00:25:55.249Z,23,54,63.9,,,,30
2018-02-06T00:26:05.250Z,22.8,54,,,,,29
2018-02-06T00:26:15.371Z,22.8,54,,,,,
2018-02-06T00:26:25.252Z,23,54,,,,,
2018-02-06T00:26:35.252Z,23,54,,,,,
2018-02-06T00:26:45.287Z,23.1,54,,,,,
2018-02-06T00:26:55.253Z,23,54,63.9,,,,29
2018-02-06T00:27:05.247Z,22.8,54,,,,,30
2018-02-06T00:27:15.651Z,23,54,64,,,,29
2018-02-06T00:27:25.249Z,23.1,54,,,,,30
2018-02-06T00:27:35.254Z,23.1,54,,,,,29
2018-02-06T00:27:45.279Z,23,54,,,,,
2018-02-06T00:27:55.278Z,23,54,,,,,30
2018-02-06T00:28:05.362Z,23,54,,,,,29
2018-02-06T00:28:15.589Z,23.1,54,64.1,,,,30
2018-02-06T00:28:25.250Z,23.1,54,,,,,29
2018-02-06T00:28:35.250Z,23.1,54,,,,,
2018-02-06T00:28:45.261Z,22.8,54,,,,,30
2018-02-06T00:28:55.260Z,22.8,54,,,,,
2018-02-06T00:29:05.271Z,23,54,,,,,29
2018-02-06T00:29:15.453Z,23.1,54,,,,,
2018-02-06T00:29:25.254Z,23.1,54,,,,,
2018-02-06T00:29:35.325Z,23.1,54,64.2,,,,
2018-02-06T00:29:45.250Z,23,54,,,,,
2018-02-06T00:29:55.249Z,23,54,,,,,
2018-02-06T00:30:05.257Z,23,54,,,,,
2018-02-06T00:30:15.485Z,23,54,,,,,
2018-02-06T00:30:25.306Z,23.1,54,,,,,
2018-02-06T00:30:35.307Z,23.1,54,,,,,
2018-02-06T00:30:45.258Z,22.8,54,64.4,,,,
2018-02-06T00:30:55.251Z,23.1,54,,,,,
2018-02-06T00:31:05.310Z,22.8,54,,,,,
2018-02-06T00:31:15.351Z,23.3,54,,,,,
2018-02-06T00:31:25.278Z,23.4,54,,,,,
2018-02-06T00:31:35.327Z,23.4,54,,,,,30
2018-02-06T00:31:45.341Z,23.4,54,,,,,29
2018-02-06T00:31:55.266Z,23.4,54,,,,,
2018-02-06T00:32:05.252Z,23.3,54,,,,,
2018-02-06T00:32:15.356Z,23.1,54,64.5,,,,
2018-02-06T00:32:25.299Z,13.6,54,64.7,1,0,0,29
2018-02-06T00:32:35.263Z,57.1,54,61.2,,,,61
2018-02-06T00:32:45.255Z,54.3,54,58.9,,,,64
2018-02-06T00:32:55.290Z,53,54,58.3,,,,70
2018-02-06T00:33:05.259Z,52.9,54,,,,,78
2018-02-06T00:33:15.366Z,53.5,54,58.6,,,,77
2018-02-06T00:33:25.282Z,53.7,54,58.8,,,,78
2018-02-06T00:33:35.260Z,53.9,54,59,,,,
2018-02-06T00:33:45.262Z,54.3,54,59.1,,,,75
2018-02-06T00:33:55.251Z,54.3,54,,,,,76
2018-02-06T00:34:05.252Z,52.9,54,59.4,,,,95
2018-02-06T00:34:15.368Z,53.6,54,58.7,0,,0,0
2018-02-06T00:34:25.301Z,54.7,54,58.1,,,,
2018-02-06T00:34:35.261Z,56.9,54,61.2,,,,
2018-02-06T00:34:45.256Z,58.2,54,62.4,,,,
2018-02-06T00:34:55.287Z,58.5,54,61.9,,,,
2018-02-06T00:35:05.255Z,57.7,54,61.5,,,,
2018-02-06T00:35:15.373Z,55.5,54,60.8,0,61,2,
2018-02-06T00:35:25.295Z,51.3,54,62.1,0,,2,38
2018-02-06T00:35:35.290Z,48,54,63.9,,,,30
2018-02-06T00:35:45.311Z,45.7,54,62.9,,,,29
2018-02-06T00:35:55.254Z,43.8,54,62.8,,,,
2018-02-06T00:36:05.294Z,42.2,54,,,,,
2018-02-06T00:36:15.372Z,40.7,54,62.4,,,,
2018-02-06T00:36:25.267Z,38.9,54,61.9,,,,
2018-02-06T00:36:35.322Z,37.6,54,61.6,,,,
2018-02-06T00:36:45.332Z,36.2,54,61.3,,,,
2018-02-06T00:36:55.265Z,35.2,54,61.1,,,,
2018-02-06T00:37:10.373Z,33.9,54,60.9,,,,29
2018-02-06T00:37:15.359Z,33.3,54,60.8,,,,
2018-02-06T00:37:25.268Z,32.5,54,60.7,,,,
2018-02-06T00:37:35.255Z,31.5,54,,,,,
2018-02-06T00:37:45.255Z,30.7,54,60.6,,,,
2018-02-06T00:37:55.264Z,30.1,54,60.7,,,,
2018-02-06T00:38:05.256Z,29.3,54,,,,,
2018-02-06T00:38:15.369Z,28.7,54,,,,,
2018-02-06T00:38:25.254Z,28.3,54,,,,,
2018-02-06T00:38:35.257Z,27.8,54,60.8,,,,
2018-02-06T00:38:45.252Z,27.7,54,60.9,,,,
2018-02-06T00:38:55.324Z,27.5,54,61.1,,,,
2018-02-06T00:39:05.254Z,27.1,54,,,,,
2018-02-06T00:39:15.365Z,26.7,54,61.2,,,,
2018-02-06T00:39:25.275Z,26.5,54,,,,,
2018-02-06T00:39:35.254Z,26.2,54,61.3,,,,
2018-02-06T00:39:45.257Z,26.5,54,61.4,,,,30
2018-02-06T00:39:55.428Z,26.3,54,,,,,29
2018-02-06T00:40:05.259Z,26.1,54,61.5,,,,
2018-02-06T00:40:15.439Z,26,54,61.6,,,,
2018-02-06T00:40:25.268Z,26.1,54,,,,,
2018-02-06T00:40:35.279Z,26,54,61.8,,,,
2018-02-06T00:40:45.305Z,25.9,54,,,,,
2018-02-06T00:40:55.259Z,25.7,54,61.9,,,,
2018-02-06T00:41:05.260Z,25.5,54,,,,,
2018-02-06T00:41:15.401Z,25.4,54,62,,,,
2018-02-06T00:41:25.256Z,25.1,54,,,,,
2018-02-06T00:41:35.279Z,25,54,,,,,
2018-02-06T00:41:45.259Z,24.9,54,62.1,,,,
2018-02-06T00:41:55.308Z,24.8,54,,,,,
2018-02-06T00:42:05.283Z,24.7,54,62.2,,,,30
2018-02-06T00:42:15.421Z,24.5,54,,,,,29
2018-02-06T00:42:25.291Z,24.5,54,62.4,,,,
2018-02-06T00:42:35.314Z,24.4,54,,,,,
2018-02-06T00:42:45.319Z,24.2,54,,,,,
2018-02-06T00:42:55.330Z,24.2,54,,,,,
2018-02-06T00:43:05.371Z,24,54,62.5,,,,
2018-02-06T00:43:15.371Z,24.2,54,,,,,
2018-02-06T00:43:25.312Z,24,54,,,,,
2018-02-06T00:43:35.259Z,23.9,54,62.6,,,,
2018-02-06T00:43:45.332Z,23.9,54,,,,,
2018-02-06T00:43:55.258Z,24,54,,,,,
2018-02-06T00:44:05.270Z,23.9,54,,,,,
2018-02-06T00:44:15.393Z,23.8,54,62.7,,,,
2018-02-06T00:44:25.256Z,23.7,54,,,,,
2018-02-06T00:44:35.267Z,23.6,54,,,,,
2018-02-06T00:44:45.280Z,23.7,54,,,,,
2018-02-06T00:44:55.402Z,23.6,54,62.8,,,,
2018-02-06T00:45:05.318Z,23.7,54,,,,,
2018-02-06T00:45:15.400Z,23.7,54,,,,,
2018-02-06T00:45:25.261Z,23.7,54,,,,,
2018-02-06T00:45:35.328Z,22.7,54,62.9,,,,
2018-02-06T00:45:45.323Z,23,54,,,,,
2018-02-06T00:45:55.260Z,23.2,54,,,,,
2018-02-06T00:46:05.356Z,23.1,54,,,,,
2018-02-06T00:46:15.406Z,23.6,54,63.1,,,,
2018-02-06T00:46:25.275Z,23.3,54,,,,,
2018-02-06T00:46:35.261Z,24.4,54,,,,,
2018-02-06T00:46:45.266Z,24.3,54,,,,,30
2018-02-06T00:46:55.259Z,24.4,54,63.2,,,,
2018-02-06T00:47:05.317Z,24.2,54,,,,,29
2018-02-06T00:47:15.377Z,24.2,54,,,,,
2018-02-06T00:47:25.260Z,23.9,54,,,,,
2018-02-06T00:47:35.260Z,23.9,54,,,,,
2018-02-06T00:47:45.280Z,23.8,54,63.3,,,,
2018-02-06T00:47:55.261Z,23.8,54,,,,,
2018-02-06T00:48:05.284Z,23.8,54,,,,,
2018-02-06T00:48:15.428Z,23.8,54,,,,,
2018-02-06T00:48:25.288Z,23.7,54,,,,,
2018-02-06T00:48:35.264Z,23.8,54,63.4,,,,
2018-02-06T00:48:45.269Z,23.7,54,,,,,
2018-02-06T00:48:55.295Z,23.6,54,,,,,
2018-02-06T00:49:05.276Z,23.6,54,,,,,
2018-02-06T00:49:15.466Z,23.4,54,63.5,,,,
2018-02-06T00:49:25.297Z,23.7,54,,,,,
2018-02-06T00:49:35.262Z,23.4,54,,,,,
2018-02-06T00:49:45.268Z,23.4,54,,,,,
2018-02-06T00:49:55.324Z,23.4,54,,,,,
2018-02-06T00:50:05.266Z,23.3,54,,,,,
2018-02-06T00:50:15.364Z,23.3,54,63.6,,,,
2018-02-06T00:50:25.260Z,23.2,54,,,,,30
2018-02-06T00:50:35.267Z,23.2,54,,,,,29
2018-02-06T00:50:45.265Z,23.2,54,,,,,
2018-02-06T00:50:55.287Z,23.2,54,,,,,
2018-02-06T00:51:05.280Z,23.3,54,63.8,,,,
2018-02-06T00:51:15.384Z,23.2,54,,,,,
2018-02-06T00:51:25.263Z,23.2,54,,,,,
2018-02-06T00:51:35.322Z,23.2,54,,,,,
2018-02-06T00:51:45.282Z,23.4,54,,,,,
2018-02-06T00:51:55.282Z,23.6,54,,,,,
2018-02-06T00:52:05.323Z,23.6,54,,,,,
2018-02-06T00:52:15.389Z,23.3,54,63.9,,,,
2018-02-06T00:52:25.263Z,23.3,54,,,,,
2018-02-06T00:52:35.280Z,23.4,54,,,,,
2018-02-06T00:52:45.291Z,23.3,54,,,,,
2018-02-06T00:52:55.349Z,23.3,54,,,,,30
2018-02-06T00:53:05.261Z,23.4,54,64,,,,30
2018-02-06T00:53:15.393Z,23.6,54,64,,,,29
2018-02-06T00:53:25.280Z,23.6,54,,,,,30
2018-02-06T00:53:35.313Z,23.4,54,,,,,29
2018-02-06T00:53:45.324Z,23.4,54,,,,,
2018-02-06T00:53:55.265Z,23.4,54,,,,,
2018-02-06T00:54:05.265Z,23.3,54,,,,,
2018-02-06T00:54:15.368Z,23.3,54,,,,,
2018-02-06T00:54:25.298Z,23.4,54,64.1,,,,30
2018-02-06T00:54:35.275Z,23.6,54,,,,,29
2018-02-06T00:54:45.267Z,23.6,54,,,,,
2018-02-06T00:54:55.265Z,23.4,54,,,,,
2018-02-06T00:55:05.271Z,23.4,54,,,,,
2018-02-06T00:55:15.362Z,23.7,54,,,,,30
2018-02-06T00:55:30.387Z,23.6,54,,,,,29
2018-02-06T00:55:35.268Z,23.7,54,,,,,
2018-02-06T00:55:45.268Z,23.6,54,,,,,
2018-02-06T00:55:55.344Z,23.4,54,,,,,
2018-02-06T00:56:05.263Z,23.7,54,,,,,
2018-02-06T00:56:15.415Z,23.7,54,,,,,
2018-02-06T00:56:25.263Z,23.8,54,,,,,
2018-02-06T00:56:35.276Z,23.7,54,,,,,
2018-02-06T00:56:45.397Z,23.7,54,,,,,
2018-02-06T00:56:55.266Z,23.6,54,,,,,
2018-02-06T00:57:05.278Z,23.7,54,,,,,
2018-02-06T00:57:15.416Z,23.6,54,,,,,
2018-02-06T00:57:25.264Z,23.6,54,,,,,
2018-02-06T00:57:35.269Z,23.4,54,,,,,
2018-02-06T00:57:45.269Z,23.6,54,,,,,30
2018-02-06T00:57:55.288Z,23.7,54,,,,,29
2018-02-06T00:58:05.266Z,23.6,54,,,,,
2018-02-06T00:58:15.424Z,23.7,54,,,,,
2018-02-06T00:58:25.381Z,23.6,54,,,,,
2018-02-06T00:58:35.265Z,23.6,54,,,,,
2018-02-06T00:58:45.330Z,23.6,54,,,,,
2018-02-06T00:58:55.345Z,23.7,54,,,,,30
2018-02-06T00:59:05.290Z,23.8,54,64,,,,29
2018-02-06T00:59:15.419Z,23.6,54,,,,,
2018-02-06T00:59:25.341Z,23.7,54,,,,,
2018-02-06T00:59:35.270Z,23.6,54,,,,,
2018-02-06T00:59:45.342Z,23.7,54,,,,,
2018-02-06T00:59:55.271Z,23.4,54,,,,,
2018-02-06T01:00:05.291Z,23.4,54,,,,,
2018-02-06T01:00:15.483Z,23.4,54,,,,,
2018-02-06T01:00:25.268Z,23.7,54,63.9,,,,29
2018-02-06T01:00:35.304Z,23.6,54,63.9,,,,29
2018-02-06T01:00:45.269Z,23.6,54,63.9,,,,30
2018-02-06T01:00:55.268Z,23.4,54,,,,,29
2018-02-06T01:01:05.403Z,23.3,54,,,,,
2018-02-06T01:01:15.455Z,23.2,54,,,,,
2018-02-06T01:01:25.293Z,23.3,54,,,,,
2018-02-06T01:01:35.272Z,23.6,54,,,,,
2018-02-06T01:01:45.285Z,23.6,54,,,,,
2018-02-06T01:01:55.294Z,23.6,54,,,,,
2018-02-06T01:02:05.302Z,23.7,54,,,,,
2018-02-06T01:02:15.478Z,23.7,54,,,,,
2018-02-06T01:02:25.271Z,23.6,54,,,,,30
2018-02-06T01:02:35.322Z,23.4,54,,,,,29
2018-02-06T01:02:45.280Z,23.6,54,,,,,
2018-02-06T01:02:55.275Z,23.6,54,,,,,
2018-02-06T01:03:05.294Z,23.4,54,,,,,
2018-02-06T01:03:15.445Z,23.3,54,,,,,
2018-02-06T01:03:25.287Z,23.3,54,,,,,
2018-02-06T01:03:35.272Z,23.3,54,,,,,
2018-02-06T01:03:45.307Z,23.6,54,,,,,
2018-02-06T01:03:55.300Z,23.4,54,,,,,
2018-02-06T01:04:05.328Z,23.4,54,,,,,
2018-02-06T01:04:15.374Z,23.6,54,,,,,30
2018-02-06T01:04:25.297Z,23.3,54,,,,,29
2018-02-06T01:04:35.276Z,23.4,54,,,,,
2018-02-06T01:04:45.277Z,23.6,54,,,,,
2018-02-06T01:04:55.308Z,23.6,54,,,,,
2018-02-06T01:05:05.298Z,23.6,54,,,,,
2018-02-06T01:05:15.420Z,23.6,54,64,0,61,2,29
2018-02-06T01:05:25.309Z,23.4,54,63.9,,,,
2018-02-06T01:05:35.289Z,23.3,54,64,,,,29
2018-02-06T01:05:45.271Z,23.4,54,64,,,,
2018-02-06T01:05:55.271Z,23.6,54,,,,,30
2018-02-06T01:06:05.275Z,23.3,54,,,,,29
2018-02-06T01:06:15.378Z,23.3,54,,,,,
2018-02-06T01:06:25.272Z,23.3,54,,,,,
2018-02-06T01:06:35.324Z,23.4,54,,,,,
2018-02-06T01:06:45.280Z,23.4,54,,,,,
2018-02-06T01:06:55.372Z,23.4,54,,,,,
2018-02-06T01:07:05.282Z,23.4,54,64.1,,,,
2018-02-06T01:07:15.400Z,23.4,54,,,,,
2018-02-06T01:07:25.284Z,23.6,54,,,,,
2018-02-06T01:07:35.350Z,23.7,54,,,,,
2018-02-06T01:07:45.274Z,23.6,54,,,,,
2018-02-06T01:07:55.325Z,23.3,54,,,,,30
2018-02-06T01:08:05.364Z,23.6,54,,,,,29
2018-02-06T01:08:15.391Z,23.4,54,,,,,
2018-02-06T01:08:25.271Z,23.4,54,64.2,,,,30
2018-02-06T01:08:35.372Z,23.7,54,,,,,29
2018-02-06T01:08:45.284Z,23.4,54,,,,,
2018-02-06T01:08:55.333Z,23.6,54,,0,0,0,0
2018-02-06T01:09:05.272Z,20,54,65.8,,,,
2018-02-06T01:09:15.429Z,24.7,54,65.2,,,,
2018-02-06T01:09:25.286Z,43.5,54,65.1,,,,
2018-02-06T01:09:35.283Z,54.1,54,64.7,,,,
2018-02-06T01:09:45.295Z,54.2,54,63.9,,,,
2018-02-06T01:09:55.275Z,51.1,54,62.9,0,61,2,
2018-02-06T01:10:05.292Z,47.8,54,60.2,,,,
2018-02-06T01:10:15.384Z,44.8,54,57.7,,,,
2018-02-06T01:10:25.357Z,43.4,54,58.3,,,,
2018-02-06T01:10:35.397Z,42.3,54,57.7,,,,
2018-02-06T01:10:45.304Z,41.2,54,56.3,,,,
2018-02-06T01:10:55.294Z,39.9,54,55.9,,,,
2018-02-06T01:11:05.278Z,38.5,54,54.7,,,,
2018-02-06T01:11:15.419Z,36.9,54,58.1,0,,2,37
2018-02-06T01:11:25.279Z,35.8,54,58.3,,,,29
2018-02-06T01:11:35.275Z,34.8,54,58.4,,,,
2018-02-06T01:11:45.280Z,33.7,54,59.1,,,,
2018-02-06T01:11:55.356Z,32.7,54,59.5,,,,
2018-02-06T01:12:05.392Z,32.1,54,60,,,,
2018-02-06T01:12:15.382Z,31.4,54,60.2,,,,
2018-02-06T01:12:25.284Z,30.7,54,60.5,,,,
2018-02-06T01:12:35.273Z,30.2,54,60.8,,,,
2018-02-06T01:12:45.323Z,29.8,54,61.1,,,,
2018-02-06T01:12:55.306Z,29.3,54,61.3,,,,30
2018-02-06T01:13:05.355Z,28.9,54,61.4,,,,
2018-02-06T01:13:15.394Z,28.1,54,61.5,,,,29
2018-02-06T01:13:25.355Z,27.9,54,61.6,,,,
2018-02-06T01:13:35.357Z,27.5,54,61.8,,,,
2018-02-06T01:13:45.327Z,27.7,54,61.9,,,,
2018-02-06T01:13:55.278Z,27.5,54,62,,,,
2018-02-06T01:14:05.280Z,27.3,54,,,,,
2018-02-06T01:14:15.399Z,26.6,54,62.1,,,,
2018-02-06T01:14:25.288Z,26.2,54,,,,,
2018-02-06T01:14:35.298Z,26.3,54,62.2,,,,
2018-02-06T01:14:45.279Z,26.2,54,,,,,
2018-02-06T01:14:55.278Z,26.3,54,62.4,,,,
2018-02-06T01:15:05.288Z,26.2,54,,,,,
2018-02-06T01:15:15.380Z,25.9,54,62.5,,,,
2018-02-06T01:15:25.285Z,26.2,54,,,,,
2018-02-06T01:15:35.286Z,26.2,54,,,,,
2018-02-06T01:15:45.274Z,26.2,54,,,,,
2018-02-06T01:15:55.279Z,26.3,54,62.6,,,,
2018-02-06T01:16:05.279Z,26.2,54,,,,,
2018-02-06T01:16:15.379Z,26.3,54,,,,,
2018-02-06T01:16:25.280Z,26.7,54,,,,,
2018-02-06T01:16:35.279Z,26.6,54,,,,,
2018-02-06T01:16:45.284Z,26.5,54,,,,,
2018-02-06T01:16:55.340Z,26.5,54,62.7,,,,
2018-02-06T01:17:05.441Z,26.8,54,,,,,
2018-02-06T01:17:15.471Z,26.5,54,,,,,
2018-02-06T01:17:25.294Z,26.3,54,,,,,
2018-02-06T01:17:35.281Z,26.8,54,,,,,
2018-02-06T01:17:45.340Z,26.8,54,62.8,,,,
2018-02-06T01:17:55.322Z,27.1,54,,,,,
2018-02-06T01:18:05.323Z,27.2,54,,,,,
2018-02-06T01:18:15.442Z,27.3,54,,,,,30
2018-02-06T01:18:25.457Z,27.4,54,62.9,,,,29
2018-02-06T01:18:35.282Z,27.3,54,,,,,
2018-02-06T01:18:45.286Z,27.4,54,,,,,
2018-02-06T01:18:55.309Z,27.3,54,62.9,,,,29
2018-02-06T01:19:05.423Z,27.4,54,63.1,,,,
2018-02-06T01:19:15.482Z,27.2,54,,,,,
