Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T00:40:46.288Z,,23.3,,,,,54
2017-12-12T00:40:56.288Z,,23.6,,,,,54
2017-12-12T00:41:06.289Z,,23.8,,,,,54
2017-12-12T00:41:16.421Z,,23.8,,,,,54
2017-12-12T00:41:26.292Z,,23.8,,,,,54
2017-12-12T00:41:36.295Z,,23.8,,,,,54
2017-12-12T00:41:46.286Z,,24,,,,,54
2017-12-12T00:41:56.293Z,,24,,,,,54
2017-12-12T00:42:06.287Z,,24.2,,,,30,54
2017-12-12T00:42:16.289Z,,24.2,,,,29,54
2017-12-12T00:42:26.293Z,,23.7,,,,,54
2017-12-12T00:42:36.290Z,,23.9,,,,30,54
2017-12-12T00:42:46.290Z,,23.9,,,,29,54
2017-12-12T00:42:56.289Z,,23.6,,,,,54
2017-12-12T00:43:06.308Z,,23.7,,,,,54
2017-12-12T00:43:16.291Z,,23.6,,,,30,54
2017-12-12T00:43:26.292Z,,23.6,,,,29,54
2017-12-12T00:43:36.290Z,,23.4,,,,,54
2017-12-12T00:43:46.288Z,,23.4,,,,,54
2017-12-12T00:43:56.292Z,,23.2,,,,,54
2017-12-12T00:44:06.365Z,,23.6,,,,,54
2017-12-12T00:44:16.290Z,,23.3,,,56.6,,54
2017-12-12T00:44:26.296Z,,23.6,,,56.5,,54
2017-12-12T00:44:36.302Z,,23.3,,,56.6,,54
2017-12-12T00:44:46.293Z,,23.3,,,,,54
2017-12-12T00:44:56.290Z,,23.3,,,,,54
2017-12-12T00:45:06.289Z,,23.6,,,,,54
2017-12-12T00:45:16.289Z,,23.8,,,,,54
2017-12-12T00:45:26.292Z,,23.7,,,,,54
2017-12-12T00:45:41.362Z,,23.3,,,,,54
2017-12-12T00:45:46.292Z,,23.6,,,,,54
2017-12-12T00:45:56.293Z,,24,,,,,54
2017-12-12T00:46:06.294Z,,24.2,,,56.7,,54
2017-12-12T00:46:16.293Z,,23.9,,,,,54
2017-12-12T00:46:26.296Z,,23.7,,,,,54
2017-12-12T00:46:36.294Z,,23.3,,,,,54
2017-12-12T00:46:46.295Z,,23.4,,,,,54
2017-12-12T00:47:01.403Z,,23.3,,,56.8,30,54
2017-12-12T00:47:06.295Z,,23.3,,,,29,54
2017-12-12T00:47:16.297Z,,23.4,,,,30,54
2017-12-12T00:47:26.292Z,,23.6,,,,29,54
2017-12-12T00:47:36.291Z,,23.7,,,,,54
2017-12-12T00:47:46.291Z,,23.7,,,56.9,30,54
2017-12-12T00:47:56.290Z,,23.7,,,,0,54
2017-12-12T00:48:06.293Z,,23.9,0,2,54.9,,54
2017-12-12T00:48:16.294Z,,23.6,,,53.9,,54
