Time,ChActive,PrimT,HwTOutlet,HwActive,HwTSet,ActPow,PrimTSet
2017-12-08T10:15:44.399Z,1,62.8,45.3,0,54,0,
2017-12-08T10:15:54.358Z,,61.4,45.4,,54,,
2017-12-08T10:16:04.343Z,,60.5,45.4,,54,,
2017-12-08T10:16:14.325Z,,58.9,45.4,,54,,
2017-12-08T10:16:29.436Z,,58.4,45.4,,54,,
2017-12-08T10:16:34.389Z,,57.6,45.3,,54,,
2017-12-08T10:16:44.332Z,,56.9,45.3,,54,,
2017-12-08T10:16:54.364Z,,56.3,45.2,,54,,
2017-12-08T10:17:04.346Z,,55.7,45,,54,,
2017-12-08T10:17:19.395Z,,55.2,44.9,,54,,
2017-12-08T10:17:24.342Z,1,55.2,44.8,0,54,44,
2017-12-08T10:17:34.348Z,,58.4,44.7,,54,38,
2017-12-08T10:17:49.430Z,,58.7,44.6,,54,29,
2017-12-08T10:17:54.330Z,,59.5,44.4,,54,,
2017-12-08T10:18:04.328Z,,60.4,44.4,,54,,
2017-12-08T10:18:14.320Z,,60.8,44.4,,54,,
2017-12-08T10:18:24.343Z,,61.4,44.4,,54,,
2017-12-08T10:18:34.321Z,,61.8,44.4,,54,,
2017-12-08T10:18:44.317Z,,62.1,44.4,,54,,
2017-12-08T10:18:54.320Z,,62.5,44.4,,54,,
2017-12-08T10:19:04.319Z,,62.7,44.6,,54,,
2017-12-08T10:19:14.319Z,,62.8,44.6,,54,,
2017-12-08T10:19:24.321Z,,63.1,44.6,,54,,
2017-12-08T10:19:34.349Z,,63.2,44.7,,54,,
2017-12-08T10:19:45.998Z,,63.3,44.7,,54,,
2017-12-08T10:19:54.318Z,,63.4,44.7,,54,,
2017-12-08T10:20:04.330Z,,63.5,44.7,,54,,
2017-12-08T10:20:14.338Z,,63.6,44.7,,54,,
2017-12-08T10:20:24.327Z,,,44.7,,54,,
2017-12-08T10:20:34.325Z,,63.8,44.8,,54,,
2017-12-08T10:20:44.418Z,,63.9,44.8,,54,,
2017-12-08T10:20:54.320Z,,,44.8,,54,,
2017-12-08T10:21:04.329Z,,64,44.9,,54,,
2017-12-08T10:21:14.321Z,,,44.9,,54,,
2017-12-08T10:21:24.321Z,,,44.9,,54,,
2017-12-08T10:21:34.323Z,,64.1,44.9,,54,,
2017-12-08T10:21:44.326Z,,,44.9,,54,,
