Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2018-01-01T00:23:54.681Z,54,,,,51,,
2018-01-01T00:24:04.686Z,54,,,,51,,
2018-01-01T00:24:14.682Z,54,,,,51,,
2018-01-01T00:24:24.682Z,54,,,,51,,
2018-01-01T00:24:34.678Z,54,,,,51,,
2018-01-01T00:24:44.678Z,54,,,,51.1,,
2018-01-01T00:24:54.677Z,54,,,,51.1,,
2018-01-01T00:25:04.678Z,54,,,,51.1,,
2018-01-01T00:25:14.688Z,54,,,,51.1,,
2018-01-01T00:25:24.679Z,54,,29,,51.1,,63.9
2018-01-01T00:25:34.682Z,54,,,,51,,
2018-01-01T00:25:44.682Z,54,,29,,51,,64
2018-01-01T00:25:54.679Z,54,,,,51,,63.9
2018-01-01T00:26:04.686Z,54,,,,51.1,,
2018-01-01T00:26:14.680Z,54,,,,51.1,,64
2018-01-01T00:26:24.681Z,54,61,29,0,51.1,2,64
2018-01-01T00:26:34.680Z,54,,,,51,,
2018-01-01T00:26:44.680Z,54,,,,51,,
2018-01-01T00:26:54.679Z,54,,,,51,,
2018-01-01T00:27:04.684Z,54,,,,51,,
2018-01-01T00:27:14.680Z,54,,,,51,,
2018-01-01T00:27:24.681Z,54,,,,51,,
2018-01-01T00:27:34.681Z,54,,,,51,,
2018-01-01T00:27:44.690Z,54,,,,51,,
2018-01-01T00:27:54.679Z,54,,,,51,,
2018-01-01T00:28:04.684Z,54,,,,51,,
2018-01-01T00:28:14.682Z,54,,,,51,,
2018-01-01T00:28:24.683Z,54,,,,51.1,,
2018-01-01T00:28:34.682Z,54,,,,51.1,,64.1
2018-01-01T00:28:44.682Z,54,,,,51,,
2018-01-01T00:28:54.683Z,54,,,,51,,
2018-01-01T00:29:04.683Z,54,,30,,51,,
2018-01-01T00:29:14.683Z,54,,29,,51,,
2018-01-01T00:29:24.690Z,54,,30,,50.9,,
2018-01-01T00:29:34.682Z,54,,29,,50.9,,
2018-01-01T00:29:44.691Z,54,,,,50.8,,
2018-01-01T00:29:54.681Z,54,,,,50.8,,64.2
2018-01-01T00:30:04.685Z,54,,,,50.7,,
2018-01-01T00:30:14.683Z,54,,30,,50.7,,
2018-01-01T00:30:24.685Z,54,,29,,50.8,,
2018-01-01T00:30:34.684Z,54,,,,50.8,,
2018-01-01T00:30:44.684Z,54,,,,50.8,,
2018-01-01T00:30:54.685Z,54,,,,50.9,,
2018-01-01T00:31:04.682Z,54,,,,50.9,,
2018-01-01T00:31:14.682Z,54,,,,51,,
2018-01-01T00:31:24.685Z,54,,,,51,,
2018-01-01T00:31:34.686Z,54,,,,51,,64.4
2018-01-01T00:31:44.874Z,54,,,,51.1,,
2018-01-01T00:31:54.682Z,54,,,,51.1,,
2018-01-01T00:32:04.850Z,54,,,,51.1,,
2018-01-01T00:32:14.681Z,54,,,,51.2,,
2018-01-01T00:32:24.685Z,54,,,,51.2,,
2018-01-01T00:32:34.692Z,54,,,,51.3,,64.5
2018-01-01T00:32:44.683Z,54,,,,51.3,,
2018-01-01T00:32:54.718Z,54,,,,51.3,,
2018-01-01T00:33:04.686Z,54,,,,51.3,,
2018-01-01T00:33:14.683Z,54,,,,51.3,,
2018-01-01T00:33:24.686Z,54,,,,51.3,,
2018-01-01T00:33:34.684Z,54,,,,51.3,,
2018-01-01T00:33:44.701Z,54,,,,51.3,,
2018-01-01T00:33:54.688Z,54,,30,,51.4,,
2018-01-01T00:34:04.688Z,54,,,,51.3,,
2018-01-01T00:34:14.688Z,54,,29,,51.3,,64.6
2018-01-01T00:34:24.684Z,54,,,,51.3,,
2018-01-01T00:34:34.689Z,54,,,,51.3,,
2018-01-01T00:34:44.682Z,54,,,,51.3,,
2018-01-01T00:34:54.689Z,54,,,,51.4,,
2018-01-01T00:35:04.687Z,54,,,,51.4,,
2018-01-01T00:35:14.688Z,54,,,,51.4,,64.7
2018-01-01T00:35:24.686Z,54,,30,,51.4,,
2018-01-01T00:35:34.684Z,54,,29,,51.4,,
2018-01-01T00:35:44.691Z,54,,,,51.4,,
2018-01-01T00:35:54.686Z,54,,,,51.4,,
2018-01-01T00:36:04.683Z,54,,,,51.4,,
2018-01-01T00:36:14.687Z,54,,,,51.4,,
2018-01-01T00:36:24.687Z,54,,,,51.4,,
2018-01-01T00:36:34.688Z,54,,,,51.4,,
2018-01-01T00:36:44.690Z,54,,,,51.5,,
2018-01-01T00:36:54.687Z,54,,,,51.5,,
2018-01-01T00:37:04.691Z,54,,,,51.5,,64.8
2018-01-01T00:37:14.688Z,54,,,,51.5,,
2018-01-01T00:37:24.689Z,54,,,,51.5,,
2018-01-01T00:37:34.692Z,54,,,,51.5,,
2018-01-01T00:37:44.692Z,54,,,,51.5,,
2018-01-01T00:37:54.689Z,54,,,,51.4,,
2018-01-01T00:38:04.693Z,54,,,,51.4,,
2018-01-01T00:38:14.684Z,54,,,,51.4,,
2018-01-01T00:38:24.685Z,54,,,,51.4,,64.9
2018-01-01T00:38:34.686Z,54,,,,51.4,,
2018-01-01T00:38:44.687Z,54,,,,51.5,,
2018-01-01T00:38:54.687Z,54,,,,51.5,,
2018-01-01T00:39:04.686Z,54,,,,51.5,,
2018-01-01T00:39:14.687Z,54,,,,51.4,,
2018-01-01T00:39:24.694Z,54,,,,51.4,,
2018-01-01T00:39:34.686Z,54,,,,51.4,,
2018-01-01T00:39:44.691Z,54,,0,0,51.4,2,62.8
2018-01-01T00:39:54.692Z,54,,,,51.4,,61.5
2018-01-01T00:40:04.689Z,54,,,,51.4,,60.6
2018-01-01T00:40:14.693Z,54,,,,51.5,,59.5
2018-01-01T00:40:24.689Z,54,,,,51.5,,58.6
2018-01-01T00:40:34.711Z,54,,,,51.4,,57.9
2018-01-01T00:40:44.692Z,54,,,,51.4,,57.2
2018-01-01T00:40:54.692Z,54,,,,51.3,,56.8
2018-01-01T00:41:04.695Z,54,,,,51.2,,56.3
2018-01-01T00:41:14.696Z,54,,,,51.1,,55.9
2018-01-01T00:41:24.689Z,54,,,,51.1,,55.5
2018-01-01T00:41:34.692Z,54,,,,51,,55.2
2018-01-01T00:41:44.689Z,54,,44,0,50.9,2,54.9
2018-01-01T00:41:54.688Z,54,,38,,50.8,,58.2
2018-01-01T00:42:04.693Z,54,,29,,50.6,,58.9
2018-01-01T00:42:14.704Z,54,,,,50.5,,59.3
2018-01-01T00:42:24.696Z,54,,,,50.4,,60.2
2018-01-01T00:42:34.695Z,54,,30,,50.3,,60.6
2018-01-01T00:42:44.689Z,54,,29,,50.2,,61.2
2018-01-01T00:42:54.694Z,54,,,,50.2,,61.4
2018-01-01T00:43:04.688Z,54,,,,50.1,,61.8
2018-01-01T00:43:14.712Z,54,,,,50.1,,62
2018-01-01T00:43:24.689Z,54,,,,50.1,,62.2
2018-01-01T00:43:34.689Z,54,,,,50.1,,62.4
2018-01-01T00:43:44.689Z,54,,,,50.1,,62.6
2018-01-01T00:43:54.689Z,54,,,,50.1,,62.7
2018-01-01T00:44:04.689Z,54,,,,50.1,,62.8
2018-01-01T00:44:14.689Z,54,,,,50.1,,
2018-01-01T00:44:24.690Z,54,,,,50.1,,63.1
2018-01-01T00:44:34.690Z,54,,,,50.1,,
2018-01-01T00:44:44.690Z,54,,,,50.1,,
2018-01-01T00:44:54.690Z,54,,,,50.1,,63.2
2018-01-01T00:45:04.693Z,54,,,,50.1,,
2018-01-01T00:45:14.689Z,54,,,,50,,
2018-01-01T00:45:24.691Z,54,,,,50,,
2018-01-01T00:45:34.689Z,54,,,,50,,
2018-01-01T00:45:44.692Z,54,,,,50,,
2018-01-01T00:45:54.692Z,54,,,,50.1,,63.3
2018-01-01T00:46:04.694Z,54,,,,50.1,,
2018-01-01T00:46:14.692Z,54,,,,50.1,,63.2
2018-01-01T00:46:24.691Z,54,,,,50.1,,
2018-01-01T00:46:34.689Z,54,,,,50.1,,
2018-01-01T00:46:44.696Z,54,,,,50.1,,
2018-01-01T00:46:54.707Z,54,,,,50.1,,
2018-01-01T00:47:04.695Z,54,,,,50.1,,
2018-01-01T00:47:14.695Z,54,,,,50.1,,63.3
2018-01-01T00:47:24.696Z,54,,,,50.1,,63.2
2018-01-01T00:47:34.707Z,54,,,,50.1,,63.3
2018-01-01T00:47:44.707Z,54,,,,50.1,,63.2
2018-01-01T00:47:54.706Z,54,,,,50.1,,63.3
2018-01-01T00:48:04.706Z,54,,,,50.1,,
2018-01-01T00:48:14.703Z,54,,,,50.1,,
2018-01-01T00:48:24.703Z,54,,,,50.1,,
2018-01-01T00:48:34.706Z,54,,,,50.1,,
2018-01-01T00:48:44.705Z,54,,,,50.1,,63.4
2018-01-01T00:48:54.706Z,54,,,,50.2,,
2018-01-01T00:49:04.705Z,54,,,,50.2,,
2018-01-01T00:49:14.705Z,54,,,,50.2,,
2018-01-01T00:49:24.705Z,54,,,,50.1,,
2018-01-01T00:49:34.696Z,54,,,,50.1,,63.5
2018-01-01T00:49:44.705Z,54,,,,50.1,,
2018-01-01T00:49:54.696Z,54,,30,,50.1,,
2018-01-01T00:50:04.705Z,54,,29,,50.1,,
2018-01-01T00:50:14.694Z,54,,,,50.2,,63.6
2018-01-01T00:50:24.704Z,54,,,,50.2,,
2018-01-01T00:50:34.706Z,54,,30,,50.2,,
2018-01-01T00:50:44.694Z,54,,29,,50.2,,
2018-01-01T00:50:54.692Z,54,,,,50.3,,
2018-01-01T00:51:04.704Z,54,,,,50.3,,63.8
2018-01-01T00:51:14.693Z,54,,30,,50.3,,
2018-01-01T00:51:24.693Z,54,,29,,50.3,,
2018-01-01T00:51:34.703Z,54,,,,50.3,,
2018-01-01T00:51:44.694Z,54,,,,50.3,,
2018-01-01T00:51:54.940Z,54,,,,50.3,,
2018-01-01T00:52:04.703Z,54,,,,50.4,,
2018-01-01T00:52:14.695Z,54,,,,50.4,,63.9
2018-01-01T00:52:24.703Z,54,,,,50.4,,
2018-01-01T00:52:34.703Z,54,,,,50.4,,
2018-01-01T00:52:44.702Z,54,,30,,50.4,,
2018-01-01T00:52:54.702Z,54,,29,,50.4,,
2018-01-01T00:53:04.703Z,54,,,,50.4,,
2018-01-01T00:53:14.694Z,54,,,,50.4,,64
2018-01-01T00:53:24.702Z,54,,,,50.4,,
2018-01-01T00:53:34.693Z,54,,30,,50.5,,
2018-01-01T00:53:44.702Z,54,,29,,50.5,,
2018-01-01T00:53:54.701Z,54,,,,50.5,,
2018-01-01T00:54:04.761Z,54,,,,50.5,,64.1
2018-01-01T00:54:14.697Z,54,,,,50.5,,
2018-01-01T00:54:24.702Z,54,,,,50.5,,
2018-01-01T00:54:34.702Z,54,,,,50.6,,
2018-01-01T00:54:44.701Z,54,,,,50.6,,
2018-01-01T00:54:54.701Z,54,,,,50.6,,64.2
2018-01-01T00:55:04.702Z,54,,,,50.6,,
2018-01-01T00:55:14.701Z,54,,30,,50.6,,
2018-01-01T00:55:24.701Z,54,,,,50.6,,
2018-01-01T00:55:34.701Z,54,,29,,50.6,,
2018-01-01T00:55:44.700Z,54,,30,,50.6,,
2018-01-01T00:55:54.701Z,54,,29,,50.6,,
2018-01-01T00:56:04.700Z,54,,,,50.6,,
2018-01-01T00:56:14.696Z,54,,,,50.7,,64.4
2018-01-01T00:56:24.700Z,54,,,,50.7,,
2018-01-01T00:56:34.700Z,54,,,,50.7,,
2018-01-01T00:56:44.700Z,54,,,,50.7,,
2018-01-01T00:56:54.700Z,54,,,,50.7,,
2018-01-01T00:57:04.700Z,54,,,,50.8,,
2018-01-01T00:57:14.696Z,54,,,,50.7,,
2018-01-01T00:57:24.699Z,54,,,,50.8,,
2018-01-01T00:57:34.702Z,54,,,,50.8,,64.5
2018-01-01T00:57:44.700Z,54,,,,50.8,,
2018-01-01T00:57:54.699Z,54,,,,50.8,,
2018-01-01T00:58:04.699Z,54,,,,50.8,,
2018-01-01T00:58:14.701Z,54,,,,50.8,,
2018-01-01T00:58:24.699Z,54,,,,50.8,,
2018-01-01T00:58:34.700Z,54,,,,50.9,,
2018-01-01T00:58:44.706Z,54,,,,50.9,,
2018-01-01T00:58:54.698Z,54,,30,,50.9,,64.6
2018-01-01T00:59:04.706Z,54,,29,,50.9,,
2018-01-01T00:59:14.703Z,54,,,,50.9,,
2018-01-01T00:59:24.698Z,54,,,,50.9,,
2018-01-01T00:59:34.702Z,54,,,,50.9,,
