Time,PrimTSet,HwTOutlet,PrimT,HwTSet,HwActive,ActPow,ChActive
2017-12-13T01:01:43.115Z,,38.3,,54,,,
2017-12-13T01:01:53.116Z,,38.4,,54,,,
2017-12-13T01:02:03.117Z,,38.4,,54,,,
2017-12-13T01:02:13.116Z,,38.4,,54,,,
2017-12-13T01:02:23.116Z,,38.4,,54,,,
2017-12-13T01:02:33.119Z,,38.5,,54,,,
2017-12-13T01:02:43.116Z,,38.5,,54,,,
2017-12-13T01:02:53.114Z,,38.4,,54,,,
2017-12-13T01:03:03.120Z,,38.4,63.2,54,,,
2017-12-13T01:03:13.116Z,,38.3,,54,,30,
2017-12-13T01:03:23.117Z,,38.3,,54,,29,
2017-12-13T01:03:33.116Z,,38.4,,54,,,
2017-12-13T01:03:43.117Z,,38.4,,54,,,
2017-12-13T01:03:53.129Z,,38.4,,54,,,
2017-12-13T01:04:03.118Z,,38.4,63.1,54,,30,
2017-12-13T01:04:13.118Z,,38.4,,54,,29,
2017-12-13T01:04:23.118Z,,38.4,,54,,,
2017-12-13T01:04:33.118Z,,38.4,62.9,54,,,
2017-12-13T01:04:43.118Z,,38.5,,54,,,
2017-12-13T01:04:53.116Z,,38.4,,54,,,
2017-12-13T01:05:03.119Z,,38.4,,54,,,
2017-12-13T01:05:13.116Z,,38.3,,54,,,
2017-12-13T01:05:23.118Z,,38.4,62.8,54,,,
2017-12-13T01:05:33.116Z,,38.4,,54,,,
2017-12-13T01:05:43.116Z,,38.4,,54,,,
2017-12-13T01:05:53.116Z,,38.4,62.7,54,,,
2017-12-13T01:06:03.117Z,,38.4,,54,,,
2017-12-13T01:06:13.116Z,,38.4,,54,,,
2017-12-13T01:06:23.118Z,,38.5,,54,,,
2017-12-13T01:06:33.116Z,,38.4,62.6,54,,,
2017-12-13T01:06:43.118Z,,38.5,,54,,,
2017-12-13T01:06:53.116Z,,38.5,,54,,,
2017-12-13T01:07:03.131Z,,38.5,,54,,,
2017-12-13T01:07:13.117Z,,38.5,,54,,,
2017-12-13T01:07:23.119Z,,38.4,,54,,,
2017-12-13T01:07:33.120Z,,38.3,,54,,,
2017-12-13T01:07:43.122Z,,38.3,,54,,,
2017-12-13T01:07:53.121Z,,38.3,,54,,,
2017-12-13T01:08:03.116Z,,38.3,,54,,,
2017-12-13T01:08:13.122Z,,38.3,,54,,,
2017-12-13T01:08:23.116Z,,38.3,,54,,,
2017-12-13T01:08:33.119Z,,38.3,,54,,,
2017-12-13T01:08:43.120Z,,38.3,,54,,,
2017-12-13T01:08:53.124Z,,38.3,,54,,,
2017-12-13T01:09:03.123Z,,38.4,,54,,30,
2017-12-13T01:09:13.126Z,,38.3,,54,,29,
2017-12-13T01:09:23.120Z,,38.3,62.5,54,,,
2017-12-13T01:09:33.130Z,,38.3,62.6,54,,,
2017-12-13T01:09:43.117Z,,38.3,,54,,,
2017-12-13T01:09:53.119Z,,38.3,,54,,,
2017-12-13T01:10:03.123Z,,38.2,,54,,,
2017-12-13T01:10:13.121Z,,38.2,,54,,,
2017-12-13T01:10:23.123Z,,38.3,,54,,,
2017-12-13T01:10:33.120Z,,38.3,,54,,,
2017-12-13T01:10:43.124Z,,38.4,,54,,30,
2017-12-13T01:10:53.125Z,,38.3,,54,,29,
2017-12-13T01:11:03.125Z,,38.2,,54,,,
2017-12-13T01:11:13.127Z,,38.2,,54,,,
2017-12-13T01:11:23.126Z,,38.2,,54,,,
2017-12-13T01:11:33.119Z,,38.3,,54,,,
2017-12-13T01:11:43.119Z,,38.3,62.7,54,,,
2017-12-13T01:11:53.120Z,,38.3,,54,,,
2017-12-13T01:12:03.121Z,,38.2,,54,,,
2017-12-13T01:12:13.122Z,,38.2,,54,,,
2017-12-13T01:12:23.123Z,,38.2,,54,,,
2017-12-13T01:12:33.123Z,,38.2,,54,,,
2017-12-13T01:12:43.123Z,,38.2,,54,,,
2017-12-13T01:12:53.134Z,,38.3,,54,,,
2017-12-13T01:13:03.126Z,,38.3,,54,,30,
2017-12-13T01:13:13.123Z,,38.3,,54,,29,
2017-12-13T01:13:23.127Z,,38.3,,54,,,
2017-12-13T01:13:33.128Z,,38.3,,54,,,
2017-12-13T01:13:43.120Z,,38.3,,54,,,
2017-12-13T01:13:53.135Z,,38.3,,54,,30,
2017-12-13T01:14:03.127Z,,38.2,,54,,29,
2017-12-13T01:14:13.129Z,,38.2,62.8,54,,30,
2017-12-13T01:14:23.131Z,,38.2,62.7,54,,29,
2017-12-13T01:14:33.130Z,,38.2,62.8,54,,,
2017-12-13T01:14:43.122Z,,38.2,,54,,,
2017-12-13T01:14:53.124Z,,38.2,,54,,30,
2017-12-13T01:15:03.130Z,,38.3,,54,,29,
2017-12-13T01:15:13.122Z,,38.3,,54,,,
2017-12-13T01:15:23.125Z,,38.3,,54,,,
2017-12-13T01:15:33.125Z,,38.3,,54,,30,
2017-12-13T01:15:43.121Z,,38.2,,54,,29,
2017-12-13T01:15:53.121Z,,38.2,,54,,,
2017-12-13T01:16:03.152Z,,38.2,,54,,30,
2017-12-13T01:16:13.123Z,,38.3,,54,,29,
2017-12-13T01:16:23.122Z,,38.4,,54,,30,
2017-12-13T01:16:33.122Z,,38.4,,54,,29,
2017-12-13T01:16:43.122Z,,38.4,,54,,,
2017-12-13T01:16:53.122Z,,38.4,,54,,30,
2017-12-13T01:17:03.122Z,,38.4,62.9,54,,,
2017-12-13T01:17:13.123Z,,38.4,,54,,29,
2017-12-13T01:17:23.123Z,,38.4,62.8,54,,30,
2017-12-13T01:17:33.124Z,,38.4,62.9,54,,29,
2017-12-13T01:17:43.124Z,,38.4,,54,,,
2017-12-13T01:17:53.124Z,,38.3,,54,,,
2017-12-13T01:18:03.124Z,,38.3,,54,,30,
2017-12-13T01:18:13.124Z,,38.3,,54,,29,
2017-12-13T01:18:23.127Z,,38.4,,54,,,
2017-12-13T01:18:33.124Z,,38.4,,54,,,
2017-12-13T01:18:43.124Z,,38.5,,54,,,
2017-12-13T01:18:53.125Z,,38.4,,54,,30,
2017-12-13T01:19:03.125Z,,38.4,,54,,29,
2017-12-13T01:19:13.124Z,,38.4,,54,,,
2017-12-13T01:19:23.127Z,,38.4,63.1,54,,30,
2017-12-13T01:19:33.136Z,,38.4,62.9,54,,29,
