Time,ActPow,PrimT,HwActive,ChActive,HwTOutlet,PrimTSet,HwTSet
2017-11-21T00:22:17.917Z,,59.1,,,51.6,,54
2017-11-21T00:22:27.915Z,30,60,,,51.6,,54
2017-11-21T00:22:38.006Z,29,60.8,,,51.6,,54
2017-11-21T00:22:47.918Z,,61.5,,,,,
2017-11-21T00:22:57.917Z,,62.1,,,51.5,,54
2017-11-21T00:23:07.916Z,,62.7,,,51.5,,54
2017-11-21T00:23:17.916Z,,63.2,,,51.5,,54
2017-11-21T00:23:27.916Z,,63.6,,,51.5,,54
2017-11-21T00:23:38.005Z,,64,,,51.4,,54
2017-11-21T00:23:47.917Z,,64.4,,,51.4,,54
2017-11-21T00:24:03.005Z,,64.7,,,51.4,,54
2017-11-21T00:24:07.925Z,,64.9,,,51.4,,54
2017-11-21T00:24:17.920Z,0,62.9,0,2,51.4,,54
2017-11-21T00:24:27.925Z,,61.6,,,51.4,,54
2017-11-21T00:24:38.008Z,,60.8,,,51.4,,54
2017-11-21T00:24:47.923Z,,59.6,,,51.4,,54
2017-11-21T00:24:57.923Z,,58.8,,,51.4,,54
2017-11-21T00:25:07.918Z,,58.1,,,51.4,,54
2017-11-21T00:25:17.917Z,,57.4,,,51.4,,54
2017-11-21T00:25:27.923Z,,56.8,,,51.4,,54
2017-11-21T00:25:38.015Z,,56.3,,,51.4,,54
2017-11-21T00:25:47.922Z,,55.7,,,51.4,,54
2017-11-21T00:25:57.917Z,,55.3,,,51.5,,54
2017-11-21T00:26:07.919Z,,54.9,,,51.5,,54
2017-11-21T00:26:17.919Z,,54.6,,,51.5,,54
2017-11-21T00:26:27.916Z,,54.3,,,51.5,,54
2017-11-21T00:26:38.013Z,,53.9,,,51.5,,54
2017-11-21T00:26:47.936Z,,53.7,0,2,51.5,,54
2017-11-21T00:26:57.923Z,35,58,,,51.5,,54
2017-11-21T00:27:07.924Z,29,,,,51.5,,54
2017-11-21T00:27:17.920Z,,59.3,,,51.5,,54
2017-11-21T00:27:27.917Z,,60,,,51.5,,54
2017-11-21T00:27:38.040Z,,60.7,,,51.5,,54
2017-11-21T00:27:47.922Z,,61.5,,,51.5,,54
2017-11-21T00:27:57.924Z,,62.1,,,51.5,,54
2017-11-21T00:28:07.918Z,,62.7,,,51.4,,54
2017-11-21T00:28:17.919Z,,63.2,,,51.4,,54
2017-11-21T00:28:27.919Z,,63.6,,,51.4,,54
2017-11-21T00:28:38.022Z,,64,,,51.4,,54
2017-11-21T00:28:47.925Z,,64.4,,,51.4,,54
2017-11-21T00:28:57.923Z,,64.6,,,51.4,,54
2017-11-21T00:29:07.922Z,,64.9,,,51.4,,54
2017-11-21T00:29:17.922Z,0,63.5,0,2,51.4,,54
2017-11-21T00:29:27.926Z,,61.8,,,51.3,,54
2017-11-21T00:29:38.198Z,,60.8,,,51.3,,54
2017-11-21T00:29:47.924Z,,59.7,,,,,
2017-11-21T00:29:57.923Z,,58.9,,,51.4,,54
2017-11-21T00:30:07.923Z,,58.1,,,51.3,,54
2017-11-21T00:30:17.921Z,,57.4,,,51.3,,54
2017-11-21T00:30:27.923Z,,56.8,,,51.4,,54
2017-11-21T00:30:38.026Z,,56.3,,,51.4,,54
2017-11-21T00:30:48.095Z,,55.7,,,,,
