Time,ChActive,HwTSet,HwActive,ActPow,HwTOutlet,PrimT,PrimTSet
2017-11-13T00:32:07.296Z,,54,,,47,56.9,
2017-11-13T00:32:17.298Z,,54,,,46.9,56.6,
2017-11-13T00:32:27.300Z,,54,,,46.8,55.9,
2017-11-13T00:32:37.300Z,,54,,,46.7,55.4,
2017-11-13T00:32:47.304Z,,54,,,46.6,54.9,
2017-11-13T00:32:57.399Z,,54,,,46.5,54.5,
2017-11-13T00:33:07.298Z,,54,,,46.4,53.9,
2017-11-13T00:33:17.295Z,,54,,,46.2,53.5,
2017-11-13T00:33:27.307Z,1,54,0,38,46.1,57.2,
2017-11-13T00:33:37.300Z,,54,,29,46,57.9,
2017-11-13T00:33:47.303Z,,54,,29,45.9,58,
2017-11-13T00:34:02.454Z,,54,,30,45.8,59.1,
2017-11-13T00:34:07.300Z,,54,,29,45.8,60,
2017-11-13T00:34:17.300Z,,54,,,45.7,61.1,
2017-11-13T00:34:27.298Z,,54,,,45.7,61.3,
2017-11-13T00:34:37.301Z,,54,,,45.7,62,
2017-11-13T00:34:47.296Z,,54,,,45.7,62.4,
2017-11-13T00:34:57.387Z,,54,,,45.7,63.1,
2017-11-13T00:35:07.301Z,,54,,,45.8,63.3,
2017-11-13T00:35:17.298Z,,54,,30,45.8,63.5,
2017-11-13T00:35:27.309Z,,54,,29,45.9,64,
2017-11-13T00:35:37.302Z,,54,,,45.9,64.1,
2017-11-13T00:35:47.301Z,,54,,30,45.9,64.4,
2017-11-13T00:35:57.395Z,,54,,,45.9,64.6,
2017-11-13T00:36:07.302Z,,54,,29,45.9,64.8,
2017-11-13T00:36:17.302Z,1,54,0,0,45.9,63.5,
2017-11-13T00:36:27.303Z,,54,,,45.9,61.8,
2017-11-13T00:36:37.304Z,,54,,,45.9,60.9,
2017-11-13T00:36:47.303Z,,54,,,45.9,59.8,
2017-11-13T00:36:57.414Z,,54,,,45.9,58.8,
2017-11-13T00:37:07.303Z,,54,,,45.8,57.9,
2017-11-13T00:37:17.303Z,,54,,,45.8,56.9,
2017-11-13T00:37:27.297Z,,54,,,45.7,56.5,
2017-11-13T00:37:37.304Z,,54,,,45.6,55.9,
2017-11-13T00:37:47.304Z,,54,,,45.5,55.2,
2017-11-13T00:38:02.451Z,,54,,,45.4,54.8,
2017-11-13T00:38:07.297Z,,54,,,45.3,54.4,
2017-11-13T00:38:17.302Z,,54,,,45.2,53.7,
2017-11-13T00:38:27.302Z,1,54,0,40,45.1,57,
2017-11-13T00:38:37.310Z,,54,,31,45,58.1,
2017-11-13T00:38:47.305Z,,54,,30,44.9,58,
2017-11-13T00:38:57.394Z,,54,,29,44.8,59.3,
2017-11-13T00:39:07.304Z,,54,,,44.8,60,
2017-11-13T00:39:17.302Z,,54,,,44.8,61.1,
2017-11-13T00:39:32.393Z,,54,,30,44.9,61.4,
2017-11-13T00:39:42.328Z,,54,,29,44.9,62,
2017-11-13T00:39:47.307Z,,54,,,44.9,62.5,
2017-11-13T00:40:02.457Z,,54,,,44.9,63.1,
2017-11-13T00:40:07.306Z,,54,,,45,63.3,
2017-11-13T00:40:17.299Z,,54,,,44.9,63.6,
2017-11-13T00:40:27.312Z,,54,,,45,64,
2017-11-13T00:40:37.327Z,,54,,,45,64.2,
2017-11-13T00:40:47.308Z,,54,,,45,64.5,
2017-11-13T00:40:57.448Z,,54,,,45,64.7,
2017-11-13T00:41:07.303Z,,54,,30,45,65.1,
2017-11-13T00:41:22.407Z,1,54,0,0,45,62.8,
2017-11-13T00:41:32.418Z,,54,,,45.1,61.6,
2017-11-13T00:41:37.305Z,,54,,,45.1,59.9,
2017-11-13T00:41:47.303Z,,54,,,45.1,58.9,
2017-11-13T00:41:57.400Z,,54,,,45.2,58.5,
2017-11-13T00:42:07.307Z,,54,,,45.2,57.7,
2017-11-13T00:42:17.303Z,,54,,,45.2,56.8,
2017-11-13T00:42:27.308Z,,54,,,45.2,55.9,
2017-11-13T00:42:37.309Z,,54,,,45.1,55.6,
2017-11-13T00:42:47.303Z,,54,,,45.1,54.9,
2017-11-13T00:42:57.413Z,,54,,,44.9,54.6,
2017-11-13T00:43:07.303Z,,54,,,44.8,53.9,
2017-11-13T00:43:17.311Z,,54,,,44.7,53.6,
2017-11-13T00:43:27.301Z,1,54,0,40,44.6,57,
2017-11-13T00:43:37.314Z,,54,,29,44.4,57.9,
2017-11-13T00:43:47.303Z,,54,,,44.3,58,
2017-11-13T00:43:57.395Z,,54,,29,44.2,59.1,
2017-11-13T00:44:07.313Z,,54,,,44.1,60,
2017-11-13T00:44:17.306Z,,54,,,44.1,61.1,
2017-11-13T00:44:27.307Z,,54,,,44.1,61.3,
2017-11-13T00:44:37.304Z,,54,,30,44.2,62,
2017-11-13T00:44:47.306Z,,54,,29,44.2,62.5,
2017-11-13T00:44:57.394Z,,54,,,44.3,63.1,
2017-11-13T00:45:07.306Z,,54,,,44.3,63.3,
2017-11-13T00:45:17.303Z,,54,,30,44.3,63.6,
2017-11-13T00:45:27.311Z,,54,,,44.4,64,
2017-11-13T00:45:37.310Z,,54,,29,44.4,64.1,
2017-11-13T00:45:47.303Z,,54,,,44.4,64.4,
2017-11-13T00:45:57.395Z,,54,,30,44.4,64.6,
2017-11-13T00:46:07.315Z,,54,,29,44.6,64.8,
2017-11-13T00:46:17.309Z,1,54,0,0,44.6,63.5,
2017-11-13T00:46:27.315Z,,54,,,44.7,61.9,
2017-11-13T00:46:37.311Z,,54,,,44.8,60.9,
2017-11-13T00:46:47.307Z,,54,,,44.8,59.8,
2017-11-13T00:46:57.395Z,,54,,,44.8,58.8,
2017-11-13T00:47:07.303Z,,54,,,44.8,57.9,
2017-11-13T00:47:17.308Z,,54,,,44.8,56.9,
2017-11-13T00:47:27.308Z,,54,,,44.8,56.5,
2017-11-13T00:47:37.308Z,,54,,,44.7,55.9,
2017-11-13T00:47:47.303Z,,54,,,44.6,55.3,
2017-11-13T00:47:57.401Z,,54,,,44.4,54.8,
2017-11-13T00:48:07.307Z,,54,,,44.4,54.4,
2017-11-13T00:48:17.305Z,,54,,,44.3,53.7,
2017-11-13T00:48:27.317Z,1,54,0,39,44.2,57,
2017-11-13T00:48:37.310Z,,54,,31,44.1,58.1,
2017-11-13T00:48:47.304Z,,54,,29,44,58,
2017-11-13T00:49:02.519Z,,54,,,44,59.3,
2017-11-13T00:49:07.305Z,,54,,,43.9,60,
2017-11-13T00:49:17.306Z,,54,,,43.9,61.1,
2017-11-13T00:49:27.307Z,,54,,,44,61.4,
2017-11-13T00:49:37.318Z,,54,,,44,62,
2017-11-13T00:49:47.308Z,,54,,,44,62.5,
2017-11-13T00:49:57.412Z,,54,,29,44.1,63.1,
2017-11-13T00:50:07.311Z,,54,,,44.1,63.3,
2017-11-13T00:50:17.316Z,,54,,,44.2,63.6,
2017-11-13T00:50:27.308Z,,54,,,44.2,64,
2017-11-13T00:50:37.307Z,,54,,30,44.3,64.2,
2017-11-13T00:50:47.306Z,,54,,,44.3,64.5,
2017-11-13T00:50:57.408Z,,54,,29,44.3,64.7,
2017-11-13T00:51:07.306Z,,54,,,44.4,64.8,
2017-11-13T00:51:17.310Z,1,54,0,0,44.4,62.9,
2017-11-13T00:51:27.319Z,,54,,,44.6,61.8,
2017-11-13T00:51:37.319Z,,54,,,44.6,60.7,
2017-11-13T00:51:47.306Z,,54,,,44.6,58.9,
2017-11-13T00:51:57.397Z,,54,,,44.7,58.6,
2017-11-13T00:52:07.308Z,,54,,,44.7,57.8,
2017-11-13T00:52:17.310Z,,54,,,44.6,56.9,
2017-11-13T00:52:27.307Z,,54,,,44.6,56.3,
2017-11-13T00:52:37.321Z,,54,,,44.4,55.6,
2017-11-13T00:52:47.310Z,,54,,,44.4,54.9,
2017-11-13T00:52:57.401Z,,54,,,44.3,54.7,
2017-11-13T00:53:07.307Z,,54,,,44.2,54.3,
2017-11-13T00:53:17.311Z,,54,,,44.2,53.6,
2017-11-13T00:53:27.309Z,1,54,0,39,44.1,57,
2017-11-13T00:53:37.310Z,,54,,30,44,57.9,
2017-11-13T00:53:47.311Z,,54,,29,43.9,58,
2017-11-13T00:53:57.409Z,,54,,,43.9,59.3,
2017-11-13T00:54:07.313Z,,54,,,43.9,60,
2017-11-13T00:54:18.102Z,,54,,,43.9,61.1,
2017-11-13T00:54:27.313Z,,54,,,43.9,61.4,
2017-11-13T00:54:37.308Z,,54,,,44,62,
2017-11-13T00:54:47.313Z,,54,,,44.1,62.5,
2017-11-13T00:55:02.462Z,,54,,,44.1,63.1,
2017-11-13T00:55:07.314Z,,54,,,44.2,63.3,
2017-11-13T00:55:17.313Z,,54,,30,44.3,63.6,
2017-11-13T00:55:27.310Z,,54,,30,44.3,64,
2017-11-13T00:55:37.314Z,,54,,29,44.4,64.2,
2017-11-13T00:55:47.313Z,,54,,,44.4,64.5,
2017-11-13T00:55:57.405Z,,54,,,44.6,64.7,
2017-11-13T00:56:07.314Z,,54,,,44.6,64.8,
2017-11-13T00:56:17.312Z,1,54,0,0,44.6,62.7,
2017-11-13T00:56:27.312Z,,54,,,44.6,61.8,
2017-11-13T00:56:37.316Z,,54,,,44.7,60.8,
2017-11-13T00:56:47.317Z,,54,,,44.7,58.9,
2017-11-13T00:56:57.414Z,,54,,,44.7,58.5,
2017-11-13T00:57:07.315Z,,54,,,44.6,57.7,
2017-11-13T00:57:17.310Z,,54,,,44.6,56.8,
2017-11-13T00:57:27.314Z,,54,,,44.6,55.9,
2017-11-13T00:57:37.311Z,,54,,,44.6,55.5,
2017-11-13T00:57:47.311Z,,54,,,44.4,54.9,
2017-11-13T00:57:57.426Z,,54,,,44.4,54.5,
2017-11-13T00:58:07.317Z,,54,,,44.3,53.9,
