Time,HwActive,ActPow,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive
2017-12-24T00:33:16.001Z,,,24.8,,50,,
2017-12-24T00:33:36.003Z,,,24.8,,50,,
2017-12-24T00:33:46.001Z,,,24.8,,50,,
2017-12-24T00:33:56.000Z,,,24.8,,50,,
2017-12-24T00:34:06.005Z,,,24.8,,50,,
2017-12-24T00:34:16.001Z,,,24.8,,50,,
2017-12-24T00:34:36.000Z,,,24.8,,50,,
2017-12-24T00:34:46.000Z,,,24.8,,50,,
2017-12-24T00:34:56.002Z,,,24.8,,50,,
2017-12-24T00:35:06.000Z,,,24.8,,50,,
2017-12-24T00:35:16.000Z,,,24.8,,50,,
2017-12-24T00:35:36.000Z,,,24.8,31.1,50,,
2017-12-24T00:35:46.000Z,,,24.8,,50,,
2017-12-24T00:36:06.003Z,,,24.8,,50,,
2017-12-24T00:36:16.000Z,,,24.8,,50,,
2017-12-24T00:36:36.000Z,,,24.7,,50,,
2017-12-24T00:36:46.001Z,,,24.7,,50,,
2017-12-24T00:36:56.014Z,,,24.7,,50,,
2017-12-24T00:37:06.000Z,,,24.7,,50,,
2017-12-24T00:37:16.000Z,,,24.7,,50,,
2017-12-24T00:37:36.001Z,,,24.7,,50,,
2017-12-24T00:37:46.000Z,,,24.7,,50,,
2017-12-24T00:37:56.001Z,,,24.7,,50,,
2017-12-24T00:38:06.000Z,,,24.7,,50,,
2017-12-24T00:38:16.000Z,,,24.7,,50,,
2017-12-24T00:38:26.000Z,,,24.7,,50,,
2017-12-24T00:38:36.000Z,,,24.7,,50,,
2017-12-24T00:38:46.000Z,,,24.7,,50,,
2017-12-24T00:38:56.000Z,,,24.7,,50,,
2017-12-24T00:39:06.000Z,,,24.7,30.9,50,,
2017-12-24T00:39:16.000Z,,,24.7,31.1,50,,
2017-12-24T00:39:26.000Z,,,24.7,30.9,50,,
2017-12-24T00:39:36.000Z,,,24.7,30.9,50,,
2017-12-24T00:39:46.000Z,,,24.7,31.1,50,,
2017-12-24T00:39:56.000Z,,,24.7,31.1,50,,
2017-12-24T00:40:06.000Z,,,24.7,31.1,50,,
2017-12-24T00:40:16.000Z,,,24.7,30.9,50,,
2017-12-24T00:40:26.000Z,,,24.7,,50,,
2017-12-24T00:40:36.003Z,,,24.7,,50,,
2017-12-24T00:40:46.002Z,,,24.7,,50,,
2017-12-24T00:40:56.000Z,,,24.7,,50,,
2017-12-24T00:41:06.000Z,,,24.7,,50,,
2017-12-24T00:41:16.002Z,,,24.7,,50,,
2017-12-24T00:41:26.003Z,,,24.7,,50,,
2017-12-24T00:41:36.000Z,,,24.7,,50,,
2017-12-24T00:41:46.000Z,,,24.7,,50,,
2017-12-24T00:41:56.001Z,,,24.7,,50,,
2017-12-24T00:42:06.000Z,,,24.7,,50,,
2017-12-24T00:42:15.999Z,,,24.7,,50,,
2017-12-24T00:42:26.000Z,,,24.5,,50,,
2017-12-24T00:42:36.004Z,,,24.5,,50,,
2017-12-24T00:42:46.005Z,,,24.5,,50,,
2017-12-24T00:42:56.000Z,,,24.5,,50,,
2017-12-24T00:43:06.004Z,,,24.5,,50,,
2017-12-24T00:43:16.004Z,,,24.5,,50,,
2017-12-24T00:43:26.000Z,,,24.5,,50,,
2017-12-24T00:43:36.000Z,,,24.5,,50,,
2017-12-24T00:43:46.000Z,,,24.5,,50,,
2017-12-24T00:43:56.000Z,,,24.5,,50,,
2017-12-24T00:44:06.000Z,,,24.5,30.8,50,,
2017-12-24T00:44:16.000Z,,,24.5,,50,,
2017-12-24T00:44:26.005Z,,,24.5,,50,,
2017-12-24T00:44:36.117Z,,,24.5,,50,,
2017-12-24T00:44:46.000Z,,,24.5,,50,,
2017-12-24T00:44:56.006Z,,,24.5,,50,,
2017-12-24T00:45:06.000Z,,,24.5,,50,,
2017-12-24T00:45:16.000Z,,,24.5,,50,,
2017-12-24T00:45:26.005Z,,,24.5,,50,,
2017-12-24T00:45:36.000Z,,,24.5,,50,,
2017-12-24T00:45:46.000Z,,,24.5,,50,,
2017-12-24T00:45:56.001Z,,,24.5,,50,,
2017-12-24T00:46:06.004Z,,,24.5,,50,,
2017-12-24T00:46:16.002Z,,,24.5,,50,,
2017-12-24T00:46:26.000Z,,,24.5,,50,,
2017-12-24T00:46:36.003Z,,,24.5,,50,,
2017-12-24T00:46:46.000Z,,,24.5,,50,,
2017-12-24T00:46:56.000Z,,,24.5,,50,,
2017-12-24T00:47:06.005Z,,,24.5,,50,,
2017-12-24T00:47:15.999Z,,,24.5,,50,,
2017-12-24T00:47:26.000Z,,,24.5,,50,,
2017-12-24T00:47:36.000Z,,,24.5,,50,,
2017-12-24T00:47:46.000Z,,,24.5,,50,,
2017-12-24T00:47:56.000Z,,,24.5,30.7,50,,
2017-12-24T00:48:06.000Z,,,24.5,,50,,
2017-12-24T00:48:16.000Z,,,24.5,,50,,
2017-12-24T00:48:26.000Z,,,24.5,,50,,
2017-12-24T00:48:36.001Z,,,24.4,,50,,
2017-12-24T00:48:46.000Z,,,24.5,,50,,
2017-12-24T00:48:56.000Z,,,24.5,,50,,
2017-12-24T00:49:06.000Z,,,24.5,,50,,
2017-12-24T00:49:16.000Z,,,24.4,,50,,
2017-12-24T00:49:26.000Z,,,24.4,,50,,
2017-12-24T00:49:35.999Z,,,24.4,,50,,
2017-12-24T00:49:46.006Z,,,24.4,,50,,
2017-12-24T00:49:56.000Z,,,24.4,,50,,
2017-12-24T00:50:06.000Z,,,24.4,,50,,
2017-12-24T00:50:16.000Z,,,24.4,,50,,
2017-12-24T00:50:26.000Z,,,24.4,,50,,
2017-12-24T00:50:36.004Z,,,24.4,,50,,
2017-12-24T00:50:46.000Z,,,24.4,,50,,
2017-12-24T00:50:56.000Z,,,24.4,,50,,
2017-12-24T00:51:05.999Z,,,24.4,,50,,
2017-12-24T00:51:16.000Z,,,24.4,,50,,
2017-12-24T00:51:26.004Z,,,24.4,,50,,
2017-12-24T00:51:35.999Z,,,24.4,,50,,
2017-12-24T00:51:46.000Z,,,24.4,,50,,
2017-12-24T00:51:56.000Z,,,24.4,30.6,50,,
2017-12-24T00:52:06.019Z,,,24.4,,50,,
2017-12-24T00:52:16.000Z,,,24.4,,50,,
2017-12-24T00:52:26.000Z,,,24.4,,50,,
2017-12-24T00:52:36.002Z,,,24.4,,50,,
2017-12-24T00:52:46.000Z,,,24.4,,50,,
2017-12-24T00:52:56.002Z,,,24.4,,50,,
2017-12-24T00:53:06.000Z,,,24.4,,50,,
2017-12-24T00:53:16.003Z,,,24.4,,50,,
2017-12-24T00:53:26.000Z,,,24.4,,50,,
2017-12-24T00:53:36.000Z,,,24.4,,50,,
2017-12-24T00:53:46.000Z,,,24.4,,50,,
2017-12-24T00:53:56.000Z,,,24.4,,50,,
2017-12-24T00:54:06.001Z,,,24.4,,50,,
2017-12-24T00:54:16.004Z,,,24.4,,50,,
2017-12-24T00:54:26.000Z,,,24.4,,50,,
2017-12-24T00:54:36.000Z,,,24.4,,50,,
2017-12-24T00:54:46.001Z,,,24.4,,50,,
2017-12-24T00:54:56.000Z,,,24.3,,50,,
2017-12-24T00:55:06.001Z,,,24.4,,50,,
2017-12-24T00:55:16.000Z,,,24.3,,50,,
2017-12-24T00:55:26.005Z,,,24.3,,50,,
2017-12-24T00:55:36.002Z,,,24.3,,50,,
2017-12-24T00:55:46.002Z,,,24.3,,50,,
2017-12-24T00:55:56.000Z,,,24.3,,50,,
2017-12-24T00:56:06.001Z,,,24.3,,50,,
2017-12-24T00:56:16.000Z,,,24.3,30.5,50,,
2017-12-24T00:56:26.005Z,,,24.3,,50,,
2017-12-24T00:56:36.000Z,,,24.3,,50,,
2017-12-24T00:56:46.000Z,,,24.3,,50,,
2017-12-24T00:56:56.000Z,,,24.3,,50,,
2017-12-24T00:57:05.999Z,,,24.3,,50,,
2017-12-24T00:57:16.004Z,,,24.3,,50,,
2017-12-24T00:57:26.002Z,,,24.3,,50,,
2017-12-24T00:57:36.000Z,,,24.3,,50,,
2017-12-24T00:57:46.000Z,,,24.3,,50,,
2017-12-24T00:57:56.002Z,,,24.3,,50,,
2017-12-24T00:58:06.004Z,,,24.3,,50,,
2017-12-24T00:58:16.002Z,,,24.3,,50,,
2017-12-24T00:58:25.999Z,,,24.3,,50,,
2017-12-24T00:58:36.000Z,,,24.3,,50,,
2017-12-24T00:58:46.002Z,,,24.3,,50,,
2017-12-24T00:58:56.000Z,,,24.3,,50,,
2017-12-24T00:59:06.000Z,,,24.3,,50,,
2017-12-24T00:59:15.999Z,,,24.3,,50,,
2017-12-24T00:59:26.000Z,,,24.3,,50,,
2017-12-24T00:59:36.002Z,,,24.3,,50,,
2017-12-24T00:59:46.000Z,,,24.3,,50,,
2017-12-24T00:59:56.000Z,,,24.3,,50,,
2017-12-24T01:00:06.004Z,,,24.3,,50,,
2017-12-24T01:00:16.004Z,,,24.3,,50,,
2017-12-24T01:00:26.001Z,,,24.3,30.4,50,,
2017-12-24T01:00:35.999Z,,,24.3,30.5,50,,
2017-12-24T01:00:46.000Z,,,24.3,30.4,50,,
2017-12-24T01:00:56.000Z,,,24.3,,50,,
2017-12-24T01:01:06.000Z,,,24.3,,50,,
2017-12-24T01:01:16.005Z,,,24.2,,50,,
2017-12-24T01:01:26.000Z,,,24.2,,50,,
2017-12-24T01:01:36.000Z,,,24.2,,50,,
2017-12-24T01:01:45.999Z,,,24.2,,50,,
2017-12-24T01:01:56.000Z,,,24.2,,50,,
2017-12-24T01:02:06.000Z,,,24.2,,50,,
2017-12-24T01:02:16.000Z,,,24.2,,50,,
2017-12-24T01:02:25.999Z,,,24.2,,50,,
2017-12-24T01:02:36.000Z,,,24.2,,50,,
2017-12-24T01:02:46.000Z,,,24.2,,50,,
2017-12-24T01:02:56.004Z,,,24.2,,50,,
2017-12-24T01:03:05.999Z,,,24.2,,50,,
2017-12-24T01:03:16.000Z,,,24.2,,50,,
2017-12-24T01:03:26.000Z,,,24.2,,50,,
2017-12-24T01:03:36.005Z,,,24.2,,50,,
2017-12-24T01:03:46.000Z,,,24.2,,50,,
2017-12-24T01:03:56.000Z,,,24.2,,50,,
2017-12-24T01:04:06.000Z,,,24.2,,50,,
2017-12-24T01:04:16.000Z,,,24.2,,50,,
2017-12-24T01:04:26.005Z,,,24.2,,50,,
2017-12-24T01:04:36.000Z,,,24.2,30.3,50,,
2017-12-24T01:04:45.999Z,,,24.2,30.4,50,,
2017-12-24T01:04:56.000Z,,,24.2,,50,,
2017-12-24T01:05:06.005Z,,,24.2,30.3,50,,
2017-12-24T01:05:16.000Z,,,24.2,,50,,
2017-12-24T01:05:25.999Z,,,24.2,,50,,
2017-12-24T01:05:35.999Z,,,24.2,,50,,
2017-12-24T01:05:46.000Z,,,24.2,,50,,
2017-12-24T01:05:55.999Z,,,24.2,,50,,
2017-12-24T01:06:06.001Z,,,24.2,,50,,
2017-12-24T01:06:16.006Z,,,24.2,,50,,
2017-12-24T01:06:25.999Z,,,24.2,,50,,
2017-12-24T01:06:35.999Z,,,24.2,,50,,
2017-12-24T01:06:45.999Z,,,24.2,,50,,
2017-12-24T01:06:55.999Z,,,24.2,,50,,
2017-12-24T01:07:06.004Z,,,24.2,,50,,
2017-12-24T01:07:15.999Z,,,24.2,,50,,
2017-12-24T01:07:25.999Z,,,24.2,,50,,
2017-12-24T01:07:35.999Z,,,24.2,,50,,
2017-12-24T01:07:45.999Z,,,24.2,,50,,
2017-12-24T01:07:56.000Z,,,24.2,,50,,
2017-12-24T01:08:05.999Z,,,24.2,,50,,
2017-12-24T01:08:16.000Z,,,24.2,,50,,
2017-12-24T01:08:25.999Z,,,24.2,,50,,
2017-12-24T01:08:35.999Z,,,24.2,,50,,
2017-12-24T01:08:46.005Z,,,24.2,,50,,
2017-12-24T01:08:55.999Z,,,24.2,,50,,
2017-12-24T01:09:06.000Z,,,24,,50,,
2017-12-24T01:09:16.000Z,,,24,30.2,50,,
2017-12-24T01:09:25.999Z,,,24,,50,,
2017-12-24T01:09:36.000Z,,,24,,50,,
2017-12-24T01:09:46.004Z,,,24,,50,,
2017-12-24T01:09:56.002Z,,,24,,50,,
2017-12-24T01:10:06.000Z,,,24,,50,,
2017-12-24T01:10:15.999Z,,,24,,50,,
2017-12-24T01:10:25.999Z,,,24,,50,,
2017-12-24T01:10:35.999Z,,,24,,50,,
2017-12-24T01:10:46.002Z,,,24,,50,,
2017-12-24T01:10:56.000Z,,,24,,50,,
2017-12-24T01:11:06.000Z,,,24,,50,,
2017-12-24T01:11:16.002Z,,,24,,50,,
2017-12-24T01:11:26.003Z,,,24,,50,,
2017-12-24T01:11:35.999Z,,,24,,50,,
2017-12-24T01:11:45.999Z,,,24,,50,,
2017-12-24T01:11:56.004Z,,,24,,50,,
2017-12-24T01:12:05.999Z,,,24,,50,,
2017-12-24T01:12:15.999Z,,,24,,50,,
2017-12-24T01:12:25.999Z,,,24,,50,,
2017-12-24T01:12:36.000Z,,,24,,50,,
2017-12-24T01:12:46.002Z,,,24,,50,,
2017-12-24T01:12:56.004Z,,,24,,50,,
2017-12-24T01:13:05.999Z,,,24,,50,,
2017-12-24T01:13:15.999Z,,,24,,50,,
2017-12-24T01:13:25.999Z,,,24,,50,,
2017-12-24T01:13:36.002Z,,,24,,50,,
2017-12-24T01:13:46.004Z,,,24,30.1,50,,
2017-12-24T01:13:56.005Z,,,24,,50,,
2017-12-24T01:14:05.999Z,,,24,,50,,
2017-12-24T01:14:15.999Z,,,24,,50,,
2017-12-24T01:14:25.999Z,,,24,,50,,
2017-12-24T01:14:35.999Z,,,24,,50,,
2017-12-24T01:14:46.000Z,,,24,,50,,
2017-12-24T01:14:55.999Z,,,24,,50,,
2017-12-24T01:15:05.999Z,,,24,,50,,
2017-12-24T01:15:15.999Z,,,23.9,,50,,
2017-12-24T01:15:25.999Z,,,24,,50,,
2017-12-24T01:15:35.999Z,,,24,,50,,
2017-12-24T01:15:45.999Z,,,23.9,,50,,
2017-12-24T01:15:56.000Z,,,24,,50,,
2017-12-24T01:16:06.000Z,,,24,,50,,
2017-12-24T01:16:15.999Z,,,23.9,,50,,
2017-12-24T01:16:26.000Z,,,23.9,,50,,
2017-12-24T01:16:36.000Z,,,23.9,,50,,
2017-12-24T01:16:45.999Z,,,23.9,,50,,
2017-12-24T01:16:56.002Z,0,0,23.9,30.1,50,5,0
2017-12-24T01:17:05.999Z,,,23.9,,50,,
2017-12-24T01:17:15.999Z,,,23.9,,50,,
2017-12-24T01:17:25.999Z,,,23.9,,50,,
2017-12-24T01:17:36.002Z,,,23.9,,50,,
2017-12-24T01:17:45.999Z,,,23.9,,50,,
2017-12-24T01:17:55.999Z,,,23.9,30,50,,
2017-12-24T01:18:05.999Z,,,23.9,,50,,
2017-12-24T01:18:16.000Z,,,23.9,,50,,
2017-12-24T01:18:26.000Z,,,23.9,,50,,
2017-12-24T01:18:35.999Z,,,23.9,,50,,
2017-12-24T01:18:45.999Z,,,23.9,,50,,
2017-12-24T01:18:56.000Z,,,23.9,,50,,
2017-12-24T01:19:05.999Z,,,23.9,,50,,
2017-12-24T01:19:15.999Z,,,23.9,,50,,
2017-12-24T01:19:26.005Z,,,23.9,,50,,
2017-12-24T01:19:35.999Z,,,23.9,,50,,
2017-12-24T01:19:46.004Z,,,23.9,,50,,
2017-12-24T01:19:55.999Z,,,23.9,,50,,
2017-12-24T01:20:05.999Z,,,23.9,,50,,
2017-12-24T01:20:15.999Z,,,23.9,,50,,
2017-12-24T01:20:25.999Z,,,23.9,,50,,
2017-12-24T01:20:35.999Z,,,23.9,,50,,
2017-12-24T01:20:45.999Z,,,23.9,,50,,
2017-12-24T01:20:55.999Z,,,23.9,,50,,
2017-12-24T01:21:05.999Z,,,23.9,,50,,
2017-12-24T01:21:15.999Z,,,23.9,,50,,
2017-12-24T01:21:26.000Z,,,23.9,,50,,
2017-12-24T01:21:35.999Z,,,23.9,,50,,
2017-12-24T01:21:45.999Z,,,23.9,30,50,,
2017-12-24T01:21:56.004Z,,,23.9,,50,,
2017-12-24T01:22:06.000Z,,,23.9,29.9,50,,
2017-12-24T01:22:16.000Z,,,23.9,30,50,,
2017-12-24T01:22:25.999Z,,,23.9,30,50,,
2017-12-24T01:22:35.999Z,,,23.9,29.9,50,,
2017-12-24T01:22:45.999Z,,,23.9,,50,,
2017-12-24T01:22:55.999Z,,,23.9,,50,,
2017-12-24T01:23:05.999Z,,,23.9,,50,,
2017-12-24T01:23:15.999Z,,,23.8,,50,,
2017-12-24T01:23:25.999Z,,,23.9,,50,,
2017-12-24T01:23:35.999Z,,,23.9,,50,,
2017-12-24T01:23:45.999Z,,,23.8,,50,,
2017-12-24T01:23:55.999Z,,,23.8,,50,,
2017-12-24T01:24:05.999Z,,,23.8,,50,,
2017-12-24T01:24:16.010Z,,,23.8,,50,,
2017-12-24T01:24:25.999Z,,,23.8,,50,,
2017-12-24T01:24:35.999Z,,,23.8,,50,,
2017-12-24T01:24:46.000Z,,,23.8,,50,,
2017-12-24T01:24:56.004Z,,,23.8,,50,,
2017-12-24T01:25:06.009Z,,,23.8,,50,,
2017-12-24T01:25:16.001Z,,,23.8,,50,,
2017-12-24T01:25:25.999Z,,,23.8,,50,,
2017-12-24T01:25:36.017Z,,,23.8,,50,,
2017-12-24T01:25:46.001Z,,,23.8,,50,,
2017-12-24T01:25:56.000Z,,,23.8,,50,,
2017-12-24T01:26:06.004Z,,,23.8,,50,,
2017-12-24T01:26:15.999Z,,,23.8,,50,,
2017-12-24T01:26:25.999Z,,,23.8,,50,,
2017-12-24T01:26:36.001Z,,,23.8,,50,,
2017-12-24T01:26:45.999Z,,,23.8,,50,,
2017-12-24T01:26:56.002Z,,,23.8,29.8,50,,
2017-12-24T01:27:06.002Z,,,23.8,29.9,50,,
2017-12-24T01:27:16.003Z,,,23.8,29.8,50,,
2017-12-24T01:27:26.004Z,,,23.8,,50,,
2017-12-24T01:27:35.999Z,,,23.8,,50,,
2017-12-24T01:27:45.999Z,,,23.8,,50,,
2017-12-24T01:27:55.999Z,,,23.8,,50,,
2017-12-24T01:28:05.999Z,,,23.8,,50,,
