Time,ChActive,HwActive,PrimT,HwTSet,PrimTSet,ActPow,HwTOutlet
2017-12-13T00:38:20.381Z,,,34.3,50,,,29.8
2017-12-13T00:38:30.383Z,,,34.5,50,,29,29.7
2017-12-13T00:38:40.383Z,,,34.7,50,,,29.7
2017-12-13T00:38:50.381Z,,,35.1,50,,,29.7
2017-12-13T00:39:00.381Z,,,,50,,30,29.7
2017-12-13T00:39:10.382Z,,,35.3,50,,,29.7
2017-12-13T00:39:20.381Z,,,35.5,50,,,29.7
2017-12-13T00:39:30.381Z,,,35.6,50,,29,29.7
2017-12-13T00:39:40.381Z,,,35.8,50,,,29.7
2017-12-13T00:39:50.381Z,1,0,36.1,50,,0,29.7
2017-12-13T00:40:00.381Z,,,33.9,50,,,29.6
2017-12-13T00:40:10.477Z,,,32.8,50,,,29.6
2017-12-13T00:40:20.381Z,,,31.5,50,,,29.6
2017-12-13T00:40:30.381Z,,,,50,,,29.6
2017-12-13T00:40:40.381Z,,,31.4,50,,,29.6
2017-12-13T00:40:50.381Z,,,31.3,50,,,29.6
2017-12-13T00:41:00.381Z,,,,50,,,29.6
2017-12-13T00:41:10.381Z,,,,50,,,29.6
2017-12-13T00:41:20.381Z,,,,50,,,29.6
2017-12-13T00:41:30.380Z,,,31.2,50,,,29.6
2017-12-13T00:41:40.380Z,,,30.9,50,,,29.6
2017-12-13T00:41:50.382Z,,,,50,,,29.6
2017-12-13T00:42:00.381Z,,,,50,,,29.6
2017-12-13T00:42:10.382Z,,,,50,,,29.6
2017-12-13T00:42:20.381Z,,,,50,,,29.5
2017-12-13T00:42:30.381Z,,,,50,,,29.5
2017-12-13T00:42:40.381Z,,,,50,,,29.5
2017-12-13T00:42:50.381Z,,,,50,,,29.5
2017-12-13T00:43:00.381Z,,,,50,,,29.5
2017-12-13T00:43:10.381Z,,,,50,,,29.5
2017-12-13T00:43:20.381Z,,,,50,,,29.5
2017-12-13T00:43:30.381Z,,,,50,,,29.5
2017-12-13T00:43:40.381Z,,,,50,,,29.5
2017-12-13T00:43:50.381Z,,,,50,,,29.5
