Time,HwTSet,HwActive,PrimTSet,ActPow,PrimT,ChActive,HwTOutlet
2017-12-31T00:46:12.772Z,50,,,,,,25.5
2017-12-31T00:46:22.771Z,50,,,,,,25.5
2017-12-31T00:46:32.771Z,50,,,,,,25.5
2017-12-31T00:46:42.772Z,50,,,,38.3,,25.5
2017-12-31T00:46:52.772Z,50,,,,,,25.5
2017-12-31T00:47:02.771Z,50,,,,,,25.5
2017-12-31T00:47:12.772Z,50,,,,,,25.5
2017-12-31T00:47:22.772Z,50,,,,,,25.5
2017-12-31T00:47:32.771Z,50,,,,,,25.5
2017-12-31T00:47:42.772Z,50,,,,,,25.5
2017-12-31T00:47:52.772Z,50,,,,,,25.5
2017-12-31T00:48:02.771Z,50,,,,,,25.5
2017-12-31T00:48:12.771Z,50,,,,,,25.5
2017-12-31T00:48:22.772Z,50,,,,,,25.5
2017-12-31T00:48:32.772Z,50,,,,38.2,,25.5
2017-12-31T00:48:42.771Z,50,,,,,,25.5
2017-12-31T00:48:52.772Z,50,,,,,,25.5
2017-12-31T00:49:02.771Z,50,,,,,,25.5
2017-12-31T00:49:12.771Z,50,,,,,,25.5
2017-12-31T00:49:22.772Z,50,,,,,,25.5
2017-12-31T00:49:32.771Z,50,,,,,,25.4
2017-12-31T00:49:42.772Z,50,,,,,,25.5
2017-12-31T00:49:52.772Z,50,,,,,,25.4
2017-12-31T00:50:02.771Z,50,,,,,,25.4
2017-12-31T00:50:12.771Z,50,,,,,,25.4
2017-12-31T00:50:22.772Z,50,,,,,,25.4
2017-12-31T00:50:32.771Z,50,,,,38.1,,25.4
2017-12-31T00:50:42.772Z,50,,,,,,25.4
2017-12-31T00:50:52.772Z,50,,,,,,25.4
2017-12-31T00:51:02.807Z,50,,,,,,25.4
2017-12-31T00:51:12.772Z,50,,,,,,25.4
2017-12-31T00:51:22.771Z,50,,,,,,25.4
2017-12-31T00:51:32.771Z,50,,,,,,25.4
2017-12-31T00:51:42.773Z,50,,,,,,25.4
2017-12-31T00:51:52.771Z,50,,,,,,25.4
2017-12-31T00:52:02.772Z,50,,,,,,25.4
2017-12-31T00:52:12.771Z,50,,,,,,25.4
2017-12-31T00:52:22.772Z,50,,,,38,,25.4
2017-12-31T00:52:32.772Z,50,,,,,,25.4
2017-12-31T00:52:42.771Z,50,,,,,,25.4
2017-12-31T00:52:52.772Z,50,1,0,,39.2,0,25.4
2017-12-31T00:53:02.771Z,50,,,40,39.3,,35.1
2017-12-31T00:53:12.771Z,50,0,,0,40,0,38.2
2017-12-31T00:53:22.772Z,50,,,,39.9,,38.6
2017-12-31T00:53:32.771Z,50,,,,,,38.5
2017-12-31T00:53:42.895Z,50,,,,39.8,,38.4
2017-12-31T00:53:52.771Z,50,,,,,,38.3
2017-12-31T00:54:02.771Z,50,,,,,,38.2
2017-12-31T00:54:12.772Z,50,,,,39.7,,38.1
2017-12-31T00:54:22.771Z,50,,5,,,,38
2017-12-31T00:54:32.771Z,50,,,,,,37.9
2017-12-31T00:54:42.771Z,50,,,,,,37.8
2017-12-31T00:54:52.774Z,50,,,,,,37.7
2017-12-31T00:55:02.771Z,50,,,,,,37.6
2017-12-31T00:55:12.771Z,50,,,,39.6,,37.5
2017-12-31T00:55:22.771Z,50,,,,,,37.3
2017-12-31T00:55:32.771Z,50,,,,,,37.3
2017-12-31T00:55:42.771Z,50,,,,,,37.1
2017-12-31T00:55:52.771Z,50,1,0,,39.8,0,36.9
2017-12-31T00:56:02.772Z,50,0,,34,40.1,0,38.9
2017-12-31T00:56:12.772Z,50,1,,0,38.1,0,39.8
2017-12-31T00:56:22.772Z,50,0,,0,38.9,0,38.2
2017-12-31T00:56:32.772Z,50,0,,,37.7,0,38.9
2017-12-31T00:56:42.772Z,50,0,,,36.9,0,37.1
2017-12-31T00:56:52.772Z,50,1,,41,36.8,0,36.8
2017-12-31T00:57:02.771Z,50,,,32,38,,37.1
2017-12-31T00:57:12.772Z,50,0,,0,38.8,0,38.4
2017-12-31T00:57:22.771Z,50,,,,38.7,,38.7
2017-12-31T00:57:32.771Z,50,,,,38.6,,38.6
2017-12-31T00:57:42.772Z,50,,,,,,38.6
2017-12-31T00:57:52.771Z,50,1,,,,0,38.5
2017-12-31T00:58:02.772Z,50,1,,41,38.3,0,38.7
2017-12-31T00:58:12.772Z,50,0,,0,38.9,0,37.7
2017-12-31T00:58:22.771Z,50,0,,,38.3,0,37.6
2017-12-31T00:58:32.772Z,50,,,,38.2,,37.4
2017-12-31T00:58:42.771Z,50,,,,,,37.3
2017-12-31T00:58:52.771Z,50,,,,,,37.3
2017-12-31T00:59:02.771Z,50,,,,,,37.2
2017-12-31T00:59:12.771Z,50,,,,,,37.1
2017-12-31T00:59:22.772Z,50,0,0,,38.4,0,36.9
2017-12-31T00:59:32.771Z,50,,,,37.4,,38.4
2017-12-31T00:59:42.771Z,50,,,,,,38.3
2017-12-31T00:59:52.771Z,50,,,,,,38.2
2017-12-31T01:00:02.771Z,50,,,,37.3,,38.2
2017-12-31T01:00:12.773Z,50,,,,,,38.1
2017-12-31T01:00:22.773Z,50,,,,,,37.9
2017-12-31T01:00:32.773Z,50,,5,,,,37.8
2017-12-31T01:00:42.771Z,50,,,,,,37.7
2017-12-31T01:00:52.774Z,50,,,,,,37.6
2017-12-31T01:01:02.771Z,50,,,,,,37.5
2017-12-31T01:01:12.776Z,50,1,0,,,0,37.4
2017-12-31T01:01:22.776Z,50,0,,,36.9,0,38
2017-12-31T01:01:32.771Z,50,,,,36.7,,37.9
2017-12-31T01:01:42.772Z,50,,,,36.6,,37.8
2017-12-31T01:01:52.771Z,50,,,,,,37.8
2017-12-31T01:02:02.771Z,50,,,,,,37.7
2017-12-31T01:02:12.772Z,50,,,,,,37.6
2017-12-31T01:02:22.782Z,50,0,,0,37.4,0,37.6
2017-12-31T01:02:32.772Z,50,0,,,36.4,0,37.8
2017-12-31T01:02:42.776Z,50,,,,,,38.1
2017-12-31T01:02:52.771Z,50,,,,,,38
2017-12-31T01:03:02.771Z,50,,,,,,37.9
2017-12-31T01:03:12.771Z,50,,,,,,37.8
2017-12-31T01:03:22.771Z,50,,,,,,37.7
2017-12-31T01:03:32.771Z,50,,5,,36.3,,37.6
2017-12-31T01:03:42.774Z,50,,,,,,37.5
2017-12-31T01:03:52.771Z,50,,,,,,37.4
2017-12-31T01:04:02.771Z,50,,,,,,37.3
2017-12-31T01:04:12.779Z,50,,,,,,37.2
2017-12-31T01:04:22.772Z,50,,,,,,37.2
2017-12-31T01:04:32.771Z,50,,,,,,37.1
2017-12-31T01:04:42.771Z,50,,,,36.2,,36.9
2017-12-31T01:04:52.771Z,50,,,,,,36.8
2017-12-31T01:05:02.771Z,50,,,,,,36.7
2017-12-31T01:05:12.771Z,50,,,,,,36.6
2017-12-31T01:05:22.771Z,50,,,,,,36.9
