Time,ChActive,HwTOutlet,PrimTSet,PrimT,HwActive,HwTSet,ActPow
2017-11-08T01:32:35.811Z,,23,,,,52,
2017-11-08T01:32:45.808Z,,23,,,,52,
2017-11-08T01:32:55.808Z,,23,,,,52,
2017-11-08T01:33:25.808Z,,23,,,,52,
2017-11-08T01:33:35.808Z,,23,,,,52,
2017-11-08T01:33:55.808Z,,23,,,,52,
2017-11-08T01:34:25.808Z,,23,,,,52,
2017-11-08T01:34:35.808Z,,23,,,,52,
2017-11-08T01:34:45.809Z,,23,,,,52,
2017-11-08T01:34:55.808Z,,23,,,,52,
2017-11-08T01:35:25.808Z,,23,,,,52,
2017-11-08T01:35:35.809Z,,22.8,,,,52,
2017-11-08T01:35:45.808Z,,23,,,,52,
2017-11-08T01:35:55.808Z,,23,,,,52,
2017-11-08T01:36:25.808Z,,22.8,,,,52,
2017-11-08T01:36:35.808Z,,22.8,,,,52,
2017-11-08T01:36:55.808Z,,22.8,,,,52,
2017-11-08T01:37:25.820Z,,22.8,,26.5,,52,
2017-11-08T01:37:35.808Z,,22.8,,,,52,
2017-11-08T01:37:55.853Z,,22.8,,,,52,
2017-11-08T01:38:25.807Z,,22.8,,,,52,
2017-11-08T01:38:35.808Z,,22.8,,,,52,
2017-11-08T01:38:55.808Z,,22.8,,,,52,
2017-11-08T01:39:25.810Z,,22.8,,,,52,
2017-11-08T01:39:35.808Z,,22.8,,,,52,
2017-11-08T01:39:45.808Z,,22.8,,,,52,
2017-11-08T01:39:55.809Z,,22.8,,,,52,
2017-11-08T01:40:25.808Z,,22.8,,,,52,
2017-11-08T01:40:35.808Z,,22.8,,,,52,
2017-11-08T01:40:45.808Z,,22.8,,,,52,
2017-11-08T01:40:55.808Z,,22.8,,,,52,
2017-11-08T01:41:25.807Z,,22.8,,,,52,
2017-11-08T01:41:35.808Z,,22.8,,,,52,
2017-11-08T01:41:45.811Z,,22.8,,,,52,
2017-11-08T01:41:55.809Z,,22.8,,,,52,
2017-11-08T01:42:25.808Z,,22.8,,,,52,
2017-11-08T01:42:35.808Z,,22.8,,,,52,
2017-11-08T01:42:55.810Z,,22.8,,,,52,
2017-11-08T01:43:25.811Z,,22.8,,26.5,,52,
2017-11-08T01:43:35.808Z,,22.8,,,,52,
2017-11-08T01:43:45.808Z,,22.8,,26.4,,52,
2017-11-08T01:43:55.807Z,,22.8,,,,52,
2017-11-08T01:44:25.808Z,,22.8,,,,52,
2017-11-08T01:44:35.814Z,,22.8,,,,52,
2017-11-08T01:44:55.808Z,,22.8,,,,52,
2017-11-08T01:45:25.810Z,,22.8,,,,52,
2017-11-08T01:45:35.809Z,,22.8,,,,52,
2017-11-08T01:45:45.812Z,,22.8,,,,52,
2017-11-08T01:45:55.809Z,,22.8,,,,52,
2017-11-08T01:46:25.808Z,,22.8,,,,52,
2017-11-08T01:46:35.808Z,,22.7,,,,52,
2017-11-08T01:46:45.812Z,,22.7,,,,52,
2017-11-08T01:46:55.812Z,,22.7,,,,52,
2017-11-08T01:47:25.808Z,,22.7,,,,52,
2017-11-08T01:47:35.808Z,,22.7,,,,52,
2017-11-08T01:47:45.808Z,,22.7,,,,52,
2017-11-08T01:47:55.807Z,,22.7,,,,52,
2017-11-08T01:48:25.808Z,,22.7,,,,52,
2017-11-08T01:48:35.808Z,,22.7,,,,52,
2017-11-08T01:48:55.808Z,,22.7,,,,52,
2017-11-08T01:49:25.808Z,,22.7,,,,52,
2017-11-08T01:49:35.813Z,,22.7,,,,52,
2017-11-08T01:49:55.807Z,,22.7,,,,52,
2017-11-08T01:50:15.808Z,,22.7,,26.3,,52,
2017-11-08T01:50:25.818Z,0,23.6,0,26.6,2,52,
2017-11-08T01:50:35.823Z,0,27.7,,28.4,2,52,0
2017-11-08T01:50:45.815Z,,29.5,,,,52,
2017-11-08T01:50:55.807Z,,,,29.2,,,30
2017-11-08T01:51:05.929Z,0,,,29.9,0,,0
2017-11-08T01:51:15.810Z,,29.2,,,,52,
2017-11-08T01:51:25.812Z,,,,29.6,,,
2017-11-08T01:51:35.808Z,,29.1,,,,52,
2017-11-08T01:51:45.810Z,,29,,,,52,
2017-11-08T01:52:05.941Z,,29,,,,52,
2017-11-08T01:52:25.808Z,,28.9,5,,,52,
2017-11-08T01:52:35.808Z,0,29,,29.6,0,52,
2017-11-08T01:52:45.809Z,,29.8,,28.9,,52,
2017-11-08T01:52:55.808Z,0,30,,28,2,52,
2017-11-08T01:53:05.888Z,0,29.1,,29.3,2,52,30
2017-11-08T01:53:15.873Z,0,,,31.3,0,,0
