Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T10:12:40.570Z,50,,29,42.8,,,30.2
2017-12-08T10:12:50.557Z,50,,,43,,,30.2
2017-12-08T10:13:00.616Z,50,,30,43.1,,,30.2
2017-12-08T10:13:10.547Z,50,,29,43.3,,,30.2
2017-12-08T10:13:20.543Z,50,,,43.4,,,30.2
2017-12-08T10:13:30.544Z,50,,30,43.5,,,30.2
2017-12-08T10:13:40.554Z,50,,29,43.7,,,30.2
2017-12-08T10:13:50.560Z,50,,,43.8,,,30.2
2017-12-08T10:14:00.553Z,50,,30,44,,,30.2
2017-12-08T10:14:10.549Z,50,,,44.1,,,30.2
2017-12-08T10:14:20.549Z,50,,29,44.2,,,30.3
2017-12-08T10:14:30.556Z,50,,,44.4,,,30.3
2017-12-08T10:14:40.548Z,50,,,44.5,,,30.3
2017-12-08T10:14:50.559Z,50,,30,44.7,,,30.3
2017-12-08T10:15:00.581Z,50,,29,44.8,,,30.3
2017-12-08T10:15:10.594Z,50,,29,45,,,30.3
2017-12-08T10:15:20.552Z,50,,,45.1,,,30.3
2017-12-08T10:15:30.617Z,50,,30,45.2,,,30.3
2017-12-08T10:15:40.620Z,50,,29,45.3,,,30.4
2017-12-08T10:15:50.589Z,50,,29,45.4,,,30.4
2017-12-08T10:16:00.544Z,50,,30,45.6,,,30.4
2017-12-08T10:16:10.552Z,50,,29,45.7,,,30.4
2017-12-08T10:16:20.560Z,50,,30,45.8,,,30.4
2017-12-08T10:16:30.561Z,50,,29,46,,,30.4
2017-12-08T10:16:40.552Z,50,,,46.1,,,30.4
2017-12-08T10:16:50.569Z,50,,,46.2,,,30.4
2017-12-08T10:17:00.554Z,50,,,46.3,,,30.6
2017-12-08T10:17:10.555Z,50,,,46.5,,,30.6
2017-12-08T10:17:20.554Z,50,,,46.6,,,30.6
2017-12-08T10:17:30.610Z,50,,30,46.7,,,30.6
2017-12-08T10:17:40.551Z,50,,,46.8,,,30.6
2017-12-08T10:17:50.542Z,50,,29,47,,,30.6
2017-12-08T10:18:00.544Z,50,,,47.1,,,30.7
2017-12-08T10:18:10.542Z,50,,,47.2,,,30.7
2017-12-08T10:18:20.582Z,50,,30,47.3,,,30.7
2017-12-08T10:18:30.545Z,50,,,47.4,,,30.7
2017-12-08T10:18:40.545Z,50,,29,47.6,,,30.7
2017-12-08T10:18:50.552Z,50,,,47.7,,,30.7
2017-12-08T10:19:00.541Z,50,,,48,,,30.8
2017-12-08T10:19:10.557Z,50,,,,,,30.8
2017-12-08T10:19:20.540Z,50,,,48.1,,,30.8
2017-12-08T10:19:30.552Z,50,,30,48.2,,,30.8
2017-12-08T10:19:40.551Z,50,,29,48.3,,,30.8
2017-12-08T10:19:50.542Z,50,,,48.4,,,30.9
2017-12-08T10:20:00.555Z,50,,30,48.6,,,30.9
