Time,HwTOutlet,HwTSet,PrimTSet,HwActive,PrimT,ChActive,ActPow
2018-01-01T00:42:32.739Z,24,50,,,,,
2018-01-01T00:42:42.739Z,24,50,,,,,
2018-01-01T00:42:52.738Z,24,50,,,,,
2018-01-01T00:43:02.739Z,24,50,,,,,
2018-01-01T00:43:12.739Z,24,50,,,,,
2018-01-01T00:43:22.738Z,24,50,,,,,
2018-01-01T00:43:32.738Z,24,50,,,,,
2018-01-01T00:43:42.738Z,24,50,,,,,
2018-01-01T00:43:52.739Z,24,50,,,30,,
2018-01-01T00:44:02.814Z,24,50,,,,,
2018-01-01T00:44:12.746Z,24,50,,,,,
2018-01-01T00:44:22.738Z,24,50,,,,,
2018-01-01T00:44:32.738Z,24,50,,,,,
2018-01-01T00:44:42.738Z,24,50,,,,,
2018-01-01T00:44:52.738Z,24,50,,,,,
2018-01-01T00:45:02.739Z,24,50,,,,,
2018-01-01T00:45:12.738Z,24,50,,,,,
2018-01-01T00:45:22.739Z,24,50,,,,,
2018-01-01T00:45:32.738Z,24,50,,,,,
2018-01-01T00:45:42.739Z,24,50,,,,,
2018-01-01T00:45:52.739Z,24,50,,,,,
2018-01-01T00:46:02.738Z,24,50,,,,,
2018-01-01T00:46:12.738Z,23.9,50,,,,,
2018-01-01T00:46:22.739Z,23.9,50,,,,,
2018-01-01T00:46:32.739Z,23.9,50,,,,,
2018-01-01T00:46:42.738Z,23.9,50,,,,,
2018-01-01T00:46:52.738Z,23.9,50,,,,,
2018-01-01T00:47:02.738Z,23.9,50,,,,,
2018-01-01T00:47:12.738Z,23.9,50,,,29.9,,
2018-01-01T00:47:22.738Z,23.9,50,,,30,,
2018-01-01T00:47:32.739Z,23.9,50,,,30,,
2018-01-01T00:47:42.738Z,23.9,50,,,30,,
2018-01-01T00:47:52.738Z,,,,,30,,
2018-01-01T00:48:02.738Z,23.9,50,,,30,,
2018-01-01T00:48:12.738Z,23.9,50,,,29.9,,
2018-01-01T00:48:22.738Z,23.9,50,,,,,
2018-01-01T00:48:32.738Z,23.9,50,,,,,
2018-01-01T00:48:42.738Z,23.9,50,,,,,
2018-01-01T00:48:52.739Z,23.9,50,,,,,
2018-01-01T00:49:02.739Z,23.9,50,,,,,
2018-01-01T00:49:12.738Z,23.9,50,,,,,
2018-01-01T00:49:22.738Z,23.9,50,,,,,
2018-01-01T00:49:32.739Z,23.9,50,,,,,
2018-01-01T00:49:42.738Z,23.9,50,,,,,
2018-01-01T00:49:52.738Z,23.9,50,,,,,
2018-01-01T00:50:02.739Z,23.9,50,,,,,
2018-01-01T00:50:12.738Z,23.9,50,,,,,
2018-01-01T00:50:22.738Z,23.9,50,,,,,
2018-01-01T00:50:32.739Z,23.9,50,,,,,
2018-01-01T00:50:42.738Z,23.9,50,,,,,
2018-01-01T00:50:52.738Z,23.9,50,,,,,
2018-01-01T00:51:02.738Z,23.9,50,,,,,
