Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,HwTSet,ChActive
2017-11-25T01:00:41.184Z,,,,30.9,,52,
2017-11-25T01:00:51.182Z,,,,30.8,,52,
2017-11-25T01:01:01.183Z,35.8,,,,,,
2017-11-25T01:01:11.182Z,,,,30.8,,52,
2017-11-25T01:01:21.182Z,,,,30.8,,52,
2017-11-25T01:01:31.182Z,,,,30.8,,52,
2017-11-25T01:01:41.183Z,35.7,,,,,,
2017-11-25T01:01:51.182Z,,,,30.7,,52,
2017-11-25T01:02:01.182Z,,,,30.7,,52,
2017-11-25T01:02:11.182Z,35.6,,,,,,
2017-11-25T01:02:21.182Z,,,,30.7,,52,
2017-11-25T01:02:31.199Z,,,,30.7,,52,
2017-11-25T01:02:41.182Z,35.5,,,,,,
2017-11-25T01:02:51.182Z,,,,30.6,,52,
2017-11-25T01:03:01.182Z,,,,30.6,,52,
2017-11-25T01:03:11.183Z,35.4,,,,,,
2017-11-25T01:03:21.182Z,,,,30.6,,52,
2017-11-25T01:03:31.182Z,,,,30.6,,52,
2017-11-25T01:03:41.182Z,35.3,,,,,,
2017-11-25T01:03:51.182Z,,,,30.4,,52,
2017-11-25T01:04:01.182Z,,,,30.4,,52,
2017-11-25T01:04:21.182Z,,,,30.4,,52,
2017-11-25T01:04:31.182Z,,,,30.4,,52,
2017-11-25T01:04:41.182Z,35.2,,,,,,
2017-11-25T01:04:51.182Z,,,,30.3,,52,
2017-11-25T01:05:01.182Z,35.1,,,,,,
2017-11-25T01:05:11.183Z,,,,30.3,,52,
2017-11-25T01:05:21.182Z,,,,30.3,,52,
2017-11-25T01:05:31.182Z,34.9,,,30.2,,52,
2017-11-25T01:05:41.248Z,34.7,0,,30.2,,52,2
2017-11-25T01:05:51.241Z,38.1,,,,39,,
2017-11-25T01:06:01.186Z,38.8,,,30.2,38,52,
2017-11-25T01:06:11.182Z,40.2,,,,35,,
2017-11-25T01:06:21.243Z,39.8,,,30.2,29,52,
2017-11-25T01:06:31.182Z,36.6,,,30.2,,52,
2017-11-25T01:06:41.182Z,34.8,,,,29,,
2017-11-25T01:06:51.182Z,33.9,,,30.2,29,52,
2017-11-25T01:07:01.182Z,34.9,,,30.1,,52,
2017-11-25T01:07:11.187Z,33.5,,,,30,,
2017-11-25T01:07:21.182Z,33.8,,,30.1,,52,
2017-11-25T01:07:31.182Z,34.3,,,30.1,29,52,
2017-11-25T01:07:41.182Z,34.6,,,30.1,30,52,
2017-11-25T01:07:51.182Z,35.1,,,30.1,29,52,
2017-11-25T01:08:01.182Z,,,,30.1,,52,
2017-11-25T01:08:11.181Z,35.3,,,30.1,,52,
2017-11-25T01:08:21.181Z,,,,30,,52,
2017-11-25T01:08:31.182Z,35.7,,,30,30,52,
2017-11-25T01:08:41.186Z,35.8,,,30,,52,
2017-11-25T01:08:51.182Z,36,,,30,,52,
2017-11-25T01:09:01.181Z,,,,30,,52,
2017-11-25T01:09:11.183Z,36.5,,,30,,52,
2017-11-25T01:09:21.182Z,,,,29.8,,52,
2017-11-25T01:09:31.182Z,36.8,,,30,,52,
2017-11-25T01:09:41.182Z,36.9,,,30,,52,
2017-11-25T01:09:51.182Z,37.2,,,30,29,52,
2017-11-25T01:10:01.187Z,,,,30,,52,
2017-11-25T01:10:11.186Z,37.5,,,29.8,,52,
2017-11-25T01:10:21.182Z,37.7,,,,,,
2017-11-25T01:10:31.183Z,37.8,,,29.8,,52,
2017-11-25T01:10:41.182Z,38,,,,,,
2017-11-25T01:10:51.182Z,38.1,,,29.8,,52,
2017-11-25T01:11:01.182Z,38.3,,,29.8,,52,
