Time,HwTOutlet,ChActive,HwActive,PrimTSet,ActPow,PrimT,HwTSet
2017-12-27T01:02:45.908Z,25.9,,,,,,50
2017-12-27T01:02:55.903Z,25.9,,,,,,50
2017-12-27T01:03:05.903Z,25.9,,,,,,50
2017-12-27T01:03:15.908Z,25.9,,,,,,50
2017-12-27T01:03:25.904Z,25.7,,,,,,50
2017-12-27T01:03:35.903Z,25.7,,,,,,50
2017-12-27T01:03:45.903Z,25.7,,,,,,50
2017-12-27T01:03:55.903Z,25.7,,,,,35.6,50
2017-12-27T01:04:05.903Z,25.7,,,,,35.7,50
2017-12-27T01:04:15.903Z,25.7,,,,,35.6,50
2017-12-27T01:04:25.905Z,25.7,,,,,,50
2017-12-27T01:04:35.904Z,25.7,,,,,,50
2017-12-27T01:04:45.903Z,25.7,,,,,,50
2017-12-27T01:04:55.903Z,25.7,,,,,,50
2017-12-27T01:05:05.904Z,25.7,,,,,,50
2017-12-27T01:05:15.903Z,25.7,,,,,,50
2017-12-27T01:05:25.904Z,25.7,,,,,,50
2017-12-27T01:05:35.903Z,25.7,,,,,,50
2017-12-27T01:05:45.902Z,25.7,,,,,,50
2017-12-27T01:05:55.906Z,25.7,,,,,,50
2017-12-27T01:06:05.906Z,25.7,,,,,,50
2017-12-27T01:06:15.905Z,25.7,,,,,,50
2017-12-27T01:06:25.903Z,25.7,,,,,,50
2017-12-27T01:06:35.908Z,25.7,,,,,,50
2017-12-27T01:06:45.907Z,25.7,,,,,35.5,50
2017-12-27T01:06:55.907Z,25.6,,,,,,50
2017-12-27T01:07:05.905Z,25.6,,,,,,50
2017-12-27T01:07:15.903Z,25.6,,,,,,50
2017-12-27T01:07:25.905Z,25.6,,,,,,50
2017-12-27T01:07:35.906Z,25.6,,,,,,50
2017-12-27T01:07:45.905Z,25.6,,,,,,50
2017-12-27T01:07:55.902Z,25.6,,,,,,50
2017-12-27T01:08:05.903Z,25.6,,,,,,50
2017-12-27T01:08:15.904Z,25.6,,,,,,50
2017-12-27T01:08:25.902Z,25.6,,,,,,50
2017-12-27T01:08:35.903Z,25.6,,,,,,50
2017-12-27T01:08:45.907Z,25.6,,,,,,50
2017-12-27T01:08:55.908Z,25.6,,,,,35.4,50
2017-12-27T01:09:05.904Z,25.6,,,,,,50
2017-12-27T01:09:15.903Z,25.6,,,,,,50
2017-12-27T01:09:25.903Z,25.6,,,,,,50
2017-12-27T01:09:35.903Z,25.6,,,,,,50
2017-12-27T01:09:45.905Z,25.6,,,,,,50
2017-12-27T01:09:55.904Z,25.6,,,,,,50
2017-12-27T01:10:05.903Z,25.6,,,,,,50
2017-12-27T01:10:15.904Z,25.6,,,,,,50
2017-12-27T01:10:25.904Z,25.6,,,,,,50
2017-12-27T01:10:35.903Z,25.6,,,,,,50
2017-12-27T01:10:45.903Z,25.6,,,,,,50
2017-12-27T01:10:55.904Z,25.5,,,,,,50
2017-12-27T01:11:05.904Z,25.6,,,,,,50
2017-12-27T01:11:15.903Z,25.5,,,,,,50
2017-12-27T01:11:25.908Z,25.6,,,,,35.3,50
2017-12-27T01:11:35.902Z,25.5,,,,,,50
2017-12-27T01:11:45.903Z,25.5,,,,,,50
2017-12-27T01:11:55.903Z,25.5,,,,,,50
2017-12-27T01:12:05.903Z,25.5,,,,,,50
2017-12-27T01:12:15.903Z,25.5,,,,,,50
2017-12-27T01:12:25.903Z,25.5,,,,,,50
2017-12-27T01:12:35.907Z,25.5,,,,,,50
2017-12-27T01:12:45.904Z,25.5,,,,,,50
2017-12-27T01:12:55.903Z,25.5,,,,,,50
2017-12-27T01:13:05.903Z,25.5,,,,,,50
2017-12-27T01:13:15.903Z,25.5,,,,,,50
2017-12-27T01:13:25.902Z,25.5,,,,,,50
2017-12-27T01:13:35.903Z,25.5,,,,,35.2,50
2017-12-27T01:13:45.903Z,25.5,,,,,,50
2017-12-27T01:13:55.903Z,25.5,,,,,,50
2017-12-27T01:14:05.906Z,25.5,,,,,,50
2017-12-27T01:14:15.902Z,25.5,,,,,,50
2017-12-27T01:14:25.903Z,25.5,,,,,,50
2017-12-27T01:14:35.903Z,25.5,,,,,,50
2017-12-27T01:14:45.904Z,25.5,,,,,,50
2017-12-27T01:14:55.903Z,25.5,,,,,,50
2017-12-27T01:15:05.903Z,25.5,,,,,,50
2017-12-27T01:15:15.903Z,25.5,,,,,,50
2017-12-27T01:15:25.903Z,25.4,,,,,,50
2017-12-27T01:15:35.903Z,25.5,,,,,,50
2017-12-27T01:15:45.903Z,25.4,,,,,35.1,50
2017-12-27T01:15:55.903Z,25.4,,,,,,50
2017-12-27T01:16:05.903Z,25.4,,,,,,50
2017-12-27T01:16:15.902Z,25.4,,,,,,50
2017-12-27T01:16:25.902Z,25.4,,,,,,50
2017-12-27T01:16:35.903Z,25.4,,,,,,50
2017-12-27T01:16:45.903Z,25.4,,,,,,50
2017-12-27T01:16:55.905Z,25.4,,,,,,50
2017-12-27T01:17:05.903Z,25.4,,,,,,50
2017-12-27T01:17:15.903Z,25.4,,,,,,50
2017-12-27T01:17:25.903Z,25.4,,,,,,50
2017-12-27T01:17:35.903Z,25.4,,,,,,50
2017-12-27T01:17:45.903Z,25.4,,,,,,50
2017-12-27T01:17:55.903Z,25.4,,,,,,50
2017-12-27T01:18:05.903Z,25.4,,,,,34.9,50
2017-12-27T01:18:15.906Z,25.4,,,,,34.9,50
2017-12-27T01:18:25.903Z,25.4,,,,,,50
2017-12-27T01:18:35.902Z,25.4,,,,,,50
2017-12-27T01:18:45.903Z,25.4,,,,,,50
