Time,ActPow,ChActive,HwActive,PrimTSet,HwTSet,PrimT,HwTOutlet
2018-02-03T00:22:28.824Z,,,,,50,,29.7
2018-02-03T00:22:38.824Z,,,,,,31.6,
2018-02-03T00:22:48.823Z,,,,,50,,29.7
2018-02-03T00:22:58.824Z,,,,,50,,29.6
2018-02-03T00:23:08.824Z,,,,,,31.5,
2018-02-03T00:23:18.824Z,,,,,50,,29.6
2018-02-03T00:23:28.824Z,,,,,50,,29.6
2018-02-03T00:23:48.823Z,,,,,50,31.4,29.5
2018-02-03T00:23:58.823Z,,,,,50,,29.5
2018-02-03T00:24:18.827Z,,,,,50,,29.5
2018-02-03T00:24:28.824Z,,,,,50,,29.5
2018-02-03T00:24:48.824Z,,,,,50,31.3,29.3
2018-02-03T00:24:58.823Z,,,,,50,,29.3
2018-02-03T00:25:18.824Z,,,,,50,,29.3
2018-02-03T00:25:28.824Z,,,,,50,,29.3
2018-02-03T00:25:38.824Z,,,,,,31.2,
2018-02-03T00:25:48.823Z,,,,,50,,29.2
2018-02-03T00:25:58.824Z,,,,,50,,29.2
2018-02-03T00:26:18.824Z,,,,,50,,29.2
2018-02-03T00:26:28.824Z,,,,,50,,29.1
2018-02-03T00:26:38.823Z,,,,,,31.1,
2018-02-03T00:26:48.824Z,,,,,50,,29.1
2018-02-03T00:26:58.824Z,,,,,50,,29.1
2018-02-03T00:27:18.824Z,,,,,50,30.9,29
2018-02-03T00:27:28.824Z,,,,,50,31.1,29
2018-02-03T00:27:38.824Z,,,,,,30.9,
2018-02-03T00:27:48.824Z,,,,,50,,29
2018-02-03T00:27:58.824Z,,,,,50,,29
2018-02-03T00:28:18.823Z,,,,,50,,28.9
2018-02-03T00:28:28.823Z,,,,,50,,28.9
2018-02-03T00:28:38.823Z,,,,,,30.8,
2018-02-03T00:28:48.825Z,,,,,50,,28.9
2018-02-03T00:28:58.830Z,,,,,50,,28.9
2018-02-03T00:29:18.824Z,,,,,50,,28.9
2018-02-03T00:29:28.823Z,,,,,50,,28.9
2018-02-03T00:29:48.832Z,,,,,50,30.7,28.7
2018-02-03T00:29:58.824Z,,,,,50,,28.7
2018-02-03T00:30:18.823Z,,,,,50,,28.7
2018-02-03T00:30:28.824Z,,,,,50,,28.7
2018-02-03T00:30:48.823Z,,,,,50,,28.6
2018-02-03T00:30:58.823Z,,,,,50,,28.6
2018-02-03T00:31:18.823Z,,,,,50,30.6,28.6
2018-02-03T00:31:28.824Z,,,,,50,,28.6
2018-02-03T00:31:48.823Z,,,,,50,,28.6
2018-02-03T00:31:58.824Z,,,,,50,,28.6
2018-02-03T00:32:18.824Z,,,,,50,,28.5
2018-02-03T00:32:28.823Z,,,,,50,,28.5
2018-02-03T00:32:48.823Z,,,,,50,,28.5
2018-02-03T00:32:58.823Z,,,,,50,,28.5
2018-02-03T00:33:08.824Z,,,,,,30.5,
2018-02-03T00:33:18.824Z,,,,,50,,28.5
2018-02-03T00:33:28.823Z,,,,,50,,28.5
2018-02-03T00:33:48.824Z,,,,,50,,28.4
2018-02-03T00:33:58.823Z,,,,,50,,28.4
2018-02-03T00:34:18.823Z,,,,,50,,28.4
2018-02-03T00:34:28.824Z,,,,,50,,28.4
2018-02-03T00:34:48.823Z,,,,,50,,28.3
2018-02-03T00:34:58.825Z,,,,,50,,28.4
2018-02-03T00:35:08.823Z,,,,,50,30.4,28.3
2018-02-03T00:35:18.824Z,44,1,0,,50,31.2,28.3
2018-02-03T00:35:28.824Z,37,,,,50,35.6,28.3
2018-02-03T00:35:38.824Z,29,,,,50,34.8,28.3
2018-02-03T00:35:48.823Z,29,,,,50,32.8,28.3
2018-02-03T00:35:58.824Z,,,,,50,31.4,28.3
2018-02-03T00:36:08.823Z,30,,,,,30.3,
2018-02-03T00:36:18.966Z,29,,,,50,30.1,28.3
2018-02-03T00:36:28.823Z,,,,,50,,28.3
2018-02-03T00:36:38.823Z,29,,,,50,30.9,28.3
2018-02-03T00:36:48.823Z,,,,,,31.3,
2018-02-03T00:36:58.824Z,,,,,50,31.6,28.1
2018-02-03T00:37:08.823Z,,,,,50,,28.1
2018-02-03T00:37:18.890Z,30,,,,50,31.9,28.1
2018-02-03T00:37:28.824Z,,,,,50,,28.1
2018-02-03T00:37:38.823Z,29,,,,,32.1,
2018-02-03T00:37:48.824Z,,,,,50,32.3,28.1
2018-02-03T00:37:58.823Z,,,,,50,,28.1
2018-02-03T00:38:08.823Z,30,,,,,32.7,
2018-02-03T00:38:18.824Z,29,,,,50,32.9,28.1
2018-02-03T00:38:28.823Z,,,,,,33.2,
2018-02-03T00:38:38.823Z,,,,,50,33.4,28.1
2018-02-03T00:38:48.823Z,,,,,50,,28.1
2018-02-03T00:38:58.823Z,,,,,,33.7,
2018-02-03T00:39:08.824Z,,,,,50,33.9,28.1
2018-02-03T00:39:18.823Z,,,,,50,34.1,28.1
2018-02-03T00:39:28.824Z,30,,,,,34.3,
2018-02-03T00:39:38.826Z,29,,,,50,34.5,28.1
2018-02-03T00:39:48.823Z,,,,,50,,28.1
2018-02-03T00:39:58.823Z,,,,,50,34.8,28.1
2018-02-03T00:40:08.823Z,29,,,,,35.1,
2018-02-03T00:40:18.824Z,,,,,50,35.3,28.1
2018-02-03T00:40:28.823Z,,,,,50,,28.1
2018-02-03T00:40:38.823Z,,,,,,35.6,
2018-02-03T00:40:48.826Z,30,,,,50,35.8,28.1
2018-02-03T00:40:58.823Z,29,,,,50,35.9,28.1
2018-02-03T00:41:08.823Z,0,1,0,,50,35.8,28.1
2018-02-03T00:41:18.823Z,,,,,50,33.9,28.1
2018-02-03T00:41:28.823Z,,,,,50,32.3,28.1
2018-02-03T00:41:38.824Z,,,,,50,31.6,28.1
2018-02-03T00:41:48.823Z,,,,,,31.4,
2018-02-03T00:41:58.823Z,,,,,50,,28.1
2018-02-03T00:42:08.823Z,,,,,50,,28.1
2018-02-03T00:42:18.823Z,,,,,50,,28.3
2018-02-03T00:42:28.823Z,0,1,0,59,,31.4,
2018-02-03T00:42:38.823Z,,,,,50,31.3,28.1
2018-02-03T00:42:48.823Z,,,,,50,,28.3
2018-02-03T00:42:58.825Z,,,,,,31.1,
2018-02-03T00:43:08.823Z,,,,,50,,28.3
2018-02-03T00:43:18.823Z,,,,,50,,28.3
2018-02-03T00:43:28.823Z,,,,,50,,28.3
2018-02-03T00:43:48.831Z,,,,,50,,28.3
2018-02-03T00:43:58.823Z,,,,,50,,28.3
2018-02-03T00:44:08.823Z,,,,,50,,28.3
2018-02-03T00:44:18.823Z,,,,,50,,28.3
2018-02-03T00:44:28.823Z,,,,,,30.9,
2018-02-03T00:44:38.824Z,,,,,50,30.9,28.4
2018-02-03T00:44:48.881Z,,,,,,31.1,
2018-02-03T00:44:58.868Z,,,,,50,30.9,28.4
2018-02-03T00:45:08.864Z,,,,,50,,28.4
2018-02-03T00:45:18.823Z,,,,,50,,28.4
2018-02-03T00:45:28.823Z,,,,,50,,28.4
2018-02-03T00:45:48.823Z,,,,,50,,28.4
2018-02-03T00:45:58.823Z,,,,,50,31.1,28.4
2018-02-03T00:46:08.823Z,,,,,50,30.9,28.4
2018-02-03T00:46:18.824Z,,,,,50,31.1,28.4
2018-02-03T00:46:28.824Z,,,,,50,30.9,28.4
2018-02-03T00:46:38.825Z,,,,,,31.1,
2018-02-03T00:46:48.823Z,,,,,50,,28.5
2018-02-03T00:46:58.823Z,,,,,50,,28.5
2018-02-03T00:47:18.828Z,,,,,50,,28.5
2018-02-03T00:47:28.823Z,,,,,50,,28.5
2018-02-03T00:47:48.823Z,,,,,50,31.2,28.5
2018-02-03T00:47:58.824Z,,,,,50,,28.5
2018-02-03T00:48:18.823Z,,,,,50,,28.5
2018-02-03T00:48:28.823Z,,,,,50,,28.5
2018-02-03T00:48:38.823Z,,,,,50,31.3,28.5
2018-02-03T00:48:48.823Z,,0,0,5,50,,28.5
2018-02-03T00:48:58.823Z,,1,0,59,,,
2018-02-03T00:49:08.823Z,,,,,50,,28.6
2018-02-03T00:49:18.824Z,,,,,50,,28.5
2018-02-03T00:49:28.823Z,,,,,50,31.4,28.6
2018-02-03T00:49:38.823Z,,0,0,5,50,,28.6
2018-02-03T00:49:48.823Z,,1,0,59,50,,28.6
2018-02-03T00:49:58.823Z,,0,0,5,,,
2018-02-03T00:50:08.823Z,,,,,50,,28.6
2018-02-03T00:50:18.823Z,,,,,50,,28.6
2018-02-03T00:50:28.823Z,,1,0,59,,,
2018-02-03T00:50:38.823Z,,,,,50,,28.6
2018-02-03T00:50:48.823Z,,,,,50,,28.6
2018-02-03T00:51:08.825Z,,,,,50,,28.6
2018-02-03T00:51:18.823Z,,,,,50,31.5,28.6
2018-02-03T00:51:28.827Z,,,,,50,,28.6
2018-02-03T00:51:38.823Z,,,,,,31.4,
2018-02-03T00:51:48.823Z,,,,,50,31.5,28.6
2018-02-03T00:51:58.823Z,,,,,50,,28.7
2018-02-03T00:52:08.823Z,,,,,,31.4,
2018-02-03T00:52:18.823Z,,,,,50,31.5,28.7
2018-02-03T00:52:28.824Z,,,,,50,,28.7
2018-02-03T00:52:48.828Z,,,,,50,,28.7
2018-02-03T00:52:58.823Z,,,,,50,,28.7
2018-02-03T00:53:08.823Z,,,,,,31.5,
2018-02-03T00:53:18.823Z,,,,,50,31.4,28.7
2018-02-03T00:53:28.823Z,,,,,50,,28.7
2018-02-03T00:53:48.823Z,,,,,50,,28.7
2018-02-03T00:53:58.823Z,,,,,50,,28.7
2018-02-03T00:54:18.823Z,,,,,50,,28.7
2018-02-03T00:54:28.823Z,,,,,50,,28.7
2018-02-03T00:54:48.823Z,,,,,50,,28.7
2018-02-03T00:54:58.823Z,,,,,50,,28.7
2018-02-03T00:55:18.931Z,,,,,50,,28.7
2018-02-03T00:55:28.823Z,,,,,50,,28.7
2018-02-03T00:55:48.823Z,,,,,50,,28.7
2018-02-03T00:55:58.824Z,,,,,50,,28.7
2018-02-03T00:56:08.823Z,,,,,,31.3,
2018-02-03T00:56:18.823Z,,,,,50,,28.7
2018-02-03T00:56:28.823Z,,,,,50,,31
2018-02-03T00:56:48.822Z,,,,,50,,31
2018-02-03T00:56:58.823Z,,,,,50,,31
2018-02-03T00:57:18.824Z,,,,,50,,30.9
2018-02-03T00:57:28.823Z,,,,,50,,30.9
2018-02-03T00:57:48.825Z,,,,,50,,30.8
2018-02-03T00:57:58.823Z,,,,,50,,30.8
2018-02-03T00:58:08.823Z,,,,,,31.3,
2018-02-03T00:58:18.823Z,,,,,50,31.2,30.7
2018-02-03T00:58:28.823Z,,,,,50,,30.6
2018-02-03T00:58:38.823Z,,,,,50,,30.6
2018-02-03T00:58:48.824Z,49,0,2,0,50,30.9,30.9
2018-02-03T00:58:58.823Z,0,0,0,,50,34.3,32.7
2018-02-03T00:59:08.823Z,,,,,50,33.8,32.9
2018-02-03T00:59:18.823Z,,,,,50,33.6,32.8
2018-02-03T00:59:28.823Z,,,,,50,,32.8
2018-02-03T00:59:38.823Z,,,,,,33.5,
2018-02-03T00:59:48.823Z,,,,,50,,32.7
2018-02-03T00:59:58.823Z,,1,0,59,50,,32.7
2018-02-03T01:00:18.823Z,,,,,50,,32.6
2018-02-03T01:00:28.824Z,,,,,50,,32.5
2018-02-03T01:00:48.869Z,,,,,50,,32.4
2018-02-03T01:00:58.862Z,,,,,50,,32.4
2018-02-03T01:01:08.841Z,,,,,,33.4,
2018-02-03T01:01:18.844Z,,,,,50,,32.3
2018-02-03T01:01:28.823Z,,,,,50,,32.3
2018-02-03T01:01:48.822Z,,,,,50,,32.2
2018-02-03T01:01:58.823Z,,,,,50,,32.1
2018-02-03T01:02:18.823Z,,,,,50,,32
2018-02-03T01:02:28.823Z,,,,,50,,32
2018-02-03T01:02:38.822Z,,,,,,33.3,
2018-02-03T01:02:48.823Z,,,,,50,,31.9
2018-02-03T01:02:58.823Z,,,,,50,,31.9
2018-02-03T01:03:18.823Z,,,,,50,,31.8
2018-02-03T01:03:28.823Z,,,,,50,,31.6
2018-02-03T01:03:48.823Z,,,,,50,,31.6
2018-02-03T01:03:58.823Z,,,,,50,,31.5
2018-02-03T01:04:08.822Z,,,,,,33.2,
2018-02-03T01:04:18.823Z,,,,,50,,31.4
2018-02-03T01:04:28.823Z,,,,,50,,31.4
2018-02-03T01:04:48.826Z,,,,,50,,31.3
2018-02-03T01:04:58.823Z,,,,,50,,31.3
2018-02-03T01:05:18.823Z,,,,,50,,31.2
2018-02-03T01:05:28.823Z,,,,,50,,31.2
2018-02-03T01:05:48.822Z,,,,,50,,31
2018-02-03T01:05:58.823Z,,,,,50,,30.9
2018-02-03T01:06:08.822Z,,,,,,33.1,
2018-02-03T01:06:18.823Z,,,,,50,,30.9
2018-02-03T01:06:28.823Z,,,,,50,,30.8
2018-02-03T01:06:48.823Z,,,,,50,,30.8
2018-02-03T01:06:58.822Z,,,,,50,,30.7
2018-02-03T01:07:18.823Z,,,,,50,33.1,30.7
2018-02-03T01:07:28.822Z,,,,,50,32.9,30.6
2018-02-03T01:07:38.823Z,,,,,,32.9,
2018-02-03T01:07:48.823Z,,,,,50,,30.6
2018-02-03T01:07:58.823Z,,,,,50,,30.4
2018-02-03T01:08:18.823Z,,,,,50,,30.4
2018-02-03T01:08:28.823Z,,,,,50,,30.3
2018-02-03T01:08:48.826Z,,,,,50,,30.3
2018-02-03T01:08:58.822Z,,,,,50,,30.2
2018-02-03T01:09:18.822Z,,,,,50,32.8,30.2
2018-02-03T01:09:28.823Z,,,,,50,,30.1
2018-02-03T01:09:48.859Z,,,,,50,,30.1
2018-02-03T01:09:58.822Z,,,,,50,,30
2018-02-03T01:10:18.823Z,,,,,50,,30
2018-02-03T01:10:28.822Z,,,,,50,,30
2018-02-03T01:10:48.823Z,,,,,50,,29.8
2018-02-03T01:10:58.823Z,,,,,50,,29.8
2018-02-03T01:11:08.823Z,,,,,,32.7,
2018-02-03T01:11:18.823Z,,,,,50,,29.7
2018-02-03T01:11:28.822Z,,,,,50,,29.7
2018-02-03T01:11:38.822Z,45,1,0,,50,33.1,29.7
2018-02-03T01:11:48.823Z,37,,,,50,37.9,29.6
2018-02-03T01:11:58.823Z,30,,,,50,35.9,29.6
2018-02-03T01:12:08.823Z,30,,,,50,33.9,29.6
2018-02-03T01:12:18.823Z,30,,,,50,32.5,29.6
2018-02-03T01:12:28.823Z,29,,,,,31.2,
2018-02-03T01:12:38.823Z,,,,,50,31.1,29.5
2018-02-03T01:12:48.823Z,,,,,50,,29.5
2018-02-03T01:12:58.822Z,,,,,50,31.9,29.5
2018-02-03T01:13:08.823Z,29,,,,,32.2,
2018-02-03T01:13:18.823Z,,,,,50,32.4,29.3
2018-02-03T01:13:28.822Z,,,,,50,,29.3
2018-02-03T01:13:38.822Z,,,,,,32.7,
2018-02-03T01:13:48.823Z,,,,,50,32.9,29.3
2018-02-03T01:13:58.823Z,,,,,,33.2,
2018-02-03T01:14:08.823Z,,,,,50,33.4,29.2
2018-02-03T01:14:18.822Z,,,,,50,33.6,29.2
2018-02-03T01:14:28.824Z,,,,,50,,29.2
2018-02-03T01:14:38.822Z,30,,,,,34,
2018-02-03T01:14:48.822Z,29,,,,50,34.2,29.1
2018-02-03T01:14:58.822Z,,,,,50,,29.1
2018-02-03T01:15:08.822Z,30,,,,,34.5,
2018-02-03T01:15:18.823Z,29,,,,50,34.7,29.1
2018-02-03T01:15:28.822Z,,,,,50,34.8,29
2018-02-03T01:15:38.823Z,,,,,,35.1,
2018-02-03T01:15:48.822Z,,,,,50,35.3,29
2018-02-03T01:15:58.822Z,,,,,50,,29
2018-02-03T01:16:08.880Z,29,,,,,35.6,
2018-02-03T01:16:18.823Z,,,,,50,35.8,29
2018-02-03T01:16:28.823Z,,,,,50,36,29
2018-02-03T01:16:38.824Z,,,,,,36.1,
2018-02-03T01:16:48.850Z,,,,,50,36.3,28.9
2018-02-03T01:16:58.823Z,,,,,50,,28.9
2018-02-03T01:17:08.827Z,,,,,,36.7,
2018-02-03T01:17:18.823Z,,,,,50,36.9,28.9
2018-02-03T01:17:28.823Z,30,,,,,37.1,
2018-02-03T01:17:38.822Z,,,,,50,37.3,28.9
2018-02-03T01:17:48.824Z,,,,,50,,28.9
2018-02-03T01:17:58.823Z,30,,,,,37.6,
2018-02-03T01:18:08.823Z,29,,,,50,37.8,28.9
2018-02-03T01:18:18.823Z,0,1,0,,50,37.9,28.7
2018-02-03T01:18:28.822Z,,,,,50,35.6,28.7
2018-02-03T01:18:38.822Z,,,,,50,34,28.7
2018-02-03T01:18:48.825Z,,,,,50,33.4,28.7
2018-02-03T01:18:58.822Z,,,,,,33.2,
2018-02-03T01:19:08.822Z,,,,,50,,28.7
2018-02-03T01:19:18.823Z,,,,,50,33.1,28.7
2018-02-03T01:19:28.822Z,,,,,50,,28.7
2018-02-03T01:19:38.823Z,,,,,50,,28.7
2018-02-03T01:19:48.822Z,,,,,,32.9,
2018-02-03T01:19:58.823Z,,,,,50,32.8,28.7
2018-02-03T01:20:08.823Z,,,,,50,,28.7
2018-02-03T01:20:18.822Z,,,,,50,32.7,28.7
2018-02-03T01:20:38.824Z,,,,,50,,28.7
2018-02-03T01:20:48.824Z,,,,,50,,28.7
2018-02-03T01:21:08.824Z,,,,,50,,28.6
2018-02-03T01:21:18.823Z,,,,,50,32.6,28.7
2018-02-03T01:21:38.822Z,,,,,50,,28.6
2018-02-03T01:21:48.822Z,,,,,50,,28.6
2018-02-03T01:22:08.825Z,,,,,50,,28.6
2018-02-03T01:22:18.825Z,,,,,50,,28.6
2018-02-03T01:22:28.823Z,,,,,50,,28.6
2018-02-03T01:22:48.822Z,,,,,50,,28.6
2018-02-03T01:22:58.822Z,,,,,50,,28.6
2018-02-03T01:23:08.824Z,,,,,,32.6,
2018-02-03T01:23:18.896Z,,,,,50,,28.6
2018-02-03T01:23:28.822Z,,,,,50,,28.6
2018-02-03T01:23:48.822Z,,,,,50,,28.6
2018-02-03T01:23:58.822Z,,,,,50,,28.5
2018-02-03T01:24:18.823Z,,,,,50,,28.5
2018-02-03T01:24:28.822Z,,,,,50,,28.5
2018-02-03T01:24:48.822Z,,,,,50,32.7,28.5
2018-02-03T01:24:58.825Z,,,,,50,,28.5
2018-02-03T01:25:18.822Z,,,,,50,,28.5
2018-02-03T01:25:28.823Z,,,,,50,,28.5
2018-02-03T01:25:38.822Z,,,,,,32.8,
2018-02-03T01:25:48.822Z,,,,,50,,28.5
2018-02-03T01:25:58.822Z,,,,,50,,28.5
2018-02-03T01:26:18.823Z,,,,,50,32.9,28.5
2018-02-03T01:26:28.822Z,,,,,50,,28.5
2018-02-03T01:26:48.822Z,,,,,50,,28.4
2018-02-03T01:26:58.822Z,,,,,50,,28.4
2018-02-03T01:27:18.823Z,,,,,50,33.1,28.4
2018-02-03T01:27:28.822Z,,,,,50,33.1,28.4
2018-02-03T01:27:48.822Z,,,,,50,,28.4
2018-02-03T01:27:58.822Z,,,,,50,,28.4
2018-02-03T01:28:18.822Z,,,,,50,,28.4
2018-02-03T01:28:28.823Z,,,,,50,,28.4
2018-02-03T01:28:48.822Z,,,,,50,,28.4
2018-02-03T01:28:58.822Z,,,,,50,,28.4
2018-02-03T01:29:18.823Z,,,,,50,,28.3
2018-02-03T01:29:28.822Z,,,,,50,,28.4
2018-02-03T01:29:48.822Z,,,,,50,,28.3
2018-02-03T01:29:58.822Z,,,,,50,,28.3
2018-02-03T01:30:08.822Z,,,,,50,32.9,28.3
2018-02-03T01:30:18.822Z,,,,,50,32.9,28.3
2018-02-03T01:30:28.822Z,,,,,50,33.1,28.3
2018-02-03T01:30:38.822Z,,,,,50,32.9,28.3
2018-02-03T01:30:58.822Z,,,,,50,,28.3
2018-02-03T01:31:08.822Z,,,,,50,,28.3
2018-02-03T01:31:18.822Z,,,,,50,,28.3
2018-02-03T01:31:38.822Z,,,,,50,,28.3
2018-02-03T01:31:48.822Z,,,,,50,,28.3
2018-02-03T01:32:08.822Z,,,,,50,,28.1
2018-02-03T01:32:18.822Z,,0,0,5,50,,28.1
2018-02-03T01:32:28.822Z,,,,,50,,28.1
2018-02-03T01:32:38.822Z,,1,0,59,,32.8,
2018-02-03T01:32:48.823Z,,,,,50,,28.1
2018-02-03T01:32:58.822Z,,0,0,5,,,
2018-02-03T01:33:08.822Z,,,,,50,,28.1
2018-02-03T01:33:18.823Z,,,,,50,,28.1
2018-02-03T01:33:28.822Z,,,,,50,,28.1
2018-02-03T01:33:38.822Z,,1,0,59,,,
2018-02-03T01:33:48.822Z,,,,,50,,28.1
2018-02-03T01:33:58.822Z,,,,,50,,28.1
2018-02-03T01:34:08.822Z,,0,0,5,,,
2018-02-03T01:34:18.822Z,,,,,50,,28.1
2018-02-03T01:34:28.839Z,,,,,50,,28
