Time,HwTSet,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet,HwActive
2017-11-22T01:15:31.278Z,52,,,,,25.7,
2017-11-22T01:15:41.358Z,52,,,,,25.7,
2017-11-22T01:15:51.280Z,52,,,,,25.7,
2017-11-22T01:16:01.279Z,52,,,,,25.7,
2017-11-22T01:16:11.282Z,52,,,,32.4,25.7,
2017-11-22T01:16:31.279Z,52,,,,32.5,25.7,
2017-11-22T01:16:41.361Z,,,,,32.4,,
2017-11-22T01:16:51.279Z,52,,,,,25.7,
2017-11-22T01:17:01.277Z,52,,,,,25.7,
2017-11-22T01:17:11.278Z,52,,,,,25.7,
2017-11-22T01:17:31.280Z,52,,,,,25.7,
2017-11-22T01:17:41.358Z,52,,,,,25.7,
2017-11-22T01:17:51.278Z,52,,,,,25.7,
2017-11-22T01:18:01.278Z,52,,,,,25.7,
2017-11-22T01:18:11.277Z,52,,,,,25.7,
2017-11-22T01:18:31.278Z,52,,,,,25.7,
2017-11-22T01:18:41.357Z,52,,,,,25.7,
2017-11-22T01:18:51.277Z,52,,,,,25.7,
2017-11-22T01:19:01.282Z,52,,,,,25.7,
2017-11-22T01:19:11.287Z,52,,,,,25.7,
2017-11-22T01:19:31.278Z,52,,,,,25.7,
2017-11-22T01:19:41.363Z,52,,,,,25.7,
2017-11-22T01:19:51.283Z,52,,,,,25.7,
2017-11-22T01:20:01.278Z,52,,,,,25.7,
2017-11-22T01:20:11.277Z,52,,,,32.3,25.6,
2017-11-22T01:20:31.277Z,52,,,,,25.6,
2017-11-22T01:20:51.277Z,52,,,,,25.7,
2017-11-22T01:21:01.277Z,52,,,,,25.6,
2017-11-22T01:21:11.277Z,52,,,,,25.6,
2017-11-22T01:21:31.278Z,52,,,,,25.6,
2017-11-22T01:21:51.278Z,52,,,,,25.6,
2017-11-22T01:22:01.283Z,52,,,,,25.6,
2017-11-22T01:22:11.277Z,52,,,,,25.6,
2017-11-22T01:22:31.278Z,52,,,,,25.6,
2017-11-22T01:22:51.278Z,52,,,,,25.6,
2017-11-22T01:23:01.277Z,52,,,,,25.6,
2017-11-22T01:23:11.278Z,52,,,,,25.6,
2017-11-22T01:23:31.277Z,52,,,,,25.6,
2017-11-22T01:23:41.358Z,52,,,,,25.6,
2017-11-22T01:23:51.437Z,52,,,,,25.6,
2017-11-22T01:24:01.449Z,52,,,,32.2,25.6,
2017-11-22T01:24:11.474Z,52,,,,,25.6,
2017-11-22T01:24:31.489Z,52,,,,,25.6,
2017-11-22T01:24:51.339Z,52,,,,,25.6,
2017-11-22T01:25:01.338Z,52,,,,,25.6,
2017-11-22T01:25:11.283Z,52,,,,,25.6,
2017-11-22T01:25:31.307Z,52,,,,,25.6,
2017-11-22T01:25:51.277Z,52,,,,,25.5,
2017-11-22T01:26:01.277Z,52,,,,,25.5,
2017-11-22T01:26:11.278Z,52,,,,,25.5,
2017-11-22T01:26:31.278Z,52,,,,,25.5,
2017-11-22T01:26:41.358Z,52,,,,,25.5,
2017-11-22T01:26:51.277Z,52,,,,,25.5,
2017-11-22T01:27:01.280Z,52,,,,,25.5,
2017-11-22T01:27:11.278Z,52,,,,,25.5,
2017-11-22T01:27:31.279Z,52,,,,,25.5,
2017-11-22T01:27:41.358Z,52,,,,32.1,25.5,
2017-11-22T01:27:51.283Z,52,,,,32.2,25.5,
2017-11-22T01:28:01.283Z,52,,,,32.1,25.5,
2017-11-22T01:28:11.277Z,52,,,,,25.5,
2017-11-22T01:28:31.282Z,52,,,,,25.5,
2017-11-22T01:28:41.358Z,52,,,,,25.5,
2017-11-22T01:28:51.277Z,52,,,,,25.5,
2017-11-22T01:29:01.277Z,52,,,,,25.5,
2017-11-22T01:29:11.278Z,52,,,,,25.5,
2017-11-22T01:29:31.277Z,52,,,,,25.5,
