Time,HwActive,PrimT,ActPow,HwTSet,ChActive,HwTOutlet,PrimTSet
2018-02-10T00:27:18.635Z,,,,50,,32.7,
2018-02-10T00:27:38.634Z,,,,50,,32.7,
2018-02-10T00:27:48.634Z,,,,50,,32.6,
2018-02-10T00:27:58.635Z,,,,50,,32.6,
2018-02-10T00:28:18.634Z,,,,50,,32.6,
2018-02-10T00:28:28.634Z,,,,50,,32.6,
2018-02-10T00:28:48.634Z,,,,50,,32.6,
2018-02-10T00:28:58.634Z,,,,50,,32.5,
2018-02-10T00:29:18.638Z,,,,50,,32.5,
2018-02-10T00:29:28.634Z,,,,50,,32.5,
2018-02-10T00:29:48.634Z,,37.3,,50,,32.5,
2018-02-10T00:29:58.656Z,,,,50,,32.4,
2018-02-10T00:30:18.634Z,,37.4,,50,,32.4,
2018-02-10T00:30:28.634Z,,,,50,,32.4,
2018-02-10T00:30:48.634Z,,,,50,,32.4,
2018-02-10T00:30:58.634Z,,,,50,,32.3,
2018-02-10T00:31:08.634Z,,37.5,,,,,
2018-02-10T00:31:18.634Z,,,,50,,32.3,
2018-02-10T00:31:28.634Z,,,,50,,32.3,
2018-02-10T00:31:48.637Z,,,,50,,32.3,
2018-02-10T00:31:58.634Z,,,,50,,32.3,
2018-02-10T00:32:18.634Z,,37.6,,50,,32.2,
2018-02-10T00:32:28.634Z,,,,50,,32.2,
2018-02-10T00:32:48.661Z,,,,50,,32.2,
2018-02-10T00:32:58.723Z,,,,50,,32.2,
2018-02-10T00:33:18.634Z,,,,50,,32.1,
2018-02-10T00:33:28.634Z,,,,50,,32.1,
2018-02-10T00:33:48.634Z,,,,50,,32.1,
2018-02-10T00:33:58.634Z,,,,50,,32.1,
2018-02-10T00:34:18.634Z,,37.5,,50,,32,
2018-02-10T00:34:28.634Z,,,,50,,32,
2018-02-10T00:34:48.634Z,,,,50,,32,
2018-02-10T00:34:58.634Z,,,,50,,32,
2018-02-10T00:35:18.634Z,,,,50,,31.9,
2018-02-10T00:35:28.633Z,,,,50,,31.9,
2018-02-10T00:35:38.634Z,0,41.6,38,50,2,31.9,
2018-02-10T00:35:48.634Z,,43.7,31,50,,31.9,
2018-02-10T00:35:58.634Z,,41.5,29,50,,31.9,
2018-02-10T00:36:08.634Z,,40.5,,50,,31.9,
2018-02-10T00:36:18.643Z,,39.1,,50,,31.9,
2018-02-10T00:36:28.638Z,,38.4,,,,,
2018-02-10T00:36:38.634Z,,38.5,30,50,,31.8,
2018-02-10T00:36:48.638Z,,39.1,29,50,,31.8,
2018-02-10T00:36:58.634Z,,39.3,,,,,
2018-02-10T00:37:08.634Z,1,40,29,50,0,37.1,0
2018-02-10T00:37:18.655Z,0,39.3,0,50,0,30,
2018-02-10T00:37:28.634Z,,39.5,,,,,
2018-02-10T00:37:38.634Z,,39.4,,50,,29.7,
2018-02-10T00:37:48.646Z,,,,50,,29.7,
2018-02-10T00:37:58.634Z,,39.5,,,,,
2018-02-10T00:38:08.654Z,,39.4,,50,,29.7,
2018-02-10T00:38:18.634Z,0,,,,2,,59
2018-02-10T00:38:28.634Z,,,,50,,29.7,
2018-02-10T00:38:38.634Z,,,,50,,29.7,
2018-02-10T00:38:48.644Z,,,,50,,29.8,
2018-02-10T00:39:08.639Z,,,,50,,29.8,
2018-02-10T00:39:18.642Z,,,,50,,29.8,
2018-02-10T00:39:38.635Z,,,,50,,29.8,
2018-02-10T00:39:48.634Z,,,,50,,30,
2018-02-10T00:39:58.646Z,,,,50,,30,
2018-02-10T00:40:18.641Z,,,,50,,30,
2018-02-10T00:40:28.634Z,,,,50,,30,
2018-02-10T00:40:38.634Z,0,41.5,42,50,2,30,
2018-02-10T00:40:48.635Z,,44.6,32,50,,30,
2018-02-10T00:40:58.653Z,,42,29,50,,30,
2018-02-10T00:41:08.634Z,,40.6,30,50,,30.1,
2018-02-10T00:41:18.634Z,,39.4,29,50,,30.1,
2018-02-10T00:41:28.634Z,,38.8,,,,,
2018-02-10T00:41:38.634Z,,38.9,30,50,,30.1,
2018-02-10T00:41:48.634Z,,39.4,29,50,,30.1,
2018-02-10T00:41:58.634Z,,39.7,,,,,
2018-02-10T00:42:08.635Z,,40,,50,,30.1,
2018-02-10T00:42:18.634Z,,40.1,,,,,
2018-02-10T00:42:28.634Z,,40.2,30,50,,30.2,
2018-02-10T00:42:38.634Z,,,,50,,30.2,
2018-02-10T00:42:48.634Z,,40.5,29,50,,30.2,
2018-02-10T00:42:58.634Z,,40.6,30,,,,
2018-02-10T00:43:08.635Z,,40.9,29,50,,30.2,
2018-02-10T00:43:18.634Z,,41,29,,,,
2018-02-10T00:43:28.634Z,,41.2,,50,,30.2,
2018-02-10T00:43:38.634Z,,,,50,,30.2,
2018-02-10T00:43:48.634Z,,41.6,,50,,30.2,
2018-02-10T00:43:58.634Z,,41.7,,,,,
2018-02-10T00:44:08.635Z,,41.8,,50,,30.3,
2018-02-10T00:44:18.634Z,,42,29,,,,
2018-02-10T00:44:28.635Z,,42.1,,50,,30.3,
2018-02-10T00:44:38.634Z,,,,50,,30.3,
2018-02-10T00:44:48.634Z,,42.4,29,50,,30.3,
2018-02-10T00:44:58.698Z,,42.6,,,,,
2018-02-10T00:45:08.635Z,,42.8,30,50,,30.3,
2018-02-10T00:45:18.680Z,,42.9,29,50,,30.3,
2018-02-10T00:45:28.677Z,,43.1,30,,,,
2018-02-10T00:45:38.634Z,0,43.2,0,50,2,30.4,
2018-02-10T00:45:48.634Z,,41.3,,50,,30.4,
2018-02-10T00:45:58.639Z,,39.3,,50,,30.4,
2018-02-10T00:46:08.634Z,,38.5,,50,,30.4,
2018-02-10T00:46:18.634Z,,38.2,,,,,
2018-02-10T00:46:28.633Z,,,,50,,30.4,
2018-02-10T00:46:38.634Z,,,,50,,30.4,
2018-02-10T00:46:48.634Z,,38.1,,50,,30.4,
2018-02-10T00:47:08.634Z,,38,,50,,30.6,
2018-02-10T00:47:18.634Z,,37.9,,,,,
2018-02-10T00:47:28.634Z,,37.7,,50,,30.6,
2018-02-10T00:47:38.633Z,,,,50,,30.6,
2018-02-10T00:47:48.634Z,,37.6,,50,,30.6,
2018-02-10T00:48:08.634Z,,,,50,,30.6,
2018-02-10T00:48:18.634Z,,,,50,,30.6,
2018-02-10T00:48:28.634Z,,37.5,,,,,
2018-02-10T00:48:38.633Z,,,,50,,30.6,
2018-02-10T00:48:48.634Z,,37.4,,50,,30.6,
2018-02-10T00:49:08.634Z,,,,50,,30.7,
2018-02-10T00:49:18.634Z,,,,50,,30.7,
2018-02-10T00:49:38.656Z,,,,50,,30.7,
2018-02-10T00:49:48.644Z,,,,50,,30.7,
2018-02-10T00:49:58.634Z,,,,50,,30.7,
2018-02-10T00:50:18.635Z,,37.3,,50,,30.7,
2018-02-10T00:50:28.646Z,,,,50,,30.7,
2018-02-10T00:50:48.634Z,,,,50,,30.7,
2018-02-10T00:50:58.634Z,,,,50,,30.7,
2018-02-10T00:51:08.634Z,,37.4,,,,,
2018-02-10T00:51:18.635Z,,,,50,,30.7,
2018-02-10T00:51:28.638Z,,,,50,,30.7,
2018-02-10T00:51:48.665Z,,,,50,,30.7,
2018-02-10T00:51:58.634Z,,,,50,,30.7,
2018-02-10T00:52:08.634Z,1,37.5,,50,0,37.7,0
2018-02-10T00:52:18.634Z,0,39.5,41,50,0,37.8,
2018-02-10T00:52:28.633Z,0,38.8,0,50,0,38.1,
2018-02-10T00:52:38.634Z,,38.6,,,,,
2018-02-10T00:52:48.636Z,,,,50,,38,
2018-02-10T00:53:08.634Z,,38.5,,50,,37.8,
2018-02-10T00:53:18.634Z,,,,50,,37.8,
2018-02-10T00:53:28.634Z,0,,,,2,,59
2018-02-10T00:53:38.635Z,,,,50,,37.6,
2018-02-10T00:53:48.634Z,,,,50,,37.6,
2018-02-10T00:53:58.659Z,0,38.6,,50,0,38.8,0
2018-02-10T00:54:08.639Z,1,37.6,,50,0,39.1,
2018-02-10T00:54:18.634Z,1,38.1,0,50,0,38.2,
2018-02-10T00:54:28.635Z,1,36.2,,50,0,37.5,
2018-02-10T00:54:38.634Z,,37.9,36,50,,37.6,
2018-02-10T00:54:48.652Z,1,40,0,50,0,39.3,
2018-02-10T00:54:58.638Z,1,38,37,,0,,
2018-02-10T00:55:08.639Z,0,38.7,0,50,0,38.6,
2018-02-10T00:55:18.634Z,1,37.9,46,50,0,37.9,
2018-02-10T00:55:28.641Z,,39.2,49,50,,37.8,
2018-02-10T00:55:38.651Z,0,42.6,0,50,0,39.9,
2018-02-10T00:55:48.649Z,,41.7,,50,,40.2,
2018-02-10T00:55:58.650Z,,41.5,,,,,
2018-02-10T00:56:08.634Z,,,,50,,40,
2018-02-10T00:56:18.633Z,,41.4,,,,,
2018-02-10T00:56:28.649Z,,,,50,,39.8,
2018-02-10T00:56:38.634Z,1,41.1,,50,0,40,
2018-02-10T00:56:48.638Z,,41.5,50,50,,40.5,
2018-02-10T00:56:58.634Z,0,42.8,0,50,0,41.5,0
2018-02-10T00:57:08.633Z,,42,,,,,
2018-02-10T00:57:18.634Z,,,,50,,41.2,
2018-02-10T00:57:28.645Z,1,,,50,0,41.1,
2018-02-10T00:57:38.637Z,0,39.9,0,50,0,39.8,
2018-02-10T00:57:48.634Z,,39.8,,50,,39.7,
2018-02-10T00:58:08.635Z,,,,50,,39.6,
2018-02-10T00:58:18.634Z,,,,50,,39.4,
2018-02-10T00:58:28.634Z,,,,50,,39.3,
2018-02-10T00:58:38.638Z,0,,,,2,,59
2018-02-10T00:58:48.634Z,,39.7,,50,,39.2,
2018-02-10T00:58:58.634Z,,,,50,,39.1,
2018-02-10T00:59:18.644Z,,,,50,,38.9,
2018-02-10T00:59:28.651Z,,,,50,,38.8,
2018-02-10T00:59:38.633Z,,,,50,,38.7,
2018-02-10T00:59:48.649Z,0,43.1,40,50,2,38.7,
2018-02-10T00:59:58.634Z,,45.4,31,50,,38.6,
2018-02-10T01:00:08.635Z,,41.9,29,50,,38.5,
