Time,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet,ActPow,HwActive
2017-12-28T00:45:45.870Z,50,,,,25.7,,
2017-12-28T00:45:55.871Z,50,,,,25.7,,
2017-12-28T00:46:05.871Z,50,,,,25.7,,
2017-12-28T00:46:15.871Z,50,,,,25.7,,
2017-12-28T00:46:25.871Z,50,,,,25.6,,
2017-12-28T00:46:35.870Z,50,,,,25.6,,
2017-12-28T00:46:45.873Z,50,,,,25.6,,
2017-12-28T00:46:55.874Z,50,,,41.8,25.6,,
2017-12-28T00:47:05.876Z,50,,,,25.6,,
2017-12-28T00:47:15.871Z,50,,,,25.6,,
2017-12-28T00:47:25.871Z,50,,,,25.6,,
2017-12-28T00:47:35.871Z,50,,,,25.6,,
2017-12-28T00:47:45.871Z,50,,,,25.6,,
2017-12-28T00:47:55.873Z,50,,,,25.6,,
2017-12-28T00:48:05.874Z,50,,,,25.6,,
2017-12-28T00:48:15.870Z,50,,,,25.6,,
2017-12-28T00:48:25.871Z,50,,,41.7,25.6,,
2017-12-28T00:48:35.870Z,50,,,,25.6,,
2017-12-28T00:48:45.871Z,50,,,,25.6,,
2017-12-28T00:48:55.871Z,50,,,,25.6,,
2017-12-28T00:49:05.870Z,50,,,,25.6,,
2017-12-28T00:49:15.870Z,50,,,,25.5,,
2017-12-28T00:49:25.874Z,50,,,,25.5,,
2017-12-28T00:49:35.871Z,50,,,,25.5,,
2017-12-28T00:49:45.870Z,50,,,,25.5,,
2017-12-28T00:49:55.874Z,50,,,,25.5,,
2017-12-28T00:50:05.871Z,50,,,41.6,25.5,,
2017-12-28T00:50:15.871Z,50,,,,25.5,,
2017-12-28T00:50:25.873Z,50,,,,25.5,,
2017-12-28T00:50:35.874Z,50,,,,25.5,,
2017-12-28T00:50:45.874Z,50,,,,25.5,,
2017-12-28T00:50:55.874Z,50,,,,25.5,,
2017-12-28T00:51:05.874Z,50,,,,25.5,,
2017-12-28T00:51:15.871Z,50,,,,25.5,,
2017-12-28T00:51:25.874Z,50,,,,25.5,,
2017-12-28T00:51:35.870Z,50,,,,25.5,,
2017-12-28T00:51:45.870Z,50,,,41.5,25.4,,
2017-12-28T00:51:55.871Z,50,,,,25.4,,
2017-12-28T00:52:05.870Z,50,,,,25.4,,
2017-12-28T00:52:15.890Z,50,,,,25.4,,
2017-12-28T00:52:25.871Z,50,,,,25.4,,
2017-12-28T00:52:35.876Z,50,,,,25.4,,
2017-12-28T00:52:45.870Z,50,,,,25.4,,
2017-12-28T00:52:55.875Z,50,,,,25.4,,
2017-12-28T00:53:05.875Z,50,,,,25.4,,
2017-12-28T00:53:15.876Z,50,,,41.4,25.4,,
2017-12-28T00:53:25.883Z,50,,,,25.4,,
2017-12-28T00:53:35.871Z,50,,,,25.4,,
2017-12-28T00:53:45.876Z,50,,,,25.4,,
2017-12-28T00:53:55.871Z,50,,,,25.4,,
2017-12-28T00:54:05.874Z,50,,,,25.4,,
2017-12-28T00:54:15.942Z,50,,,,25.4,,
2017-12-28T00:54:25.871Z,50,,,,25.4,,
2017-12-28T00:54:35.873Z,50,,,,25.4,,
2017-12-28T00:54:45.875Z,50,,,41.3,25.4,,
2017-12-28T00:54:55.876Z,50,,,,25.4,,
2017-12-28T00:55:05.876Z,50,,,,25.3,,
2017-12-28T00:55:15.871Z,50,,,,25.3,,
2017-12-28T00:55:25.871Z,50,,,,25.3,,
2017-12-28T00:55:35.874Z,50,,,,25.3,,
2017-12-28T00:55:45.871Z,50,,,,25.3,,
2017-12-28T00:55:55.870Z,50,,,,25.3,,
2017-12-28T00:56:05.871Z,50,,,,25.3,,
2017-12-28T00:56:15.870Z,50,,,,25.3,,
2017-12-28T00:56:25.871Z,50,,,,25.3,,
2017-12-28T00:56:35.871Z,50,,,41.2,25.3,,
2017-12-28T00:56:45.870Z,50,,,,25.3,,
