Time,HwTSet,PrimTSet,PrimT,ActPow,ChActive,HwTOutlet,HwActive
2017-11-11T01:18:53.686Z,,,39.1,,,,
2017-11-11T01:19:13.687Z,52,,,,,26.2,
2017-11-11T01:19:23.721Z,52,,,,,26.2,
2017-11-11T01:19:43.686Z,52,,,,,26.2,
2017-11-11T01:20:13.686Z,52,,,,,26.2,
2017-11-11T01:20:23.687Z,52,,,,,26.2,
2017-11-11T01:20:33.686Z,52,,39.1,,,26.2,
2017-11-11T01:20:43.686Z,52,,,,,26.2,
2017-11-11T01:20:53.686Z,,,38.9,,,,
2017-11-11T01:21:03.686Z,,,38.9,,,,
2017-11-11T01:21:13.686Z,52,,,,,26.2,
2017-11-11T01:21:23.691Z,52,,,,,26.2,
2017-11-11T01:21:33.688Z,52,,,,,26.1,
2017-11-11T01:21:53.688Z,52,,,,,26.1,
2017-11-11T01:22:13.691Z,52,5,38.9,0,0,26.1,0
2017-11-11T01:22:23.691Z,52,,,,,26.1,
2017-11-11T01:22:33.689Z,52,,,,,26.1,
2017-11-11T01:22:43.689Z,52,,,,,26.1,
2017-11-11T01:23:13.690Z,52,,38.8,,,26.1,
2017-11-11T01:23:23.690Z,52,,,,,26.1,
2017-11-11T01:23:43.686Z,52,,,,,26.1,
2017-11-11T01:24:13.686Z,52,,,,,26.1,
2017-11-11T01:24:23.686Z,52,,,,,26.1,
2017-11-11T01:24:33.686Z,52,,,,,26.1,
2017-11-11T01:24:43.923Z,52,,,,,26.1,
2017-11-11T01:25:13.686Z,52,,38.7,,,26.1,
2017-11-11T01:25:23.686Z,52,,,,,26.1,
2017-11-11T01:25:33.686Z,52,,,,,26.1,
2017-11-11T01:25:43.692Z,52,,,,,26.1,
2017-11-11T01:26:13.687Z,52,,,,,26.1,
2017-11-11T01:26:23.691Z,52,,,,,26,
2017-11-11T01:26:33.686Z,52,,,,,26.1,
2017-11-11T01:26:43.685Z,52,,,,,26,
2017-11-11T01:27:13.691Z,52,,38.6,,,26,
2017-11-11T01:27:23.716Z,52,,,,,26,
2017-11-11T01:27:33.949Z,52,,,,,26,
2017-11-11T01:27:43.909Z,52,,,,,26,
2017-11-11T01:28:13.805Z,52,,,,,26,
2017-11-11T01:28:23.686Z,52,,,,,26,
2017-11-11T01:28:33.686Z,52,,,,,26,
2017-11-11T01:28:43.686Z,52,,,,,26,
2017-11-11T01:29:13.686Z,52,,,,,26,
2017-11-11T01:29:23.686Z,52,,38.5,,,26,
2017-11-11T01:29:33.720Z,52,,,,,26,
2017-11-11T01:29:43.686Z,52,,,,,26,
2017-11-11T01:30:13.686Z,52,,,,,26,
2017-11-11T01:30:23.687Z,52,,,,,26,
2017-11-11T01:30:33.686Z,52,,,,,26,
2017-11-11T01:30:43.686Z,52,,,,,25.9,
2017-11-11T01:31:13.690Z,52,,38.4,,,26,
2017-11-11T01:31:23.685Z,52,,,,,25.9,
2017-11-11T01:31:33.686Z,52,,,,,25.9,
2017-11-11T01:31:43.686Z,52,,,,,26,
2017-11-11T01:32:13.688Z,52,,,,,25.9,
2017-11-11T01:32:23.686Z,52,,,,,25.9,
2017-11-11T01:32:33.686Z,52,,,,,25.9,
2017-11-11T01:32:43.689Z,52,,,,,25.9,
2017-11-11T01:33:13.686Z,52,,38.3,,,25.9,
2017-11-11T01:33:23.690Z,52,,,,,25.9,
2017-11-11T01:33:33.686Z,52,,,,,25.9,
2017-11-11T01:33:43.686Z,52,,,,,25.9,
2017-11-11T01:34:13.685Z,52,,,,,25.9,
2017-11-11T01:34:23.867Z,52,,,,,25.9,
2017-11-11T01:34:33.691Z,52,,,,,25.9,
2017-11-11T01:34:43.685Z,52,,,,,25.9,
2017-11-11T01:35:13.685Z,52,,,,,25.9,
2017-11-11T01:35:23.685Z,52,,38.2,,,25.9,
2017-11-11T01:35:33.686Z,52,,,,,25.9,
2017-11-11T01:35:43.685Z,52,,,,,25.9,
2017-11-11T01:36:13.688Z,52,,,,,25.7,
2017-11-11T01:36:23.685Z,52,,,,,25.9,
2017-11-11T01:36:33.687Z,52,,,,,25.7,
2017-11-11T01:36:43.821Z,52,,,,,25.7,
2017-11-11T01:37:13.685Z,52,,,,,25.7,
2017-11-11T01:37:23.776Z,52,,,,,25.7,
2017-11-11T01:37:33.715Z,52,,38.2,,,25.7,
2017-11-11T01:37:43.687Z,52,,,,,25.7,
2017-11-11T01:37:53.789Z,,,38.1,,,,
2017-11-11T01:38:13.685Z,52,,,,,25.7,
2017-11-11T01:38:23.687Z,52,,,,,25.7,
2017-11-11T01:38:33.686Z,52,,,,,25.7,
2017-11-11T01:38:43.685Z,52,,,,,25.7,
2017-11-11T01:39:13.685Z,52,,,,,25.7,
2017-11-11T01:39:23.688Z,52,,,,,25.7,
2017-11-11T01:39:33.685Z,52,,38,,,25.7,
2017-11-11T01:39:43.685Z,52,,,,,25.7,
2017-11-11T01:39:53.686Z,,,38.1,,,,
2017-11-11T01:40:13.690Z,52,,38,,,25.7,
2017-11-11T01:40:23.686Z,52,,,,,25.7,
2017-11-11T01:40:33.685Z,52,,,,,25.7,
2017-11-11T01:40:43.690Z,52,,,,,25.7,
2017-11-11T01:41:13.685Z,52,,,,,25.6,
