Time,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet,HwTSet,HwActive
2018-01-14T00:41:41.362Z,,0,0,36.3,35.9,50,0
2018-01-14T00:41:51.354Z,,0,,34.7,35.1,50,2
2018-01-14T00:42:01.354Z,29,,,36,35.7,50,
2018-01-14T00:42:11.355Z,55,,,38.1,36.6,50,
2018-01-14T00:42:21.364Z,0,0,,40.7,39.2,50,0
2018-01-14T00:42:31.354Z,,,,40.1,39.3,50,
2018-01-14T00:42:41.354Z,,,,40,39.2,50,
2018-01-14T00:42:51.354Z,,,,39.9,39.1,50,
2018-01-14T00:43:01.354Z,,,,,38.9,50,
2018-01-14T00:43:11.360Z,,0,,39.5,38.9,50,2
2018-01-14T00:43:21.355Z,37,,,40,39.3,50,
2018-01-14T00:43:31.354Z,64,,,42.1,40.7,50,
2018-01-14T00:43:41.354Z,0,0,,44.7,42.2,50,0
2018-01-14T00:43:51.354Z,,,,43.8,42.8,50,
2018-01-14T00:44:01.355Z,,,,43.6,42.7,50,
2018-01-14T00:44:11.354Z,,,,,42.6,50,
2018-01-14T00:44:21.353Z,,0,,43.5,42.5,50,2
2018-01-14T00:44:31.354Z,44,0,,42.8,42.3,50,2
2018-01-14T00:44:41.354Z,0,0,,42.9,42.7,50,0
2018-01-14T00:44:51.357Z,,,,42.8,42.8,50,
2018-01-14T00:45:01.354Z,,,,42.6,42.6,50,
2018-01-14T00:45:11.367Z,,,,,42.5,50,
2018-01-14T00:45:21.354Z,,,,,42.4,50,
2018-01-14T00:45:31.364Z,,,,42.4,42.3,50,
2018-01-14T00:45:41.354Z,,1,59,,42.2,50,0
2018-01-14T00:45:51.370Z,,,,,42.1,50,
2018-01-14T00:46:01.354Z,,,,,42,50,
2018-01-14T00:46:11.366Z,,,,,41.8,50,
2018-01-14T00:46:21.354Z,,,,,41.7,50,
2018-01-14T00:46:31.355Z,,,,,41.6,50,
2018-01-14T00:46:41.354Z,,,,,41.5,50,
2018-01-14T00:46:51.354Z,,,,42.3,41.4,50,
2018-01-14T00:47:01.357Z,,,,,41.3,50,
2018-01-14T00:47:11.354Z,,,,,41.2,50,
2018-01-14T00:47:21.356Z,,,,,41.1,50,
2018-01-14T00:47:31.354Z,,,,,40.9,50,
2018-01-14T00:47:41.384Z,,,,,40.8,50,
2018-01-14T00:47:51.354Z,,,,,40.7,50,
2018-01-14T00:48:01.354Z,,,,,40.6,50,
2018-01-14T00:48:11.354Z,,,,,40.5,50,
2018-01-14T00:48:21.359Z,,,,,40.4,50,
2018-01-14T00:48:31.381Z,,,,,40.3,50,
2018-01-14T00:48:41.357Z,,,,,40.2,50,
2018-01-14T00:48:51.356Z,,,,,40.1,50,
2018-01-14T00:49:01.353Z,,,,,40,50,
2018-01-14T00:49:11.357Z,,,,,39.9,50,
2018-01-14T00:49:21.354Z,,,,,39.8,50,
2018-01-14T00:49:31.406Z,,,,,39.7,50,
2018-01-14T00:49:41.403Z,,,,,39.6,50,
2018-01-14T00:49:51.385Z,,0,5,,39.5,50,0
2018-01-14T00:50:01.354Z,,1,59,,39.4,50,0
2018-01-14T00:50:11.364Z,,0,5,,39.3,50,0
2018-01-14T00:50:22.414Z,,1,59,,39.2,50,0
2018-01-14T00:50:31.354Z,,,,42.2,39.1,50,
2018-01-14T00:50:41.356Z,,0,5,,38.9,50,0
2018-01-14T00:50:51.363Z,,,,,38.8,50,
2018-01-14T00:51:01.362Z,,,,,38.7,50,
2018-01-14T00:51:11.353Z,,,,,38.6,50,
2018-01-14T00:51:21.354Z,,,,,38.5,50,
2018-01-14T00:51:31.353Z,,,,,38.5,50,
2018-01-14T00:51:41.354Z,,,,42.1,38.4,50,
2018-01-14T00:51:51.354Z,,,,,38.3,50,
2018-01-14T00:52:01.353Z,,,,,38.2,50,
2018-01-14T00:52:11.354Z,,,,,38.1,50,
2018-01-14T00:52:21.355Z,,,,,38,50,
2018-01-14T00:52:31.357Z,,,,,38,50,
2018-01-14T00:52:41.358Z,,,,42,37.9,50,
2018-01-14T00:52:51.364Z,,,,,37.8,50,
2018-01-14T00:53:01.354Z,,,,,37.7,50,
2018-01-14T00:53:11.353Z,,,,,37.6,50,
2018-01-14T00:53:21.357Z,,,,41.9,37.6,50,
2018-01-14T00:53:31.354Z,,,,,37.5,50,
2018-01-14T00:53:41.353Z,,,,,37.4,50,
2018-01-14T00:53:51.354Z,,,,,37.3,50,
