Time,ActPow,HwTSet,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive
2018-01-29T00:24:48.953Z,,50,27.1,,,27.3,
2018-01-29T00:24:58.953Z,,50,,,,27.3,
2018-01-29T00:25:08.953Z,,50,27.2,,,27.3,
2018-01-29T00:25:18.953Z,,50,,,,27.3,
2018-01-29T00:25:28.953Z,,50,,,,27.3,
2018-01-29T00:25:38.953Z,,50,27.3,,,27.2,
2018-01-29T00:25:48.953Z,,50,,,,27.2,
2018-01-29T00:25:58.952Z,,50,27.5,,,27.2,
2018-01-29T00:26:08.952Z,,50,,,,27.2,
2018-01-29T00:26:18.956Z,,50,27.6,,,27.2,
2018-01-29T00:26:28.953Z,,50,27.7,,,27.2,
2018-01-29T00:26:38.953Z,,50,,,,27.2,
2018-01-29T00:26:48.953Z,,50,27.8,,,27.2,
2018-01-29T00:26:58.953Z,,50,28,,,27.2,
2018-01-29T00:27:08.952Z,,50,,,,27.1,
2018-01-29T00:27:18.953Z,,50,28.1,,,27.1,
2018-01-29T00:27:28.952Z,,50,28.2,,,27.1,
2018-01-29T00:27:38.952Z,,50,,,,27.1,
2018-01-29T00:27:48.952Z,,50,28.3,,,27.1,
2018-01-29T00:27:58.953Z,,50,28.4,,,27.1,
2018-01-29T00:28:08.953Z,,50,,,,27.1,
2018-01-29T00:28:18.952Z,,50,28.6,,,27.1,
2018-01-29T00:28:28.952Z,,50,28.7,,,27.1,
2018-01-29T00:28:38.953Z,,50,,,,26.9,
2018-01-29T00:28:48.953Z,,50,28.8,,,26.9,
2018-01-29T00:28:58.952Z,,50,28.9,,,26.9,
2018-01-29T00:29:08.953Z,,50,,,,26.9,
2018-01-29T00:29:18.953Z,45,50,26.9,,0,26.9,2
2018-01-29T00:29:28.953Z,32,50,33.1,,,26.9,
2018-01-29T00:29:38.952Z,30,50,32.8,,,26.9,
2018-01-29T00:29:48.952Z,29,50,31.9,,,26.9,
2018-01-29T00:29:58.953Z,30,50,30.7,,,26.9,
2018-01-29T00:30:08.952Z,,50,30.6,,,26.9,
2018-01-29T00:30:18.952Z,29,50,30.5,,,26.9,
2018-01-29T00:30:28.952Z,30,50,30.6,,,26.9,
2018-01-29T00:30:38.953Z,29,50,31.1,,,26.9,
2018-01-29T00:30:48.952Z,,50,31.4,,,26.8,
2018-01-29T00:30:58.956Z,,50,31.5,,,26.8,
2018-01-29T00:31:08.956Z,30,50,31.7,,,26.8,
2018-01-29T00:31:18.952Z,29,50,31.9,,,26.8,
2018-01-29T00:31:28.952Z,30,50,32,,,26.8,
2018-01-29T00:31:38.952Z,29,50,32.2,,,26.8,
2018-01-29T00:31:48.952Z,,50,32.4,,,26.8,
2018-01-29T00:31:58.953Z,30,50,32.5,,,26.8,
2018-01-29T00:32:08.952Z,29,50,32.6,59,0,26.8,2
2018-01-29T00:32:18.952Z,,50,32.8,,,26.8,
2018-01-29T00:32:28.952Z,30,50,33.1,,,26.8,
2018-01-29T00:32:38.952Z,,50,33.2,,,26.8,
2018-01-29T00:32:48.954Z,29,50,33.4,,,26.8,
2018-01-29T00:32:58.952Z,30,50,33.6,,,26.8,
2018-01-29T00:33:09.004Z,29,50,33.7,,,26.8,
2018-01-29T00:33:18.953Z,30,50,33.9,,,26.8,
2018-01-29T00:33:28.983Z,29,50,34.1,,,26.8,
2018-01-29T00:33:38.953Z,,50,34.3,,,26.8,
2018-01-29T00:33:48.952Z,30,50,34.5,,,26.8,
2018-01-29T00:33:58.953Z,29,50,34.6,,,26.8,
2018-01-29T00:34:08.952Z,30,50,34.8,,,26.8,
2018-01-29T00:34:18.952Z,29,50,35.1,,,26.8,
2018-01-29T00:34:28.952Z,30,50,35.3,,,26.8,
2018-01-29T00:34:38.952Z,29,50,35.5,,,26.8,
2018-01-29T00:34:48.952Z,,50,35.7,,,26.8,
2018-01-29T00:34:58.952Z,,50,35.9,,,26.8,
2018-01-29T00:35:08.953Z,30,50,36,,,26.8,
2018-01-29T00:35:18.956Z,29,50,36.2,,,26.8,
2018-01-29T00:35:28.953Z,,50,36.4,,,26.8,
2018-01-29T00:35:38.952Z,,50,36.6,,,26.8,
2018-01-29T00:35:48.952Z,,50,36.8,,,26.8,
2018-01-29T00:35:58.952Z,,50,37.1,,,26.8,
2018-01-29T00:36:08.952Z,,50,37.3,,,26.8,
2018-01-29T00:36:18.953Z,,50,37.4,,,26.8,
2018-01-29T00:36:28.953Z,,50,37.6,,,26.8,
2018-01-29T00:36:38.952Z,,50,37.8,,,26.8,
2018-01-29T00:36:48.952Z,0,50,36.4,,0,26.9,2
2018-01-29T00:36:58.952Z,,50,34.3,,,26.9,
2018-01-29T00:37:08.953Z,,50,33.3,,,26.9,
2018-01-29T00:37:18.953Z,,50,32.9,,,26.9,
2018-01-29T00:37:28.952Z,,50,,,,26.9,
2018-01-29T00:37:38.952Z,,50,32.8,,,26.9,
2018-01-29T00:37:48.953Z,39,50,37.1,,0,26.9,2
2018-01-29T00:37:58.953Z,29,50,41,,,26.9,
2018-01-29T00:38:08.952Z,,50,39.7,,,26.9,
2018-01-29T00:38:18.952Z,,50,39.4,,,26.9,
2018-01-29T00:38:28.952Z,,50,38.9,,,26.9,
2018-01-29T00:38:38.952Z,,50,38.7,,,27.1,
2018-01-29T00:38:48.952Z,30,50,,,,27.1,
2018-01-29T00:38:58.954Z,29,50,39.2,,,27.1,
2018-01-29T00:39:08.952Z,,50,39.6,,,27.1,
2018-01-29T00:39:18.952Z,,50,39.8,,,27.1,
2018-01-29T00:39:28.952Z,,50,39.9,,,27.1,
2018-01-29T00:39:38.953Z,,50,40,,,27.1,
2018-01-29T00:39:48.952Z,30,50,40.1,,,27.1,
2018-01-29T00:39:58.957Z,29,50,40.2,,,27.1,
2018-01-29T00:40:08.952Z,,50,40.4,,,27.2,
2018-01-29T00:40:18.952Z,0,50,40.5,,0,27.2,2
2018-01-29T00:40:28.952Z,,50,37.8,,,27.2,
2018-01-29T00:40:38.952Z,,50,36.2,,,27.2,
2018-01-29T00:40:48.955Z,,50,35.6,,,27.2,
2018-01-29T00:40:58.952Z,,50,35.5,,,27.2,
2018-01-29T00:41:08.952Z,,50,35.4,,,27.3,
2018-01-29T00:41:18.952Z,,50,35.3,,,27.3,
2018-01-29T00:41:28.952Z,,50,,,,27.3,
2018-01-29T00:41:38.954Z,,50,,,,27.3,
2018-01-29T00:41:48.952Z,,50,,,,27.3,
2018-01-29T00:41:58.953Z,,50,35.2,,,27.3,
2018-01-29T00:42:08.952Z,,50,35.1,,,27.3,
2018-01-29T00:42:18.952Z,,50,34.9,,,27.3,
2018-01-29T00:42:28.952Z,,50,,,,27.3,
2018-01-29T00:42:38.952Z,,50,,,,27.4,
2018-01-29T00:42:48.952Z,,50,,,,27.4,
2018-01-29T00:42:58.953Z,,50,,,,27.4,
2018-01-29T00:43:08.952Z,,50,34.8,,,27.4,
2018-01-29T00:43:18.952Z,,50,,,,27.4,
2018-01-29T00:43:28.952Z,,50,,,,27.4,
2018-01-29T00:43:38.952Z,,50,,,,27.4,
2018-01-29T00:43:48.952Z,,50,34.7,,,27.5,
2018-01-29T00:43:58.952Z,,50,,,,27.5,
2018-01-29T00:44:08.952Z,,50,,,,27.5,
2018-01-29T00:44:18.952Z,,50,,,,27.5,
2018-01-29T00:44:28.952Z,,50,,,,27.5,
2018-01-29T00:44:38.952Z,,50,,,,27.5,
2018-01-29T00:44:48.952Z,,50,,,,27.5,
2018-01-29T00:44:58.952Z,,50,,,,27.5,
2018-01-29T00:45:08.952Z,,50,,,,27.5,
2018-01-29T00:45:18.953Z,,50,,,,27.5,
2018-01-29T00:45:28.952Z,,50,,,,27.7,
2018-01-29T00:45:38.955Z,,50,,,,27.7,
2018-01-29T00:45:48.952Z,,50,,,,27.7,
2018-01-29T00:45:58.953Z,,50,,,,27.7,
2018-01-29T00:46:08.956Z,,50,,,,27.7,
2018-01-29T00:46:18.952Z,,50,,,,27.7,
2018-01-29T00:46:28.952Z,,50,34.8,,,27.7,
2018-01-29T00:46:38.952Z,,50,,,,27.7,
2018-01-29T00:46:48.952Z,,50,,,,27.7,
2018-01-29T00:46:58.952Z,,50,,,,27.7,
2018-01-29T00:47:08.953Z,,50,,,,27.7,
2018-01-29T00:47:18.952Z,,50,34.9,,,27.7,
2018-01-29T00:47:28.952Z,,50,,,,27.7,
2018-01-29T00:47:38.952Z,,50,,,,27.7,
2018-01-29T00:47:48.952Z,,50,,,,27.8,
2018-01-29T00:47:58.952Z,,50,35.1,,,27.8,
2018-01-29T00:48:08.952Z,,50,,,,27.8,
2018-01-29T00:48:18.952Z,,50,,,,27.8,
2018-01-29T00:48:28.952Z,,50,,,,27.8,
2018-01-29T00:48:38.952Z,,50,,,,27.8,
2018-01-29T00:48:48.952Z,,50,,,,27.8,
2018-01-29T00:48:58.955Z,,50,,,,27.8,
2018-01-29T00:49:08.952Z,,50,,5,0,27.8,0
2018-01-29T00:49:18.972Z,,50,35.2,,,27.8,
2018-01-29T00:49:28.963Z,,50,,,,27.8,
2018-01-29T00:49:38.952Z,,50,,,,27.8,
2018-01-29T00:49:48.957Z,,50,35.1,,,27.8,
2018-01-29T00:49:58.952Z,,50,35.2,,,27.8,
2018-01-29T00:50:08.952Z,,50,35.1,,,27.8,
2018-01-29T00:50:18.952Z,,50,,,,27.8,
2018-01-29T00:50:28.952Z,,50,35.2,,,27.8,
2018-01-29T00:50:38.952Z,,50,35.1,,,27.8,
2018-01-29T00:50:48.954Z,,50,,,,27.9,
2018-01-29T00:50:58.952Z,,50,,,,27.9,
2018-01-29T00:51:08.952Z,,50,,,,27.9,
2018-01-29T00:51:18.952Z,,50,,,,27.9,
2018-01-29T00:51:28.952Z,,50,,,,27.9,
2018-01-29T00:51:38.952Z,,50,,,,27.9,
2018-01-29T00:51:48.952Z,,50,,,,27.9,
2018-01-29T00:51:58.952Z,,50,,,,27.9,
2018-01-29T00:52:08.952Z,,50,,,,27.9,
2018-01-29T00:52:18.952Z,,50,,,,27.9,
2018-01-29T00:52:28.951Z,,50,,,,27.9,
2018-01-29T00:52:38.953Z,,50,,,,27.9,
2018-01-29T00:52:48.954Z,,50,,,,27.9,
2018-01-29T00:52:58.952Z,,50,35.1,,,27.9,
2018-01-29T00:53:08.952Z,,50,34.9,,,27.9,
2018-01-29T00:53:18.952Z,,50,,,,27.9,
2018-01-29T00:53:28.952Z,,50,,,,27.9,
2018-01-29T00:53:38.952Z,,50,,,,27.9,
2018-01-29T00:53:48.952Z,,50,,,,27.9,
2018-01-29T00:53:58.952Z,,50,,,,27.9,
2018-01-29T00:54:08.952Z,,50,,,,27.9,
2018-01-29T00:54:18.952Z,,50,,,,27.9,
2018-01-29T00:54:28.952Z,,50,34.8,,,27.9,
2018-01-29T00:54:38.952Z,,50,,,,27.9,
2018-01-29T00:54:48.952Z,,50,,,,27.9,
2018-01-29T00:54:58.952Z,,50,,,,27.9,
2018-01-29T00:55:08.952Z,,50,,,,27.9,
2018-01-29T00:55:18.952Z,,50,,,,27.9,
2018-01-29T00:55:28.952Z,,50,,,,27.9,
2018-01-29T00:55:38.952Z,,50,,59,0,27.9,2
2018-01-29T00:55:48.952Z,,50,,5,0,27.9,0
2018-01-29T00:55:58.952Z,,50,,,,27.9,
2018-01-29T00:56:08.952Z,,50,34.7,,,27.9,
2018-01-29T00:56:18.952Z,,50,,,,27.9,
2018-01-29T00:56:28.952Z,,50,,,,28,
2018-01-29T00:56:38.952Z,,50,,,,27.9,
2018-01-29T00:56:48.952Z,,50,,,,27.9,
2018-01-29T00:56:58.952Z,,50,,,,27.9,
2018-01-29T00:57:08.952Z,,50,,,,27.9,
2018-01-29T00:57:18.952Z,,50,,,,27.9,
2018-01-29T00:57:28.952Z,,50,34.6,,,27.9,
2018-01-29T00:57:38.953Z,,50,,,,27.9,
2018-01-29T00:57:48.952Z,,50,,,,27.9,
2018-01-29T00:57:58.952Z,,50,,,,27.9,
2018-01-29T00:58:08.953Z,,50,,,,27.9,
2018-01-29T00:58:18.952Z,,50,,,,28,
2018-01-29T00:58:28.953Z,,50,,,,28,
2018-01-29T00:58:38.952Z,,50,,,,27.9,
2018-01-29T00:58:48.952Z,,50,,,,27.9,
2018-01-29T00:58:58.952Z,,50,34.5,,,27.9,
2018-01-29T00:59:08.952Z,,50,,,,27.9,
2018-01-29T00:59:18.952Z,,50,,,,27.9,
2018-01-29T00:59:28.952Z,,50,,,,28,
2018-01-29T00:59:38.952Z,,50,,,,27.9,
2018-01-29T00:59:48.951Z,,50,,,,28,
2018-01-29T00:59:58.952Z,,50,,,,27.9,
2018-01-29T01:00:08.952Z,,50,,,,27.9,
2018-01-29T01:00:18.952Z,,50,,,,27.9,
2018-01-29T01:00:28.952Z,,50,,,,28,
2018-01-29T01:00:38.952Z,,50,,,,27.9,
2018-01-29T01:00:48.952Z,,50,34.4,,,27.9,
2018-01-29T01:00:58.952Z,,50,,,,27.9,
2018-01-29T01:01:08.951Z,,50,,,,27.9,
2018-01-29T01:01:18.954Z,,50,,,,27.9,
2018-01-29T01:01:28.952Z,,50,,,,27.9,
2018-01-29T01:01:38.952Z,,50,,,,27.9,
2018-01-29T01:01:48.953Z,,50,,,,27.9,
2018-01-29T01:01:58.952Z,,50,,,,27.9,
2018-01-29T01:02:08.953Z,,50,,,,27.9,
2018-01-29T01:02:18.953Z,,50,34.3,,,27.9,
2018-01-29T01:02:28.955Z,,50,,,,27.9,
2018-01-29T01:02:38.952Z,,50,,,,27.9,
2018-01-29T01:02:48.952Z,,50,,,,27.9,
