Time,HwTSet,PrimT,HwActive,ChActive,PrimTSet,HwTOutlet,ActPow
2017-11-02T00:56:37.062Z,52,,,,,29,
2017-11-02T00:56:47.061Z,52,,,,,29,
2017-11-02T00:57:07.057Z,,39.1,,,,,
2017-11-02T00:57:17.058Z,,38.9,,,,,
2017-11-02T00:57:27.058Z,52,,,,,29,
2017-11-02T00:57:37.058Z,52,,,,,29,
2017-11-02T00:57:47.057Z,52,,,,,29,
2017-11-02T00:57:57.058Z,52,,,,,29,
2017-11-02T00:58:17.058Z,52,,,,,29,
2017-11-02T00:58:37.063Z,52,,,,,29,
2017-11-02T00:58:57.062Z,52,,,,,29,
2017-11-02T00:59:07.063Z,,38.8,,,,,
2017-11-02T00:59:17.058Z,52,,,,,29,
2017-11-02T00:59:37.058Z,52,,,,,29,
2017-11-02T00:59:57.058Z,52,,,,,29,
2017-11-02T01:00:17.058Z,52,,,,,29,
2017-11-02T01:00:37.058Z,52,,,,,29,
2017-11-02T01:00:47.058Z,52,38.7,,,,29,
2017-11-02T01:00:57.060Z,52,,,,,29,
2017-11-02T01:01:17.058Z,52,,,,,28.9,
2017-11-02T01:01:37.058Z,52,,,,,28.9,
2017-11-02T01:01:47.057Z,52,,,,,28.9,
2017-11-02T01:01:57.057Z,52,,,,,28.9,
2017-11-02T01:02:17.058Z,52,,,,,28.9,
2017-11-02T01:02:37.057Z,52,38.6,,,,28.9,
2017-11-02T01:02:57.057Z,52,,,,,28.9,
2017-11-02T01:03:17.058Z,52,,,,,28.9,
2017-11-02T01:03:37.057Z,52,,,,,28.9,
2017-11-02T01:03:57.058Z,52,,,,,28.9,
2017-11-02T01:04:17.057Z,52,,,,,28.9,
2017-11-02T01:04:27.058Z,,38.5,0,0,5,,0
2017-11-02T01:04:37.058Z,52,,,,,28.9,
2017-11-02T01:04:57.058Z,52,,,,,28.9,
2017-11-02T01:05:17.058Z,52,,,,,28.9,
2017-11-02T01:05:37.058Z,52,,,,,28.9,
2017-11-02T01:05:47.058Z,52,,,,,28.9,
2017-11-02T01:05:57.057Z,52,,,,,28.9,
2017-11-02T01:06:07.057Z,,38.4,,,,,
2017-11-02T01:06:17.057Z,52,,,,,28.7,
2017-11-02T01:06:27.058Z,,38.4,,,,,
2017-11-02T01:06:37.058Z,52,,,,,28.7,
2017-11-02T01:06:57.059Z,52,,,,,28.7,
2017-11-02T01:07:17.058Z,52,,,,,28.7,
2017-11-02T01:07:37.058Z,52,,,,,28.7,
2017-11-02T01:07:47.057Z,52,38.3,,,,28.7,
2017-11-02T01:07:57.057Z,52,,,,,28.7,
2017-11-02T01:08:07.058Z,,38.4,,,,,
2017-11-02T01:08:17.058Z,52,,,,,28.7,
2017-11-02T01:08:27.057Z,,38.3,,,,,
2017-11-02T01:08:37.057Z,52,,,,,28.7,
2017-11-02T01:08:47.057Z,52,,,,,28.7,
2017-11-02T01:08:57.057Z,52,,,,,28.7,
2017-11-02T01:09:17.062Z,52,,,,,28.7,
2017-11-02T01:09:37.104Z,52,,,,,28.7,
2017-11-02T01:09:47.094Z,52,,,,,28.7,
2017-11-02T01:09:57.089Z,52,,,,,28.7,
2017-11-02T01:10:07.058Z,,38.2,,,,,
2017-11-02T01:10:17.057Z,52,,,,,28.7,
2017-11-02T01:10:37.058Z,52,,,,,28.7,
2017-11-02T01:10:47.057Z,52,,,,,28.7,
2017-11-02T01:10:57.057Z,52,,,,,28.7,
2017-11-02T01:11:17.057Z,52,,,,,28.7,
2017-11-02T01:11:37.057Z,52,,,,,28.7,
2017-11-02T01:11:47.059Z,52,38.1,,,,28.7,
2017-11-02T01:11:57.058Z,52,,,,,28.7,
2017-11-02T01:12:17.058Z,52,,,,,28.7,
2017-11-02T01:12:37.062Z,52,,,,,28.7,
2017-11-02T01:12:57.060Z,52,,,,,28.6,
2017-11-02T01:13:17.058Z,52,,,,,28.7,
2017-11-02T01:13:37.057Z,52,38,,,,28.7,
2017-11-02T01:13:47.057Z,52,,,,,28.6,
2017-11-02T01:13:57.057Z,52,,,,,28.6,
2017-11-02T01:14:17.057Z,52,,,,,28.7,
2017-11-02T01:14:37.057Z,52,,,,,28.6,
2017-11-02T01:14:47.060Z,52,,,,,28.6,
2017-11-02T01:14:57.062Z,52,,,,,28.6,
2017-11-02T01:15:07.057Z,52,,,,,28.6,
2017-11-02T01:15:17.059Z,52,37.9,,,,28.6,
2017-11-02T01:15:27.058Z,52,37.9,,,,28.6,
2017-11-02T01:15:37.060Z,52,38,,,,28.6,
2017-11-02T01:15:47.058Z,52,37.9,,,,28.6,
2017-11-02T01:15:57.061Z,52,,,,,28.6,
2017-11-02T01:16:17.057Z,52,,,,,28.6,
2017-11-02T01:16:37.059Z,52,,,,,28.6,
2017-11-02T01:16:47.061Z,52,,,,,28.6,
2017-11-02T01:16:57.061Z,52,,,,,28.6,
2017-11-02T01:17:17.057Z,52,,,,,28.6,
2017-11-02T01:17:37.057Z,52,37.8,,,,28.6,
2017-11-02T01:17:47.060Z,52,,,,,28.6,
2017-11-02T01:17:57.057Z,52,,,,,28.6,
2017-11-02T01:18:17.062Z,52,,,,,28.6,
2017-11-02T01:18:37.060Z,52,,,,,28.6,
2017-11-02T01:18:47.060Z,52,,,,,28.6,
2017-11-02T01:18:57.062Z,52,,,,,28.6,
2017-11-02T01:19:17.058Z,52,,,,,28.6,
2017-11-02T01:19:37.057Z,52,37.7,,,,28.6,
2017-11-02T01:19:47.057Z,52,,,,,28.6,
2017-11-02T01:19:57.057Z,52,,,,,28.6,
2017-11-02T01:20:17.062Z,52,,,,,28.6,
2017-11-02T01:20:37.057Z,52,,,,,28.6,
2017-11-02T01:20:47.057Z,52,,,,,28.6,
2017-11-02T01:20:57.057Z,52,,,,,28.6,
2017-11-02T01:21:17.057Z,52,,,,,28.6,
2017-11-02T01:21:27.057Z,,37.6,,,,,
2017-11-02T01:21:37.057Z,52,,,,,28.6,
2017-11-02T01:21:47.057Z,52,,,,,28.6,
2017-11-02T01:21:57.057Z,52,,,,,28.6,
2017-11-02T01:22:17.060Z,52,,,,,28.6,
2017-11-02T01:22:37.057Z,52,,,,,28.5,
2017-11-02T01:22:47.057Z,52,,,,,28.5,
2017-11-02T01:22:57.057Z,52,,,,,28.5,
2017-11-02T01:23:17.057Z,52,,,,,28.5,
2017-11-02T01:23:27.057Z,,37.5,,,,,
2017-11-02T01:23:37.058Z,52,,,,,28.5,
2017-11-02T01:23:47.057Z,52,,,,,28.5,
2017-11-02T01:23:57.060Z,52,,,,,28.5,
2017-11-02T01:24:17.057Z,52,,,,,28.5,
2017-11-02T01:24:37.057Z,52,,,,,28.5,
2017-11-02T01:24:47.057Z,52,,,,,28.5,
2017-11-02T01:24:57.057Z,52,,,,,28.5,
2017-11-02T01:25:17.109Z,52,,,,,28.5,
2017-11-02T01:25:27.097Z,,37.4,,,,,
2017-11-02T01:25:37.099Z,52,,,,,28.5,
2017-11-02T01:25:47.057Z,52,,,,,28.5,
2017-11-02T01:25:57.062Z,52,,,,,28.5,
2017-11-02T01:26:17.057Z,52,,,,,28.5,
2017-11-02T01:26:37.057Z,52,,,,,28.5,
2017-11-02T01:26:47.059Z,52,,,,,28.5,
2017-11-02T01:26:57.060Z,52,,,,,28.5,
2017-11-02T01:27:17.057Z,52,,,,,28.5,
2017-11-02T01:27:37.057Z,52,37.3,,,,28.5,
2017-11-02T01:27:47.057Z,52,,,,,28.4,
2017-11-02T01:27:57.057Z,52,,,,,28.4,
2017-11-02T01:28:17.057Z,52,,,,,28.4,
2017-11-02T01:28:37.062Z,52,,,,,28.4,
2017-11-02T01:28:47.057Z,52,,,,,28.4,
2017-11-02T01:28:57.057Z,52,,,,,28.4,
2017-11-02T01:29:17.056Z,52,,,,,28.4,
2017-11-02T01:29:37.057Z,52,37.2,,,,28.4,
2017-11-02T01:29:47.057Z,52,,,,,28.4,
2017-11-02T01:29:57.058Z,52,,,,,28.4,
2017-11-02T01:30:17.057Z,52,,,,,28.4,
2017-11-02T01:30:37.057Z,52,,,,,28.4,
2017-11-02T01:30:47.057Z,52,,,,,28.4,
2017-11-02T01:30:57.057Z,52,,,,,28.4,
2017-11-02T01:31:17.062Z,52,,,,,28.4,
2017-11-02T01:31:37.056Z,52,37.1,,,,28.4,
2017-11-02T01:31:47.057Z,52,,,,,28.4,
2017-11-02T01:31:57.057Z,52,,,,,28.4,
2017-11-02T01:32:17.061Z,52,,,,,28.4,
2017-11-02T01:32:37.056Z,52,,,,,28.4,
2017-11-02T01:32:47.059Z,52,,,,,28.4,
2017-11-02T01:32:57.057Z,52,,,,,28.4,
2017-11-02T01:33:07.057Z,52,36.9,,,,28.4,
2017-11-02T01:33:17.057Z,52,,,,,28.4,
2017-11-02T01:33:27.058Z,,37.1,,,,,
2017-11-02T01:33:37.058Z,52,37.1,,,,28.4,
2017-11-02T01:33:47.058Z,52,36.9,,,,28.3,
2017-11-02T01:34:07.056Z,52,,,,,28.3,
2017-11-02T01:34:27.061Z,52,,,,,28.4,
2017-11-02T01:34:37.061Z,52,,,,,28.4,
2017-11-02T01:34:47.057Z,52,,,,,28.4,
2017-11-02T01:34:57.060Z,52,,,,,28.4,
2017-11-02T01:35:17.056Z,52,,,,,28.4,
2017-11-02T01:35:37.057Z,52,36.8,,,,28.3,
2017-11-02T01:35:47.056Z,52,,,,,28.3,
2017-11-02T01:35:57.057Z,52,,,,,28.3,
2017-11-02T01:36:17.057Z,52,,,,,28.3,
2017-11-02T01:36:37.056Z,52,,,,,28.3,
2017-11-02T01:36:47.060Z,52,,,,,28.3,
2017-11-02T01:36:57.062Z,52,,,,,28.3,
2017-11-02T01:37:17.056Z,52,,,,,28.3,
2017-11-02T01:37:37.056Z,52,36.7,,,,28.3,
2017-11-02T01:37:47.069Z,52,,,,,28.3,
2017-11-02T01:37:57.057Z,52,,,,,28.3,
2017-11-02T01:38:17.057Z,52,,,,,28.3,
2017-11-02T01:38:37.056Z,52,,,,,28.3,
2017-11-02T01:38:47.056Z,52,,,,,28.3,
2017-11-02T01:38:57.061Z,52,,,,,28.3,
2017-11-02T01:39:17.056Z,52,,,,,28.3,
2017-11-02T01:39:37.056Z,52,,,,,28.3,
2017-11-02T01:39:47.060Z,52,36.6,,,,28.1,
2017-11-02T01:39:57.057Z,52,,,,,28.1,
2017-11-02T01:40:27.061Z,52,,,,,28.1,
2017-11-02T01:40:37.056Z,52,,,,,28.1,
2017-11-02T01:40:47.056Z,52,,,,,28.1,
2017-11-02T01:40:57.057Z,52,,,,,28.1,
2017-11-02T01:41:17.056Z,52,,,,,28.1,
2017-11-02T01:41:37.066Z,52,,,,,28.1,
2017-11-02T01:41:47.057Z,52,36.5,,,,28.1,
2017-11-02T01:41:57.056Z,52,,,,,28.1,
2017-11-02T01:42:17.056Z,52,,,,,28.1,
2017-11-02T01:42:37.059Z,52,,,,,28.1,
2017-11-02T01:42:47.056Z,52,,,,,28.1,
2017-11-02T01:42:57.057Z,52,,,,,28.1,
2017-11-02T01:43:17.057Z,52,,,,,28.1,
2017-11-02T01:43:37.056Z,52,,,,,28.1,
2017-11-02T01:43:47.058Z,52,,,,,28.1,
2017-11-02T01:43:57.057Z,52,,,,,28,
2017-11-02T01:44:07.058Z,,36.4,,,,,
2017-11-02T01:44:17.056Z,52,,,,,28.1,
2017-11-02T01:44:37.056Z,52,,,,,28.1,
2017-11-02T01:44:47.058Z,52,,,,,28.1,
2017-11-02T01:44:57.059Z,52,,,,,28.1,
2017-11-02T01:45:17.056Z,52,,,,,28.1,
2017-11-02T01:45:37.056Z,52,,,,,28.1,
2017-11-02T01:45:47.056Z,52,,,,,28,
2017-11-02T01:45:57.056Z,52,,,,,28,
2017-11-02T01:46:17.057Z,52,,,,,28,
2017-11-02T01:46:27.057Z,,36.3,,,,,
2017-11-02T01:46:37.056Z,52,,,,,28,
2017-11-02T01:46:47.056Z,52,,,,,28,
2017-11-02T01:46:57.056Z,52,,,,,28,
2017-11-02T01:47:17.056Z,52,,,,,28,
2017-11-02T01:47:37.056Z,52,,,,,28,
2017-11-02T01:47:47.057Z,52,,,,,28,
