Time,ActPow,HwActive,ChActive,PrimTSet,HwTOutlet,HwTSet,PrimT
2017-12-17T00:32:50.238Z,,,,,28.1,50,
2017-12-17T00:33:00.238Z,,,,,28.1,50,32.7
2017-12-17T00:33:10.237Z,,,,,28.1,50,
2017-12-17T00:33:20.238Z,,,,,28.1,50,
2017-12-17T00:33:30.238Z,,,,,28.1,50,
2017-12-17T00:33:40.238Z,,,,,28.1,50,
2017-12-17T00:33:50.237Z,,,,,28.1,50,
2017-12-17T00:34:00.237Z,,,,,28.1,50,
2017-12-17T00:34:10.238Z,,,,,28.1,50,
2017-12-17T00:34:20.238Z,,,,,28.1,50,
2017-12-17T00:34:30.238Z,,,,,28.1,50,
2017-12-17T00:34:40.237Z,,,,,28.1,50,
2017-12-17T00:34:50.237Z,,,,,28.1,50,
2017-12-17T00:35:00.238Z,,,,,28.1,50,32.6
2017-12-17T00:35:10.294Z,,,,,28.1,50,32.7
2017-12-17T00:35:20.238Z,,,,,28.1,50,32.6
2017-12-17T00:35:30.238Z,44,0,2,,28.1,50,33.2
2017-12-17T00:35:40.238Z,35,,,,28,50,38.1
2017-12-17T00:35:50.239Z,29,,,,28.1,50,37.5
2017-12-17T00:36:00.238Z,,,,,28,50,35.8
2017-12-17T00:36:10.237Z,29,,,,28.1,50,33.9
2017-12-17T00:36:20.238Z,30,,,,28,50,33.4
2017-12-17T00:36:30.238Z,29,,,,28,50,33.2
2017-12-17T00:36:40.238Z,,,,,28,50,33.6
2017-12-17T00:36:50.237Z,30,,,,28,50,34.1
2017-12-17T00:37:00.238Z,29,,,,28,50,34.5
2017-12-17T00:37:10.237Z,,,,,28,50,34.7
2017-12-17T00:37:20.238Z,,,,,28,50,34.8
2017-12-17T00:37:30.238Z,29,,,,28,50,35.1
2017-12-17T00:37:40.238Z,,,,,28,50,35.3
2017-12-17T00:37:50.238Z,30,,,,28,50,35.5
2017-12-17T00:38:00.237Z,29,,,,28,50,35.6
2017-12-17T00:38:10.237Z,,,,,28,50,35.8
2017-12-17T00:38:20.238Z,,,,,28,50,36
2017-12-17T00:38:30.237Z,,,,,28,50,36.2
2017-12-17T00:38:40.238Z,,,,,28,50,36.3
2017-12-17T00:38:50.237Z,,,,,28,50,36.5
2017-12-17T00:39:00.237Z,,,,,28,50,36.6
2017-12-17T00:39:10.238Z,,,,,28,50,36.8
2017-12-17T00:39:20.238Z,29,,,,28,50,37.1
2017-12-17T00:39:30.237Z,,,,,28,50,
2017-12-17T00:39:40.237Z,,,,,28,50,37.3
2017-12-17T00:39:50.237Z,30,,,,28,50,37.5
2017-12-17T00:40:00.240Z,29,,,,28,50,37.6
2017-12-17T00:40:10.237Z,,,,,28.1,50,37.8
2017-12-17T00:40:20.238Z,29,,,,28,50,38
2017-12-17T00:40:30.237Z,,,,,28.1,50,38.1
2017-12-17T00:40:40.237Z,,,,,28.1,50,38.3
2017-12-17T00:40:50.237Z,30,,,,28.1,50,38.5
2017-12-17T00:41:00.238Z,29,,,,28.1,50,38.6
2017-12-17T00:41:10.237Z,,,,,28.1,50,38.8
2017-12-17T00:41:20.237Z,30,,,,28.1,50,39.1
2017-12-17T00:41:30.238Z,29,,,,28.1,50,39.2
2017-12-17T00:41:40.237Z,,,,,28.1,50,39.4
2017-12-17T00:41:50.237Z,,,,,28.1,50,39.5
2017-12-17T00:42:00.237Z,,,,,28.1,50,39.7
2017-12-17T00:42:10.237Z,,,,,28.1,50,39.8
2017-12-17T00:42:20.238Z,,,,,28.1,50,40
2017-12-17T00:42:30.237Z,,,,,28.1,50,40.1
2017-12-17T00:42:40.238Z,,,,,28.1,50,40.3
2017-12-17T00:42:50.237Z,30,,,,28.3,50,40.4
2017-12-17T00:43:00.237Z,29,,,,28.3,50,40.6
2017-12-17T00:43:10.237Z,,,,,28.3,50,40.8
2017-12-17T00:43:20.238Z,,,,,28.3,50,40.9
2017-12-17T00:43:30.238Z,,,,,28.3,50,41
2017-12-17T00:43:40.237Z,30,,,,28.3,50,41.2
2017-12-17T00:43:50.241Z,,,,,28.3,50,41.3
2017-12-17T00:44:00.238Z,29,,,,28.3,50,41.5
2017-12-17T00:44:10.237Z,,,,,28.4,50,41.6
2017-12-17T00:44:20.238Z,,,,,28.4,50,41.8
2017-12-17T00:44:30.238Z,,,,,28.4,50,42
2017-12-17T00:44:40.238Z,30,,,,28.4,50,42.1
2017-12-17T00:44:50.238Z,29,,,,28.4,50,42.2
2017-12-17T00:45:00.237Z,30,,,,28.4,50,42.3
