Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow,PrimT,ChActive
2018-02-05T00:57:18.770Z,28.4,,,50,,35.5,
2018-02-05T00:57:28.770Z,28.5,,0,50,0,34.8,2
2018-02-05T00:57:38.770Z,28.5,,,50,,32.5,
2018-02-05T00:57:48.770Z,28.5,,,50,,30.9,
2018-02-05T00:58:08.770Z,28.5,,,50,,30.8,
2018-02-05T00:58:18.770Z,28.5,,,50,,,
2018-02-05T00:58:38.771Z,28.5,,,50,,,
2018-02-05T00:58:48.770Z,28.5,,,50,,,
2018-02-05T00:59:08.770Z,28.6,,,50,,30.7,
2018-02-05T00:59:18.770Z,28.5,,,50,,,
2018-02-05T00:59:28.770Z,,,,,,30.6,
2018-02-05T00:59:38.770Z,28.6,,,50,,30.5,
2018-02-05T00:59:48.770Z,28.6,,,50,,,
2018-02-05T01:00:08.770Z,28.6,,,50,,,
2018-02-05T01:00:18.770Z,28.6,,,50,,,
2018-02-05T01:00:28.770Z,28.6,,,50,,30.4,
2018-02-05T01:00:38.770Z,28.6,,,50,,30.4,
2018-02-05T01:00:58.777Z,28.6,,,50,,,
2018-02-05T01:01:08.770Z,28.6,,,50,,,
2018-02-05T01:01:28.782Z,28.7,,,50,,,
2018-02-05T01:01:38.772Z,28.7,,,50,,,
2018-02-05T01:01:48.770Z,28.7,,,50,,,
2018-02-05T01:02:08.770Z,28.7,,,50,,,
2018-02-05T01:02:18.770Z,28.7,,,50,,,
2018-02-05T01:02:38.770Z,28.7,,,50,,,
2018-02-05T01:02:48.770Z,28.7,,,50,,,
2018-02-05T01:03:08.770Z,28.9,,,50,,,
2018-02-05T01:03:18.775Z,28.9,,,50,,,
2018-02-05T01:03:38.770Z,28.9,,,50,,,
2018-02-05T01:03:48.770Z,28.9,,,50,,,
2018-02-05T01:03:58.775Z,,,,,,30.5,
2018-02-05T01:04:08.770Z,28.9,,,50,,,
2018-02-05T01:04:18.770Z,28.9,,,50,,,
2018-02-05T01:04:38.776Z,28.9,,,50,,,
2018-02-05T01:04:48.905Z,28.9,,,50,,,
2018-02-05T01:05:08.828Z,28.9,,,50,,,
2018-02-05T01:05:18.975Z,28.9,,,50,,,
2018-02-05T01:05:38.770Z,28.9,,,50,,30.6,
2018-02-05T01:05:48.808Z,28.9,,,50,,,
2018-02-05T01:06:08.788Z,28.9,,,50,,,
2018-02-05T01:06:18.770Z,28.9,,,50,,,
2018-02-05T01:06:38.770Z,28.9,,,50,,,
2018-02-05T01:06:48.770Z,28.9,,,50,,,
2018-02-05T01:07:08.775Z,29,,,50,,,
2018-02-05T01:07:18.775Z,,5,0,,,30.6,0
2018-02-05T01:07:28.777Z,29,,,50,,30.7,
2018-02-05T01:07:38.776Z,28.9,,,50,,,
2018-02-05T01:07:48.771Z,,59,0,,,,2
2018-02-05T01:07:58.774Z,29,,,50,,,
2018-02-05T01:08:08.769Z,,5,0,,,,0
2018-02-05T01:08:18.790Z,29,,,50,,,
2018-02-05T01:08:28.770Z,29,,,50,,,
2018-02-05T01:08:38.770Z,29,59,0,50,,,2
2018-02-05T01:08:48.774Z,29,,,50,,,
2018-02-05T01:08:58.770Z,29,5,0,50,,,0
2018-02-05T01:09:08.778Z,29,59,0,50,,,2
2018-02-05T01:09:18.771Z,,5,0,,,,0
2018-02-05T01:09:28.769Z,29,,,50,,,
2018-02-05T01:09:38.773Z,29,,,50,,,
2018-02-05T01:09:48.770Z,29,59,0,50,,,2
2018-02-05T01:09:58.773Z,,5,0,,,,0
2018-02-05T01:10:08.769Z,29,,,50,,30.6,
2018-02-05T01:10:18.774Z,29,,,50,,30.7,
2018-02-05T01:10:28.770Z,,59,0,,,30.6,2
2018-02-05T01:10:38.770Z,29,,,50,,,
2018-02-05T01:10:48.770Z,29,,,50,,,
2018-02-05T01:10:58.770Z,,,,,,30.6,
2018-02-05T01:11:08.769Z,29,,,50,,,
2018-02-05T01:11:18.774Z,29,,,50,,,
2018-02-05T01:11:38.770Z,29,,,50,,,
2018-02-05T01:11:48.770Z,29,,,50,,,
2018-02-05T01:11:58.770Z,28.9,,0,50,42,32.5,2
2018-02-05T01:12:08.778Z,29,,,50,35,36.2,
2018-02-05T01:12:18.775Z,29,,,50,29,36.7,
2018-02-05T01:12:28.770Z,29,,,50,,35.3,
2018-02-05T01:12:38.779Z,29,,,50,30,34.2,
2018-02-05T01:12:48.863Z,29,,,50,0,33.2,
2018-02-05T01:12:58.783Z,29,,0,50,,31.8,2
2018-02-05T01:13:08.770Z,29,,,50,,29.8,
2018-02-05T01:13:18.820Z,29,,,50,,28.7,
2018-02-05T01:13:28.990Z,,,,,,28.4,
2018-02-05T01:13:38.812Z,29,,,50,,28.6,
2018-02-05T01:13:48.770Z,29,,,50,,,
2018-02-05T01:14:08.770Z,29,,,50,,,
2018-02-05T01:14:18.771Z,29,,,50,,,
2018-02-05T01:14:28.770Z,,,,,,28.4,
2018-02-05T01:14:38.770Z,29,,,50,,,
2018-02-05T01:14:48.770Z,29,,,50,,,
2018-02-05T01:14:58.770Z,,,,,,28.3,
2018-02-05T01:15:08.770Z,29,,,50,,,
2018-02-05T01:15:18.773Z,29,,,50,,,
2018-02-05T01:15:38.770Z,29,,,50,,,
2018-02-05T01:15:48.770Z,28.9,,,50,,28.2,
2018-02-05T01:15:58.770Z,28.9,,,50,,,
2018-02-05T01:16:18.769Z,28.9,,,50,,,
2018-02-05T01:16:28.770Z,29,,,50,,,
2018-02-05T01:16:38.770Z,28.9,,,50,,,
2018-02-05T01:16:58.770Z,28.9,,,50,,,
2018-02-05T01:17:08.769Z,29,,,50,,,
2018-02-05T01:17:28.770Z,28.9,,,50,,,
2018-02-05T01:17:38.787Z,28.9,5,0,50,,,0
2018-02-05T01:17:48.770Z,28.9,,,50,,,
2018-02-05T01:17:58.770Z,,59,0,,,,2
2018-02-05T01:18:08.770Z,28.9,,,50,,,
2018-02-05T01:18:18.769Z,28.9,,,50,,,
2018-02-05T01:18:38.770Z,28.9,,,50,,,
2018-02-05T01:18:48.769Z,28.9,,,50,,,
2018-02-05T01:19:08.772Z,28.9,,,50,,,
2018-02-05T01:19:18.770Z,28.9,,,50,,,
2018-02-05T01:19:28.770Z,,,,,,28.3,
2018-02-05T01:19:38.770Z,28.9,,,50,,28.2,
2018-02-05T01:19:48.770Z,28.9,,,50,,,
2018-02-05T01:19:58.770Z,,,,,,28.3,
2018-02-05T01:20:08.770Z,28.9,,,50,,,
2018-02-05T01:20:18.769Z,28.9,,,50,,,
2018-02-05T01:20:38.770Z,28.7,,,50,,,
2018-02-05T01:20:48.770Z,28.9,,,50,,,
2018-02-05T01:21:08.770Z,28.7,,,50,,,
