Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T00:29:03.463Z,30,52,,,,37.8,
2017-11-19T00:29:23.383Z,30,52,,,,38,
2017-11-19T00:29:33.386Z,30,52,29,,,38.3,
2017-11-19T00:29:43.396Z,30,52,,,,38.4,
2017-11-19T00:29:53.388Z,29.8,52,,,,38.6,
2017-11-19T00:30:03.463Z,29.8,52,,,,38.7,
2017-11-19T00:30:13.387Z,29.8,52,,,,38.9,
2017-11-19T00:30:23.389Z,29.8,52,30,,,39.2,
2017-11-19T00:30:33.387Z,29.8,52,0,,1,38.8,0
2017-11-19T00:30:43.385Z,,,,,,36.6,
2017-11-19T00:30:53.385Z,29.8,52,,,,35.2,
2017-11-19T00:31:13.387Z,29.8,52,,,,34.9,
2017-11-19T00:31:23.383Z,,,,,,34.7,
2017-11-19T00:31:33.395Z,29.8,52,,,,34.5,
2017-11-19T00:31:53.385Z,29.8,52,,,,,
2017-11-19T00:32:03.463Z,29.8,52,,,,,
2017-11-19T00:32:13.385Z,,,,,,34.4,
2017-11-19T00:32:23.383Z,29.8,52,,,,,
2017-11-19T00:32:33.397Z,29.8,52,,,,34.1,
2017-11-19T00:32:43.384Z,29.8,52,,,,,
2017-11-19T00:32:53.389Z,29.8,52,,,,,
2017-11-19T00:33:03.465Z,29.8,52,,,,,
2017-11-19T00:33:23.384Z,29.8,52,,,,,
2017-11-19T00:33:33.384Z,29.8,52,,,,34,
2017-11-19T00:33:43.384Z,29.8,52,,,,,
2017-11-19T00:34:03.463Z,29.7,52,,,,,
2017-11-19T00:34:23.384Z,29.8,52,,,,,
2017-11-19T00:34:33.384Z,29.7,52,,,,,
2017-11-19T00:34:43.385Z,29.7,52,,,,,
2017-11-19T00:34:53.384Z,29.7,52,,,,,
2017-11-19T00:35:03.468Z,29.7,52,,,,,
2017-11-19T00:35:23.383Z,29.7,52,,,,,
2017-11-19T00:35:33.384Z,29.7,52,,,,,
2017-11-19T00:35:43.385Z,29.7,52,,,,,
2017-11-19T00:36:03.463Z,29.7,52,,,,,
2017-11-19T00:36:23.383Z,29.7,52,,,,,
2017-11-19T00:36:33.384Z,29.7,52,,,,,
2017-11-19T00:36:43.385Z,29.7,52,,,,,
2017-11-19T00:36:53.383Z,29.7,52,,,,,
2017-11-19T00:37:03.462Z,29.7,52,,,,,
2017-11-19T00:37:13.417Z,,,,,,34.1,
2017-11-19T00:37:23.382Z,29.7,52,,,,,
2017-11-19T00:37:33.383Z,29.7,52,,,,,
2017-11-19T00:37:43.386Z,29.6,52,0,58,1,34.1,0
