Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ActPow,ChActive,PrimT
2017-11-18T00:51:43.419Z,,,52,28,,,
2017-11-18T00:51:53.418Z,,,52,28,,,
2017-11-18T00:52:03.498Z,,,52,28,,,
2017-11-18T00:52:13.418Z,,,,,,,32.1
2017-11-18T00:52:23.422Z,,,52,28,,,
2017-11-18T00:52:43.419Z,,,52,28,,,
2017-11-18T00:52:53.425Z,,,52,28,,,
2017-11-18T00:53:03.498Z,,,52,28,,,
2017-11-18T00:53:23.418Z,,,52,28,,,
2017-11-18T00:53:43.418Z,,,52,28,,,
2017-11-18T00:53:53.418Z,,,52,28,,,
2017-11-18T00:54:03.525Z,,,52,28,,,
2017-11-18T00:54:13.420Z,,,52,28,,,
2017-11-18T00:54:23.419Z,,,52,28,,,
2017-11-18T00:54:43.418Z,,,52,28,,,
2017-11-18T00:54:53.419Z,,,52,27.9,,,32
2017-11-18T00:55:03.499Z,,,52,27.9,,,
2017-11-18T00:55:13.418Z,,,52,27.9,,,
2017-11-18T00:55:23.418Z,,,52,27.9,,,
2017-11-18T00:55:43.424Z,,,52,27.9,,,
2017-11-18T00:55:53.419Z,,,52,27.9,,,
2017-11-18T00:56:03.501Z,,,52,27.9,,,
2017-11-18T00:56:13.419Z,,,52,27.9,,,
2017-11-18T00:56:23.418Z,,,52,27.9,,,
2017-11-18T00:56:43.418Z,,,52,27.9,,,
2017-11-18T00:56:53.422Z,,,52,27.9,,,32
2017-11-18T00:57:03.500Z,,,,,,,31.9
2017-11-18T00:57:13.418Z,,,,,,,32
2017-11-18T00:57:23.418Z,,,,,,,31.9
2017-11-18T00:57:33.418Z,,,52,27.9,,,
2017-11-18T00:57:53.423Z,,,52,27.9,,,
2017-11-18T00:58:13.418Z,,,52,27.8,,,
2017-11-18T00:58:23.423Z,,,52,27.8,,,
2017-11-18T00:58:43.418Z,,,52,27.8,,,
2017-11-18T00:58:53.423Z,,,52,27.8,,,
2017-11-18T00:59:03.498Z,,,52,27.8,,,
2017-11-18T00:59:13.418Z,,,52,27.8,,,
2017-11-18T00:59:23.418Z,,,52,27.8,,,
2017-11-18T00:59:43.424Z,,,52,27.8,,,
2017-11-18T00:59:53.418Z,,,52,27.8,,,
2017-11-18T01:00:03.500Z,,,52,27.8,,,
2017-11-18T01:00:13.425Z,,,,,,,31.8
2017-11-18T01:00:23.418Z,,,52,27.8,,,
2017-11-18T01:00:43.418Z,,,52,27.8,,,
2017-11-18T01:00:53.426Z,,,52,27.8,,,
2017-11-18T01:01:03.509Z,,,52,27.7,,,
2017-11-18T01:01:13.422Z,,,52,27.7,,,
2017-11-18T01:01:23.418Z,0,,52,27.7,,2,
2017-11-18T01:01:33.419Z,,,52,27.7,42,,34.6
2017-11-18T01:01:43.418Z,,,,,32,,38.3
2017-11-18T01:01:53.418Z,,,52,27.7,30,,35.4
2017-11-18T01:02:03.699Z,,,52,27.7,29,,33.8
2017-11-18T01:02:13.424Z,,,,,30,,32.2
2017-11-18T01:02:23.418Z,,,,,29,,
2017-11-18T01:02:33.418Z,,,52,27.7,30,,31.9
2017-11-18T01:02:43.418Z,,,52,27.7,29,,31.6
2017-11-18T01:02:53.420Z,,,52,27.7,30,,32.1
2017-11-18T01:03:03.498Z,,,,,,,32.6
2017-11-18T01:03:13.420Z,,,52,27.7,29,,33.1
2017-11-18T01:03:23.479Z,,,,,30,,33.2
2017-11-18T01:03:33.427Z,,,52,27.7,,,
2017-11-18T01:03:43.457Z,,,52,27.7,,,33.4
2017-11-18T01:03:53.466Z,,,52,27.7,29,,33.7
2017-11-18T01:04:03.503Z,,,52,27.7,,,33.9
2017-11-18T01:04:13.433Z,,,,,30,,34.1
2017-11-18T01:04:23.418Z,,,52,27.7,,,
2017-11-18T01:04:33.418Z,,,,,29,,34.3
