Time,ActPow,HwTSet,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-12-12T00:41:50.416Z,,50,,39.7,31.6,,
2017-12-12T00:42:00.416Z,,50,,39.6,31.6,,
2017-12-12T00:42:10.417Z,,50,,39.5,31.6,,
2017-12-12T00:42:20.416Z,,50,,,31.6,,
2017-12-12T00:42:30.416Z,,50,,,31.6,,
2017-12-12T00:42:40.416Z,,50,,39.4,31.6,,
2017-12-12T00:42:50.416Z,,50,,,31.6,,
2017-12-12T00:43:00.416Z,,50,,39.2,31.6,,
2017-12-12T00:43:10.416Z,,50,,,31.6,,
2017-12-12T00:43:20.418Z,,50,,,31.6,,
2017-12-12T00:43:30.417Z,,50,,,31.6,,
2017-12-12T00:43:40.467Z,,50,,,31.6,,
2017-12-12T00:43:50.416Z,,50,,,31.8,,
2017-12-12T00:44:00.416Z,44,50,1,40.1,31.8,,0
2017-12-12T00:44:10.443Z,32,50,,46,31.6,,
2017-12-12T00:44:20.427Z,30,50,,45.9,31.6,,
2017-12-12T00:44:30.416Z,30,50,,44.9,31.8,,
2017-12-12T00:44:40.416Z,,50,,44.4,31.8,,
2017-12-12T00:44:50.416Z,29,50,,43.9,31.8,,
2017-12-12T00:45:00.416Z,30,50,,43.8,31.8,,
2017-12-12T00:45:10.416Z,29,50,,44,31.8,,
2017-12-12T00:45:20.416Z,0,50,1,44.4,31.8,,0
2017-12-12T00:45:30.416Z,,50,,41.9,31.8,,
2017-12-12T00:45:40.416Z,,50,,40.8,31.8,,
2017-12-12T00:45:50.416Z,,50,,39.7,31.8,,
2017-12-12T00:46:00.416Z,,50,,39.6,31.8,,
2017-12-12T00:46:10.416Z,,50,,39.5,31.8,,
2017-12-12T00:46:20.416Z,,50,,,31.8,,
2017-12-12T00:46:30.416Z,,50,,,31.8,,
2017-12-12T00:46:40.417Z,,50,,39.4,31.8,,
2017-12-12T00:46:50.416Z,,50,,,31.8,,
2017-12-12T00:47:00.416Z,,50,,39.2,31.8,,
2017-12-12T00:47:10.416Z,,50,,39.1,31.8,,
2017-12-12T00:47:20.416Z,,50,,38.9,31.8,,
2017-12-12T00:47:30.416Z,,50,,38.8,31.8,,
2017-12-12T00:47:40.416Z,,50,,,31.8,,
2017-12-12T00:47:50.416Z,,50,,,31.8,,
2017-12-12T00:48:00.416Z,,50,,38.7,31.8,,
2017-12-12T00:48:10.416Z,,50,0,38.6,31.8,0,2
2017-12-12T00:48:20.426Z,0,50,0,40,30.8,,0
2017-12-12T00:48:30.416Z,,50,,39.7,29,,
2017-12-12T00:48:40.417Z,,50,,39.6,29,,
2017-12-12T00:48:50.416Z,,50,,,29,,
2017-12-12T00:49:00.416Z,,50,,,29,,
2017-12-12T00:49:10.416Z,,50,,,29,,
2017-12-12T00:49:20.416Z,,50,1,,29,59,0
2017-12-12T00:49:30.416Z,42,50,1,42.1,29.1,,0
2017-12-12T00:49:40.417Z,31,50,,46.1,29.1,,
2017-12-12T00:49:50.416Z,29,50,,44.8,29.1,,
2017-12-12T00:50:00.418Z,,50,,44.5,29.1,,
2017-12-12T00:50:10.416Z,,50,,43.6,29.1,,
2017-12-12T00:50:20.416Z,,50,,43.4,29.2,,
2017-12-12T00:50:30.416Z,30,50,,43.2,29.2,,
2017-12-12T00:50:40.416Z,29,50,,43.3,29.2,,
2017-12-12T00:50:50.416Z,,50,,43.6,29.2,,
2017-12-12T00:51:00.416Z,30,50,,44,29.2,,
2017-12-12T00:51:10.416Z,29,50,,,29.3,,
2017-12-12T00:51:20.416Z,,50,,44.1,29.3,,
2017-12-12T00:51:30.416Z,30,50,,44.2,29.3,,
2017-12-12T00:51:40.416Z,29,50,0,44.3,29.3,0,2
2017-12-12T00:51:50.416Z,0,50,0,45.1,39.4,,2
2017-12-12T00:52:00.428Z,0,50,0,40.8,36,,2
2017-12-12T00:52:10.426Z,29,50,0,41.1,40.7,,2
2017-12-12T00:52:20.416Z,92,50,,42.1,38.8,,
2017-12-12T00:52:30.426Z,0,50,0,46.6,40.7,,0
2017-12-12T00:52:40.418Z,0,50,0,45.6,42.9,0,0
2017-12-12T00:52:50.416Z,,50,,45.4,42.9,,
2017-12-12T00:53:00.416Z,45,50,0,44.9,43,,2
2017-12-12T00:53:10.416Z,0,50,0,43.7,43.2,,0
2017-12-12T00:53:20.416Z,,50,,43.4,42.9,,
2017-12-12T00:53:30.416Z,,50,,43.3,42.8,,
2017-12-12T00:53:40.416Z,,50,,,42.7,,
2017-12-12T00:53:50.416Z,,50,,,42.6,,
2017-12-12T00:54:00.416Z,,50,,,42.5,,
2017-12-12T00:54:10.416Z,,50,1,,42.4,59,0
2017-12-12T00:54:20.416Z,,50,,,42.4,,
