Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2017-12-18T00:37:00.203Z,50,,,,27.2,,
2017-12-18T00:37:10.203Z,50,,,,27.2,,
2017-12-18T00:37:20.203Z,50,,,,27.2,,
2017-12-18T00:37:30.203Z,50,,,,27.2,,33.3
2017-12-18T00:37:40.203Z,50,,,,27.2,,
2017-12-18T00:37:50.204Z,50,,,,27.2,,
2017-12-18T00:38:00.204Z,50,,,,27.2,,
2017-12-18T00:38:10.203Z,50,,,,27.2,,
2017-12-18T00:38:20.203Z,50,,,,27.2,,
2017-12-18T00:38:30.203Z,50,,,,27.2,,
2017-12-18T00:38:40.203Z,50,,,,27.2,,
2017-12-18T00:38:50.203Z,50,,,,27.2,,
2017-12-18T00:39:00.203Z,50,,,,27.2,,
2017-12-18T00:39:10.203Z,50,,,,27.2,,
2017-12-18T00:39:20.203Z,50,,,,27.2,,33.2
2017-12-18T00:39:30.203Z,50,59,,0,27.2,2,
2017-12-18T00:39:40.203Z,50,5,,0,27.2,0,
2017-12-18T00:39:50.202Z,50,,,,27.2,,
2017-12-18T00:40:00.204Z,50,,,,27.2,,
2017-12-18T00:40:10.203Z,50,,,,27.2,,
2017-12-18T00:40:20.203Z,50,,,,27.3,,
2017-12-18T00:40:30.203Z,50,59,,0,27.2,2,
2017-12-18T00:40:40.203Z,50,,,,27.2,,
2017-12-18T00:40:50.203Z,50,5,,0,27.3,0,
2017-12-18T00:41:00.203Z,50,,,,27.3,,
2017-12-18T00:41:10.203Z,50,,,,27.3,,
2017-12-18T00:41:20.203Z,50,,,,27.2,,
2017-12-18T00:41:30.202Z,50,,,,27.2,,33.1
2017-12-18T00:41:40.202Z,50,,,,27.3,,
2017-12-18T00:41:50.203Z,50,,,,27.3,,
2017-12-18T00:42:00.205Z,50,,,,27.2,,
2017-12-18T00:42:10.203Z,50,,,,27.2,,
2017-12-18T00:42:20.203Z,50,,,,27.2,,
2017-12-18T00:42:30.203Z,50,,,,27.2,,
2017-12-18T00:42:40.203Z,50,,,,27.3,,
2017-12-18T00:42:50.294Z,50,,,,27.3,,
2017-12-18T00:43:00.203Z,50,,,,27.2,,
2017-12-18T00:43:10.203Z,50,,,,27.2,,
2017-12-18T00:43:20.203Z,50,,,,27.3,,
2017-12-18T00:43:30.203Z,50,,,,27.2,,
2017-12-18T00:43:40.202Z,50,,,,27.2,,
2017-12-18T00:43:50.203Z,50,,,,27.3,,32.9
