Time,HwTOutlet,ChActive,PrimT,HwTSet,PrimTSet,ActPow,HwActive
2018-01-10T01:03:42.467Z,29.2,,,50,,,
2018-01-10T01:03:52.467Z,29.2,,,50,,,
2018-01-10T01:04:02.467Z,29.2,,35.6,50,,,
2018-01-10T01:04:12.477Z,29.2,,,50,,,
2018-01-10T01:04:22.479Z,29.2,,,50,,,
2018-01-10T01:04:32.473Z,29.2,,,50,,,
2018-01-10T01:04:42.467Z,29.2,,,50,,,
2018-01-10T01:04:52.467Z,29.2,,,50,,,
2018-01-10T01:05:02.467Z,29.2,,,50,,,
2018-01-10T01:05:12.467Z,29.1,,,50,,,
2018-01-10T01:05:22.467Z,29.1,,,50,,,
2018-01-10T01:05:32.466Z,29.1,,35.5,50,,,
2018-01-10T01:05:42.467Z,29.1,,,50,,,
2018-01-10T01:05:52.468Z,29.1,,,50,,,
2018-01-10T01:06:02.467Z,29.1,,,50,,,
2018-01-10T01:06:12.469Z,29.1,,,50,,,
2018-01-10T01:06:22.467Z,29.1,,,50,,,
2018-01-10T01:06:32.468Z,29.1,,,50,,,
2018-01-10T01:06:42.467Z,29.1,,,50,,,
2018-01-10T01:06:52.467Z,29.1,,,50,,,
2018-01-10T01:07:02.467Z,29.1,,,50,,,
2018-01-10T01:07:12.467Z,29.1,,,50,,,
2018-01-10T01:07:22.469Z,29.1,,35.4,50,,,
2018-01-10T01:07:32.466Z,29.1,,,50,,,
2018-01-10T01:07:42.467Z,29.1,,,50,,,
2018-01-10T01:07:52.467Z,29.1,,,50,,,
2018-01-10T01:08:02.471Z,29.1,,,50,,,
2018-01-10T01:08:12.467Z,29.1,,,50,,,
2018-01-10T01:08:22.468Z,29.1,,,50,,,
2018-01-10T01:08:32.467Z,29.1,,,50,,,
2018-01-10T01:08:42.470Z,29.1,,,50,,,
2018-01-10T01:08:52.466Z,29.1,,35.3,50,,,
2018-01-10T01:09:02.469Z,29.1,,,50,,,
2018-01-10T01:09:12.468Z,29,,,50,,,
2018-01-10T01:09:22.467Z,29.1,,,50,,,
2018-01-10T01:09:32.467Z,29.1,,,50,,,
2018-01-10T01:09:42.470Z,29,,,50,,,
2018-01-10T01:09:52.468Z,29,,,50,,,
2018-01-10T01:10:02.471Z,29,,,50,,,
2018-01-10T01:10:12.466Z,29,,,50,,,
2018-01-10T01:10:22.467Z,29,,,50,,,
2018-01-10T01:10:32.471Z,29,,,50,,,
2018-01-10T01:10:42.467Z,29,,,50,,,
2018-01-10T01:10:52.469Z,29,,,50,,,
2018-01-10T01:11:02.469Z,29,,35.2,50,,,
