Time,HwActive,HwTOutlet,PrimTSet,ChActive,HwTSet,ActPow,PrimT
2018-01-30T00:33:18.927Z,,29.2,,,50,,
2018-01-30T00:33:28.927Z,,,,,,,42
2018-01-30T00:33:38.927Z,,29.2,,,50,,42.1
2018-01-30T00:33:48.929Z,,29.2,,,50,,
2018-01-30T00:33:58.927Z,,,,,,,42.4
2018-01-30T00:34:08.927Z,,29.3,,,50,30,42.7
2018-01-30T00:34:18.928Z,0,29.3,59,2,50,30,42.7
2018-01-30T00:34:28.927Z,,,,,,29,43
2018-01-30T00:34:38.927Z,,29.3,,,50,30,43.2
2018-01-30T00:34:48.927Z,,29.3,,,50,,
2018-01-30T00:34:58.927Z,0,29.3,,2,50,0,42.2
2018-01-30T00:35:08.927Z,,29.3,,,50,,39.8
2018-01-30T00:35:18.927Z,,,,,,,38.7
2018-01-30T00:35:28.927Z,,29.3,,,50,,38.3
2018-01-30T00:35:38.928Z,,29.5,,,50,,38.2
2018-01-30T00:35:48.927Z,,29.5,,,50,,
2018-01-30T00:36:08.927Z,,29.5,,,50,,
2018-01-30T00:36:18.931Z,,29.5,,,50,,
2018-01-30T00:36:28.927Z,,,,,,,38
2018-01-30T00:36:38.927Z,,29.5,,,50,,37.9
2018-01-30T00:36:48.927Z,,,,,,,37.8
2018-01-30T00:36:58.937Z,,29.5,,,50,,37.7
2018-01-30T00:37:08.927Z,,29.6,,,50,,
2018-01-30T00:37:28.927Z,,29.6,,,50,,
2018-01-30T00:37:38.927Z,,29.6,,,50,,37.6
2018-01-30T00:37:48.927Z,,29.6,,,50,,
2018-01-30T00:37:58.927Z,,29.6,,,50,,37.5
2018-01-30T00:38:18.929Z,,29.6,,,50,,
2018-01-30T00:38:28.928Z,,29.6,,,50,,
2018-01-30T00:38:38.927Z,,29.6,,,50,,
2018-01-30T00:38:58.996Z,,29.6,,,50,,37.4
2018-01-30T00:39:08.975Z,,29.6,,,50,,
2018-01-30T00:39:28.957Z,,29.6,,,50,,
2018-01-30T00:39:38.957Z,,29.6,,,50,,
2018-01-30T00:39:48.934Z,,29.6,,,50,,
2018-01-30T00:40:08.929Z,,29.7,,,50,,
2018-01-30T00:40:18.927Z,,29.7,,,50,,
2018-01-30T00:40:38.928Z,,29.7,,,50,,37.5
2018-01-30T00:40:48.927Z,,29.7,,,50,,
2018-01-30T00:41:08.927Z,,29.7,,,50,,
2018-01-30T00:41:18.927Z,,29.7,,,50,,
2018-01-30T00:41:28.927Z,,,,,,,37.6
2018-01-30T00:41:38.927Z,,29.7,,,50,,
2018-01-30T00:41:48.927Z,,29.7,,,50,,
2018-01-30T00:41:58.927Z,,,,,,,37.7
2018-01-30T00:42:08.927Z,,29.7,,,50,,
2018-01-30T00:42:18.927Z,,29.7,,,50,,
2018-01-30T00:42:38.927Z,,29.7,,,50,,
2018-01-30T00:42:48.930Z,,29.7,,,50,,
2018-01-30T00:42:58.927Z,,,,,,,37.8
2018-01-30T00:43:08.927Z,,29.7,,,50,,
2018-01-30T00:43:18.928Z,,29.7,,,50,,
2018-01-30T00:43:38.927Z,,29.7,,,50,,
2018-01-30T00:43:48.927Z,,29.7,,,50,,
2018-01-30T00:44:08.927Z,,29.7,,,50,,
2018-01-30T00:44:18.927Z,,29.7,,,50,,
2018-01-30T00:44:38.927Z,,29.7,,,50,,
2018-01-30T00:44:48.927Z,,29.7,,,50,,
2018-01-30T00:45:08.927Z,,29.7,,,50,,
2018-01-30T00:45:18.929Z,,29.7,,,50,,
2018-01-30T00:45:38.927Z,,29.7,,,50,,
2018-01-30T00:45:48.933Z,,29.7,,,50,,
2018-01-30T00:46:08.927Z,,29.7,,,50,,
2018-01-30T00:46:18.927Z,,29.7,,,50,,
2018-01-30T00:46:28.927Z,,,,,,,37.7
2018-01-30T00:46:38.927Z,,29.7,,,50,,
2018-01-30T00:46:48.927Z,,29.7,,,50,,
2018-01-30T00:47:08.927Z,,29.7,,,50,,
2018-01-30T00:47:18.927Z,,29.7,,,50,,
2018-01-30T00:47:38.927Z,,29.7,,,50,,
2018-01-30T00:47:48.927Z,,29.7,,,50,,
2018-01-30T00:47:58.927Z,,,,,,,37.6
2018-01-30T00:48:08.927Z,,29.7,,,50,,
2018-01-30T00:48:18.927Z,,29.7,,,50,,
2018-01-30T00:48:38.927Z,,29.7,,,50,,
2018-01-30T00:48:48.927Z,,29.7,,,50,,
2018-01-30T00:49:08.927Z,,29.7,,,50,,37.5
2018-01-30T00:49:18.927Z,,29.7,,,50,,
2018-01-30T00:49:38.927Z,,29.7,,,50,,
2018-01-30T00:49:48.927Z,,29.7,,,50,,
2018-01-30T00:50:08.928Z,,29.7,,,50,,
2018-01-30T00:50:18.927Z,,29.7,,,50,,
2018-01-30T00:50:28.927Z,,,,,,,37.4
2018-01-30T00:50:39.034Z,,29.7,,,50,,
2018-01-30T00:50:48.928Z,,29.7,,,50,,
2018-01-30T00:51:08.927Z,,29.7,,,50,,
2018-01-30T00:51:18.927Z,,29.6,,,50,,
2018-01-30T00:51:38.927Z,,29.6,,,50,,37.3
2018-01-30T00:51:48.927Z,,29.6,,,50,,
2018-01-30T00:52:08.927Z,,29.6,,,50,,
2018-01-30T00:52:18.955Z,,29.6,,,50,,
2018-01-30T00:52:38.927Z,,29.6,,,50,,
2018-01-30T00:52:48.926Z,,29.6,,,50,,
2018-01-30T00:52:58.927Z,,,,,,,37.2
2018-01-30T00:53:08.927Z,,29.6,,,50,,
2018-01-30T00:53:18.927Z,,29.6,,,50,,
2018-01-30T00:53:38.927Z,,29.6,,,50,,
2018-01-30T00:53:48.928Z,,29.6,,,50,,
2018-01-30T00:54:08.927Z,,29.6,,,50,,
2018-01-30T00:54:18.927Z,,29.6,,,50,,
2018-01-30T00:54:39.000Z,,29.6,,,50,,37.1
2018-01-30T00:54:48.950Z,,29.6,,,50,,
2018-01-30T00:55:08.956Z,,29.5,,,50,,
2018-01-30T00:55:18.931Z,,29.6,,,50,,
2018-01-30T00:55:38.927Z,,29.6,,,50,,
2018-01-30T00:55:48.927Z,,29.5,,,50,,
2018-01-30T00:55:58.942Z,,,,,,,36.9
2018-01-30T00:56:08.927Z,,29.5,,,50,,36.9
2018-01-30T00:56:28.927Z,,29.5,,,50,,
2018-01-30T00:56:38.928Z,,29.5,,,50,,
2018-01-30T00:56:48.927Z,,29.5,,,50,,
2018-01-30T00:57:08.926Z,,29.5,,,50,,
2018-01-30T00:57:18.927Z,,29.5,,,50,,
2018-01-30T00:57:38.927Z,,29.5,,,50,,
2018-01-30T00:57:48.927Z,0,29.5,,2,50,45,37.2
2018-01-30T00:57:58.927Z,,29.5,,,50,35,42.8
2018-01-30T00:58:08.927Z,,29.5,,,50,29,40.6
2018-01-30T00:58:18.926Z,,,,,,29,38.7
2018-01-30T00:58:28.934Z,,29.5,,,50,30,36.8
2018-01-30T00:58:38.927Z,,29.5,,,50,29,35.4
2018-01-30T00:58:48.926Z,,,,,,,35.3
2018-01-30T00:58:58.927Z,,29.5,,,50,,35.6
2018-01-30T00:59:08.927Z,,,,,,,36.1
2018-01-30T00:59:18.927Z,,29.5,,,50,,36.5
2018-01-30T00:59:28.927Z,,29.5,,,50,,
2018-01-30T00:59:38.927Z,,29.3,,,50,,36.9
2018-01-30T00:59:48.927Z,,,,,,29,37.1
2018-01-30T00:59:58.927Z,,29.3,,,50,30,37.2
2018-01-30T01:00:08.927Z,,29.5,,,50,,
2018-01-30T01:00:18.927Z,,,,,,29,37.7
2018-01-30T01:00:28.927Z,,29.3,,,50,,37.9
2018-01-30T01:00:38.927Z,,29.3,,,50,30,38.1
2018-01-30T01:00:48.927Z,,,,,,29,38.3
2018-01-30T01:00:58.927Z,,29.5,,,50,,38.6
2018-01-30T01:01:08.927Z,,29.3,,,50,,
2018-01-30T01:01:18.926Z,,29.3,,,50,30,38.9
2018-01-30T01:01:28.928Z,,,,,,29,39.2
2018-01-30T01:01:38.927Z,,29.5,,,50,,39.4
2018-01-30T01:01:48.926Z,,29.5,,,50,,
2018-01-30T01:01:58.926Z,,,,,,,39.7
2018-01-30T01:02:08.931Z,,29.5,,,50,,39.8
2018-01-30T01:02:18.926Z,,,,,,30,40
2018-01-30T01:02:28.927Z,,29.5,,,50,29,40.1
2018-01-30T01:02:38.926Z,,29.5,,,50,,40.3
2018-01-30T01:02:48.927Z,,29.5,,,50,,
2018-01-30T01:02:58.927Z,,,,,,,40.6
2018-01-30T01:03:08.927Z,,29.5,,,50,,40.7
2018-01-30T01:03:18.927Z,,29.5,,,50,,
2018-01-30T01:03:28.927Z,,,,,,30,41
2018-01-30T01:03:38.927Z,,29.5,,,50,29,41.2
2018-01-30T01:03:48.927Z,,29.5,,,50,,
2018-01-30T01:03:58.926Z,,,,,,29,41.5
2018-01-30T01:04:08.928Z,,29.5,,,50,,41.6
2018-01-30T01:04:18.930Z,,29.5,,,50,,
2018-01-30T01:04:28.926Z,,29.5,,,50,,41.9
2018-01-30T01:04:38.935Z,,29.6,,,50,29,42.1
2018-01-30T01:04:48.941Z,,,,,,,42.3
2018-01-30T01:04:58.930Z,,29.6,,,50,,42.4
2018-01-30T01:05:08.947Z,,29.6,,,50,,
2018-01-30T01:05:18.932Z,,,,,,30,42.8
2018-01-30T01:05:28.938Z,,29.6,,,50,29,43
2018-01-30T01:05:38.927Z,,29.6,,,50,,43.1
2018-01-30T01:05:48.927Z,,,,,,30,43.3
2018-01-30T01:05:58.942Z,,29.6,,,50,,43.4
2018-01-30T01:06:08.927Z,,29.6,,,50,,
2018-01-30T01:06:18.932Z,,,,,,29,43.7
2018-01-30T01:06:28.935Z,,29.7,,,50,30,43.8
2018-01-30T01:06:38.932Z,,29.7,,,50,29,44
2018-01-30T01:06:48.927Z,1,37.4,0,0,50,,44.2
2018-01-30T01:06:58.927Z,,42.4,,,50,45,45.3
2018-01-30T01:07:08.932Z,0,44.3,,0,50,0,44.3
2018-01-30T01:07:18.929Z,,,,,,,44.1
2018-01-30T01:07:28.927Z,,44.1,,,50,,44
2018-01-30T01:07:38.926Z,,43.9,,,50,,
2018-01-30T01:07:58.944Z,,43.5,,,50,,
2018-01-30T01:08:08.936Z,0,,59,2,,,
2018-01-30T01:08:18.927Z,,43.2,,,50,,
2018-01-30T01:08:28.941Z,,43.1,,,50,,
2018-01-30T01:08:38.926Z,,42.9,,,50,,
2018-01-30T01:08:58.928Z,,42.7,,,50,,
2018-01-30T01:09:08.926Z,,42.5,,,50,,
2018-01-30T01:09:28.927Z,,42.2,,,50,,
2018-01-30T01:09:38.939Z,1,43.6,0,0,50,,43.5
2018-01-30T01:09:48.932Z,1,,,0,,0,43.5
2018-01-30T01:09:58.927Z,1,40.8,,0,50,51,41.9
2018-01-30T01:10:08.927Z,0,42.9,,0,50,0,43.6
2018-01-30T01:10:18.959Z,1,41.6,,0,50,52,42
2018-01-30T01:10:28.929Z,0,40.8,,0,50,0,42.4
2018-01-30T01:10:38.932Z,,40.6,,,50,,41.6
2018-01-30T01:10:58.955Z,,40.5,,,50,,41.5
2018-01-30T01:11:08.937Z,,40.4,,,50,,
2018-01-30T01:11:18.929Z,,40.3,,,50,,
2018-01-30T01:11:28.937Z,0,,59,2,,,41.4
2018-01-30T01:11:38.928Z,1,40.5,0,0,50,,41.6
2018-01-30T01:11:48.931Z,0,40.6,,0,50,0,41.8
2018-01-30T01:11:58.928Z,,40.5,,,50,,40.9
2018-01-30T01:12:08.927Z,,,,,,,40.8
2018-01-30T01:12:18.928Z,,40.4,,,50,,40.9
2018-01-30T01:12:28.929Z,,40.2,,,50,,40.8
2018-01-30T01:12:38.929Z,,40.1,,,50,,
2018-01-30T01:12:48.931Z,0,,59,2,,,
2018-01-30T01:12:58.927Z,,40,,,50,,
2018-01-30T01:13:08.941Z,,39.9,,,50,,
2018-01-30T01:13:28.949Z,,39.7,,,50,,
2018-01-30T01:13:38.927Z,,39.7,,,50,,
2018-01-30T01:13:48.926Z,,39.6,,,50,,
2018-01-30T01:13:58.926Z,,,,,,,40.7
2018-01-30T01:14:08.926Z,,39.4,,,50,,
2018-01-30T01:14:18.926Z,,39.4,,,50,,
2018-01-30T01:14:38.927Z,,39.2,,,50,,
2018-01-30T01:14:48.926Z,,39.1,,,50,,
2018-01-30T01:15:08.926Z,,38.9,,,50,,
2018-01-30T01:15:18.926Z,,38.8,,,50,,
2018-01-30T01:15:38.927Z,,38.7,,,50,,
2018-01-30T01:15:48.951Z,,38.6,,,50,,
2018-01-30T01:16:08.927Z,,38.5,,,50,,
2018-01-30T01:16:18.958Z,,38.4,,,50,,
2018-01-30T01:16:38.927Z,,38.3,,,50,,
2018-01-30T01:16:48.937Z,,38.2,,,50,,
2018-01-30T01:17:08.926Z,,38,,,50,,
2018-01-30T01:17:18.931Z,,38,,,50,,
2018-01-30T01:17:28.926Z,,,,,,,40.7
2018-01-30T01:17:38.927Z,,37.8,,,50,,
2018-01-30T01:17:48.954Z,,37.8,,,50,,
2018-01-30T01:17:58.927Z,,,,,,,40.7
2018-01-30T01:18:08.926Z,,37.6,,,50,,40.6
2018-01-30T01:18:18.928Z,,37.6,,,50,,
2018-01-30T01:18:38.933Z,,37.4,,,50,,
2018-01-30T01:18:48.926Z,,37.4,,,50,,
2018-01-30T01:19:08.926Z,,37.3,,,50,,
2018-01-30T01:19:18.926Z,,37.2,,,50,,
2018-01-30T01:19:38.926Z,,37.1,,,50,,
2018-01-30T01:19:48.956Z,,36.9,,,50,,
2018-01-30T01:20:08.926Z,,36.8,,,50,,40.5
2018-01-30T01:20:18.927Z,,36.8,,,50,,
2018-01-30T01:20:38.927Z,,36.6,,,50,,
2018-01-30T01:20:48.926Z,,36.6,,,50,,
2018-01-30T01:21:08.927Z,,36.5,,,50,,
2018-01-30T01:21:18.926Z,,36.4,,,50,,
2018-01-30T01:21:38.927Z,,36.3,,,50,,40.4
2018-01-30T01:21:48.926Z,,36.2,,,50,,
2018-01-30T01:22:08.926Z,,36.1,,,50,,
2018-01-30T01:22:18.927Z,,36.1,,,50,,
2018-01-30T01:22:38.926Z,,36,,,50,,
2018-01-30T01:22:48.926Z,,35.9,,,50,,
2018-01-30T01:22:58.926Z,,,,,,,40.3
2018-01-30T01:23:08.926Z,,35.8,,,50,,
2018-01-30T01:23:18.926Z,,35.8,,,50,,
2018-01-30T01:23:38.926Z,,35.7,,,50,,
2018-01-30T01:23:48.928Z,,35.6,,,50,,
2018-01-30T01:23:58.926Z,,,,,,,40.2
2018-01-30T01:24:08.926Z,,35.5,,,50,,
2018-01-30T01:24:18.926Z,,35.5,,,50,,
2018-01-30T01:24:38.926Z,,35.4,,,50,,
2018-01-30T01:24:48.926Z,,35.3,,,50,,
2018-01-30T01:25:08.926Z,,35.3,,,50,,40.1
2018-01-30T01:25:18.926Z,,35.2,,,50,,
2018-01-30T01:25:38.927Z,,35.1,,,50,,
2018-01-30T01:25:48.926Z,,35.1,,,50,,
2018-01-30T01:25:58.926Z,,,,,,,40
2018-01-30T01:26:08.927Z,,34.9,,,50,,
2018-01-30T01:26:18.984Z,,34.8,,,50,,
2018-01-30T01:26:38.926Z,,34.8,,,50,,
2018-01-30T01:26:48.952Z,,34.7,,,50,,
2018-01-30T01:27:08.926Z,,34.7,,,50,,
2018-01-30T01:27:18.926Z,,,,,,,39.9
2018-01-30T01:27:28.938Z,,34.6,,,50,,
2018-01-30T01:27:38.926Z,,34.5,,,50,,
2018-01-30T01:27:48.926Z,,34.5,,,50,,
2018-01-30T01:28:08.926Z,,34.4,,,50,,39.8
2018-01-30T01:28:18.931Z,,34.3,,,50,,
2018-01-30T01:28:38.926Z,,34.3,,,50,,
2018-01-30T01:28:48.939Z,,34.2,,,50,,
2018-01-30T01:29:08.929Z,,34.2,,,50,,
2018-01-30T01:29:18.926Z,,34.1,,,50,,
2018-01-30T01:29:28.926Z,,,,,,,39.7
2018-01-30T01:29:38.926Z,,34.1,,,50,,
2018-01-30T01:29:48.926Z,,34,,,50,,
2018-01-30T01:30:08.926Z,,34,,,50,,
2018-01-30T01:30:18.926Z,,33.9,,,50,,
2018-01-30T01:30:38.926Z,,33.8,,,50,,39.6
2018-01-30T01:30:48.926Z,,33.8,,,50,,
2018-01-30T01:31:08.926Z,,33.7,,,50,,
2018-01-30T01:31:18.926Z,,33.7,,,50,,
2018-01-30T01:31:38.926Z,,33.6,,,50,,
2018-01-30T01:31:48.926Z,,33.6,,,50,,
2018-01-30T01:31:58.942Z,0,33.6,,2,50,45,39.8
2018-01-30T01:32:08.926Z,,,,,,34,45.3
2018-01-30T01:32:18.926Z,,33.5,,,50,29,42.3
2018-01-30T01:32:28.926Z,,33.5,,,50,29,39.3
2018-01-30T01:32:38.927Z,,33.4,,,50,29,36.6
2018-01-30T01:32:48.926Z,,,,,,30,35.4
2018-01-30T01:32:58.928Z,,33.4,,,50,,35.3
2018-01-30T01:33:08.926Z,,33.3,,,50,,
2018-01-30T01:33:18.926Z,,,,,,29,36.1
2018-01-30T01:33:28.927Z,,33.3,,,50,,36.4
2018-01-30T01:33:38.934Z,,33.3,,,50,,36.6
2018-01-30T01:33:48.926Z,,33.2,,,50,,
2018-01-30T01:33:58.943Z,,,,,,29,36.9
2018-01-30T01:34:08.926Z,,33.2,,,50,,37.1
2018-01-30T01:34:18.928Z,0,33.1,59,2,50,29,37.2
2018-01-30T01:34:28.929Z,,33.1,,,50,,
2018-01-30T01:34:38.927Z,,33.1,,,50,,37.7
2018-01-30T01:34:48.927Z,,33.1,,,50,,37.9
2018-01-30T01:34:58.937Z,,,,,,,38.2
2018-01-30T01:35:08.933Z,,32.9,,,50,,38.4
2018-01-30T01:35:18.926Z,,32.9,,,50,,
2018-01-30T01:35:28.927Z,,,,,,30,38.9
2018-01-30T01:35:38.926Z,,32.8,,,50,29,39.2
2018-01-30T01:35:48.930Z,,,,,,30,39.4
2018-01-30T01:35:58.950Z,,32.8,,,50,29,39.6
2018-01-30T01:36:08.926Z,,32.7,,,50,,
2018-01-30T01:36:18.925Z,,,,,,30,40
