Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-11T00:30:08.606Z,,50,29,,,,
2018-02-11T00:30:28.607Z,,50,29,35.4,,,
2018-02-11T00:30:38.606Z,,50,29,,,,
2018-02-11T00:30:58.607Z,,50,29,,,,
2018-02-11T00:31:08.606Z,,50,29,,,,
2018-02-11T00:31:28.606Z,,50,29,,,,
2018-02-11T00:31:38.607Z,,50,29,,,,
2018-02-11T00:31:58.609Z,,50,29,,,,
2018-02-11T00:32:08.608Z,,50,29,,,,
2018-02-11T00:32:28.607Z,,50,29,35.3,,,
2018-02-11T00:32:38.613Z,,50,29,,,,
2018-02-11T00:32:48.606Z,,,,35.3,,,
2018-02-11T00:32:58.606Z,,50,29,,,,
2018-02-11T00:33:08.609Z,,50,29,,,,
2018-02-11T00:33:28.607Z,,50,29,,,,
2018-02-11T00:33:38.606Z,,50,29,,,,
2018-02-11T00:33:58.619Z,,50,28.9,,,,
2018-02-11T00:34:08.608Z,,50,28.9,,,,
2018-02-11T00:34:28.606Z,,50,28.9,,,,
2018-02-11T00:34:38.606Z,,50,28.9,,,,
2018-02-11T00:34:58.617Z,,50,28.9,,,,
2018-02-11T00:35:08.623Z,,50,28.9,35.2,,,
2018-02-11T00:35:18.618Z,1,50,28.9,39.1,39,0,
2018-02-11T00:35:28.607Z,,50,28.9,40.8,30,,
2018-02-11T00:35:38.607Z,,50,28.9,37.7,29,,
2018-02-11T00:35:48.606Z,,50,28.9,35.8,29,,
2018-02-11T00:35:58.630Z,,,,33.7,30,,
2018-02-11T00:36:08.607Z,,50,28.9,32.9,,,
2018-02-11T00:36:18.606Z,,,,32.7,29,,
2018-02-11T00:36:28.607Z,,50,28.9,33.2,,,
2018-02-11T00:36:38.606Z,,,,33.6,,,
2018-02-11T00:36:48.607Z,,50,28.7,33.9,30,,
2018-02-11T00:36:58.606Z,,,,34.1,30,,
2018-02-11T00:37:08.606Z,,50,28.7,34.2,29,,
2018-02-11T00:37:18.608Z,,50,28.7,,,,
2018-02-11T00:37:28.611Z,,50,28.7,34.6,,,
2018-02-11T00:37:38.657Z,,,,34.8,,,
2018-02-11T00:37:48.652Z,,50,28.7,35.1,30,,
2018-02-11T00:37:58.627Z,,,,35.3,30,,
2018-02-11T00:38:08.606Z,,50,28.7,35.7,29,,
2018-02-11T00:38:18.612Z,,50,28.7,,,,
2018-02-11T00:38:28.606Z,,50,28.7,36,30,,
2018-02-11T00:38:38.606Z,,,,36.2,,,
2018-02-11T00:38:48.606Z,,50,28.7,36.4,,,
2018-02-11T00:38:58.606Z,,50,28.7,,,,
2018-02-11T00:39:08.606Z,,,,36.7,29,,
2018-02-11T00:39:18.607Z,,50,28.7,36.9,,,
2018-02-11T00:39:28.607Z,,50,28.7,37.1,29,,
2018-02-11T00:39:38.606Z,,,,37.3,30,,
2018-02-11T00:39:48.606Z,,50,28.7,37.5,29,,
2018-02-11T00:39:58.607Z,,50,28.7,,,,
2018-02-11T00:40:08.606Z,,,,37.7,,,
2018-02-11T00:40:18.606Z,,50,28.7,37.9,,,
2018-02-11T00:40:28.606Z,,50,28.7,38.1,,,
