Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T00:25:49.081Z,,29,50,,,,
2018-01-24T00:25:59.081Z,,29,50,,,,
2018-01-24T00:26:09.080Z,,29,50,,0,0,5
2018-01-24T00:26:19.081Z,,29,50,,,,
2018-01-24T00:26:29.080Z,,29,50,,,,
2018-01-24T00:26:39.080Z,,29,50,,,,
2018-01-24T00:26:49.081Z,,28.9,50,,0,2,59
2018-01-24T00:26:59.082Z,,29,50,,,,
2018-01-24T00:27:09.080Z,,29,50,,,,
2018-01-24T00:27:19.081Z,,29,50,,,,
2018-01-24T00:27:29.101Z,,28.9,50,,,,
2018-01-24T00:27:39.081Z,,28.9,50,,,,
2018-01-24T00:27:49.081Z,,29,50,,,,
2018-01-24T00:27:59.081Z,,28.9,50,,,,
2018-01-24T00:28:09.081Z,,28.9,50,,0,0,5
2018-01-24T00:28:19.082Z,,28.9,50,,,,
2018-01-24T00:28:29.081Z,,28.9,50,,,,
2018-01-24T00:28:39.081Z,,28.9,50,,,,
2018-01-24T00:28:49.081Z,,28.9,50,,,,
2018-01-24T00:28:59.083Z,,28.9,50,,,,
2018-01-24T00:29:09.080Z,,28.9,50,,,,
2018-01-24T00:29:19.081Z,,28.9,50,,,,
2018-01-24T00:29:29.081Z,,28.9,50,34.2,,,
2018-01-24T00:29:39.096Z,,28.9,50,,,,
2018-01-24T00:29:49.081Z,,28.9,50,,,,
2018-01-24T00:29:59.081Z,,28.9,50,,,,
2018-01-24T00:30:09.080Z,,28.9,50,,,,
2018-01-24T00:30:19.081Z,,28.9,50,,,,
2018-01-24T00:30:29.081Z,,28.9,50,,,,
2018-01-24T00:30:39.081Z,,28.9,50,,,,
2018-01-24T00:30:49.080Z,,28.9,50,,,,
2018-01-24T00:30:59.083Z,,28.9,50,,,,
2018-01-24T00:31:09.080Z,,28.9,50,,,,
2018-01-24T00:31:19.081Z,,28.9,50,,,,
2018-01-24T00:31:29.081Z,,28.9,50,34.1,,,
2018-01-24T00:31:39.080Z,,28.7,50,,,,
2018-01-24T00:31:49.081Z,,28.7,50,,,,
2018-01-24T00:31:59.080Z,,28.7,50,,,,
