Time,ActPow,PrimT,ChActive,HwActive,PrimTSet,HwTSet,HwTOutlet
2018-02-06T00:51:58.744Z,29,42.7,,,,,
2018-02-06T00:52:08.744Z,30,42.8,,,,50,30.2
2018-02-06T00:52:18.744Z,29,43,,,,50,30.2
2018-02-06T00:52:28.744Z,30,43.1,,,,,
2018-02-06T00:52:38.744Z,,43.3,,,,50,30.2
2018-02-06T00:52:48.747Z,0,42,1,0,,50,30.2
2018-02-06T00:52:58.744Z,,39.7,,,,,
2018-02-06T00:53:08.744Z,,38.6,,,,50,30.3
2018-02-06T00:53:18.745Z,,38.3,,,,50,30.2
2018-02-06T00:53:28.744Z,,38.2,,,,50,30.3
2018-02-06T00:53:38.744Z,,,,,,50,30.3
2018-02-06T00:53:58.745Z,,,,,,50,30.3
2018-02-06T00:54:08.746Z,,38.1,,,,50,30.3
2018-02-06T00:54:18.744Z,,,,,,50,30.3
2018-02-06T00:54:28.744Z,,37.9,,,,,
2018-02-06T00:54:38.744Z,,37.8,,,,50,30.3
2018-02-06T00:54:48.748Z,,,,,,50,30.4
2018-02-06T00:54:58.745Z,,37.7,,,,,
2018-02-06T00:55:08.744Z,,,,,,50,30.4
2018-02-06T00:55:18.744Z,,,,,,50,30.4
2018-02-06T00:55:28.744Z,,37.6,,,,,
2018-02-06T00:55:38.745Z,,,,,,50,30.4
2018-02-06T00:55:48.744Z,,37.5,,,,,
2018-02-06T00:55:58.744Z,,,,,,50,30.4
2018-02-06T00:56:08.744Z,,,,,,50,30.4
2018-02-06T00:56:18.753Z,,,,,,50,30.4
2018-02-06T00:56:38.785Z,,,,,,50,30.6
2018-02-06T00:56:48.771Z,,,,,,50,30.6
2018-02-06T00:56:58.744Z,,37.4,,,,,
2018-02-06T00:57:08.758Z,,37.5,,,,50,30.6
2018-02-06T00:57:18.756Z,,,,,,50,30.6
2018-02-06T00:57:28.744Z,,37.4,,,,,
2018-02-06T00:57:38.744Z,,37.5,,,,50,30.6
2018-02-06T00:57:48.746Z,,,,,,50,30.6
2018-02-06T00:58:08.745Z,,,,,,50,30.6
2018-02-06T00:58:18.744Z,,,,,,50,30.6
2018-02-06T00:58:38.744Z,,,,,,50,30.7
2018-02-06T00:58:48.744Z,,,,,,50,30.7
2018-02-06T00:58:58.744Z,,37.6,,,,,
2018-02-06T00:59:08.744Z,,,,,,50,30.7
2018-02-06T00:59:18.747Z,,,,,,50,30.7
2018-02-06T00:59:28.744Z,,37.7,,,,,
2018-02-06T00:59:38.752Z,,,,,,50,30.7
2018-02-06T00:59:48.744Z,,,,,,50,30.7
2018-02-06T01:00:08.744Z,,37.8,,,,50,30.7
2018-02-06T01:00:18.744Z,,,,,,50,30.7
2018-02-06T01:00:38.744Z,,,,,,50,30.8
2018-02-06T01:00:48.744Z,,,,,,50,30.8
2018-02-06T01:01:08.745Z,,,,,,50,30.8
2018-02-06T01:01:18.765Z,,,,,,50,30.8
2018-02-06T01:01:28.760Z,,37.9,,,,,
2018-02-06T01:01:38.749Z,,,,,,50,30.8
2018-02-06T01:01:48.744Z,,,,,,50,30.8
2018-02-06T01:02:08.744Z,,,,,,50,30.8
2018-02-06T01:02:18.744Z,,,,,,50,30.8
2018-02-06T01:02:38.745Z,,,,,,50,30.8
2018-02-06T01:02:48.747Z,,,,,,50,30.8
2018-02-06T01:02:58.744Z,,37.9,,,,,
2018-02-06T01:03:08.770Z,,,,,,50,30.8
2018-02-06T01:03:18.744Z,,,,,,50,30.9
2018-02-06T01:03:28.748Z,,37.8,,,,,
2018-02-06T01:03:38.744Z,,,,,,50,30.9
2018-02-06T01:03:48.745Z,,,,,,50,30.9
2018-02-06T01:04:08.744Z,,,,,,50,30.9
2018-02-06T01:04:18.749Z,,,,,,50,30.9
2018-02-06T01:04:38.744Z,,,,,,50,30.9
2018-02-06T01:04:48.745Z,,,,,,50,30.9
2018-02-06T01:04:58.747Z,,37.7,,,,,
2018-02-06T01:05:08.744Z,,,,,,50,30.9
2018-02-06T01:05:18.749Z,,,,,,50,30.9
2018-02-06T01:05:38.744Z,,,,,,50,30.9
2018-02-06T01:05:48.749Z,,,,,,50,30.9
2018-02-06T01:06:08.746Z,,,,,,50,30.9
2018-02-06T01:06:18.744Z,,37.6,,,,50,30.9
2018-02-06T01:06:38.747Z,,,,,,50,30.9
2018-02-06T01:06:48.744Z,,,,,,50,30.9
2018-02-06T01:07:08.746Z,,,,,,50,30.9
2018-02-06T01:07:18.749Z,,,,,,50,30.9
2018-02-06T01:07:28.744Z,,37.5,,,,,
2018-02-06T01:07:38.744Z,,,,,,50,30.9
2018-02-06T01:07:48.744Z,,,,,,50,30.9
2018-02-06T01:08:08.743Z,,,,,,50,30.9
2018-02-06T01:08:18.743Z,,,,,,50,30.9
2018-02-06T01:08:38.744Z,,,,,,50,30.9
2018-02-06T01:08:48.744Z,,,,,,50,30.9
2018-02-06T01:08:58.745Z,,37.4,,,,,
2018-02-06T01:09:08.744Z,,,,,,50,30.9
2018-02-06T01:09:18.748Z,,,,,,50,30.9
2018-02-06T01:09:38.744Z,,,,,,50,30.9
2018-02-06T01:09:48.748Z,,,,,,50,30.9
2018-02-06T01:09:58.743Z,,37.3,0,0,5,,
2018-02-06T01:10:08.745Z,,,1,0,59,50,30.9
2018-02-06T01:10:18.748Z,,,,,,50,30.9
2018-02-06T01:10:28.754Z,,,,,,50,30.9
2018-02-06T01:10:38.743Z,,,,,,50,30.9
2018-02-06T01:10:58.749Z,,37.2,,,,50,30.9
2018-02-06T01:11:08.748Z,,,,,,50,30.9
2018-02-06T01:11:18.749Z,,,,,,50,30.9
2018-02-06T01:11:38.748Z,,,,,,50,30.9
2018-02-06T01:11:48.749Z,,,,,,50,30.9
2018-02-06T01:12:08.816Z,,,0,0,5,50,30.9
2018-02-06T01:12:18.743Z,,,,,,50,30.9
2018-02-06T01:12:28.776Z,,37.1,1,0,59,50,30.9
2018-02-06T01:12:38.744Z,,,,,,50,30.9
2018-02-06T01:12:48.743Z,,,,,,50,30.9
2018-02-06T01:13:08.743Z,,,0,0,5,50,30.9
2018-02-06T01:13:18.772Z,,,,,,50,30.9
2018-02-06T01:13:28.744Z,,,1,0,59,50,30.9
2018-02-06T01:13:38.744Z,,,,,,50,30.9
2018-02-06T01:13:48.745Z,,,,,,50,30.9
2018-02-06T01:13:58.744Z,,,0,0,5,,
2018-02-06T01:14:08.743Z,,36.9,1,0,59,50,30.8
2018-02-06T01:14:18.744Z,,,,,,50,30.8
2018-02-06T01:14:28.744Z,,,,,,50,30.9
2018-02-06T01:14:38.744Z,,,,,,50,30.9
2018-02-06T01:14:58.744Z,,,,,,50,30.8
2018-02-06T01:15:18.743Z,,,,,,50,30.8
2018-02-06T01:15:38.744Z,,36.8,,,,50,30.8
2018-02-06T01:15:48.744Z,,,,,,50,30.8
