Time,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT,ActPow
2017-12-01T00:39:00.968Z,,,,52,38.9,39.3,
2017-12-01T00:39:10.969Z,,,,52,38.8,,
2017-12-01T00:39:20.974Z,,,,52,38.8,39.2,
2017-12-01T00:39:30.968Z,,,,52,38.7,,
2017-12-01T00:39:40.968Z,,,,52,38.6,,
2017-12-01T00:39:50.968Z,,,,52,38.6,39.1,
2017-12-01T00:40:00.968Z,,,,52,38.5,,
2017-12-01T00:40:10.969Z,,,,52,38.4,,
2017-12-01T00:40:20.968Z,,,,52,38.4,,
2017-12-01T00:40:30.968Z,,,,52,38.3,,
2017-12-01T00:40:40.968Z,,,,52,38.2,,
2017-12-01T00:40:50.969Z,,,,52,38.2,,
2017-12-01T00:41:00.970Z,,,,52,38.1,,
2017-12-01T00:41:10.968Z,,,,52,38.1,,
2017-12-01T00:41:20.974Z,,,,52,38,,
2017-12-01T00:41:30.969Z,,,,52,37.9,,
2017-12-01T00:41:40.968Z,,,,52,37.8,,
2017-12-01T00:41:50.974Z,,,,52,37.8,,
2017-12-01T00:42:00.969Z,,,,52,37.7,,
2017-12-01T00:42:10.969Z,,,,52,37.7,,
2017-12-01T00:42:21.000Z,,,,52,37.6,,
2017-12-01T00:42:30.968Z,,,,52,37.5,,
2017-12-01T00:42:40.981Z,,,,52,37.5,,
2017-12-01T00:42:50.972Z,,,,52,37.4,,
2017-12-01T00:43:00.968Z,,,,52,37.4,,
2017-12-01T00:43:10.968Z,,,,52,37.3,,
2017-12-01T00:43:20.971Z,,,,52,37.3,,
2017-12-01T00:43:30.968Z,,,,52,37.2,,
2017-12-01T00:43:40.968Z,,,,52,37.1,,
2017-12-01T00:43:50.968Z,,,,52,37.1,,
2017-12-01T00:44:00.968Z,,,,52,36.9,,
2017-12-01T00:44:10.968Z,,,,52,36.9,,
2017-12-01T00:44:20.968Z,,,,52,36.8,,
2017-12-01T00:44:30.968Z,,,,52,36.8,,
2017-12-01T00:44:40.968Z,,,,52,36.7,39.2,
2017-12-01T00:44:50.968Z,,,,52,36.7,,
2017-12-01T00:45:00.968Z,,,,52,36.6,,
2017-12-01T00:45:10.968Z,,,,52,36.5,,
2017-12-01T00:45:20.971Z,,,,52,36.5,,
2017-12-01T00:45:30.973Z,,,,52,36.4,,
2017-12-01T00:45:40.968Z,,,,52,36.4,,
2017-12-01T00:45:50.968Z,,,,52,36.3,39.3,
2017-12-01T00:46:00.971Z,,,,52,36.3,,
2017-12-01T00:46:10.972Z,,,,52,36.2,,
2017-12-01T00:46:20.970Z,,,,52,36.2,,
2017-12-01T00:46:30.969Z,,,,52,36.1,,
2017-12-01T00:46:40.972Z,,,,52,36.1,39.4,
2017-12-01T00:46:50.972Z,,,,52,36.1,,
2017-12-01T00:47:00.968Z,,,,52,36,,
2017-12-01T00:47:10.973Z,,,,52,36,,
2017-12-01T00:47:20.971Z,,,,52,35.9,,
2017-12-01T00:47:30.973Z,,,,52,35.9,39.5,
2017-12-01T00:47:40.973Z,,,,52,35.8,,
2017-12-01T00:47:50.968Z,,,,52,35.8,,
2017-12-01T00:48:00.974Z,,,,52,35.7,,
2017-12-01T00:48:10.968Z,,,,52,35.7,,
2017-12-01T00:48:20.968Z,,,,52,35.6,,
2017-12-01T00:48:30.971Z,,,,52,35.6,,
2017-12-01T00:48:40.968Z,,,,52,35.6,39.6,
2017-12-01T00:48:50.972Z,,,,52,35.5,,
2017-12-01T00:49:00.973Z,,,,52,35.5,,
2017-12-01T00:49:10.968Z,,,,52,35.4,,
2017-12-01T00:49:20.968Z,,,,52,35.4,,
2017-12-01T00:49:30.968Z,,,,52,35.3,,
2017-12-01T00:49:40.970Z,,,,52,35.3,,
2017-12-01T00:49:50.968Z,,,,52,35.3,,
2017-12-01T00:50:00.968Z,,,,52,35.2,39.7,
2017-12-01T00:50:10.968Z,,,,52,35.2,,
2017-12-01T00:50:20.968Z,,,,52,35.1,,
2017-12-01T00:50:30.969Z,,,,52,35.1,,
2017-12-01T00:50:40.968Z,,,,52,35.1,,
2017-12-01T00:50:50.968Z,,,,52,34.9,,
2017-12-01T00:51:00.968Z,,,,52,34.9,39.8,
2017-12-01T00:51:10.968Z,,,,52,34.9,,
2017-12-01T00:51:20.968Z,,,,52,34.8,,
2017-12-01T00:51:30.967Z,,,,52,34.8,,
2017-12-01T00:51:40.968Z,,,,52,34.7,,
2017-12-01T00:51:50.968Z,,,,52,34.7,,
2017-12-01T00:52:00.968Z,,,,52,34.7,,
2017-12-01T00:52:10.968Z,,,,52,34.6,,
2017-12-01T00:52:20.968Z,,,,52,34.6,,
2017-12-01T00:52:30.968Z,,,,52,34.6,39.9,
2017-12-01T00:52:40.968Z,,,,52,34.5,,
2017-12-01T00:52:51.006Z,,,,52,34.5,,
2017-12-01T00:53:00.968Z,,,,52,34.5,,
2017-12-01T00:53:10.968Z,,,,52,34.4,,
2017-12-01T00:53:20.968Z,,,,52,34.4,,
2017-12-01T00:53:30.968Z,,,,52,34.4,,
2017-12-01T00:53:40.968Z,,,,52,34.3,,
2017-12-01T00:53:50.967Z,,,,52,34.3,,
2017-12-01T00:54:00.968Z,,,,52,34.2,,
2017-12-01T00:54:10.968Z,,,,52,34.2,,
2017-12-01T00:54:20.968Z,,,,52,34.2,,
2017-12-01T00:54:30.968Z,,,,52,34.1,,
2017-12-01T00:54:40.970Z,,,,52,34.1,,
2017-12-01T00:54:50.967Z,,,,52,34.1,,
2017-12-01T00:55:00.968Z,,,,52,34.1,,
2017-12-01T00:55:10.968Z,,,,52,34,,
2017-12-01T00:55:20.970Z,,,,52,34,39.8,
2017-12-01T00:55:30.967Z,,,,52,34,,
2017-12-01T00:55:40.968Z,,,,52,33.9,,
2017-12-01T00:55:50.969Z,1,,0,52,33.9,43,39
2017-12-01T00:56:00.968Z,,,,52,33.9,43.9,29
2017-12-01T00:56:10.967Z,,,,52,33.8,41.6,29
2017-12-01T00:56:20.971Z,,,,52,33.8,38.6,29
2017-12-01T00:56:30.982Z,,,,52,33.8,37.8,30
2017-12-01T00:56:40.967Z,,,,52,33.8,37.1,29
2017-12-01T00:56:50.968Z,,,,52,33.7,37.2,30
2017-12-01T00:57:00.967Z,,,,52,33.7,37.6,29
2017-12-01T00:57:10.967Z,,,,52,33.7,38,29
2017-12-01T00:57:20.968Z,,,,52,33.6,38.4,
2017-12-01T00:57:30.968Z,,,,52,33.6,38.6,
2017-12-01T00:57:40.968Z,1,,0,52,33.6,38.7,0
2017-12-01T00:57:50.968Z,,,,52,33.6,35.8,
2017-12-01T00:58:00.968Z,,,,52,33.6,34.8,
2017-12-01T00:58:10.990Z,,,,52,33.5,34.1,
2017-12-01T00:58:20.968Z,,,,52,33.5,34,
2017-12-01T00:58:30.967Z,,,,52,33.5,,
2017-12-01T00:58:40.968Z,,,,52,33.5,,
2017-12-01T00:58:50.973Z,,,,52,33.4,34.1,
2017-12-01T00:59:00.971Z,,,,52,33.4,,
2017-12-01T00:59:10.971Z,,,,52,33.4,34,
2017-12-01T00:59:20.968Z,,,,52,33.4,,
2017-12-01T00:59:30.973Z,,,,52,33.3,33.9,
2017-12-01T00:59:40.970Z,,,,52,33.3,,
2017-12-01T00:59:50.968Z,,,,52,33.3,33.8,
2017-12-01T01:00:00.969Z,,,,52,33.3,,
2017-12-01T01:00:10.970Z,1,58,0,52,33.2,33.8,0
2017-12-01T01:00:20.968Z,,,,52,33.2,,
2017-12-01T01:00:30.968Z,,,,52,33.2,33.7,
2017-12-01T01:00:40.972Z,,,,52,33.2,,
2017-12-01T01:00:50.967Z,,,,52,33.1,,
2017-12-01T01:01:00.971Z,,,,52,33.1,,
2017-12-01T01:01:10.971Z,,,,52,33.1,,
2017-12-01T01:01:20.968Z,,,,52,33.1,,
2017-12-01T01:01:30.971Z,,,,52,32.9,,
2017-12-01T01:01:40.973Z,,,,52,32.9,,
2017-12-01T01:01:50.968Z,,,,52,32.9,,
2017-12-01T01:02:00.971Z,,,,52,32.9,,
2017-12-01T01:02:10.968Z,,,,52,32.9,,
2017-12-01T01:02:20.968Z,,,,52,32.8,,
2017-12-01T01:02:30.967Z,,,,52,32.8,,
2017-12-01T01:02:40.972Z,,,,52,32.8,,
2017-12-01T01:02:50.967Z,,,,52,32.8,,
2017-12-01T01:03:00.967Z,,,,52,32.7,,
2017-12-01T01:03:10.972Z,,,,52,32.7,,
2017-12-01T01:03:20.967Z,,,,52,32.7,,
2017-12-01T01:03:30.968Z,,,,52,32.7,,
2017-12-01T01:03:40.967Z,,,,52,32.6,33.8,
2017-12-01T01:03:50.967Z,,,,52,32.6,,
2017-12-01T01:04:00.971Z,,,,52,32.6,33.9,
2017-12-01T01:04:10.967Z,,,,52,32.6,34,
2017-12-01T01:04:20.968Z,,,,52,32.5,,
2017-12-01T01:04:30.969Z,,,,52,32.5,34.1,
2017-12-01T01:04:40.967Z,,,,52,32.5,34.2,
