Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T00:38:38.901Z,,,,,,37.9,
2018-01-31T00:38:48.901Z,0,50,0,2,,36.6,28.6
2018-01-31T00:38:58.900Z,,,,,,34.5,
2018-01-31T00:39:08.901Z,,50,,,,33.5,28.6
2018-01-31T00:39:18.901Z,,50,,,,33.2,28.7
2018-01-31T00:39:38.901Z,,50,,,,33.1,28.7
2018-01-31T00:39:48.901Z,,50,,,,,28.7
2018-01-31T00:40:08.901Z,,50,,,,,28.7
2018-01-31T00:40:18.901Z,,50,,,,32.9,28.7
2018-01-31T00:40:28.900Z,,,,,,32.8,
2018-01-31T00:40:38.901Z,,50,,,,32.7,28.7
2018-01-31T00:40:48.901Z,,50,,,,,28.7
2018-01-31T00:41:08.901Z,,50,,,,,28.7
2018-01-31T00:41:18.901Z,,50,,,,,28.7
2018-01-31T00:41:28.901Z,,50,,,,,28.7
2018-01-31T00:41:48.901Z,,50,,,,32.7,28.7
2018-01-31T00:41:58.901Z,,,,,,32.6,
2018-01-31T00:42:08.901Z,,50,,,,,28.7
2018-01-31T00:42:18.901Z,,50,,,,,28.7
2018-01-31T00:42:28.901Z,,50,,,,,28.7
2018-01-31T00:42:48.902Z,,50,,,,,28.7
2018-01-31T00:42:58.901Z,,50,,,,,28.7
2018-01-31T00:43:18.901Z,,50,,,,,28.7
2018-01-31T00:43:28.901Z,,50,,,,,28.7
2018-01-31T00:43:48.901Z,,50,,,,,28.7
2018-01-31T00:43:58.903Z,,50,,,,,28.7
2018-01-31T00:44:18.941Z,,50,,,,,28.7
2018-01-31T00:44:28.901Z,,50,,,,,28.7
2018-01-31T00:44:38.919Z,,,,,,32.7,
2018-01-31T00:44:48.902Z,0,50,,0,5,,28.7
2018-01-31T00:44:58.901Z,0,50,,2,59,,28.7
2018-01-31T00:45:08.901Z,0,50,,0,5,,28.7
2018-01-31T00:45:18.901Z,,50,,,,,28.7
2018-01-31T00:45:28.901Z,,50,,,,,28.7
2018-01-31T00:45:48.901Z,0,50,,2,59,32.8,28.7
2018-01-31T00:45:58.900Z,0,50,,0,5,,28.7
2018-01-31T00:46:08.901Z,0,50,,2,59,,28.7
2018-01-31T00:46:18.901Z,,50,,,,,28.7
2018-01-31T00:46:28.901Z,,50,,,,,28.7
2018-01-31T00:46:38.900Z,0,,,0,5,32.9,
2018-01-31T00:46:48.901Z,,50,,,,,28.7
2018-01-31T00:46:58.900Z,,50,,,,,28.7
2018-01-31T00:47:08.901Z,0,,,2,59,,
2018-01-31T00:47:18.901Z,,50,,,,,28.7
2018-01-31T00:47:28.901Z,,50,,,,,28.7
2018-01-31T00:47:38.901Z,0,,,0,5,,
