Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T00:36:38.867Z,,50,,30,,,
2018-02-02T00:36:48.860Z,,50,,30,,,
2018-02-02T00:37:08.850Z,,50,,30,,,
2018-02-02T00:37:18.850Z,,50,,30,,,
2018-02-02T00:37:38.850Z,,50,,30,,,
2018-02-02T00:37:48.850Z,,50,,30,,,
2018-02-02T00:38:08.913Z,37.6,50,,30,,,
2018-02-02T00:38:18.850Z,,50,,30,,,
2018-02-02T00:38:38.850Z,,50,,30,,,
2018-02-02T00:38:48.875Z,,50,,30,,,
2018-02-02T00:38:58.849Z,37.7,,,,,,
2018-02-02T00:39:08.865Z,,50,,30.1,,,
2018-02-02T00:39:18.850Z,,50,,30,,,
2018-02-02T00:39:28.849Z,37.8,,,,,,
2018-02-02T00:39:38.972Z,,50,,30.1,,,
2018-02-02T00:39:48.869Z,,50,,30.1,,,
2018-02-02T00:40:08.849Z,,50,,30.1,,,
2018-02-02T00:40:18.857Z,,50,,30.1,,,
2018-02-02T00:40:28.850Z,37.8,,0,,0,2,59
2018-02-02T00:40:38.850Z,,50,,30.1,,,
2018-02-02T00:40:48.849Z,,50,,30.1,,,
2018-02-02T00:40:58.850Z,37.9,,,,,,
2018-02-02T00:41:08.958Z,,50,,30.1,,,
2018-02-02T00:41:18.850Z,,50,,30.1,,,
2018-02-02T00:41:38.850Z,,50,,30.1,,,
2018-02-02T00:41:48.876Z,,50,,30.1,,,
2018-02-02T00:42:08.850Z,,50,,30.1,,,
2018-02-02T00:42:18.850Z,,50,,30.1,,,
2018-02-02T00:42:38.850Z,37.8,50,,30.1,,,
2018-02-02T00:42:48.849Z,,50,,30.1,,,
2018-02-02T00:43:08.849Z,,50,,30.1,,,
2018-02-02T00:43:18.849Z,,50,,30.1,,,
2018-02-02T00:43:38.850Z,,50,,30.1,,,
2018-02-02T00:43:48.849Z,,50,,30.1,,,
2018-02-02T00:44:08.850Z,,50,,30.1,,,
2018-02-02T00:44:18.849Z,,50,,30.1,,,
2018-02-02T00:44:28.849Z,37.7,,,,,,
2018-02-02T00:44:38.850Z,,50,,30.1,,,
2018-02-02T00:44:48.856Z,,50,,30.1,,,
2018-02-02T00:45:08.850Z,,50,,30.1,,,
2018-02-02T00:45:18.867Z,,50,,30.1,,,
2018-02-02T00:45:38.849Z,,50,,30.1,,,
2018-02-02T00:45:48.852Z,,50,,30.1,,,
2018-02-02T00:45:58.850Z,37.6,,,,,,
2018-02-02T00:46:08.873Z,,50,,30,,,
2018-02-02T00:46:18.851Z,,50,,30.1,,,
2018-02-02T00:46:38.849Z,,50,,30.1,,,
2018-02-02T00:46:48.850Z,,50,,30,,,
2018-02-02T00:47:08.849Z,37.5,50,,30.1,,,
2018-02-02T00:47:18.849Z,,50,,30,,,
2018-02-02T00:47:38.867Z,,50,,30,,,
2018-02-02T00:47:48.866Z,,50,,30,,,
2018-02-02T00:48:08.850Z,,50,,30,,,
2018-02-02T00:48:18.850Z,,50,,30,,,
2018-02-02T00:48:28.849Z,37.5,,,,,,
2018-02-02T00:48:38.849Z,37.4,50,,30,,,
2018-02-02T00:48:48.850Z,,50,,30,,,
2018-02-02T00:49:08.850Z,,50,,30,,,
